"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Michel Abreu","Mets (AA)","27","111","398","450","132","88","26","1","17","62","70","45","9","87","5","2","0","12","0","0",".332","sa301748"
"Billy Butler","Royals (AA)","20","119","477","535","158","109","33","1","15","82","96","41","3","67","8","8","1","25","1","0",".331","7399"
"Ben Zobrist","Astros (AA)","25","83","315","381","103","69","25","6","3","57","30","55","1","46","5","1","5","7","9","5",".327","7435"
"Alex Gordon","Royals (AA)","22","130","486","577","158","89","39","1","29","111","101","72","0","113","16","2","0","4","22","3",".325","5209"
"J.R. House","Astros (AA)","26","97","379","423","123","88","23","2","10","58","69","32","5","44","4","8","0","9","2","2",".325","992"
"Joey Votto","Reds (AA)","22","136","508","590","162","92","46","2","22","85","77","78","5","109","1","3","0","13","24","7",".319","4314"
"Brian Stavisky","Athletics (AA)","25","85","329","399","104","74","22","2","6","60","49","64","3","53","2","1","3","11","3","1",".316","sa202098"
"Jonathan Ash","Astros (AA)","23","112","392","438","123","95","22","5","1","40","28","25","1","36","11","2","8","8","5","8",".314","sa253750"
"Juan Richardson","Cardinals (AA)","27","121","444","501","138","89","31","1","17","71","78","46","1","114","7","3","1","10","0","7",".311","sa198315"
"Jamie D'Antona","Diamondbacks (AA)","24","126","461","521","143","97","29","0","17","72","67","54","4","88","2","4","0","11","2","1",".310","5851"
"Josh Anderson","Astros (AA)","23","130","561","610","173","140","26","4","3","83","50","27","2","73","10","4","8","9","43","13",".308","6032"
"Vasili Spanos","Athletics (AA)","25","120","439","527","135","96","29","1","9","70","67","52","3","73","25","8","3","13","0","1",".308","sa225873"
"Dee Brown","Royals (AA)","28","95","384","422","118","80","22","0","16","56","78","24","1","64","4","10","0","13","2","0",".307","sa3001095"
"Mitch Maier","Royals (AA)","24","138","543","603","166","110","35","7","14","95","92","41","1","96","7","9","3","8","13","12",".306","5588"
"Brett Roneberg","Pirates (AA)","27","109","400","457","121","91","19","1","10","63","74","51","6","58","1","5","0","12","9","1",".303","sa203337"
"Eric Rodland","Angels (AA)","26","118","397","467","119","87","22","2","8","64","51","58","0","54","6","3","3","8","2","5",".300","sa226127"
"Trent Oeltjen","Twins (AA)","23","113","401","464","120","91","16","10","3","61","44","36","1","58","16","2","9","3","23","11",".299","3310"
"Gregory Porter","Angels (AA)","25","118","440","476","131","83","28","0","20","73","71","26","2","103","6","4","0","12","4","3",".298","sa200139"
"Nick Stavinoha","Cardinals (AA)","24","111","417","453","124","83","26","3","12","55","73","28","0","81","2","6","0","10","2","1",".297","3909"
"Joe Gaetti","Rockies (AA)","24","109","392","446","116","73","23","4","16","68","62","38","1","99","10","4","2","5","5","2",".296","sa225758"
"Johnny Raburn","Devil Rays (AA)","27","93","322","382","95","75","15","5","0","47","32","47","3","47","2","1","10","13","20","8",".295","sa198964"
"Jorge Padilla","Mets (AA)","26","129","482","534","142","105","26","1","10","66","54","42","1","87","6","1","3","15","8","5",".295","2054"
"Chad Spann","Red Sox (AA)","22","99","360","399","106","65","28","3","10","53","50","29","0","85","9","1","0","6","3","3",".294","sa201880"
"Seth Smith","Rockies (AA)","23","130","524","582","154","89","46","4","15","79","71","51","1","74","4","0","3","7","4","4",".294","7331"
"Cory Keylor","Orioles (AA)","26","124","446","502","131","99","20","2","10","58","68","48","7","92","4","3","0","9","6","5",".294","sa200174"
"Jorge Cortes","Astros (AA)","25","126","457","518","134","92","31","3","8","58","51","50","1","63","4","3","4","13","4","7",".293","sa212544"
"Matthew Brown","Angels (AA)","23","134","515","576","151","88","41","3","19","77","79","47","0","108","10","2","2","8","7","6",".293","6384"
"Chris Walker","Cubs (AA)","25","131","513","566","150","115","22","11","2","70","35","40","2","102","7","1","5","8","50","23",".292","sa201539"
"Nate Gold","Rangers (AA)","26","120","452","522","132","70","27","1","34","74","103","55","5","85","9","5","1","10","3","4",".292","sa202232"
"Vic Buttler","Pirates (AA)","25","109","411","454","120","81","20","14","5","52","51","33","1","53","3","5","2","7","21","3",".292","sa199653"
"Danny Richar","Diamondbacks (AA)","23","129","480","548","140","102","25","5","8","79","42","52","2","77","3","7","6","2","15","5",".292","3767"
