"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Dave Sappelt","Reds (AA)","23","89","330","372","119","83","19","8","9","53","62","31","3","46","3","4","4","4","15","13",".361","6898"
"Brandon Guyer","Cubs (AA)","24","102","369","410","127","69","39","6","13","76","58","27","1","51","7","2","5","6","30","3",".344","2636"
"Clint Robinson","Royals (AA)","25","129","477","548","160","85","41","5","29","90","98","58","4","86","6","5","2","7","4","3",".335","6908"
"Johnny Giavotella","Royals (AA)","22","134","522","597","168","119","35","5","9","92","65","61","1","67","4","3","7","17","13","7",".322","6740"
"Corey Brown","Athletics (AA)","24","90","331","386","106","74","14","8","10","63","49","52","1","93","2","1","0","5","19","1",".320","2650"
"Tony Campana","Cubs (AA)","24","131","489","550","156","129","22","5","0","76","39","44","1","82","5","4","8","2","48","20",".319","4964"
"Matt Carpenter","Cardinals (AA)","24","105","396","472","125","84","26","3","12","76","53","64","4","88","4","4","4","12","11","2",".316","8090"
"Tagg Bozied","Phillies (AA)","30","104","355","410","112","55","29","1","27","65","92","47","1","85","6","2","0","12","1","3",".315","sa201378"
"Konrad Schmidt","Diamondbacks (AA)","25","107","394","440","124","80","30","3","11","48","65","32","10","63","8","6","0","10","7","3",".315","7178"
"Blake Lalli","Cubs (AA)","27","130","453","524","141","114","23","0","4","63","52","68","9","53","2","1","0","10","0","2",".311","9246"
"Vinny Rottino","Marlins (AA)","30","116","433","493","133","97","27","1","8","67","69","53","3","51","3","3","1","9","22","2",".307","5202"
"Willie Cabrera","Braves (AA)","23","99","366","407","112","69","37","1","5","48","56","29","1","36","9","3","0","14","13","6",".306","sa326105"
"Paulo Orlando","Royals (AA)","24","121","419","469","128","87","22","6","13","84","64","24","1","62","18","3","5","7","25","10",".305","8628"
"Hector Gimenez","Pirates (AA)","27","94","338","392","103","58","29","0","16","49","72","46","7","72","1","6","1","9","6","1",".305","2172"
"Ben Revere","Twins (AA)","22","94","361","406","110","95","10","4","1","44","23","32","1","41","8","3","2","2","36","13",".305","4712"
"Ollie Linton","Diamondbacks (AA)","24","125","398","483","121","101","12","5","3","60","38","63","3","100","11","3","8","1","22","16",".304","sa455265"
"Michael Spidale","Phillies (AA)","28","131","479","526","145","118","21","3","3","74","50","35","0","64","5","3","4","15","31","11",".303","sa199288"
"Jeremy Moore","Angels (AA)","23","128","456","508","138","101","14","10","13","72","61","39","2","122","3","5","5","7","24","10",".303","7307"
"Johan Limonta","Mariners (AA)","26","132","486","554","147","90","41","2","14","82","83","55","1","104","6","5","2","7","3","3",".302","sa328092"
"Ozzie Martinez","Marlins (AA)","22","130","516","587","156","119","28","4","5","90","54","49","0","64","9","2","11","10","13","9",".302","3900"
"Darin Mastroianni","Blue Jays (AA)","24","132","525","617","158","122","25","7","4","101","46","77","0","96","3","5","7","10","46","10",".301","7316"
"Josh Harrison","Pirates (AA)","22","135","520","585","156","116","33","3","4","74","75","32","2","52","9","10","14","15","19","7",".300","8202"
"John Drennen","Indians (AA)","23","119","440","486","132","93","26","6","7","44","58","33","4","56","7","5","1","11","2","3",".300","sa291168"
"Trayvon Robinson","Dodgers (AA)","22","120","434","523","130","93","23","5","9","80","57","73","2","125","5","3","8","5","38","15",".300","9875"
"J.B. Shuck","Astros (AA)","23","101","389","435","116","98","14","2","2","52","28","46","1","56","0","0","0","2","9","9",".298","6677"
"Ryan Adams","Orioles (AA)","23","134","530","594","158","100","43","0","15","81","68","47","4","121","12","5","0","16","2","3",".298","6343"
