"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Angel Salome","Brewers (AA)","22","98","367","412","132","87","30","2","13","67","83","33","2","57","5","5","1","13","3","2",".360","7536"
"Matt Miller","Rockies (AA)","25","106","407","461","140","109","21","0","10","72","87","44","2","45","4","6","0","13","4","2",".344","sa253307"
"Dexter Fowler","Rockies (AA)","22","108","421","505","141","92","31","9","9","92","64","65","4","89","8","3","8","6","20","8",".335","4062"
"Luis Montanez","Orioles (AA)","26","116","451","501","151","88","32","5","26","90","97","36","2","63","6","8","0","9","4","4",".335","2923"
"Mat Gamel","Brewers (AA)","22","127","508","572","167","106","35","7","19","96","96","55","5","111","4","5","0","8","6","7",".329","4034"
"Alcides Escobar","Brewers (AA)","21","131","546","597","179","142","24","5","8","95","76","31","0","82","3","7","10","10","34","8",".328","6310"
"Kyle Blanks","Padres (AA)","21","132","492","565","160","112","23","5","20","75","107","51","0","90","17","5","0","16","5","4",".325","49"
"Doug Deeds","Cubs (AA)","27","122","416","468","135","83","37","3","12","73","58","43","3","100","3","3","3","9","8","1",".325","sa202246"
"Ivan De Jesus Jr.","Dodgers (AA)","21","128","463","560","150","120","21","2","7","91","58","76","3","81","5","7","9","17","16","2",".324","9886"
"Tony Blanco","Rockies (AA)","26","103","390","442","126","69","34","0","23","59","88","31","2","74","13","7","0","10","6","2",".323","2522"
"Adam Moore","Mariners (AA)","24","119","429","490","137","87","34","2","14","60","71","40","0","77","16","2","3","16","0","1",".319","9362"
"Michael Brantley","Brewers (AA)","21","106","420","479","134","111","17","2","4","80","40","50","5","27","4","2","3","6","28","8",".319","4106"
"Manny Mayorson","Marlins (AA)","25","108","373","426","119","86","31","1","1","47","39","29","4","20","6","8","10","14","21","13",".319","sa199056"
"Drew Sutton","Astros (AA)","25","133","520","606","165","102","39","4","20","102","69","76","3","98","6","3","1","8","20","7",".317","7430"
"Aaron Cunningham","Athletics (AA)","22","87","347","401","110","74","18","6","12","65","52","38","1","92","5","6","5","3","12","4",".317","4087"
"Gaby Sanchez","Marlins (AA)","24","133","478","558","150","90","42","1","17","70","92","69","4","70","6","4","0","13","17","8",".314","3361"
"Lou Marson","Phillies (AA)","22","94","322","395","101","78","18","0","5","55","46","68","2","70","2","3","0","10","3","3",".314","7610"
"James Tomlin","Dodgers (AA)","25","108","383","434","120","85","31","2","2","59","35","36","2","47","5","1","9","5","14","6",".313","sa199272"
"John Raynor","Marlins (AA)","24","126","452","534","141","93","29","6","13","104","51","62","2","122","11","8","1","2","48","11",".312","9450"
"Daniel Murphy","Mets (AA)","23","95","357","407","110","70","26","1","13","56","67","39","7","46","3","7","1","10","14","5",".308","4316"
"Zach Daeges","Red Sox (AA)","24","108","394","476","121","78","34","3","6","63","63","72","5","72","3","7","0","18","3","2",".307","sa326803"
"Jake Fox","Cubs (AA)","25","105","388","459","119","64","29","1","25","76","79","46","2","73","17","8","0","7","4","2",".307","6267"
"Jason Donald","Phillies (AA)","23","92","362","414","111","74","19","4","14","57","54","47","1","86","4","1","0","9","11","2",".307","9331"
"Jon Jay","Cardinals (AA)","23","96","372","427","114","83","17","3","11","57","47","39","2","46","6","3","7","5","10","7",".306","5227"
"Will Rhymes","Tigers (AA)","25","131","516","577","158","127","21","7","3","76","60","44","2","66","3","3","10","5","17","6",".306","9802"
"Allen Craig","Cardinals (AA)","23","129","506","568","154","102","30","0","22","84","85","48","1","87","10","4","0","16","2","1",".304","3433"
"Mark Shorey","Cardinals (AA)","23","114","388","432","118","77","28","2","11","49","66","29","2","110","5","8","2","6","1","0",".304","sa327078"
"Bryan Byrne","Diamondbacks (AA)","24","121","416","491","126","90","27","0","9","64","54","66","0","70","7","2","0","7","1","3",".303","sa291107"
"Jeff Frazier","Tigers (AA)","25","116","446","484","135","106","22","1","6","55","55","31","1","51","3","3","1","15","1","1",".303","8056"
"Wilkin Ramirez","Tigers (AA)","22","110","433","482","131","81","24","7","19","74","73","43","1","138","5","1","0","3","26","12",".303","5219"
"Scott Campbell","Blue Jays (AA)","23","112","417","492","126","94","21","2","9","70","46","66","5","63","2","2","0","7","2","6",".302","sa327112"
"Irving Falu","Royals (AA)","25","101","362","405","109","91","11","2","5","57","42","38","0","31","0","1","4","7","11","9",".301","6165"
"Chris Valaika","Reds (AA)","22","97","379","417","114","83","19","1","11","58","50","28","0","74","3","2","5","8","7","4",".301","1165"
"Steve Tolleson","Twins (AA)","24","93","343","397","103","65","28","1","9","54","50","44","1","74","3","3","4","6","12","6",".300","4450"
"Ben Harrison","Rangers (AA)","26","91","340","392","102","62","23","0","17","66","66","42","2","99","7","3","0","11","18","2",".300","sa254458"
"Nate Spears","Cubs (AA)","23","115","384","473","115","81","22","5","7","71","51","58","3","72","6","6","19","3","6","5",".299","6026"
"Mike Carp","Mets (AA)","22","134","478","566","143","96","29","1","17","67","72","79","5","88","6","3","0","14","1","2",".299","7480"
"Eric Eymann","Reds (AA)","24","125","445","485","133","91","31","3","8","62","71","25","4","65","6","3","6","8","5","4",".299","sa294202"
"Miguel Negron","White Sox (AA)","25","126","479","551","143","114","17","5","7","72","57","63","3","60","2","2","5","8","25","16",".299","sa199057"
"Chris Coghlan","Marlins (AA)","23","132","483","565","144","100","32","5","7","83","74","67","1","65","12","1","2","9","34","10",".298","6878"
"Jeremy Slayden","Phillies (AA)","25","131","483","552","144","92","33","2","17","72","81","54","2","105","10","4","0","21","2","6",".298","sa294415"
"Eddy Martinez-Esteve","Giants (AA)","24","115","396","455","118","97","15","0","6","42","42","54","1","37","4","1","0","18","2","1",".298","sa262156"
"Olmo Rosario","Giants (AA)","27","124","420","450","125","79","31","4","11","58","51","20","4","67","4","4","2","9","13","5",".298","sa202325"
"Johan Limonta","Mariners (AA)","24","98","361","404","107","59","32","6","10","51","59","37","2","87","4","2","0","6","3","2",".296","sa328092"
"Juan Richardson","Royals (AA)","29","133","494","559","146","92","36","2","16","90","82","54","2","93","7","4","0","17","2","5",".296","sa198315"
"Yunesky Sanchez","Diamondbacks (AA)","24","122","494","523","146","123","20","3","0","61","22","23","2","41","5","0","1","14","8","13",".296","sa381319"
"Edwar Gonzalez","Yankees (AA)","25","104","396","426","117","72","31","0","14","58","67","20","4","74","5","5","0","14","8","5",".295","sa202414"
"Chris Nowak","Rays (AA)","25","122","461","535","136","82","35","4","15","80","77","55","1","78","13","6","0","22","6","5",".295","sa253288"
"Elvis Andrus","Rangers (AA)","19","118","482","535","142","117","19","2","4","82","65","38","0","91","6","6","3","17","54","16",".295","8709"
"Jason Delaney","Pirates (AA)","25","109","367","444","107","76","21","3","7","42","43","68","3","77","4","5","0","11","7","2",".292","sa291783"
"Chris Malec","Yankees (AA)","25","119","405","487","118","82","28","3","5","65","52","68","3","57","12","2","0","17","0","2",".291","sa292721"
"Marshall Hubbard","Mariners (AA)","26","91","309","379","90","51","24","3","12","54","52","56","2","63","8","5","1","6","2","4",".291","sa254467"
"Corey Wimberly","Rockies (AA)","24","108","388","449","113","94","17","2","0","65","26","41","1","45","9","2","9","2","59","16",".291","sa290201"
"Eric Young Jr.","Rockies (AA)","23","105","403","476","117","86","24","4","3","74","33","61","1","77","6","0","6","6","46","16",".290","7158"
"Dustin Martin","Twins (AA)","24","133","510","573","148","96","34","8","10","68","72","49","4","125","5","5","4","8","22","11",".290","sa328277"
"Wes Hodges","Indians (AA)","23","133","504","574","146","96","29","3","18","70","97","52","4","105","5","12","0","17","3","1",".290","sa326543"
"Rashad Eldridge","Rays (AA)","26","118","435","515","126","96","19","6","5","70","55","64","2","88","6","2","8","11","24","10",".290","sa199160"
"Stephen Head","Indians (AA)","24","106","404","434","117","78","24","2","13","50","49","24","1","75","0","6","0","12","1","1",".290","sa294361"
"Matt Young","Braves (AA)","25","135","491","577","142","112","16","11","3","74","50","68","0","62","9","2","7","10","30","12",".289","8989"
"Javier Castillo","White Sox (AA)","24","102","388","435","112","75","20","9","8","60","58","42","1","85","0","5","0","12","3","0",".289","sa254672"
"Ryan Roberson","Tigers (AA)","24","117","440","485","127","82","19","1","25","75","86","34","0","120","7","4","0","8","7","4",".289","sa294015"
"Jeff Kindel","Rockies (AA)","25","133","506","570","146","109","25","1","11","60","73","53","1","94","5","4","2","10","4","2",".289","sa327780"
"Jonel Pacheco","Pirates (AA)","25","116","416","465","120","91","17","0","12","64","52","42","4","82","4","2","1","15","11","4",".288","sa293568"
"Drew Macias","Padres (AA)","25","136","504","603","145","103","27","4","11","92","66","83","1","81","8","5","3","14","18","6",".288","5451"
"Fernando Martinez","Mets (AA)","19","86","352","385","101","70","19","4","8","48","43","27","2","73","3","3","0","9","6","2",".287","9210"
"Ricardo Nanita","White Sox (AA)","27","111","412","464","118","85","22","2","9","52","51","37","0","56","5","2","8","13","14","9",".286","sa225794"
"Dustin Majewski","Rangers (AA)","26","125","430","519","123","77","32","4","10","70","72","82","2","82","4","3","0","8","8","6",".286","sa226256"
"Melvin Dorta","Pirates (AA)","26","116","403","454","115","86","17","5","7","44","43","31","0","43","4","2","13","9","18","14",".285","2562"
"Sean Henry","Reds (AA)","22","113","396","454","113","74","22","6","11","66","62","42","1","75","8","5","3","12","16","7",".285","sa254577"
"J.C. Holt","Braves (AA)","25","96","393","439","112","83","17","9","3","54","45","39","1","68","2","2","3","7","22","11",".285","sa254695"
"Austin Jackson","Yankees (AA)","21","131","520","584","148","101","33","5","9","75","69","56","3","113","2","4","2","9","19","6",".285","9848"
"Blake Davis","Orioles (AA)","24","132","457","497","130","97","22","7","4","57","53","26","0","80","3","4","7","10","8","7",".284","5812"
"Nolan Reimold","Orioles (AA)","24","139","507","586","144","87","29","3","25","87","84","63","1","82","8","8","0","9","7","3",".284","3441"
"Chad Huffman","Padres (AA)","23","119","437","517","124","84","30","1","9","68","58","67","0","83","7","6","0","12","1","1",".284","5311"
"Tonys Gutierrez","Reds (AA)","24","127","414","501","117","86","23","1","7","71","60","68","3","75","12","4","3","8","8","12",".283","sa244174"
"Marc Maddox","Royals (AA)","24","127","453","518","128","94","30","0","4","69","30","48","0","73","10","2","5","14","15","12",".283","sa327057"
"Craig Cooper","Padres (AA)","23","121","408","461","115","81","24","3","7","46","55","42","0","87","6","4","1","10","5","3",".282","sa326841"
"Greg Golson","Phillies (AA)","22","106","426","470","120","85","18","4","13","64","60","34","0","130","1","5","4","3","23","5",".282","8074"
"Ole Sheldon","Astros (AA)","25","114","373","442","105","75","15","2","13","60","55","58","1","71","6","4","1","14","3","1",".282","sa253740"
"Cole Gillespie","Brewers (AA)","24","131","462","550","130","74","38","4","14","73","79","75","1","102","6","4","3","10","17","1",".281","5888"
"Caleb Stewart","Mets (AA)","26","112","394","455","110","66","29","2","13","57","57","49","1","69","7","5","0","8","7","2",".279","sa253923"
"Matt LaPorta","- - -","23","101","362","433","101","53","24","2","22","62","74","49","4","75","17","5","0","10","2","1",".279","2280"
"Tommy Everidge","Athletics (AA)","25","136","531","607","148","92","34","0","22","89","115","55","2","133","7","14","0","16","0","0",".279","7596"
"Jamie Hoffmann","Dodgers (AA)","23","133","478","544","133","100","20","3","10","64","71","54","3","73","2","6","4","9","28","9",".278","6461"
"Jonny Tucker","Orioles (AA)","24","118","418","477","116","78","27","4","7","74","47","49","0","64","4","2","4","11","8","7",".278","sa254902"
"P.J. Pilittere","Yankees (AA)","26","97","364","392","101","82","15","1","3","46","48","20","1","32","3","4","1","14","0","1",".277","sa262169"
"Ofilio Castro","Nationals (AA)","24","108","375","407","104","75","24","1","4","45","37","27","1","39","1","0","4","13","0","2",".277","sa244234"
"Cameron Maybin","Marlins (AA)","21","108","390","459","108","72","15","8","13","73","49","60","1","124","3","3","3","4","21","7",".277","5223"
"Danny Dorn","Reds (AA)","23","98","336","388","93","49","21","2","21","64","60","42","2","84","7","2","1","9","1","0",".277","1050"
"Erik Lis","Twins (AA)","24","105","405","437","112","62","36","3","11","49","51","27","1","93","0","5","0","9","1","1",".277","sa290214"
"Nate Sutton","Angels (AA)","25","118","453","491","125","100","12","6","7","58","44","27","2","68","2","3","6","8","19","10",".276","sa254157"
"Gabriel Martinez","Rays (AA)","25","133","511","568","141","92","29","0","20","69","93","49","3","107","5","3","0","12","0","0",".276","sa201781"
"Mike Wilson","Mariners (AA)","25","119","406","485","112","57","26","2","27","76","84","62","2","117","14","2","1","11","9","0",".276","3806"
"Aaron Bates","Red Sox (AA)","24","124","457","530","126","84","29","2","11","61","68","50","2","114","18","5","0","13","0","0",".276","2777"
"Neil Sellers","Phillies (AA)","26","134","483","539","133","82","31","1","19","64","78","46","2","81","3","5","2","14","3","5",".275","sa253773"
"Anthony Recker","Athletics (AA)","24","117","430","482","118","74","29","4","11","57","64","43","0","140","5","2","2","11","1","2",".274","4063"
"Kala Ka'aihue","Braves (AA)","23","126","376","475","103","64","23","2","14","63","61","88","2","119","7","4","0","8","0","4",".274","sa244055"
"Rusty Ryal","Diamondbacks (AA)","25","128","460","509","126","84","22","4","16","65","66","35","2","96","9","5","0","7","4","4",".274","9698"
"Reegie Corona","Yankees (AA)","21","129","457","520","125","92","27","3","3","72","39","51","2","78","1","4","7","5","24","4",".274","sa254678"
"Andrew Pinckney","- - -","26","115","406","444","111","72","28","2","9","50","50","29","0","95","2","4","2","8","2","3",".273","sa253714"
"Daniel Carte","Rockies (AA)","24","112","422","459","115","89","16","0","10","53","59","22","1","113","7","4","4","12","4","8",".273","sa294216"
"Victor Mercedes","White Sox (AA)","29","104","416","445","113","69","29","3","12","57","59","16","1","75","3","2","7","10","11","10",".272","sa200069"
"Jose Tabata","- - -","19","101","383","429","104","81","15","2","6","56","49","34","0","67","7","4","1","18","18","2",".272","2411"
"Sam Fuld","Cubs (AA)","26","85","339","397","92","68","16","3","5","48","48","50","2","40","3","4","1","9","7","8",".271","8254"
"Corey Smith","Angels (AA)","26","128","495","537","134","76","31","1","26","58","80","28","1","96","10","2","0","14","15","7",".271","sa3000030"
"Bronson Sardinha","Indians (AA)","25","88","340","387","92","65","17","4","6","45","46","39","3","66","2","4","2","13","3","2",".271","3585"
"Rhyne Hughes","Rays (AA)","24","107","395","450","106","64","27","1","14","57","52","46","1","112","8","1","0","8","2","1",".268","9955"
"Eli Iorg","Astros (AA)","25","127","459","494","123","86","21","5","11","53","59","23","1","112","5","4","2","12","21","9",".268","sa291170"
"Matthew Whitney","Indians (AA)","24","129","463","531","124","83","29","2","10","57","58","59","1","93","6","3","0","15","0","0",".268","sa201513"
"Greg Creek","Braves (AA)","25","119","351","402","94","61","20","7","6","49","55","42","1","74","7","2","0","4","0","3",".268","sa295638"
"Ramiro Pena","Yankees (AA)","22","111","443","506","118","89","20","7","2","57","45","41","1","86","4","6","12","7","8","6",".266","8841"
"Shane Justis","Dodgers (AA)","25","117","338","390","90","69","17","2","2","47","37","40","2","48","8","1","3","10","9","8",".266","sa293207"
"Sean Kazmar","Padres (AA)","23","111","382","433","101","74","21","3","3","53","39","38","0","66","3","4","6","14","7","4",".264","7349"
"Luis Alfonso Cruz","Pirates (AA)","24","105","375","406","99","68","24","1","6","41","46","19","0","34","4","4","4","7","3","3",".264","3188"
"Russell Mitchell","Dodgers (AA)","23","133","485","542","128","86","22","4","16","65","75","42","4","95","4","8","3","16","8","4",".264","5848"
