"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"James Loney","Dodgers (AAA)","22","98","366","406","139","96","33","2","8","64","67","32","7","34","2","6","0","11","9","5",".380","4556"
"Norris Hopper","Reds (AAA)","27","98","383","410","133","119","11","3","0","47","26","20","0","25","0","2","5","7","25","7",".347","2450"
"Alberto Callaspo","Diamondbacks (AAA)","23","114","490","554","165","122","24","12","7","93","68","56","3","27","2","4","2","5","8","5",".337","3336"
"Mike Kinkade","Marlins (AAA)","33","106","381","436","125","92","26","3","4","59","50","29","3","56","22","3","1","14","6","5",".328","660"
"Reggie Willits","Angels (AAA)","25","97","352","437","115","90","18","4","3","85","39","77","2","50","2","2","4","5","31","15",".327","5590"
"Carlos Rivera","Rockies (AAA)","28","120","421","451","137","102","25","1","9","54","70","18","1","51","6","5","0","15","3","2",".325","1749"
"Scott Hairston","Diamondbacks (AAA)","26","98","381","440","123","74","22","1","26","83","81","52","2","78","4","3","0","3","3","0",".323","1926"
"Shin-Soo Choo","Mariners (AAA)","23","94","375","427","121","84","21","3","13","71","48","45","3","73","2","4","1","1","26","4",".323","3174"
"Jeff Keppinger","- - -","26","119","450","509","142","118","19","1","4","57","43","40","0","30","0","4","14","12","0","4",".316","3856"
"Joe McEwing","Astros (AAA)","33","112","422","460","133","101","21","1","10","64","46","23","1","65","3","5","7","5","16","7",".315","887"
"Chad Allen","Royals (AAA)","31","105","417","450","131","87","26","4","14","39","78","32","5","60","1","0","0","13","1","4",".314","122"
"Vinny Rottino","Brewers (AAA)","26","117","398","452","125","91","25","2","7","55","42","40","2","74","5","5","4","9","12","7",".314","5202"
"Greg Dobbs","Mariners (AAA)","27","99","379","421","119","88","19","3","9","60","55","37","5","58","2","3","0","10","14","5",".314","2158"
"Mike Eylward","Angels (AAA)","26","109","405","461","127","97","22","0","8","57","63","43","2","60","9","3","1","12","1","6",".314","sa200210"
"Terrmel Sledge","Padres (AAA)","29","101","367","434","114","67","18","5","24","69","73","59","0","75","1","6","1","9","5","3",".311","1878"
"Kerry Robinson","Royals (AAA)","32","100","396","437","123","94","24","3","2","68","40","33","0","36","4","0","4","10","17","14",".311","1179"
"Paul McAnulty","Padres (AAA)","25","125","478","552","148","90","34","5","19","76","79","62","2","79","4","8","0","14","1","2",".310","4409"
"Josh Phelps","Tigers (AAA)","28","126","464","522","143","90","26","3","24","60","90","38","2","124","12","7","1","10","6","1",".308","1318"
"Carlos Ruiz","Phillies (AAA)","27","100","368","423","113","72","25","0","16","56","69","42","6","56","9","3","1","13","4","3",".307","2579"
"Skip Schumaker","Cardinals (AAA)","26","95","369","403","113","94","13","3","3","47","27","23","1","48","3","4","4","12","11","4",".306","3704"
"Josh Fields","White Sox (AAA)","23","124","462","526","141","86","32","4","19","85","70","54","2","136","3","3","4","8","28","5",".305","7490"
"Jeff Baker","Rockies (AAA)","25","128","482","538","147","93","30","4","20","71","108","46","2","110","5","4","1","14","7","1",".305","2073"
"Dustin Pedroia","Red Sox (AAA)","22","111","423","493","129","91","30","3","5","55","50","48","0","27","9","4","9","9","1","4",".305","8370"
"Eric Reed","Marlins (AAA)","25","95","390","420","118","84","20","9","5","68","39","24","1","94","2","3","1","7","20","9",".303","4439"
"Nelson Cruz","Brewers (AAA)","25","104","371","423","112","69","22","1","20","68","73","42","2","100","6","4","0","6","17","6",".302","2434"
"Chris Carter","Diamondbacks (AAA)","23","136","509","588","153","101","30","3","19","87","97","78","4","69","1","0","0","14","10","4",".301","7707"
"Chris Barnwell","Brewers (AAA)","27","106","383","440","115","91","18","2","4","46","37","38","1","60","10","4","5","11","16","6",".300","3499"
"Ernie Young","White Sox (AAA)","36","105","350","417","105","66","26","0","13","52","68","55","2","85","9","3","0","15","2","2",".300","79"
"Tony Gwynn Jr.","Brewers (AAA)","23","112","447","494","134","104","21","5","4","73","42","42","1","84","2","3","0","7","30","11",".300","6141"
"Brendan Harris","- - -","25","102","367","422","110","71","28","1","10","59","60","40","3","85","10","3","2","9","5","2",".300","2178"
"Royce Huffman","Astros (AAA)","29","98","351","412","105","68","25","2","10","62","59","50","0","73","8","3","0","9","3","2",".299","sa198113"
"Josh Rabe","Twins (AAA)","27","93","355","398","106","79","20","1","6","51","47","35","1","37","3","5","0","5","7","4",".299","3007"
"Brian Barden","Diamondbacks (AAA)","25","128","494","550","147","93","35","3","16","80","96","44","2","92","7","3","2","11","1","3",".298","4429"
"Wilson Valdez","Dodgers (AAA)","28","137","528","599","157","126","24","1","6","94","53","56","1","52","1","0","14","8","26","17",".297","1863"
"Ryan Sweeney","White Sox (AAA)","21","118","449","492","133","92","25","3","13","64","70","35","5","73","3","2","3","9","7","7",".296","6352"
"Mike Fontenot","Cubs (AAA)","26","111","362","418","107","69","28","2","8","54","36","47","2","64","2","5","2","4","5","4",".296","3912"
"Michael Restovich","Cubs (AAA)","27","120","443","506","130","70","29","4","27","75","85","52","6","121","7","4","0","9","2","1",".293","751"
"Shawn Riggans","Devil Rays (AAA)","25","115","417","453","122","83","26","2","11","43","54","27","1","88","5","2","2","11","2","2",".293","3393"
"Jack Cust","Padres (AAA)","27","138","441","591","129","76","23","0","30","97","77","143","0","124","4","3","0","10","0","3",".293","1564"
"Darnell McDonald","Devil Rays (AAA)","27","136","538","596","157","109","33","1","14","80","57","47","3","115","4","3","4","10","30","12",".292","1867"
"Bobby Scales","Phillies (AAA)","28","105","357","416","104","68","22","7","7","46","44","44","3","100","3","5","6","3","3","3",".291","2673"
"Kevin Witt","Devil Rays (AAA)","30","128","485","542","141","75","29","1","36","82","99","50","8","132","4","3","0","14","0","0",".291","362"
