"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"David Cooper","Blue Jays (AAA)","24","120","467","545","170","109","51","1","9","77","96","67","6","43","2","9","0","14","1","3",".364","7752"
"Collin Cowgill","Diamondbacks (AAA)","25","98","395","456","140","95","24","8","13","95","70","51","0","63","2","1","7","9","30","3",".354","7250"
"Johnny Giavotella","Royals (AAA)","23","110","453","503","153","108","34","2","9","67","72","40","1","57","2","5","3","8","9","5",".338","6740"
"Taylor Green","Brewers (AAA)","24","120","420","487","141","82","36","1","22","74","88","55","2","72","4","5","3","11","1","0",".336","9147"
"Anthony Rizzo","Padres (AAA)","21","93","356","413","118","57","34","1","26","64","101","43","5","89","6","8","0","4","7","6",".331","3473"
"Bryan LaHair","Cubs (AAA)","28","129","456","523","151","75","38","0","38","91","109","60","9","111","1","6","0","14","2","0",".331","5462"
"Gil Velazquez","Angels (AAA)","31","123","427","494","140","102","25","5","8","78","58","49","2","60","4","4","10","12","17","6",".328","2070"
"Clint Robinson","Royals (AAA)","26","134","503","572","164","106","35","0","23","86","100","58","5","88","6","4","1","18","2","1",".326","6908"
"Alejandro De Aza","White Sox (AAA)","27","99","385","435","124","81","29","5","9","64","37","33","2","72","4","4","9","8","22","11",".322","3371"
"Joey Butler","Rangers (AAA)","25","113","426","474","137","93","27","5","12","73","57","43","2","138","4","1","0","9","13","4",".322","7799"
"Johan Limonta","Mariners (AAA)","27","108","407","460","130","95","20","1","14","58","84","44","1","75","0","5","4","8","3","3",".319","sa328092"
"Jeremy Hermida","Reds (AAA)","27","105","395","450","126","80","28","1","17","67","55","46","3","97","8","1","0","3","3","0",".319","7208"
"David Lough","Royals (AAA)","25","114","456","516","145","99","26","11","9","87","65","36","3","49","4","8","12","10","14","8",".318","7215"
"Cody Ransom","Diamondbacks (AAA)","35","101","372","432","118","59","29","3","27","86","92","55","1","94","2","3","0","7","10","3",".317","1126"
"Efren Navarro","Angels (AAA)","25","133","492","547","156","102","36","6","12","76","73","42","1","78","2","7","4","10","5","5",".317","9854"
"Aaron Bates","Twins (AAA)","27","106","358","420","113","83","23","0","7","57","37","53","2","90","5","3","1","10","1","1",".316","2777"
"Edgar Gonzalez","Giants (AAA)","33","137","505","564","159","115","30","0","14","69","82","51","0","73","3","5","0","12","14","6",".315","2963"
"Russ Canzler","Rays (AAA)","25","131","474","550","149","87","40","4","18","78","83","67","0","129","4","4","0","10","5","2",".314","8265"
"Adrian Cardenas","Athletics (AAA)","23","127","491","545","154","117","28","4","5","70","51","47","1","56","2","3","2","10","13","6",".314","9514"
"Lorenzo Cain","Royals (AAA)","25","128","487","549","152","101","28","7","16","84","81","40","0","102","15","3","4","9","16","6",".312","9077"
"Brandon Guyer","Rays (AAA)","25","107","388","443","121","73","29","5","14","78","61","35","1","79","12","2","6","8","16","6",".312","2636"
"Brett Pill","Giants (AAA)","26","133","536","576","167","103","36","3","25","82","107","25","1","54","4","9","2","16","6","6",".312","5834"
"Ryan Langerhans","- - -","31","95","344","426","107","63","20","2","22","69","60","76","3","94","3","3","0","6","11","7",".311","98"
"Paul McAnulty","Angels (AAA)","30","118","444","495","138","78","41","0","19","67","79","42","2","92","3","5","1","8","5","3",".311","4409"
"Jordan Brown","- - -","27","120","425","460","132","89","31","1","11","60","64","23","3","47","3","6","3","10","2","0",".311","4121"
"Mat Gamel","Brewers (AAA)","25","128","493","545","153","96","29","0","28","90","96","46","6","84","4","2","0","16","2","0",".310","4034"
"Ivan De Jesus Jr.","Dodgers (AAA)","24","100","387","443","120","91","19","2","8","61","59","45","0","68","6","2","3","19","4","1",".310","9886"
"Matt Hague","Pirates (AAA)","25","141","534","594","165","113","37","3","12","70","75","47","4","68","9","4","0","12","4","3",".309","7772"
"Caleb Gindl","Brewers (AAA)","22","126","472","538","145","102","23","5","15","84","60","63","2","93","1","0","2","10","6","5",".307","5002"
"John Bowker","Pirates (AAA)","27","106","421","451","129","86","27","1","15","56","76","27","1","73","1","2","0","10","2","3",".306","8276"
"Will Rhymes","Tigers (AAA)","28","104","405","464","124","100","17","4","3","57","24","46","1","46","2","3","8","7","13","8",".306","9802"
"Adam Loewen","Blue Jays (AAA)","27","134","520","585","159","92","46","4","17","83","85","61","2","136","0","3","1","10","11","7",".306","2134"
"Timo Perez","Tigers (AAA)","36","122","473","517","144","106","32","0","6","43","50","29","1","41","2","4","9","19","16","2",".304","891"
"Mauro Gomez","Braves (AAA)","26","135","506","557","154","94","34","2","24","76","90","38","6","131","6","6","1","15","6","2",".304","5342"
"Vinny Rottino","Marlins (AAA)","31","119","467","524","142","99","31","2","10","81","59","50","2","62","3","1","3","14","17","9",".304","5202"
"Jeff Baisley","Angels (AAA)","28","134","538","589","163","109","31","3","20","85","100","38","3","85","8","5","0","8","5","1",".303","9684"
"Luis Valbuena","Indians (AAA)","25","113","420","472","127","88","22","0","17","64","75","46","1","96","2","3","1","8","6","3",".302","4969"
"Willy Taveras","Rockies (AAA)","29","97","391","424","118","86","17","5","10","67","44","21","1","51","1","4","7","3","13","4",".302","1876"
"Irving Falu","Royals (AAA)","28","111","385","437","116","95","10","9","2","50","47","35","3","47","1","4","12","11","21","11",".301","6165"
"Esteban German","Rangers (AAA)","33","123","508","586","153","114","29","3","7","94","56","72","0","58","1","2","3","16","44","9",".301","1449"
"Joe Thurston","Marlins (AAA)","31","126","453","526","136","86","34","3","13","68","59","48","2","78","17","0","8","7","12","4",".300","673"
"Chris Marrero","Nationals (AAA)","22","127","483","546","145","101","30","0","14","59","69","58","2","97","2","3","0","14","3","2",".300","2852"
"Anderson Hernandez","Astros (AAA)","28","136","510","574","153","118","25","4","6","74","52","53","1","77","2","4","4","10","21","12",".300","3366"
"Cole Gillespie","Diamondbacks (AAA)","27","137","484","583","145","98","19","16","12","100","79","81","2","91","10","7","0","14","24","5",".300","5888"
"Matt Carpenter","Cardinals (AAA)","25","130","434","535","130","86","29","3","12","61","70","84","1","68","8","6","3","12","5","4",".300","8090"
"Brandon Allen","- - -","25","93","344","419","103","54","23","5","21","79","72","66","1","101","4","5","0","7","7","4",".299","7436"
"Mike Jacobs","Rockies (AAA)","30","117","429","495","128","74","30","1","23","70","97","58","2","105","0","8","0","9","3","3",".298","2231"
"Jeremy Moore","Angels (AAA)","24","113","426","460","127","70","24","18","15","76","66","21","0","114","3","6","4","6","21","10",".298","7307"
"Mike Cervenak","Marlins (AAA)","34","123","406","451","121","82","24","1","14","66","68","36","3","51","6","2","1","13","4","3",".298","3133"
"Jamie Hoffmann","Dodgers (AAA)","26","133","475","533","141","93","23","3","22","91","84","44","1","102","5","9","0","11","14","4",".297","6461"
"Conor Gillaspie","Giants (AAA)","23","124","428","503","127","88","22","6","11","63","61","66","0","79","1","4","4","11","9","9",".297","9009"
"J.B. Shuck","Astros (AAA)","24","108","354","419","105","87","11","7","0","60","30","56","1","30","4","1","4","6","20","11",".297","6677"
"Dayan Viciedo","White Sox (AAA)","22","119","452","505","134","86","28","0","20","60","78","45","6","83","5","3","0","10","2","1",".296","3917"
"Chris Woodward","Blue Jays (AAA)","35","108","422","469","125","78","32","2","13","67","65","39","0","70","1","6","1","12","4","2",".296","1329"
"Yonder Alonso","Reds (AAA)","24","91","358","409","106","66","24","4","12","46","56","46","6","60","1","4","0","13","6","5",".296","2530"
"Lastings Milledge","White Sox (AAA)","26","123","444","505","131","93","23","3","12","61","47","43","1","63","6","2","10","15","27","6",".295","6441"
"Scott Moore","Cubs (AAA)","27","123","363","425","107","75","19","4","9","60","53","48","0","79","6","7","1","6","3","1",".295","4390"
"Luis Figueroa","- - -","37","110","398","442","117","91","23","2","1","55","30","36","1","41","1","4","3","6","1","5",".294","776"
"Cord Phelps","Indians (AAA)","24","97","378","434","111","68","25","4","14","51","63","51","1","89","1","4","0","10","3","6",".294","8631"
