"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Dustin Martin","Twins (AAA)","25","124","422","470","107","81","16","5","5","58","53","39","5","92","4","5","0","5","26","8",".254","sa328277"
"Angel Chavez","Red Sox (AAA)","27","127","442","464","112","85","23","0","4","41","39","18","0","48","1","3","0","12","3","2",".253","2224"
"Jason Lane","Blue Jays (AAA)","32","113","411","479","104","47","41","3","13","65","47","58","1","70","4","5","1","5","4","2",".253","1397"
"Nate Spears","Cubs (AAA)","24","128","368","411","93","67","20","4","2","48","37","35","1","43","2","2","4","8","6","5",".253","6026"
"Justin Ruggiano","Rays (AAA)","27","123","471","532","119","75","28","1","15","71","72","51","2","147","5","4","1","11","23","4",".253","7620"
"Daryle Ward","- - -","34","99","341","392","86","60","13","0","13","41","49","43","2","69","3","5","0","15","2","1",".252","579"
"Kila Ka'aihue","Royals (AAA)","25","131","441","555","111","66","27","1","17","83","57","102","6","85","4","7","1","11","0","1",".252","4707"
"J.R. House","Royals (AAA)","29","127","505","544","127","94","24","0","9","58","53","33","0","57","1","3","2","20","0","0",".251","992"
"John Lindsey","Marlins (AAA)","32","133","443","502","111","69","22","1","19","53","83","38","2","112","17","4","0","20","1","2",".251","2279"
"Ray Olmedo","Rays (AAA)","28","115","412","450","103","82","13","2","6","40","47","20","2","73","4","2","12","11","8","7",".250","1718"
"Clay Timpner","Giants (AAA)","26","119","392","434","98","67","20","4","7","46","42","32","1","50","3","3","4","11","6","6",".250","7333"
"Jeff Baisley","Athletics (AAA)","26","98","355","391","88","57","21","1","9","44","38","26","3","82","5","3","2","8","2","0",".248","9684"
"Valentino Pascucci","- - -","30","126","436","511","108","62","25","2","19","62","77","66","3","119","4","5","0","11","3","0",".248","1915"
"Javier Castillo","- - -","25","125","442","474","109","74","25","3","7","40","39","28","1","87","3","1","0","12","1","2",".247","sa254672"
"John Gall","Astros (AAA)","31","125","398","445","98","70","19","0","9","34","45","41","2","67","3","3","0","18","4","4",".246","2142"
