"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Jon Kemmer","Astros (AA)","24","425","10.6 %","20.9 %","0.51",".327",".414",".574",".988",".247","6.0",".387","1.0","86","36.4",".438","174","sa738208"
"Max Kepler","Twins (AA)","22","482","13.9 %","13.1 %","1.06",".322",".416",".531",".947",".209","7.2",".359","1.8","89","35.7",".429","167","12144"
"Colin Walsh","Athletics (AA)","25","619","20.0 %","21.2 %","0.95",".302",".447",".470",".918",".168","4.8",".390","-0.2","117","45.2",".421","163","10961"
"Willson Contreras","Cubs (AA)","23","521","10.9 %","11.9 %","0.92",".333",".413",".478",".891",".145","3.7",".370","-1.0","91","32.7",".413","156","11609"
"Cameron Seitzer","Rays (AA)","25","436","10.6 %","19.3 %","0.55",".308",".383",".475",".858",".167","2.1",".364","-1.0","70","21.4",".395","144","sa578022"
"Brock Stassi","Phillies (AA)","25","554","13.9 %","11.4 %","1.22",".300",".394",".470",".863",".170","2.9",".314","-0.3","90","29.6",".390","149","12244"
"Josh Rodriguez","Mets (AA)","30","474","11.4 %","18.4 %","0.62",".282",".367",".493",".860",".211","5.5",".313","1.3","76","24.6",".387","147","5716"
"Jesse Winker","Reds (AA)","21","526","14.1 %","15.8 %","0.89",".282",".390",".433",".823",".151","3.9",".320","-0.2","80","21.5",".384","137","13590"
"Christian Marrero","White Sox (AA)","28","543","14.4 %","14.2 %","1.01",".282",".390",".431",".821",".149","3.5",".311","-0.6","83","22.2",".384","137","sa326115"
"Yandy Diaz","Indians (AA)","23","564","13.8 %","11.5 %","1.20",".315",".412",".408",".819",".092","3.9",".350","-1.3","88","26.6",".381","143","16578"
"Colin Moran","Astros (AA)","22","417","10.3 %","18.9 %","0.54",".306",".381",".459",".840",".153","3.0",".365","-0.2","66","17.3",".381","136","16909"
"Nick Williams","- - -","21","515","6.8 %","18.8 %","0.36",".303",".354",".491",".845",".187","6.0",".351","-1.0","81","21.7",".380","137","14330"
"Chad Pinder","Athletics (AA)","23","522","5.4 %","19.7 %","0.27",".317",".361",".486",".847",".170","4.0",".374","-1.1","82","21.4",".380","135","15191"
"Quincy Latimore","Orioles (AA)","26","486","7.8 %","21.6 %","0.36",".274",".335",".509",".844",".235","5.9",".318","-0.4","75","22.0",".378","141","sa389676"
"Matt Olson","Athletics (AA)","21","585","17.9 %","23.8 %","0.76",".249",".388",".438",".826",".189","3.1",".311","0.1","90","22.0",".376","132","14344"
"David Adams","Marlins (AA)","28","443","14.2 %","12.0 %","1.19",".294",".399",".391",".790",".097","3.3",".327","-0.4","65","15.2",".375","131","7389"
"Gavin Cecchini","Mets (AA)","21","485","8.7 %","11.3 %","0.76",".317",".377",".442",".819",".125","3.9",".348","-1.1","74","20.6",".375","139","17005"
"Lane Adams","Royals (AA)","25","414","8.7 %","23.7 %","0.37",".298",".360",".466",".826",".169","6.9",".372","3.0","63","14.7",".373","131","10767"
"Michael Reed","Brewers (AA)","22","377","14.1 %","21.2 %","0.66",".278",".379",".422",".801",".144","7.0",".347","2.1","54","12.1",".372","129","13228"
"Adam Frazier","Pirates (AA)","23","423","8.0 %","9.9 %","0.81",".324",".384",".416",".801",".093","5.4",".360","-0.6","62","16.1",".369","135","15223"
"Drew Robinson","Rangers (AA)","23","519","16.0 %","26.8 %","0.60",".231",".360",".454",".814",".222","6.0",".290","-0.9","77","16.5",".368","127","11761"
"Orlando Arcia","Brewers (AA)","20","552","5.4 %","13.2 %","0.41",".307",".347",".453",".800",".146","7.0",".343","1.7","77","15.7",".367","126","13185"
"Bryson Myles","Indians (AA)","25","433","10.6 %","19.6 %","0.54",".268",".367",".433",".800",".164","6.8",".322","1.1","63","15.9",".367","134","sa597971"
"Adam Brett Walker","Twins (AA)","23","560","9.1 %","34.8 %","0.26",".239",".309",".498",".807",".259","5.6",".317","0.9","78","15.6",".367","125","sa621791"
"Will Swanner","Rockies (AA)","23","409","10.8 %","30.8 %","0.35",".260",".343",".455",".799",".196","2.3",".352","-1.8","59","14.3",".365","132","sa549202"
"Marquez Smith","Reds (AA)","30","482","13.1 %","20.1 %","0.65",".267",".369",".402",".771",".135","4.7",".328","-0.8","66","12.3",".363","123","sa388379"
"Renato Nunez","Athletics (AA)","21","416","6.7 %","15.9 %","0.42",".278",".332",".480",".812",".202","2.7",".293","-0.1","60","11.6",".363","124","14503"
"Socrates Brito","Diamondbacks (AA)","22","522","5.6 %","16.1 %","0.35",".300",".339",".451",".790",".151","7.2",".346","1.5","71","12.8",".362","122","12944"
"Tyler Goeddel","Rays (AA)","22","533","9.0 %","18.4 %","0.49",".279",".350",".433",".783",".154","7.3",".326","1.9","72","13.0",".362","122","13180"
"Josh Bell","Pirates (AA)","22","427","10.3 %","11.7 %","0.88",".307",".376",".427",".803",".120","5.3",".335","-0.2","61","14.1",".362","130","13145"
"Nomar Mazara","Rangers (AA)","20","470","10.0 %","19.6 %","0.51",".284",".357",".443",".800",".159","3.6",".329","0.0","67","12.7",".362","123","14553"
"David Washington","Cardinals (AA)","24","379","9.0 %","31.9 %","0.28",".274",".338",".471",".808",".197","2.8",".372","-1.1","54","10.2",".362","123","12110"
"Lars Anderson","Dodgers (AA)","27","548","16.6 %","16.8 %","0.99",".247",".374",".416",".791",".169","1.8",".279","-0.7","78","14.5",".361","123","9018"
"Tim Anderson","White Sox (AA)","22","550","4.4 %","20.7 %","0.21",".312",".350",".429",".779",".117","8.6",".391","4.5","74","12.7",".360","121","15172"
"Danny Hayes","White Sox (AA)","24","538","18.2 %","20.3 %","0.90",".248",".388",".360",".748",".111","2.5",".313","-1.0","72","12.3",".360","121","sa621374"
"Max Moroff","Pirates (AA)","22","612","11.4 %","18.1 %","0.63",".293",".374",".409",".783",".117","5.4",".356","-1.8","86","18.8",".359","128","14556"
"Johnny Field","Rays (AA)","23","491","7.3 %","22.2 %","0.33",".255",".329",".447",".776",".192","6.9",".305","2.3","65","10.4",".358","119","sa621675"
"Bijan Rademacher","Cubs (AA)","24","433","15.5 %","13.9 %","1.12",".261",".379",".370",".748",".109","5.1",".302","-0.4","57","9.1",".357","119","sa658233"
"Chad Oberacker","Athletics (AA)","26","451","9.3 %","16.4 %","0.57",".294",".360",".425",".785",".132","7.3",".345","1.8","63","10.3",".357","120","sa549447"
"Patrick Leonard","Rays (AA)","22","514","10.5 %","25.1 %","0.42",".256",".350",".408",".758",".152","5.7",".337","0.8","68","10.4",".357","118","sa597839"
"Nate Orf","Brewers (AA)","25","511","12.3 %","13.7 %","0.90",".274",".378",".368",".746",".094","4.6",".319","-0.4","67","9.9",".355","117","sa579765"
"Alex Liddi","Royals (AA)","26","514","4.9 %","24.9 %","0.20",".287",".324",".474",".798",".187","5.8",".363","0.0","71","11.1",".355","119","5411"
"Mike Ohlman","Cardinals (AA)","24","417","11.0 %","18.5 %","0.60",".273",".356",".418",".774",".145","1.6",".315","-0.8","57","8.5",".354","118","10347"
"Jonathan Rodriguez","Cardinals (AA)","25","513","10.9 %","19.5 %","0.56",".275",".355",".414",".769",".139","3.4",".327","-0.3","69","9.8",".352","116","sa503023"
"Wynton Bernard","Tigers (AA)","24","587","6.5 %","12.4 %","0.52",".301",".352",".408",".761",".107","7.4",".344","2.3","78","13.6",".349","121","sa658999"
"J.P. Crawford","Phillies (AA)","20","405","12.1 %","11.1 %","1.09",".265",".354",".407",".761",".142","6.4",".289","0.5","53","9.1",".348","121","15491"
"Ryon Healy","Athletics (AA)","23","543","5.5 %","15.1 %","0.37",".302",".339",".426",".766",".124","2.1",".341","-0.9","71","8.3",".347","113","15447"
"Kenny Wilson","Marlins (AA)","25","570","10.2 %","18.9 %","0.54",".270",".348",".394",".742",".125","7.5",".326","3.7","71","7.2",".346","111","sa454437"
"Jorge Polanco","Twins (AA)","21","431","8.1 %","14.6 %","0.56",".289",".346",".393",".739",".104","5.5",".330","-0.5","53","5.4",".346","111","13152"
"Travis Harrison","Twins (AA)","22","479","13.6 %","21.3 %","0.64",".240",".363",".356",".719",".116","4.6",".307","-3.1","59","5.7",".345","111","sa597772"
"KD Kang","Braves (AA)","27","449","10.0 %","24.7 %","0.41",".271",".347",".384",".732",".113","4.8",".359","-0.6","55","4.7",".343","109","sa327822"
"Yeison Asencio","Padres (AA)","25","508","2.8 %","7.9 %","0.35",".301",".329",".434",".762",".133","3.2",".305","-0.4","65","6.1",".343","110","sa548016"
"Tyler Smith","Mariners (AA)","23","520","11.7 %","16.3 %","0.72",".271",".361",".354",".716",".084","3.6",".328","0.2","63","5.1",".342","109","12490"
"Nick Ramirez","Brewers (AA)","25","501","12.8 %","23.0 %","0.56",".243",".339",".391",".731",".148","2.7",".296","0.2","60","4.4",".341","108","sa577807"
"Seth Mejias-Brean","Reds (AA)","24","475","13.3 %","20.2 %","0.66",".247",".352",".360",".712",".114","5.1",".307","0.4","57","3.7",".340","107","sa580437"
"Aledmys Diaz","Cardinals (AA)","24","409","7.1 %","15.2 %","0.47",".264",".324",".421",".745",".157","4.1",".294","-1.1","51","3.7",".339","108","15937"
"Mike Tauchman","Rockies (AA)","24","563","8.3 %","12.3 %","0.68",".294",".355",".381",".736",".087","5.9",".334","-0.1","70","8.7",".339","114","15274"
