"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Nick Evans","Mets (AA)","24","391","10.2 %","16.6 %","0.62",".294",".366",".527",".893",".233","2.0",".317","-0.4","67","19.4",".392","141","7595"
"Johnny Giavotella","Royals (AA)","22","597","10.2 %","11.2 %","0.91",".322",".395",".460",".855",".138","5.4",".354","-0.1","98","27.4",".391","139","6740"
"Trayvon Robinson","Dodgers (AA)","22","523","14.0 %","23.9 %","0.58",".300",".404",".438",".842",".138","7.1",".399","1.3","85","22.3",".388","136","9875"
"Johan Limonta","Mariners (AA)","26","554","9.9 %","18.8 %","0.53",".302",".377",".481",".858",".179","3.4",".357","-0.7","90","23.6",".388","136","sa328092"
"Tim Torres","Marlins (AA)","26","399","14.3 %","22.1 %","0.65",".275",".381",".478",".858",".203","6.5",".333","1.5","64","16.4",".386","134","sa328090"
"Brandon Laird","Yankees (AA)","22","454","8.4 %","18.5 %","0.45",".291",".355",".523",".878",".232","3.7",".315","-0.5","75","19.9",".384","136","5476"
"Paulo Orlando","Royals (AA)","24","469","5.1 %","13.2 %","0.39",".305",".366",".480",".846",".174","7.9",".331","1.0","74","18.7",".383","134","8628"
"Konrad Schmidt","Diamondbacks (AA)","25","440","7.3 %","14.3 %","0.51",".315",".373",".490",".863",".175","4.3",".347","0.1","69","16.1",".381","131","7178"
"Jim Gallagher","White Sox (AA)","24","590","12.5 %","15.1 %","0.83",".294",".392",".427",".820",".133","2.9",".339","-0.5","91","20.6",".378","129","sa389255"
"Justin Christian","Yankees (AA)","30","394","10.2 %","11.9 %","0.85",".297",".374",".472",".846",".175","7.7",".318","1.8","63","15.2",".378","132","8297"
"Charlie Blackmon","Rockies (AA)","23","381","8.4 %","11.3 %","0.74",".297",".360",".484",".843",".187","6.6",".309","1.0","59","13.6",".377","130","7859"
"Joe Benson","Twins (AA)","22","423","9.2 %","27.2 %","0.34",".251",".336",".527",".862",".275","7.0",".300","-1.1","68","16.1",".377","131","2845"
"Nate Spears","Red Sox (AA)","25","620","13.5 %","15.0 %","0.90",".272",".380",".463",".843",".191","6.0",".292","2.1","99","23.6",".377","131","6026"
"Joel Guzman","Orioles (AA)","25","563","8.0 %","21.5 %","0.37",".279",".344",".519",".863",".240","3.3",".306","-0.9","90","21.4",".377","131","3728"
"Willie Cabrera","Braves (AA)","23","407","7.1 %","8.8 %","0.81",".306",".369",".454",".822",".148","4.6",".326","0.1","61","12.8",".374","126","sa326105"
"Ray Chang","Red Sox (AA)","26","508","10.0 %","12.6 %","0.80",".298",".384",".436",".821",".139","2.2",".331","-0.5","80","17.9",".374","129","sa295642"
"Jason Van Kooten","Rockies (AA)","25","447","7.8 %","22.8 %","0.34",".271",".339",".497",".837",".226","6.2",".324","-0.6","67","14.6",".374","128","sa262052"
"Vinny Rottino","Marlins (AA)","30","493","10.8 %","10.3 %","1.04",".307",".384",".430",".814",".122","5.5",".332","3.5","74","15.2",".373","126","5202"
"Ollie Linton","Diamondbacks (AA)","24","483","13.0 %","20.7 %","0.63",".304",".411",".382",".792",".078","5.9",".396","-2.4","72","14.8",".373","126","sa455265"
"Collin Cowgill","Diamondbacks (AA)","24","577","9.9 %","12.7 %","0.78",".285",".360",".464",".825",".179","6.3",".300","1.2","86","17.2",".372","125","7250"
"Alex Liddi","Mariners (AA)","21","565","8.8 %","25.7 %","0.34",".281",".353",".476",".829",".195","5.3",".366","-2.0","84","16.9",".372","125","5411"
"Bryan Byrne","Diamondbacks (AA)","26","481","16.8 %","19.5 %","0.86",".279",".408",".377",".786",".098","2.8",".352","-1.0","72","14.3",".372","125","sa291107"
"Kirk Nieuwenhuis","Mets (AA)","22","433","6.9 %","21.5 %","0.32",".289",".337",".510",".847",".221","6.2",".338","-0.4","67","14.5",".371","127","6400"
"Koby Clemens","Astros (AA)","23","535","12.9 %","26.7 %","0.48",".241",".350",".476",".825",".235","5.2",".288","0.7","80","16.4",".371","126","sa294917"
"Matt McBride","Indians (AA)","25","408","7.4 %","15.2 %","0.48",".283",".347",".499",".845",".216","2.4",".296","-0.9","63","13.3",".370","127","9373"
"Matt Lawson","- - -","24","527","9.1 %","18.0 %","0.51",".293",".372",".439",".811",".146","5.6",".350","-0.4","78","15.5",".370","125","sa388392"
"Ryan Adams","Orioles (AA)","23","594","7.9 %","20.4 %","0.39",".298",".365",".464",".829",".166","2.3",".358","-0.9","91","19.0",".370","126","6343"
"Matt Clark","Padres (AA)","23","558","8.4 %","26.2 %","0.32",".269",".339",".485",".824",".216","1.4",".322","0.1","82","16.4",".370","125","8793"
"Jeremy Moore","Angels (AA)","23","508","7.7 %","24.0 %","0.32",".303",".358",".463",".821",".160","7.2",".383","0.8","75","15.0",".370","125","7307"
"Brandon Tripp","Marlins (AA)","25","450","7.6 %","24.7 %","0.31",".289",".369",".449",".818",".160","4.1",".380","-0.3","66","12.5",".369","123","sa327660"
"Mauro Gomez","Braves (AA)","25","559","8.2 %","21.8 %","0.38",".281",".349",".471",".820",".190","2.6",".337","-0.7","81","14.6",".367","122","5342"
"Matt Hague","Pirates (AA)","24","581","10.5 %","10.7 %","0.98",".295",".375",".442",".817",".147","2.6",".310","-2.0","88","17.4",".367","125","7772"
"Blake Lalli","Cubs (AA)","27","524","13.0 %","10.1 %","1.28",".311",".403",".389",".791",".077","1.5",".345","-0.9","76","13.4",".367","121","9246"
"Tony Thomas","Cubs (AA)","23","450","7.3 %","22.2 %","0.33",".276",".338",".485",".823",".209","7.9",".338","2.1","65","11.0",".365","120","sa389692"
"Corey Smith","Dodgers (AA)","28","455","8.4 %","16.3 %","0.51",".275",".343",".467",".809",".191","4.6",".303","0.3","65","10.5",".363","119","sa3000030"
"Zelous Wheeler","Brewers (AA)","23","569","12.3 %","13.5 %","0.91",".275",".382",".396",".778",".121","4.1",".306","-0.1","81","13.0",".363","119","8822"
"Darin Mastroianni","Blue Jays (AA)","24","617","12.5 %","15.6 %","0.80",".301",".390",".398",".788",".097","7.8",".358","4.9","92","16.4",".363","122","7316"
"Carlos Peguero","Mariners (AA)","23","553","10.1 %","32.2 %","0.31",".254",".340",".463",".803",".209","5.3",".351","-2.4","78","12.3",".362","119","8760"
"Jaime Pedroza","Dodgers (AA)","23","487","12.7 %","20.7 %","0.61",".280",".378",".401",".779",".122","4.8",".354","-1.2","69","10.6",".362","118","sa389397"
"Shawn Bowman","Blue Jays (AA)","25","455","8.1 %","21.1 %","0.39",".263",".330",".484",".814",".221","2.6",".292","-0.5","66","10.9",".360","120","sa226157"
"Brett Lawrie","Brewers (AA)","20","609","7.7 %","19.4 %","0.40",".285",".346",".451",".797",".166","7.7",".350","0.5","85","12.1",".359","117","5247"
"Ozzie Martinez","Marlins (AA)","22","587","8.3 %","10.9 %","0.77",".302",".372",".401",".773",".099","5.3",".336","-1.2","82","11.4",".359","116","3900"
"Thomas Neal","Giants (AA)","22","585","7.9 %","16.1 %","0.49",".291",".359",".440",".799",".149","4.0",".334","0.0","85","13.6",".359","119","9461"
"Lonnie Chisenhall","Indians (AA)","21","524","8.8 %","14.7 %","0.60",".278",".351",".450",".801",".172","4.8",".297","0.6","76","11.8",".358","118","7571"
"Anthony Rizzo","Red Sox (AA)","20","467","9.6 %","21.4 %","0.45",".263",".334",".481",".815",".217","4.0",".297","0.9","67","10.4",".358","118","3473"
"Chris Marrero","Nationals (AA)","21","578","7.4 %","17.6 %","0.42",".294",".350",".450",".800",".156","1.9",".333","-1.1","83","12.8",".357","118","2852"
"Kristopher Negron","Reds (AA)","24","547","9.3 %","17.7 %","0.53",".272",".361",".409",".770",".136","7.6",".321","3.0","75","9.7",".357","115","5306"
"Brandon Waring","Orioles (AA)","24","546","10.8 %","32.8 %","0.33",".242",".338",".458",".796",".216","2.7",".337","-0.5","78","11.4",".356","117","sa389878"
"Danny Espinosa","Nationals (AA)","23","435","7.6 %","21.6 %","0.35",".262",".334",".464",".798",".202","7.0",".301","0.6","62","9.1",".356","117","9219"
"Tony Campana","Cubs (AA)","24","550","8.0 %","14.9 %","0.54",".319",".378",".384",".763",".065","6.9",".380","1.1","74","8.8",".355","113","4964"
"Andy Parrino","Padres (AA)","24","492","13.8 %","23.4 %","0.59",".246",".363",".415",".777",".168","5.0",".315","0.1","67","8.6",".354","115","3972"
"John Drennen","Indians (AA)","23","486","6.8 %","11.5 %","0.59",".300",".355",".434",".789",".134","3.6",".327","-0.9","68","8.4",".351","114","sa291168"
"Matthew Spencer","Cubs (AA)","24","420","8.3 %","20.5 %","0.41",".268",".333",".454",".787",".186","5.5",".302","1.1","56","5.7",".351","111","sa390327"
"Sean Henry","Reds (AA)","24","446","6.1 %","14.3 %","0.42",".298",".353",".406",".759",".108","5.2",".343","-0.4","59","5.6",".350","111","sa254577"
"Caleb Gindl","Brewers (AA)","21","534","10.3 %","14.6 %","0.71",".272",".352",".406",".758",".134","3.9",".307","-0.1","70","6.6",".350","110","5002"
"Marcos Vechionacci","Yankees (AA)","23","451","8.9 %","24.6 %","0.36",".283",".350",".421",".771",".138","4.8",".365","0.3","62","7.0",".349","113","sa248180"
"James Darnell","Padres (AA)","23","426","10.3 %","15.0 %","0.69",".265",".348",".408",".756",".142","3.0",".295","0.5","56","5.6",".349","111","9060"
"Jake Kahaulelio","Reds (AA)","25","463","9.3 %","16.6 %","0.56",".257",".338",".422",".759",".164","3.8",".288","-0.3","60","5.0",".348","109","sa389243"
"Adam Loewen","Blue Jays (AA)","26","537","12.3 %","26.4 %","0.46",".246",".351",".412",".763",".166","5.6",".327","0.8","73","7.5",".347","112","2134"
"Kevin Mahar","Phillies (AA)","29","415","10.4 %","21.7 %","0.48",".261",".342",".423",".765",".162","4.0",".312","-0.5","56","5.5",".346","111","7164"
"Andrew Romine","Angels (AA)","24","454","11.0 %","14.5 %","0.76",".282",".370",".366",".736",".084","5.9",".332","0.6","58","4.8",".345","109","1159"
"Christian Marrero","White Sox (AA)","23","576","12.5 %","14.8 %","0.85",".270",".363",".383",".746",".113","4.2",".309","0.3","74","5.1",".345","107","sa326115"
"Che-Hsuan Lin","Red Sox (AA)","21","543","13.3 %","11.6 %","1.14",".275",".386",".343",".728",".068","6.3",".315","0.0","73","6.7",".345","110","3734"
"Taylor Green","Brewers (AA)","23","451","10.0 %","14.9 %","0.67",".260",".336",".438",".773",".178","2.1",".277","-0.9","58","3.9",".345","107","9147"
"J.B. Shuck","Astros (AA)","23","435","10.6 %","12.9 %","0.82",".298",".372",".360",".732",".062","4.0",".344","-1.8","55","4.1",".344","108","6677"
"David Cooper","Blue Jays (AA)","23","553","9.4 %","13.4 %","0.70",".257",".327",".442",".769",".185","1.5",".266","0.0","74","6.1",".344","109","7752"
"Andy Dirks","Tigers (AA)","24","434","8.1 %","13.6 %","0.59",".278",".342",".425",".767",".147","6.3",".300","2.1","58","4.7",".343","109","6453"
"Tyler Henson","Orioles (AA)","22","533","7.1 %","29.3 %","0.24",".278",".329",".440",".769",".163","4.6",".382","-0.8","70","5.4",".342","108","sa326736"
"Dan Brewer","Yankees (AA)","22","580","9.1 %","20.2 %","0.45",".270",".346",".407",".754",".138","6.3",".327","1.5","76","5.5",".342","108","sa454991"
"Logan Forsythe","Padres (AA)","23","472","15.9 %","20.1 %","0.79",".253",".377",".337",".714",".084","5.1",".325","1.5","59","3.6",".342","106","7185"
"Evan Frey","Diamondbacks (AA)","24","600","11.2 %","14.8 %","0.75",".286",".373",".356",".729",".070","6.6",".339","1.3","75","3.5",".341","105","sa390638"
"Joey Butler","Rangers (AA)","24","573","8.2 %","20.9 %","0.39",".277",".340",".409",".749",".132","4.8",".340","-0.8","72","4.2",".341","106","7799"
"Tyler Kuhn","White Sox (AA)","23","435","8.3 %","17.2 %","0.48",".279",".345",".393",".738",".115","5.4",".333","-0.9","54","2.3",".341","104","sa455308"
"Jake Elmore","Diamondbacks (AA)","23","462","12.6 %","12.1 %","1.04",".278",".374",".345",".719",".067","5.7",".316","-0.5","58","2.4",".341","104","7290"
"Luis Exposito","Red Sox (AA)","23","544","10.1 %","16.9 %","0.60",".260",".339",".416",".756",".156","2.4",".296","-0.7","71","4.5",".340","107","4398"
"Ben Revere","Twins (AA)","22","406","7.9 %","10.1 %","0.78",".305",".371",".363",".734",".058","6.5",".339","1.6","53","3.1",".339","106","4712"
"Matt Dominguez","Marlins (AA)","20","577","9.7 %","16.6 %","0.58",".252",".333",".411",".744",".159","2.3",".282","-0.9","71","2.2",".339","103","4903"
"Luis Martinez","Padres (AA)","25","410","12.0 %","14.4 %","0.83",".282",".368",".349",".717",".067","3.1",".331","-0.1","50","2.1",".338","104","2481"
"Shane Peterson","Athletics (AA)","22","536","10.6 %","20.1 %","0.53",".265",".354",".367",".722",".102","5.5",".330","1.5","65","2.0",".337","103","7423"
"Archie Gilbert","Athletics (AA)","26","509","10.0 %","13.6 %","0.74",".247",".333",".396",".728",".148","5.6",".268","1.2","62","1.7",".336","103","sa295116"
"Renny Osuna","Rangers (AA)","25","498","5.6 %","15.5 %","0.36",".293",".340",".389",".729",".096","6.2",".345","0.0","60","1.5",".336","103","sa330039"
"Michael Spidale","Phillies (AA)","28","526","6.7 %","12.2 %","0.55",".303",".354",".378",".732",".075","6.2",".342","1.5","67","2.4",".336","104","sa199288"
"Chris Nowak","- - -","27","473","12.5 %","20.9 %","0.60",".243",".340",".384",".724",".141","5.3",".288","1.5","57","0.2",".335","100","sa253288"
"Conor Gillaspie","Giants (AA)","22","540","6.9 %","12.4 %","0.55",".287",".335",".420",".754",".132","4.0",".314","-1.7","68","2.0",".334","103","9009"
"Josh Harrison","Pirates (AA)","22","585","5.5 %","8.9 %","0.62",".300",".345",".398",".743",".098","5.6",".321","0.8","74","2.1",".334","103","8202"
"Josh Horton","Athletics (AA)","24","470","8.7 %","10.6 %","0.82",".286",".353",".364",".717",".079","4.2",".315","-0.3","56","0.8",".334","101","sa390360"
"Derrick Robinson","Royals (AA)","22","570","7.9 %","15.1 %","0.52",".286",".345",".380",".725",".094","7.9",".336","3.1","68","0.9",".334","101","2784"
"Miles Durham","Pirates (AA)","27","546","9.5 %","25.5 %","0.37",".259",".335",".402",".737",".143","5.1",".339","-2.1","68","1.8",".334","103","sa328151"
"Alex Valdez","Athletics (AA)","25","574","6.8 %","21.4 %","0.32",".262",".318",".422",".740",".160","6.9",".318","1.7","68","0.5",".333","101","sa254456"
"Drew M. Anderson","Rays (AA)","27","419","9.1 %","13.4 %","0.68",".259",".327",".406",".733",".147","6.3",".287","-0.3","50","-0.5",".333","99","sa253942"
"John Matulia","Rays (AA)","23","524","6.5 %","22.7 %","0.29",".269",".324",".408",".732",".139","5.0",".337","-0.9","62","-0.7",".333","99","sa291104"
"Marshall Hubbard","Mets (AA)","28","385","11.2 %","16.1 %","0.69",".247",".340",".386",".726",".139","2.8",".275","0.2","48","0.6",".332","101","sa254467"
"Chris Parmelee","Twins (AA)","22","463","9.3 %","15.1 %","0.61",".275",".341",".389",".731",".114","3.5",".313","-0.3","57","0.1",".330","100","2554"
"Jon Gaston","Astros (AA)","23","520","9.0 %","20.2 %","0.45",".245",".320",".399",".720",".154","6.7",".288","0.6","60","-1.2",".329","98","sa454776"
"Tim Fedroff","Indians (AA)","23","501","9.6 %","18.0 %","0.53",".274",".349",".366",".715",".092","5.1",".334","-0.8","61","-0.4",".329","99","sa454958"
"Clay Timpner","Giants (AA)","27","462","7.6 %","13.6 %","0.56",".290",".346",".372",".717",".082","3.3",".330","-0.5","56","-0.6",".328","99","7333"
"Steve Singleton","Twins (AA)","24","564","6.9 %","10.1 %","0.68",".267",".325",".410",".735",".143","3.8",".283","-1.8","68","-1.1",".327","98","sa327160"
"Austin Romine","Yankees (AA)","21","497","7.4 %","18.9 %","0.39",".268",".324",".402",".726",".134","2.9",".316","0.4","60","-1.1",".327","98","5491"
"Chih-Hsien Chiang","Red Sox (AA)","22","478","6.5 %","13.4 %","0.48",".260",".312",".420",".732",".160","3.3",".281","0.4","57","-1.3",".327","98","sa328920"
"Nevin Ashley","Rays (AA)","25","391","8.7 %","19.4 %","0.45",".255",".333",".375",".709",".120","4.9",".303","-0.1","44","-2.4",".326","95","3274"
"Daryl Jones","Cardinals (AA)","23","518","10.0 %","18.3 %","0.55",".244",".335",".361",".696",".118","6.2",".291","-0.6","59","-2.5",".326","96","sa291097"
"Michael Bertram","Tigers (AA)","26","392","6.4 %","24.7 %","0.26",".256",".311",".416",".727",".160","4.0",".324","0.2","47","-1.3",".326","97","sa326953"
"Eric Duncan","Braves (AA)","25","483","7.2 %","22.4 %","0.32",".267",".323",".396",".719",".130","4.9",".332","-0.5","54","-3.6",".325","94","sa243993"
"Chase d'Arnaud","Pirates (AA)","23","607","9.2 %","16.8 %","0.55",".247",".331",".377",".708",".130","8.3",".293","3.6","71","-2.9",".324","96","6652"
"Emeel Salem","Rays (AA)","25","586","8.4 %","11.1 %","0.75",".262",".334",".355",".689",".092","6.3",".293","-0.1","65","-5.4",".323","92","sa327108"
"Pete Kozma","Cardinals (AA)","22","570","9.8 %","19.5 %","0.50",".243",".318",".384",".702",".141","5.1",".285","1.9","63","-4.4",".322","94","2539"
"Matthew Sulentic","Athletics (AA)","22","497","9.9 %","21.9 %","0.45",".275",".348",".336",".685",".061","4.9",".360","0.3","55","-3.9",".322","93","sa326687"
"Jesus Valdez","Nationals (AA)","25","569","4.9 %","14.6 %","0.34",".273",".317",".398",".715",".125","3.5",".307","-0.5","65","-4.0",".321","94","sa244229"
"Anthony Jackson","Rockies (AA)","26","515","11.7 %","14.2 %","0.82",".251",".351",".325",".676",".074","7.5",".295","1.8","56","-4.5",".321","93","sa327792"
"Lee Haydel","Brewers (AA)","22","497","7.0 %","19.5 %","0.36",".285",".337",".356",".694",".071","7.2",".360","1.8","54","-5.3",".321","91","sa328074"
"Eduardo Perez","Dodgers (AA)","25","476","7.6 %","19.5 %","0.39",".271",".327",".375",".702",".104","4.1",".333","1.5","52","-5.1",".320","91","sa295202"
"Rashad Eldridge","Rays (AA)","28","381","14.4 %","13.1 %","1.10",".253",".362",".307",".669",".054","4.1",".293","-0.1","41","-4.5",".319","90","sa199160"
"Dee Gordon","Dodgers (AA)","22","614","6.5 %","14.5 %","0.45",".277",".332",".355",".687",".077","8.2",".325","2.2","66","-7.4",".319","90","8203"
"James Tomlin","Rangers (AA)","27","444","7.9 %","15.1 %","0.52",".270",".327",".363",".690",".093","4.8",".308","2.1","48","-4.8",".318","91","sa199272"
"Jordy Mercer","Pirates (AA)","23","538","5.8 %","12.8 %","0.45",".282",".329",".373",".702",".091","4.8",".318","0.9","60","-5.2",".318","92","6547"
"Chris McConnell","Royals (AA)","24","430","11.4 %","17.7 %","0.64",".231",".333",".337",".670",".106","5.7",".282","-0.6","46","-5.1",".317","90","sa254471"
"Jonathan Diaz","Blue Jays (AA)","25","385","13.8 %","12.5 %","1.10",".231",".355",".301",".657",".071","4.0",".270","-0.1","43","-4.3",".316","91","4142"
"John Shelby","White Sox (AA)","24","440","5.5 %","25.2 %","0.22",".249",".293",".412",".705",".163","7.6",".313","-0.8","46","-6.5",".315","88","sa326756"
"Marcus Lemon","Rangers (AA)","22","516","7.0 %","15.9 %","0.44",".271",".325",".355",".680",".083","4.2",".320","-1.4","54","-6.8",".315","89","sa326707"
"Andy Jenkins","Rangers (AA)","26","401","8.2 %","19.0 %","0.43",".239",".306",".381",".686",".142","2.3",".274","-1.0","42","-5.5",".314","88","sa294515"
"Efren Navarro","Angels (AA)","24","495","6.3 %","9.5 %","0.66",".267",".316",".369",".685",".102","3.6",".285","-0.4","51","-7.0",".314","88","9854"
"Jose Coronado","Mets (AA)","24","469","8.5 %","17.1 %","0.50",".254",".324",".360",".684",".106","3.4",".298","-1.3","51","-6.0",".314","89","sa295207"
"Mark Dolenc","Twins (AA)","25","416","6.7 %","31.0 %","0.22",".259",".312",".374",".686",".115","5.9",".371","0.8","45","-6.2",".311","88","sa327853"
"Darren Ford","Giants (AA)","24","516","7.6 %","20.5 %","0.37",".251",".315",".365",".680",".114","8.1",".314","1.0","55","-8.1",".310","87","109"
"Gorkys Hernandez","Pirates (AA)","22","415","8.0 %","22.9 %","0.35",".266",".333",".334",".668",".068","6.5",".352","2.1","44","-6.6",".310","87","4146"
"Beau Mills","Indians (AA)","23","477","8.8 %","14.9 %","0.59",".241",".312",".377",".689",".136","3.1",".266","-0.1","51","-7.6",".310","87","sa388399"
"Michael Martinez","Nationals (AA)","27","387","5.2 %","14.0 %","0.37",".253",".298",".393",".690",".139","6.5",".279","-0.9","41","-6.2",".310","87","7358"
"Salvador Sanchez","White Sox (AA)","24","425","5.6 %","23.3 %","0.24",".240",".289",".394",".683",".153","6.0",".294","0.9","42","-8.3",".309","84","sa291439"
"Taylor Harbin","Diamondbacks (AA)","24","474","5.1 %","16.5 %","0.31",".259",".306",".376",".682",".118","4.8",".299","-1.4","47","-9.3",".309","84","sa388380"
"Sawyer Carroll","Padres (AA)","24","522","10.7 %","23.6 %","0.46",".240",".324",".345",".669",".105","3.2",".309","-2.6","52","-9.6",".308","84","sa390596"
"Brad Coon","Nationals (AA)","27","414","8.9 %","19.3 %","0.46",".250",".319",".353",".672",".103","5.5",".303","-1.0","43","-7.4",".308","85","sa291705"
"Dale Mollenhauer","White Sox (AA)","24","388","8.0 %","14.2 %","0.56",".262",".324",".327",".650",".064","4.9",".306","1.7","37","-8.9",".305","81","sa390184"
"Caleb Joseph","Orioles (AA)","24","420","7.9 %","15.0 %","0.52",".235",".301",".368",".669",".132","2.6",".254","-2.4","43","-8.6",".305","83","7087"
"Guilder Rodriguez","Rangers (AA)","26","376","8.2 %","11.2 %","0.74",".266",".335",".297",".632",".031","6.2",".303","1.0","35","-8.9",".302","80","3412"
"Austin Krum","Yankees (AA)","24","533","12.0 %","16.1 %","0.74",".229",".328",".303",".631",".074","5.2",".272","0.2","52","-13.5",".298","79","sa390262"
"Donell Linares","Braves (AA)","26","447","3.1 %","9.2 %","0.34",".240",".279",".369",".649",".129","3.4",".242","0.0","40","-13.8",".295","74","sa496271"
"Ryan Curry","Marlins (AA)","25","426","4.0 %","8.5 %","0.47",".251",".288",".357",".645",".106","3.8",".261","-0.7","37","-13.4",".294","74","sa389866"
"Luis Nunez","Yankees (AA)","23","492","5.1 %","14.2 %","0.36",".241",".284",".370",".653",".129","5.3",".266","-2.9","45","-14.9",".292","75","sa295125"
"Denis Phipps","Reds (AA)","24","411","7.8 %","20.9 %","0.37",".228",".295",".336",".631",".108","5.0",".285","-2.2","35","-13.8",".292","72","6968"
"Carlos Triunfel","Mariners (AA)","20","498","2.6 %","10.8 %","0.24",".257",".286",".332",".618",".074","3.1",".277","-3.0","40","-19.6",".284","67","193"
"Scott Beerer","Rockies (AA)","27","425","4.7 %","14.8 %","0.32",".258",".295",".315",".610",".056","2.9",".296","-0.6","34","-16.1",".283","68","sa226486"
"Juan Portes","Twins (AA)","24","496","8.7 %","19.4 %","0.45",".213",".287",".331",".619",".118","3.1",".249","-0.5","42","-18.6",".283","69","sa253551"
"Quintin Berry","- - -","25","409","10.5 %","19.1 %","0.55",".210",".306",".284",".590",".075","7.0",".260","2.0","34","-15.8",".282","68","9414"
"Carlos Rivero","Indians (AA)","22","444","6.3 %","18.2 %","0.35",".232",".278",".325",".603",".094","2.8",".270","-1.3","34","-19.8",".274","63","1136"
"Freddy Galvis","Phillies (AA)","20","545","5.5 %","16.3 %","0.34",".233",".276",".311",".586",".078","5.9",".272","1.3","39","-27.8",".267","58","6609"
"Nick Noonan","Giants (AA)","21","406","5.4 %","18.2 %","0.30",".237",".280",".304",".584",".067","4.9",".284","0.1","29","-20.9",".266","58","6880"
"Cale Iorg","Tigers (AA)","24","454","3.7 %","30.6 %","0.12",".211",".248",".337",".585",".126","5.4",".288","0.2","31","-24.2",".264","56","sa389445"
"Jose Castro","Reds (AA)","23","393","3.6 %","9.9 %","0.36",".235",".275",".272",".547",".036","1.9",".261","0.2","23","-24.2",".256","49","sa294093"
