"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Clint Robinson","Royals (AA)","25","548","10.6 %","15.7 %","0.67",".335",".410",".625","1.035",".289","4.4",".357","-0.3","117","52.3",".454","181","6908"
"Tagg Bozied","Phillies (AA)","30","410","11.5 %","20.7 %","0.55",".315",".402",".631","1.033",".315","2.6",".347","-1.1","89","38.7",".447","177","sa201378"
"Brandon Guyer","Cubs (AA)","24","410","6.6 %","12.4 %","0.53",".344",".398",".588",".986",".244","8.8",".371","4.7","82","33.3",".437","168","2636"
"Dave Sappelt","Reds (AA)","23","372","8.3 %","12.4 %","0.67",".361",".416",".548",".964",".188","6.2",".394","-2.5","72","27.9",".429","163","6898"
"Corey Brown","Athletics (AA)","24","386","13.5 %","24.1 %","0.56",".320",".415",".502",".916",".181","7.8",".419","3.5","71","25.2",".415","155","2650"
"Aaron Luna","Cardinals (AA)","23","409","15.4 %","17.8 %","0.86",".270",".426",".470",".897",".201","5.0",".306","0.7","75","26.3",".414","154","sa454788"
"Russ Canzler","Cubs (AA)","24","411","11.2 %","23.1 %","0.48",".287",".372",".566",".938",".279","5.3",".332","-0.7","75","25.8",".414","152","8265"
"Matt Carpenter","Cardinals (AA)","24","472","13.6 %","18.6 %","0.73",".316",".412",".487",".900",".172","5.6",".377","1.5","83","27.8",".407","150","8090"
"Andrew Brown","Cardinals (AA)","25","407","10.1 %","24.1 %","0.42",".291",".371",".526",".897",".235","2.9",".344","-0.5","70","22.1",".401","146","3837"
"Hector Gimenez","Pirates (AA)","27","392","11.7 %","18.4 %","0.64",".305",".384",".533",".916",".228","3.3",".340","0.8","69","21.2",".397","144","2172"
"Steven Hill","Cardinals (AA)","25","406","9.4 %","22.2 %","0.42",".280",".352",".543",".895",".263","3.2",".313","0.3","68","20.2",".395","142","8211"
"Eric Thames","Blue Jays (AA)","23","573","8.7 %","21.1 %","0.41",".288",".370",".526",".896",".238","5.8",".327","-0.6","99","29.3",".393","142","3711"
