"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Jonathan Rodriguez","Twins (AA)","27","524","15.3 %","21.6 %","0.71",".309",".414",".525",".939",".217","2.8",".368","0.3","97","40.6",".424","173","sa503023"
"Jeremy Barfield","Red Sox (AA)","28","384","7.8 %","23.2 %","0.34",".288",".359",".584",".944",".297","2.6",".314","0.3","70","25.6",".412","157","sa327073"
"Eric Haase","Indians (AA)","24","381","11.5 %","30.4 %","0.38",".258",".349",".574",".923",".315","5.7",".313","0.1","67","22.1",".401","150","sa601042"
"Matt Beaty","Dodgers (AA)","24","481","7.3 %","11.2 %","0.65",".326",".378",".505",".883",".178","2.7",".343","-0.9","81","25.8",".394","147","sa602895"
"Joe McCarthy","Rays (AA)","23","554","16.2 %","17.0 %","0.96",".284",".409",".434",".843",".150","6.9",".344","2.0","88","29.0",".390","149","sa858039"
"Mike Ford","Yankees (AA)","24","417","18.2 %","13.4 %","1.36",".272",".410",".451",".861",".179","2.8",".291","0.3","69","19.9",".388","141","sa708447"
"Kevin Cron","Diamondbacks (AA)","24","588","9.5 %","22.8 %","0.42",".283",".357",".497",".854",".214","2.0",".332","0.1","91","28.3",".384","145","sa597807"
"Justin Williams","Rays (AA)","21","409","9.0 %","16.9 %","0.54",".301",".364",".489",".853",".189","4.8",".334","0.4","63","19.6",".384","145","sa737559"
"D.J. Stewart","Orioles (AA)","23","540","12.0 %","16.1 %","0.75",".278",".378",".481",".859",".204","5.5",".299","2.5","87","23.6",".383","137","sa658672"
"Josh Fuentes","Rockies (AA)","24","450","5.3 %","20.4 %","0.26",".307",".352",".517",".869",".210","5.5",".362","-0.3","72","19.3",".382","137","sa829934"
"T.J. White","Twins (AA)","25","416","9.1 %","20.2 %","0.45",".276",".358",".484",".842",".208","3.5",".322","-1.1","64","19.3",".382","144","sa827369"
"Anthony Garcia","Cardinals (AA)","25","398","10.1 %","18.1 %","0.56",".294",".370",".487",".857",".193","4.9",".328","0.6","63","17.4",".381","138","sa502038"
"John Norwood","Marlins (AA)","24","539","10.9 %","24.9 %","0.44",".285",".367",".459",".826",".173","3.8",".359","-0.8","81","23.9",".379","141","sa598986"
"J.D. Davis","Astros (AA)","24","388","8.0 %","23.2 %","0.34",".279",".340",".510",".850",".231","3.0",".317","0.0","60","15.6",".377","135","16219"
"Mike Gerber","Tigers (AA)","24","394","9.9 %","21.6 %","0.46",".291",".363",".477",".840",".186","5.1",".349","-0.4","60","14.4",".374","131","sa550125"
"Dominic Ficociello","Tigers (AA)","25","378","11.1 %","23.0 %","0.48",".306",".379",".445",".825",".139","5.5",".390","1.3","57","12.8",".370","129","sa549668"
"LaMonte Wade","Twins (AA)","23","519","14.6 %","13.7 %","1.07",".292",".397",".408",".805",".116","5.1",".328","1.0","75","19.6",".370","135","sa856280"
"Ian Miller","Mariners (AA)","25","384","7.3 %","18.0 %","0.41",".326",".382",".430",".812",".105","7.7",".393","4.1","58","13.2",".370","130","sa738894"
"Mitch Walding","Phillies (AA)","24","401","11.0 %","31.7 %","0.35",".236",".327",".516",".842",".279","4.1",".289","-0.1","60","13.2",".369","128","sa597901"
"Yadiel Hernandez","Nationals (AA)","29","460","12.2 %","14.3 %","0.85",".292",".379",".441",".819",".149","3.4",".323","0.3","68","14.7",".368","127","sa724030"
"Jerrick Suiter","Pirates (AA)","24","399","11.8 %","20.8 %","0.57",".285",".372",".447",".819",".161","4.9",".348","0.7","59","12.7",".368","127","sa599740"
"Francisco Mejia","Indians (AA)","21","383","6.3 %","13.8 %","0.45",".297",".346",".490",".835",".193","4.9",".311","0.7","57","11.9",".367","127","16403"
"Kyle Waldrop","Mariners (AA)","25","464","8.0 %","18.5 %","0.43",".303",".367",".444",".811",".141","2.9",".357","-0.7","69","15.1",".367","128","11402"
"Max Schrock","Athletics (AA)","22","457","7.4 %","9.2 %","0.81",".321",".379",".422",".801",".101","3.2",".344","-0.3","67","14.6",".366","128","sa658670"
"Christin Stewart","Tigers (AA)","23","555","10.1 %","24.9 %","0.41",".256",".335",".501",".836",".245","3.8",".294","0.7","82","16.9",".366","126","sa858826"
"David Vidal","Marlins (AA)","27","432","10.4 %","16.2 %","0.64",".285",".365",".439",".804",".154","2.7",".326","0.2","61","15.1",".366","133","sa548470"
"Jose Marmolejos","Nationals (AA)","24","454","9.7 %","17.4 %","0.56",".288",".361",".458",".819",".170","3.9",".324","-0.7","66","13.1",".364","125","sa598311"
"Tim Locastro","Dodgers (AA)","24","420","5.2 %","13.3 %","0.39",".285",".366",".429",".795",".144","7.9",".317","2.1","61","12.4",".363","126","15124"
"Austin Wynns","Orioles (AA)","26","434","12.0 %","14.7 %","0.81",".281",".377",".419",".796",".138","2.7",".314","0.3","63","12.1",".363","124","sa707785"
"David Bote","Cubs (AA)","24","536","9.1 %","18.8 %","0.49",".272",".353",".438",".792",".166","4.3",".318","0.2","74","17.0",".362","130","sa658323"
"Ian Rice","Cubs (AA)","23","394","15.2 %","22.8 %","0.67",".230",".353",".423",".776",".193","1.7",".263","-0.4","54","12.3",".361","129","sa658968"
"Luis Urias","Padres (AA)","20","526","12.9 %","12.4 %","1.05",".296",".398",".380",".778",".084","4.8",".340","-1.0","75","14.6",".361","124","sa828496"
"Braxton Lee","- - -","23","561","11.6 %","18.5 %","0.63",".309",".395",".384",".779",".076","5.3",".386","-1.0","77","17.3",".360","129","sa829053"
"Scott Heineman","Rangers (AA)","24","529","9.5 %","22.9 %","0.41",".284",".363",".427",".790",".143","6.3",".365","-1.6","75","14.4",".360","124","sa827137"
"Jiandido Tromp","Phillies (AA)","23","491","5.7 %","22.8 %","0.25",".285",".329",".485",".813",".200","4.8",".340","-0.8","69","12.0",".359","121","sa659194"
"B.J. Boyd","Athletics (AA)","23","578","5.9 %","12.8 %","0.46",".323",".366",".428",".793",".105","6.2",".364","0.8","81","14.8",".358","122","sa657987"
"Aderlin Rodriguez","Orioles (AA)","25","536","8.0 %","19.0 %","0.42",".279",".341",".471",".812",".192","1.6",".310","0.1","75","12.7",".358","120","sa511026"
"Charcer Burks","Cubs (AA)","22","535","12.9 %","20.0 %","0.64",".270",".370",".395",".765",".125","4.8",".329","-1.4","72","14.5",".355","125","sa737838"
"Jon Singleton","Astros (AA)","25","500","21.4 %","26.4 %","0.81",".205",".376",".397",".773",".192","2.4",".253","0.3","69","11.6",".355","120","10441"
"Jason Vosler","Cubs (AA)","23","531","10.0 %","22.6 %","0.44",".241",".343",".429",".772",".188","3.2",".278","-0.2","71","14.2",".355","125","sa829190"
"Joey Meneses","Braves (AA)","25","401","9.5 %","20.2 %","0.47",".292",".360",".403",".763",".111","1.2",".354","0.0","53","10.4",".354","124","sa604598"
"Bobby Bradley","Indians (AA)","21","532","10.3 %","22.9 %","0.45",".251",".331",".465",".796",".214","3.5",".287","-0.5","72","10.2",".352","116","sa828799"
"Jared James","Braves (AA)","23","383","8.6 %","15.9 %","0.54",".279",".352",".415",".767",".135","4.0",".325","-0.6","50","9.1",".351","122","sa829527"
"Chuck Taylor","Mariners (AA)","23","545","12.1 %","16.5 %","0.73",".274",".369",".397",".766",".123","5.3",".321","0.8","74","10.9",".351","117","sa658001"
"Erick Mejia","Dodgers (AA)","22","403","9.2 %","19.4 %","0.47",".289",".357",".413",".770",".124","7.2",".350","3.1","54","7.7",".350","117","sa694960"
"Edgar Corcino","Twins (AA)","25","447","8.5 %","14.8 %","0.58",".302",".361",".399",".760",".097","3.2",".344","-0.4","58","10.0",".349","121","sa502309"
"Edwin Espinal","Pirates (AA)","23","397","4.5 %","12.1 %","0.38",".283",".322",".474",".797",".191","1.3",".287","-0.3","53","6.6",".349","114","sa596971"
