"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"John Lindsey","Dodgers (AAA)","33","107","408","447","144","74","41","4","25","74","97","19","0","78","16","4","0","16","0","0",".353","2279"
"Barbaro Canizares","Braves (AAA)","30","126","425","476","145","103","28","1","13","58","77","40","4","54","7","4","0","20","2","0",".341","6246"
"Chris Davis","Rangers (AAA)","24","103","398","445","130","83","31","2","14","67","80","37","4","105","3","6","0","7","3","2",".327","9272"
"Matt Miller","Rockies (AAA)","27","136","507","586","165","131","22","2","10","90","81","66","2","93","6","7","0","8","2","0",".325","sa253307"
"Jay Payton","Rockies (AAA)","37","116","439","470","142","95","36","5","6","62","74","25","1","47","4","1","1","13","13","3",".323","890"
"Jorge Padilla","- - -","30","98","345","393","111","83","22","0","6","58","49","31","0","52","9","6","2","7","13","4",".322","2054"
"Jesus Guzman","Giants (AAA)","26","125","445","492","143","96","28","1","18","66","72","38","1","68","3","3","3","12","6","4",".321","3118"
"Trent Oeltjen","- - -","27","119","465","523","149","87","42","7","13","87","71","44","4","102","5","5","4","6","27","7",".320","3310"
"Luis Figueroa","- - -","36","115","457","494","146","110","27","4","5","51","71","25","1","19","2","5","5","15","3","2",".319","776"
"Jose Constanza","Indians (AAA)","26","113","404","448","129","109","11","8","1","69","32","35","1","54","0","1","8","7","34","6",".319","6003"
"Kila Ka'aihue","Royals (AAA)","26","94","323","416","103","62","16","1","24","67","78","88","6","69","1","3","1","5","2","0",".319","4707"
"Freddie Freeman","Braves (AAA)","20","124","461","519","147","92","35","2","18","73","87","43","3","84","6","9","0","14","6","2",".319","5361"
"Elliot Johnson","Rays (AAA)","26","109","427","481","136","96","24","5","11","72","56","37","2","92","3","2","12","7","30","6",".319","4751"
"Justin Turner","- - -","25","101","396","443","125","82","30","1","12","69","43","33","0","51","6","3","5","10","7","3",".316","5235"
"Russell Mitchell","Dodgers (AAA)","25","127","505","557","159","96","38","2","23","97","87","38","2","78","4","6","4","7","1","3",".315","5848"
"Danny Richar","Marlins (AAA)","27","128","467","498","147","111","29","0","7","57","50","19","2","74","1","3","8","13","7","4",".315","3767"
"Peter Bourjos","Angels (AAA)","23","102","414","455","130","92","13","12","13","85","52","24","1","78","10","3","4","5","27","5",".314","2578"
"Matt Mangini","Mariners (AAA)","24","117","447","477","140","87","31","4","18","73","63","26","3","96","2","2","0","13","3","0",".313","8051"
"Jamie Hoffmann","Dodgers (AAA)","25","139","545","608","169","122","36","3","8","91","74","43","3","98","11","5","4","6","17","7",".310","6461"
"Brad Snyder","Cubs (AAA)","28","132","477","543","147","79","37","6","25","97","106","56","3","125","4","6","0","9","19","4",".308","6052"
"Bryan LaHair","Cubs (AAA)","27","125","422","478","130","75","30","0","25","71","81","51","9","94","3","2","0","14","3","1",".308","5462"
"Ed Lucas","Royals (AAA)","28","99","352","415","108","74","20","1","13","52","50","52","3","68","3","3","5","8","7","1",".307","7532"
"Will Rhymes","Tigers (AAA)","27","95","364","421","111","82","20","7","2","59","35","36","1","35","4","4","13","2","22","5",".305","9802"
"Chris Valaika","Reds (AAA)","24","118","424","459","129","95","28","2","4","49","53","19","0","72","2","10","4","13","3","3",".304","1165"
"Cole Garner","Rockies (AAA)","25","111","415","469","126","72","31","10","13","81","61","39","2","89","8","1","6","7","8","5",".304","616"
