"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Alex Gordon","Royals (AA)","22","577","12.5 %","19.6 %","0.64",".325",".427",".588","1.016",".263","5.8",".373","3.7","123","49.6",".444","167","5209"
"Joey Votto","Reds (AA)","22","590","13.2 %","18.5 %","0.72",".319",".408",".547",".956",".228","5.0",".368","2.2","110","47.9",".429","177","4314"
"Michel Abreu","Mets (AA)","27","450","10.0 %","19.3 %","0.52",".332",".404",".530",".935",".198","1.8",".389","0.0","83","31.8",".412","162","sa301748"
"Nate Gold","Rangers (AA)","26","522","10.5 %","16.3 %","0.65",".292",".376",".582",".958",".290","2.5",".290","-0.7","97","30.1",".410","145","sa202232"
"Ben Zobrist","Astros (AA)","25","381","14.4 %","12.1 %","1.20",".327",".434",".473",".907",".146","6.2",".375","0.0","70","21.9",".410","145","7435"
"Brian Stavisky","Athletics (AA)","25","399","16.0 %","13.3 %","1.21",".316",".429",".450",".879",".134","4.0",".362","0.6","70","19.4",".399","138","sa202098"
"Justin Ruggiano","- - -","24","476","13.7 %","21.6 %","0.63",".280",".387",".488",".875",".208","6.4",".345","-0.6","78","27.3",".397","154","7620"
"Randy Ruiz","- - -","28","555","8.5 %","25.2 %","0.34",".283",".362",".532",".894",".248","3.0",".342","0.4","95","31.2",".394","149","2761"
"Jamie D'Antona","Diamondbacks (AA)","24","521","10.4 %","16.9 %","0.61",".310",".382",".484",".866",".174","2.3",".350","0.0","83","28.2",".392","151","5851"
"Joe Koshansky","Rockies (AA)","24","573","11.2 %","23.4 %","0.48",".284",".371",".526",".897",".242","2.4",".329","0.2","97","23.7",".391","132","7547"
"Juan Richardson","Cardinals (AA)","27","501","9.2 %","22.8 %","0.40",".311",".382",".500",".882",".189","2.7",".383","-2.6","84","20.6",".390","132","sa198315"
"Billy Butler","Royals (AA)","20","535","7.7 %","12.5 %","0.61",".331",".388",".499",".887",".168","3.0",".355","0.8","90","22.0",".390","132","7399"
"Brandon Wood","Angels (AA)","21","522","10.3 %","28.5 %","0.36",".276",".355",".552",".907",".276","6.6",".348","2.9","88","21.2",".390","132","6592"
"Kevin Randel","Marlins (AA)","25","389","12.1 %","22.4 %","0.54",".280",".376",".483",".859",".203","3.9",".342","-0.5","61","20.1",".389","149","sa201935"
"Hunter Pence","Astros (AA)","23","592","10.1 %","18.4 %","0.55",".283",".357",".533",".890",".250","7.0",".307","2.1","96","20.9",".383","128","8252"
"Vasili Spanos","Athletics (AA)","25","527","9.9 %","13.9 %","0.71",".308",".405",".440",".844",".132","2.3",".345","0.2","85","18.1",".382","127","sa225873"
"Doug Deeds","Twins (AA)","25","522","13.4 %","20.5 %","0.65",".282",".383",".470",".854",".189","3.9",".341","-0.4","84","24.9",".382","142","sa202246"
"Joe Gaetti","Rockies (AA)","24","446","8.5 %","22.2 %","0.38",".296",".369",".497",".867",".202","5.3",".356","0.5","72","15.2",".382","127","sa225758"
"Kory Casto","Nationals (AA)","24","590","13.7 %","17.6 %","0.78",".272",".379",".468",".847",".196","4.9",".303","-0.8","94","26.8",".379","140","6597"
"Matthew Brown","Angels (AA)","23","576","8.2 %","18.8 %","0.44",".293",".362",".495",".858",".202","4.0",".338","-0.8","92","18.2",".379","125","6384"
"Scott Moore","Cubs (AA)","22","533","10.3 %","23.6 %","0.44",".276",".360",".479",".839",".203","2.8",".331","-0.2","80","23.3",".378","141","4390"
"Luis Jimenez","Red Sox (AA)","24","464","12.5 %","19.4 %","0.64",".276",".371",".471",".842",".195","5.3",".313","1.0","72","19.8",".376","138","2602"
"Chad Spann","Red Sox (AA)","22","399","7.3 %","21.3 %","0.34",".294",".361",".472",".833",".178","4.3",".361","-0.6","62","16.9",".375","137","sa201880"
"Brant Colamarino","Athletics (AA)","25","568","10.6 %","19.2 %","0.55",".285",".364",".491",".855",".206","4.3",".330","0.0","88","15.9",".375","122","sa201549"
"Eric Rodland","Angels (AA)","26","467","12.4 %","11.6 %","1.07",".300",".394",".426",".820",".126","3.2",".328","-1.3","72","12.9",".374","122","sa226127"
"Chris Lubanski","Royals (AA)","21","613","11.7 %","18.3 %","0.64",".282",".369",".475",".844",".193","6.2",".331","-0.3","95","16.8",".374","122","sa243989"
"Seth Smith","Rockies (AA)","23","582","8.8 %","12.7 %","0.69",".294",".361",".483",".844",".189","3.9",".320","-0.5","90","15.8",".374","121","7331"
"J.R. House","Astros (AA)","26","423","7.6 %","10.4 %","0.73",".325",".376",".475",".851",".150","3.4",".339","-0.1","65","11.1",".373","121","992"
"Troy Tulowitzki","Rockies (AA)","21","485","9.5 %","14.6 %","0.65",".291",".370",".473",".843",".182","4.5",".320","-0.6","75","12.7",".373","121","3531"
"Noah Hall","Orioles (AA)","29","499","10.2 %","12.8 %","0.80",".276",".371",".445",".817",".169","6.4",".301","0.4","76","19.9",".372","135","sa211343"
"Jerry Gil","Diamondbacks (AA)","23","481","3.7 %","23.1 %","0.16",".269",".302",".531",".834",".262","5.9",".300","-1.1","70","18.5",".371","136","2207"
"Kurt Suzuki","Athletics (AA)","22","444","13.1 %","11.3 %","1.16",".285",".392",".415",".807",".130","3.8",".313","0.2","67","10.7",".370","119","8259"
"Gregory Porter","Angels (AA)","25","476","5.5 %","21.6 %","0.25",".298",".342",".498",".840",".200","3.2",".346","-0.1","71","10.1",".367","117","sa200139"
