"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Chris Carlson","Tigers (A)","24","94","358","398","99","69","17","3","10","37","49","29","0","71","5","6","0","14","1","1",".277","sa328421"
"Joseph Nowicki","Orioles (A)","25","130","492","550","136","75","36","6","19","74","78","46","2","142","8","4","0","10","14","4",".276","sa326431"
"Thomas Neal","Giants (A)","20","117","428","498","118","77","25","1","15","69","81","48","1","103","12","8","1","8","3","4",".276","9461"
"Taylor Harbin","Diamondbacks (A)","22","133","548","589","151","98","40","3","10","70","85","26","0","78","8","7","0","20","3","4",".276","sa388380"
"Brad Chalk","Padres (A)","22","104","385","439","106","84","19","3","0","39","43","46","1","55","2","2","4","9","19","2",".275","sa388376"
"Craig Corrado","Astros (A)","23","126","505","546","139","109","26","1","3","60","43","24","0","92","6","2","9","17","43","5",".275","sa389814"
"Roman Pena","Indians (A)","21","113","426","467","117","78","26","2","11","70","66","33","1","104","3","4","1","4","14","6",".275","sa294705"
"Larry Cobb","Athletics (A)","22","107","406","473","111","71","25","2","13","57","70","44","3","80","11","11","0","8","19","6",".273","sa328116"
"Lance Zawadzki","Padres (A)","23","119","454","520","124","86","26","5","7","66","58","54","0","101","4","5","1","15","28","3",".273","2369"
"Brandon Laird","Yankees (A)","20","122","454","506","124","69","31","1","23","71","86","40","0","86","5","7","0","15","1","0",".273","5476"
"Christian Marrero","White Sox (A)","21","124","436","505","119","75","29","5","10","53","61","54","0","89","6","8","1","8","11","5",".273","sa326115"
"Austin Krum","Yankees (A)","22","131","459","528","125","90","21","6","8","74","67","55","2","92","7","4","3","10","12","7",".272","sa390262"
"Erik Kanaby","Dodgers (A)","22","122","448","513","122","110","9","3","0","56","25","56","3","54","0","3","6","1","26","19",".272","sa389713"
"Mike Moustakas","Royals (A)","19","126","496","549","135","85","25","3","22","77","71","43","4","86","7","3","0","5","8","4",".272","4892"
"Bradley Suttle","Yankees (A)","22","96","377","429","102","61","23","7","11","63","44","45","0","93","2","4","0","11","2","1",".271","sa389684"
