"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Greg Bird","Yankees (A)","20","573","18.7 %","23.0 %","0.81",".288",".428",".511",".938",".223","3.1",".364","-0.9","113","46.5",".429","170","14131"
"Rosell Herrera","Rockies (A)","20","546","11.2 %","17.6 %","0.64",".343",".419",".515",".933",".172","4.2",".401","0.3","106","42.9",".426","168","sa547996"
"Francisco Sosa","Rockies (A)","23","531","10.7 %","23.5 %","0.46",".315",".397",".529",".926",".215","6.0",".392","1.4","102","39.9",".421","165","sa506298"
"Joey Gallo","Rangers (A)","19","446","10.8 %","37.0 %","0.29",".245",".334",".610",".944",".365","8.0",".305","2.1","84","32.6",".418","163","14128"
"Ryan Rua","Rangers (A)","23","430","11.4 %","21.2 %","0.54",".251",".356",".559",".914",".308","5.7",".253","1.4","79","28.7",".410","157","12409"
"Carlos Correa","Astros (A)","18","519","11.2 %","16.0 %","0.70",".320",".405",".467",".872",".147","4.4",".375","-2.5","91","29.2",".400","147","14162"
"Nick Williams","Rangers (A)","19","404","3.7 %","27.2 %","0.14",".293",".337",".543",".879",".250","7.2",".371","-0.8","69","22.5",".395","148","14330"
"Dario Pizzano","Mariners (A)","22","531","11.5 %","9.0 %","1.27",".311",".392",".471",".863",".160","4.9",".331","-0.4","89","26.4",".391","142","sa658253"
"Brandon Drury","Diamondbacks (A)","20","583","8.1 %","15.8 %","0.51",".302",".362",".500",".862",".198","3.3",".340","-0.5","96","26.6",".386","138","11615"
"Jesse Winker","Reds (A)","19","486","13.0 %","15.4 %","0.84",".281",".379",".463",".841",".182","5.4",".308","0.5","80","22.0",".386","138","13590"
"Seth Mejias-Brean","Reds (A)","22","545","10.1 %","15.2 %","0.66",".305",".381",".453",".834",".148","3.5",".350","-0.6","89","24.0",".384","137","sa580437"
"Rudy Flores","Diamondbacks (A)","22","380","8.2 %","35.3 %","0.23",".274",".337",".528",".865",".254","3.1",".389","-1.0","62","16.5",".383","137","sa621607"
"Logan Vick","Indians (A)","22","443","18.3 %","18.3 %","1.00",".281",".413",".407",".820",".126","6.2",".343","1.8","71","18.8",".382","136","sa579780"
"D.J. Hicks","Twins (A)","23","400","8.5 %","21.3 %","0.40",".297",".355",".494",".850",".198","1.6",".350","-0.6","64","16.6",".381","135","sa658310"
"Alberth Martinez","Padres (A)","22","415","9.4 %","16.4 %","0.57",".277",".360",".478",".837",".201","7.0",".317","0.1","66","17.2",".381","135","sa550588"
"Thomas Coyle","Rays (A)","22","552","16.5 %","14.1 %","1.17",".278",".399",".405",".805",".128","7.6",".322","4.3","87","21.7",".378","133","sa578983"
"Tyler Ogle","Dodgers (A)","22","548","17.5 %","13.9 %","1.26",".252",".401",".389",".790",".137","2.2",".281","-2.1","86","21.2",".377","133","sa578021"
"Viosergy Rosa","Marlins (A)","23","549","13.5 %","21.7 %","0.62",".252",".362",".452",".814",".200","2.9",".289","-0.4","86","22.6",".376","135","sa549558"
"David Chester","Red Sox (A)","24","385","10.6 %","23.1 %","0.46",".270",".356",".462",".818",".192","1.7",".326","-0.2","60","15.6",".375","135","sa598680"
"Joey Rickard","Rays (A)","22","559","14.0 %","17.5 %","0.80",".270",".390",".409",".799",".139","6.8",".322","1.4","87","20.4",".374","131","13277"
"Andrew Toles","Rays (A)","21","552","4.0 %","19.0 %","0.21",".326",".359",".466",".826",".141","8.7",".402","5.0","86","20.2",".374","131","13414"
"Cameron Flynn","Marlins (A)","23","396","8.1 %","15.7 %","0.52",".308",".369",".443",".812",".134","4.3",".356","-0.8","62","15.8",".374","134","sa658558"
"Adam Brett Walker","Twins (A)","21","553","5.6 %","20.8 %","0.27",".278",".319",".526",".844",".248","7.0",".304","1.8","85","19.6",".373","130","sa621791"
"Daniel Vogelbach","Cubs (A)","20","502","11.4 %","15.1 %","0.75",".284",".364",".450",".814",".166","2.0",".305","-1.2","76","16.9",".371","128","14130"
"Jacob Wilson","Cardinals (A)","22","409","9.8 %","13.2 %","0.74",".264",".350",".468",".818",".204","4.2",".268","-1.1","62","13.7",".370","128","sa658158"
"Josh Bell","Pirates (A)","20","519","10.0 %","17.3 %","0.58",".279",".353",".453",".806",".174","3.0",".319","-1.1","79","18.6",".369","131","13145"
"Christopher Bostick","Athletics (A)","20","555","9.2 %","22.0 %","0.42",".282",".354",".452",".806",".170","7.3",".346","1.3","83","17.7",".368","127","13718"
"Shawn Pleffner","Nationals (A)","23","428","13.8 %","17.8 %","0.78",".288",".386",".399",".784",".111","5.1",".348","0.9","65","15.0",".368","130","sa599272"
"Jorge Polanco","Twins (A)","19","523","8.0 %","11.3 %","0.71",".308",".362",".452",".813",".144","5.5",".336","-1.2","78","16.5",".368","127","13152"
"Tony Renda","Nationals (A)","22","606","11.2 %","10.7 %","1.05",".294",".380",".405",".785",".111","6.6",".328","2.9","91","20.9",".367","130","13443"
"Michael Reed","Brewers (A)","20","539","13.2 %","20.0 %","0.66",".286",".385",".400",".785",".114","7.0",".371","0.7","80","16.1",".366","125","13228"
"Wade Hinkle","Angels (A)","23","507","10.7 %","17.6 %","0.61",".270",".359",".435",".794",".164","3.0",".312","-0.7","75","14.9",".365","125","sa658642"
"Leonardo Reginatto","Rays (A)","23","466","9.2 %","12.4 %","0.74",".325",".388",".393",".781",".068","5.3",".370","-1.1","69","13.6",".365","125","sa504970"
"Jorge Alfaro","Rangers (A)","20","420","6.7 %","26.4 %","0.25",".258",".338",".452",".790",".194","6.3",".324","1.6","62","13.6",".364","128","12180"
"Willie Carmona","Phillies (A)","22","505","7.7 %","18.4 %","0.42",".303",".356",".433",".789",".130","3.7",".367","-0.3","75","16.1",".364","127","sa621672"
"Travis Harrison","Twins (A)","20","537","12.7 %","23.3 %","0.54",".253",".366",".416",".782",".162","2.0",".316","-1.6","79","15.1",".363","124","sa597772"
"Rock Shoulders","Cubs (A)","21","503","13.1 %","28.4 %","0.46",".258",".352",".445",".797",".188","1.2",".337","-0.3","74","14.1",".363","124","sa549485"
"Brandon Nimmo","Mets (A)","20","480","14.8 %","27.3 %","0.54",".273",".397",".359",".756",".086","5.9",".402","-1.4","71","15.0",".363","127","12927"
"Alex Glenn","Diamondbacks (A)","22","420","11.4 %","20.2 %","0.56",".257",".352",".433",".785",".176","7.8",".303","1.7","60","10.1",".358","120","sa503215"
"Ryan Mathews","Athletics (A)","23","472","9.5 %","20.8 %","0.46",".260",".337",".446",".783",".186","4.6",".308","-0.5","67","11.0",".357","120","sa658637"
