"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Kiel Roling","Rockies (A)","22","388","10.1 %","23.7 %","0.42",".331",".401",".593",".994",".262","2.7",".402","-1.0","81","35.7",".444","179","sa454751"
"Jaff Decker","Padres (A)","19","455","18.7 %","20.2 %","0.92",".299",".442",".514",".956",".215","4.9",".360","-0.6","93","38.0",".436","169","7945"
"Brian Pellegrini","Astros (A)","24","419","13.8 %","24.3 %","0.57",".291",".396",".578",".975",".288","4.3",".332","0.1","83","34.5",".431","171","sa389809"
"Derek Norris","Nationals (A)","20","540","16.7 %","21.5 %","0.78",".286",".413",".513",".926",".227","2.9",".337","-0.3","102","38.9",".417","162","6867"
"Erik Morrison","Rangers (A)","23","398","7.8 %","20.1 %","0.39",".297",".368",".558",".926",".261","5.4",".337","-0.2","74","27.9",".415","160","sa454966"
"Kyler Burke","Cubs (A)","21","555","14.1 %","17.8 %","0.79",".303",".405",".505",".911",".202","5.9",".353","1.8","103","36.4",".412","155","sa326508"
"Kyle Russell","Dodgers (A)","23","563","12.8 %","32.0 %","0.40",".272",".371",".545",".916",".272","7.6",".376","3.1","103","35.4",".409","152","sa454496"
"Ryan Lavarnway","Red Sox (A)","21","466","10.7 %","24.2 %","0.44",".285",".367",".540",".907",".255","2.7",".341","-0.8","84","29.4",".406","154","8879"
"Billy Nowlin","Tigers (A)","22","480","7.7 %","14.0 %","0.55",".311",".390",".483",".873",".172","4.0",".341","0.3","84","26.3",".399","146","sa455337"
"Jim Murphy","Phillies (A)","23","481","12.3 %","27.2 %","0.45",".279",".393",".467",".860",".188","3.1",".376","-1.5","83","27.2",".397","148","sa454769"
"Jordan Pacheco","Rockies (A)","23","507","7.5 %","8.7 %","0.86",".322",".379",".492",".871",".171","5.4",".329","1.3","87","27.8",".395","147","2677"
