"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Jake Lamb","Diamondbacks (AA)","23","439","11.4 %","22.6 %","0.51",".318",".399",".551",".949",".233","3.6",".389","-0.1","81","31.2",".419","162","13329"
"Michael A. Taylor","Nationals (AA)","23","441","11.3 %","29.5 %","0.38",".313",".396",".539",".935",".227","6.7",".421","3.3","82","30.8",".415","160","11489"
"Scott Schebler","Dodgers (AA)","23","560","8.0 %","19.6 %","0.41",".280",".365",".556",".921",".276","6.4",".308","0.3","99","34.9",".407","154","12225"
"Cedric Hunter","Braves (AA)","26","470","11.9 %","11.1 %","1.08",".295",".386",".495",".881",".200","5.2",".306","0.3","78","24.6",".394","146","2833"
"Kyle Kubitza","Braves (AA)","23","529","14.6 %","25.1 %","0.58",".295",".405",".470",".875",".175","7.1",".401","1.7","88","27.2",".393","145","12148"
"Brian Burgamy","Mets (AA)","33","527","13.5 %","19.2 %","0.70",".276",".376",".504",".880",".229","3.9",".307","0.2","89","27.3",".392","144","sa201557"
"Christian Walker","Orioles (AA)","23","411","9.2 %","20.2 %","0.46",".301",".367",".516",".884",".216","3.4",".337","-0.2","69","21.3",".392","144","13419"
"Sean Coyle","Red Sox (AA)","22","384","9.9 %","24.7 %","0.40",".295",".371",".512",".883",".217","5.8",".362","2.0","65","19.6",".391","144","sa548268"
"Rangel Ravelo","White Sox (AA)","22","551","10.2 %","14.0 %","0.73",".309",".386",".473",".859",".164","4.6",".343","-0.5","89","26.3",".388","142","sa548335"
"Darnell Sweeney","Dodgers (AA)","23","586","13.1 %","20.0 %","0.66",".288",".387",".463",".850",".176","5.3",".350","-3.5","94","27.4",".387","141","13284"
"Patrick Kivlehan","Mariners (AA)","24","431","10.2 %","18.1 %","0.56",".300",".374",".485",".860",".186","6.3",".348","0.1","69","20.0",".386","140","13910"
"Niuman Romero","Orioles (AA)","29","581","14.5 %","10.8 %","1.33",".320",".417",".417",".834",".098","3.9",".353","0.3","94","25.8",".382","138","5063"
"Matt Duffy","Giants (AA)","23","417","10.1 %","15.8 %","0.64",".332",".398",".444",".842",".112","6.4",".391","2.2","66","17.4",".379","136","13836"
