"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Rhys Hoskins","Phillies (AA)","23","589","12.1 %","21.2 %","0.57",".281",".377",".566",".943",".285","4.0",".297","0.5","108","39.9",".414","159","16472"
"Dylan Cozens","Phillies (AA)","22","586","10.4 %","31.7 %","0.33",".276",".350",".591",".941",".315","6.8",".348","3.9","106","37.6",".409","155","sa657955"
"Rowdy Tellez","Blue Jays (AA)","21","514","12.3 %","17.9 %","0.68",".297",".387",".530",".917",".233","3.5",".324","-0.3","91","31.2",".405","152","sa738437"
"Tyler O'Neill","Mariners (AA)","21","575","10.8 %","26.1 %","0.41",".293",".374",".508",".882",".215","5.1",".364","1.1","96","32.9",".398","152","sa737633"
"Aneury Tavarez","Red Sox (AA)","24","425","6.8 %","15.1 %","0.45",".335",".379",".506",".886",".171","6.8",".381","-0.8","71","21.9",".393","144","sa598684"
"Phillip Evans","Mets (AA)","23","386","4.9 %","15.5 %","0.32",".335",".374",".485",".859",".150","2.1",".384","-0.1","63","17.9",".386","140","12950"
"Barrett Barnes","Pirates (AA)","24","458","9.0 %","22.9 %","0.39",".306",".377",".477",".853",".170","6.3",".392","0.5","73","20.1",".383","138","sa577859"
"Bradley Zimmer","Indians (AA)","23","407","13.8 %","28.3 %","0.49",".253",".371",".471",".842",".218","7.9",".341","1.4","64","16.9",".380","136","16221"
"Luke Voit","Cardinals (AA)","25","546","9.5 %","15.2 %","0.63",".297",".372",".477",".849",".180","3.4",".323","-0.6","87","27.0",".380","145","14811"
"Chance Sisco","Orioles (AA)","21","479","12.3 %","17.3 %","0.71",".320",".406",".422",".828",".102","2.4",".387","-0.3","75","19.4",".379","135","15694"
"Cody Bellinger","Dodgers (AA)","20","465","12.7 %","20.2 %","0.63",".263",".359",".484",".843",".221","3.9",".287","0.8","73","21.4",".375","142","15998"
"Matt Chapman","Athletics (AA)","23","504","11.7 %","29.2 %","0.40",".244",".335",".521",".856",".276","5.3",".293","-0.2","79","22.9",".374","141","16505"
"Jason Krizan","Tigers (AA)","27","406","11.1 %","6.7 %","1.67",".292",".367",".469",".836",".177","3.9",".292","-0.7","62","14.8",".374","132","sa546842"
"Willy Adames","Rays (AA)","20","568","13.0 %","21.3 %","0.61",".274",".372",".430",".802",".156","6.2",".342","-0.2","84","21.8",".372","135","sa736655"
"Dominic Smith","Mets (AA)","21","542","9.2 %","13.7 %","0.68",".302",".367",".457",".824",".155","2.9",".329","0.1","81","18.7",".371","130","15653"
"Clint Frazier","Indians (AA)","21","391","10.5 %","22.0 %","0.48",".276",".356",".469",".825",".194","5.3",".331","1.0","59","13.4",".371","129","15983"
"Nellie Rodriguez","Indians (AA)","22","579","13.0 %","32.1 %","0.40",".250",".352",".474",".826",".224","2.6",".339","0.3","87","19.5",".370","129","sa658264"
"Jake Bauers","Rays (AA)","20","581","12.6 %","15.3 %","0.82",".274",".370",".420",".789",".146","3.9",".305","-0.8","84","20.1",".367","132","sa737848"
"Jake Fox","Phillies (AA)","33","471","8.1 %","20.8 %","0.39",".264",".329",".494",".823",".231","1.2",".290","0.1","69","14.2",".366","126","6267"
"Ronald Guzman","Rangers (AA)","21","416","7.9 %","19.7 %","0.40",".288",".348",".477",".825",".189","4.4",".331","0.0","62","16.0",".365","135","sa659670"
"Raimel Tapia","Rockies (AA)","22","457","5.5 %","10.7 %","0.51",".323",".363",".450",".813",".127","6.4",".349","-2.2","67","13.6",".365","126","14350"
"J.D. Davis","Astros (AA)","23","539","8.3 %","26.5 %","0.31",".268",".334",".485",".818",".216","2.1",".331","-1.0","80","20.2",".364","134","16219"
"Victor Caratini","Cubs (AA)","22","480","11.3 %","16.7 %","0.68",".291",".375",".405",".780",".114","3.4",".341","-0.4","67","15.1",".363","129","14968"
"Corey Toups","Royals (AA)","23","394","9.1 %","24.4 %","0.38",".275",".358",".450",".808",".175","6.7",".352","2.0","58","14.3",".362","133","sa829321"
"Derek Fisher","Astros (AA)","22","448","16.5 %","28.6 %","0.58",".245",".373",".431",".804",".186","6.3",".329","1.9","65","15.9",".361","132","16192"
"Phillip Ervin","Reds (AA)","23","505","12.9 %","17.4 %","0.74",".239",".362",".399",".761",".160","6.9",".271","2.9","70","14.5",".359","126","14738"
"Chesny Young","Cubs (AA)","23","553","10.3 %","11.6 %","0.89",".303",".376",".387",".763",".084","3.9",".340","-2.7","76","15.5",".358","126","sa829085"
"Nick Schulz","Padres (AA)","25","446","9.6 %","22.6 %","0.43",".282",".366",".422",".789",".140","2.7",".358","-0.6","64","14.6",".358","130","sa829877"
"Beau Taylor","Athletics (AA)","26","401","13.5 %","21.4 %","0.63",".280",".383",".398",".781",".118","2.0",".359","-0.2","57","13.0",".357","129","sa577780"
"Dustin Peterson","Braves (AA)","21","578","7.8 %","17.3 %","0.45",".282",".343",".431",".774",".149","3.6",".327","0.0","79","15.4",".356","124","sa737557"
"Ryan Cordell","Rangers (AA)","24","445","7.2 %","21.8 %","0.33",".264",".319",".484",".803",".220","6.8",".299","0.8","63","13.4",".354","127","sa737938"
"Corey Jones","Tigers (AA)","28","435","8.5 %","12.0 %","0.71",".288",".363",".412",".775",".124","3.9",".314","-0.3","60","9.1",".354","118","sa546893"
"Jeremy Lucas","Indians (AA)","25","398","11.3 %","18.6 %","0.61",".252",".350",".425",".775",".173","2.5",".287","-0.9","54","8.3",".354","118","sa503053"
"Dillon Thomas","Rockies (AA)","23","419","6.7 %","23.2 %","0.29",".289",".353",".425",".778",".136","4.1",".375","-0.6","57","8.5",".353","117","sa597958"
"Eric Wood","Pirates (AA)","23","464","11.2 %","19.0 %","0.59",".249",".339",".443",".782",".194","5.1",".278","-0.5","63","9.1",".352","117","sa602394"
"Joey Terdoslavich","Orioles (AA)","27","459","13.1 %","15.5 %","0.85",".246",".349",".419",".767",".173","1.7",".267","0.1","62","8.6",".351","116","10593"
"Jorge Alfaro","Phillies (AA)","23","435","5.1 %","24.1 %","0.21",".285",".325",".458",".783",".173","4.5",".347","-0.1","58","7.7",".350","115","12180"
"Harold Ramirez","- - -","21","419","5.3 %","15.8 %","0.33",".311",".360",".407",".767",".097","5.7",".368","-2.6","56","7.3",".350","115","sa660586"
"KC Serna","Phillies (AA)","26","381","10.2 %","15.2 %","0.67",".295",".371",".384",".755",".089","3.4",".344","-1.2","51","6.4",".349","114","sa598479"
"Willie Calhoun","Dodgers (AA)","21","560","8.0 %","11.6 %","0.69",".254",".318",".469",".788",".215","2.1",".242","0.0","76","14.4",".348","123","17838"
"Paul DeJong","Cardinals (AA)","22","552","7.2 %","26.1 %","0.28",".260",".324",".460",".784",".200","3.3",".318","-0.2","75","14.1",".348","123","18015"
"Ryan O'Hearn","Royals (AA)","22","466","10.3 %","28.1 %","0.37",".258",".339",".437",".776",".179","2.8",".342","-1.3","63","11.8",".348","123","sa829141"
"Mitch Garver","Twins (AA)","25","407","10.6 %","21.1 %","0.50",".257",".334",".419",".753",".162","1.8",".305","-1.3","53","8.1",".347","118","15161"
"Christian Lopes","Blue Jays (AA)","23","450","7.3 %","15.8 %","0.46",".295",".357",".401",".758",".106","4.9",".348","0.3","59","7.0",".347","113","sa601044"
"Jordan Smith","Indians (AA)","25","392","9.7 %","19.1 %","0.51",".271",".344",".423",".767",".151","6.1",".326","0.6","51","5.9",".346","113","sa579297"
"Erich Weiss","Pirates (AA)","24","520","9.4 %","17.3 %","0.54",".276",".352",".408",".759",".132","5.5",".331","0.1","68","7.7",".346","113","sa737930"
"Rosell Herrera","Rockies (AA)","23","494","11.3 %","16.0 %","0.71",".292",".374",".379",".753",".087","6.4",".345","4.1","64","7.2",".346","112","sa547996"
"Lane Adams","- - -","26","423","9.7 %","24.6 %","0.39",".269",".351",".395",".746",".126","6.8",".349","6.0","55","6.2",".345","113","10767"
"Dansby Swanson","Braves (AA)","22","377","9.3 %","18.8 %","0.49",".261",".342",".402",".745",".141","6.4",".309","0.1","48","6.9",".345","117","18314"
"Dwight Smith Jr.","Blue Jays (AA)","23","527","8.5 %","17.3 %","0.49",".265",".332",".433",".765",".168","5.1",".296","-0.4","68","6.9",".344","111","13473"
"Stetson Allie","Pirates (AA)","25","414","10.1 %","26.6 %","0.38",".247",".324",".444",".768",".197","3.3",".303","-0.5","53","5.3",".344","111","sa548192"
"Brandon Dixon","Reds (AA)","24","461","6.5 %","29.7 %","0.22",".260",".315",".434",".749",".174","5.2",".342","0.8","58","7.3",".342","115","sa737637"
"Dustin Fowler","Yankees (AA)","21","574","3.8 %","15.0 %","0.26",".281",".311",".458",".770",".177","7.2",".313","0.6","73","6.3",".341","109","17098"
"Viosergy Rosa","Athletics (AA)","26","535","13.8 %","26.2 %","0.53",".255",".359",".383",".742",".129","1.3",".347","-0.6","70","10.7",".341","118","sa549558"
"Pat Valaika","Rockies (AA)","23","474","5.9 %","20.0 %","0.29",".269",".314",".450",".764",".181","5.0",".315","-2.0","60","5.1",".341","109","14885"
"Connor Harrell","Tigers (AA)","25","405","5.4 %","26.4 %","0.21",".273",".340",".402",".742",".128","4.2",".361","0.1","51","4.3",".341","109","sa658840"
"Franklin Barreto","Athletics (AA)","20","507","7.1 %","17.8 %","0.40",".281",".340",".413",".753",".132","6.1",".330","0.2","66","9.7",".340","117","15519"
"Brett Phillips","Brewers (AA)","22","517","13.0 %","29.8 %","0.44",".229",".332",".397",".729",".168","5.7",".311","-0.7","64","7.4",".340","113","14735"
"Zack Granite","Twins (AA)","23","584","7.2 %","7.4 %","0.98",".295",".347",".382",".729",".087","8.2",".312","5.3","72","8.2",".339","113","15343"
"D.J. Hicks","Twins (AA)","26","477","10.9 %","22.9 %","0.48",".264",".348",".371",".719",".107","2.3",".342","0.0","59","6.6",".339","113","sa658310"
"Bengie Gonzalez","Mariners (AA)","26","569","10.0 %","14.6 %","0.69",".271",".342",".386",".729",".116","6.1",".311","0.3","70","7.5",".338","112","sa454764"
"Matt Oberste","Mets (AA)","24","462","8.2 %","17.3 %","0.48",".283",".340",".409",".749",".126","2.8",".324","-0.5","57","3.9",".338","107","sa737845"
"Derrik Gibson","Mets (AA)","26","446","9.9 %","15.7 %","0.63",".281",".363",".362",".725",".082","6.3",".336","1.3","55","3.7",".338","107","sa456041"
"Jesmuel Valentin","Phillies (AA)","22","388","9.8 %","14.4 %","0.68",".276",".346",".399",".745",".123","5.5",".313","-0.3","48","3.2",".338","107","sa657867"
"Victor Cruzado","Mets (AA)","24","420","12.1 %","19.8 %","0.61",".261",".353",".374",".727",".113","3.4",".316","-1.2","52","3.1",".336","106","sa597033"
"Tim Lopes","Mariners (AA)","22","581","9.3 %","15.1 %","0.61",".284",".358",".355",".713",".071","6.5",".338","2.3","70","6.8",".336","111","sa658008"
"Tyler Marincov","Athletics (AA)","24","423","9.5 %","21.5 %","0.44",".267",".340",".404",".743",".136","4.7",".325","-0.9","54","6.8",".336","115","sa550348"
"Alex Verdugo","Dodgers (AA)","20","529","8.3 %","12.7 %","0.66",".273",".336",".407",".743",".134","2.5",".292","-1.9","66","7.3",".333","113","17027"
"Hunter Cole","Giants (AA)","23","513","6.0 %","22.4 %","0.27",".271",".319",".420",".739",".149","3.3",".329","-1.1","62","2.2",".333","104","sa603087"
"Frank Schwindel","Royals (AA)","24","485","3.7 %","17.7 %","0.21",".270",".301",".446",".747",".176","2.0",".289","-0.2","60","6.3",".332","112","sa738182"
"Dante Bichette","Yankees (AA)","23","427","12.4 %","19.0 %","0.65",".243",".342",".373",".715",".131","3.4",".286","0.5","51","1.5",".332","103","sa597776"
"Garabez Rosa","Orioles (AA)","26","476","2.9 %","21.8 %","0.13",".303",".326",".412",".738",".108","2.8",".374","-1.1","57","1.7",".332","103","sa455978"
"Eddy Alvarez","White Sox (AA)","26","463","9.9 %","16.4 %","0.61",".263",".339",".367",".706",".104","4.6",".308","-0.9","54","3.7",".331","107","sa806877"
