"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Angel Salome","Brewers (AA)","22","412","8.0 %","13.8 %","0.58",".360",".415",".559",".973",".199","3.9",".394","-0.1","81","30.7",".432","160","7536"
"Jake Fox","Cubs (AA)","25","459","10.0 %","15.9 %","0.63",".307",".397",".580",".976",".273","3.8",".315","0.1","89","32.7",".428","158","6267"
"Luis Montanez","Orioles (AA)","26","501","7.2 %","12.6 %","0.57",".335",".385",".601",".986",".266","4.9",".338","-0.9","98","37.2",".427","161","2923"
"Dexter Fowler","Rockies (AA)","22","505","12.9 %","17.6 %","0.73",".335",".431",".515",".946",".181","7.3",".405","0.4","97","33.5",".422","153","4062"
"Tony Blanco","Rockies (AA)","26","442","7.0 %","16.7 %","0.42",".323",".385",".587",".973",".264","3.2",".343","0.3","85","29.2",".422","152","2522"
"Mike Wilson","Mariners (AA)","25","485","12.8 %","24.1 %","0.53",".276",".388",".549",".938",".273","5.3",".322","2.0","89","29.8",".416","150","3806"
"Drew Sutton","Astros (AA)","25","606","12.5 %","16.2 %","0.78",".317",".408",".523",".931",".206","5.7",".358","0.8","112","36.1",".414","147","7430"
"Mat Gamel","Brewers (AA)","22","572","9.6 %","19.4 %","0.50",".329",".395",".537",".933",".209","5.0",".386","-1.6","104","33.7",".413","148","4034"
"Gaby Sanchez","Marlins (AA)","24","558","12.4 %","12.5 %","0.99",".314",".404",".513",".917",".199","4.1",".337","0.2","101","31.8",".410","146","3361"
"Kyle Blanks","Padres (AA)","21","565","9.0 %","15.9 %","0.57",".325",".404",".514",".918",".189","4.3",".362","-0.8","103","31.9",".410","145","49"
"Marshall Hubbard","Mariners (AA)","26","379","14.8 %","16.6 %","0.89",".291",".407",".505",".912",".214","3.7",".326","-1.2","68","21.2",".409","146","sa254467"
"Matt LaPorta","- - -","23","433","11.3 %","17.3 %","0.65",".279",".386",".539",".924",".260","3.5",".293","0.1","77","24.0",".407","145","2280"
"Adam Moore","Mariners (AA)","24","490","8.2 %","15.7 %","0.52",".319",".396",".506",".902",".186","2.5",".362","-0.2","87","26.8",".407","144","9362"
"Doug Deeds","Cubs (AA)","27","468","9.2 %","21.4 %","0.43",".325",".389",".514",".904",".190","5.5",".401","1.4","82","23.9",".403","142","sa202246"
"Kala Ka'aihue","Braves (AA)","23","475","18.5 %","25.1 %","0.74",".274",".417",".457",".874",".184","2.9",".360","-1.5","82","23.6",".401","140","sa244055"
"John Raynor","Marlins (AA)","24","534","11.6 %","22.8 %","0.51",".312",".402",".489",".890",".177","8.7",".394","5.1","92","26.4",".401","140","9450"
"Danny Dorn","Reds (AA)","23","388","10.8 %","21.6 %","0.50",".277",".367",".539",".906",".262","4.0",".309","0.3","67","18.9",".400","140","1050"
"Ben Harrison","Rangers (AA)","26","392","10.7 %","25.3 %","0.42",".300",".385",".518",".903",".218","5.4",".374","2.7","68","18.7",".399","138","sa254458"
"Jason Donald","Phillies (AA)","23","414","11.4 %","20.8 %","0.55",".307",".391",".497",".889",".191","5.8",".369","1.4","71","20.9",".397","141","9331"
"Aaron Cunningham","Athletics (AA)","22","401","9.5 %","22.9 %","0.41",".317",".386",".507",".894",".190","7.0",".394","0.6","68","17.8",".395","135","4087"
"Matt Miller","Rockies (AA)","25","461","9.5 %","9.8 %","0.98",".344",".408",".469",".877",".125","3.1",".363","-0.1","78","20.4",".395","135","sa253307"
"Wilkin Ramirez","Tigers (AA)","22","482","8.9 %","28.6 %","0.31",".303",".371",".522",".893",".219","7.3",".404","0.1","82","23.4",".395","140","5219"
"Lou Marson","Phillies (AA)","22","395","17.2 %","17.7 %","0.97",".314",".433",".416",".849",".102","2.3",".384","-0.6","67","18.6",".393","139","7610"
"Mike Carp","Mets (AA)","22","566","14.0 %","15.5 %","0.90",".299",".403",".471",".874",".172","1.9",".335","-0.6","96","26.5",".393","138","7480"
"Chris Nowak","Rays (AA)","25","535","10.3 %","14.6 %","0.71",".295",".381",".486",".867",".191","4.7",".324","-0.7","88","21.9",".390","133","sa253288"
"Zach Daeges","Red Sox (AA)","24","476","15.1 %","15.1 %","1.00",".307",".412",".454",".866",".147","3.7",".356","-0.2","79","21.1",".390","136","sa326803"
"Ivan De Jesus Jr.","Dodgers (AA)","21","560","13.6 %","14.5 %","0.94",".324",".419",".423",".843",".099","5.4",".374","2.6","91","22.5",".389","133","9886"
"Cole Gillespie","Brewers (AA)","24","550","13.6 %","18.5 %","0.74",".281",".386",".472",".858",".190","6.1",".331","3.2","89","21.7",".388","132","5888"
"Bryan Byrne","Diamondbacks (AA)","24","491","13.4 %","14.3 %","0.94",".303",".405",".433",".838",".130","1.8",".345","-0.9","80","19.3",".388","132","sa291107"
"Dustin Majewski","Rangers (AA)","26","519","15.8 %","15.8 %","1.00",".286",".403",".449",".852",".163","4.5",".331","-1.1","85","19.7",".387","130","sa226256"
"Allen Craig","Cardinals (AA)","23","568","8.5 %","15.3 %","0.55",".304",".373",".494",".867",".190","2.5",".329","-0.1","93","21.1",".386","129","3433"
"Johan Limonta","Mariners (AA)","24","404","9.2 %","21.5 %","0.43",".296",".366",".501",".868",".205","5.2",".365","-0.1","65","15.2",".386","131","sa328092"
"Nolan Reimold","Orioles (AA)","24","586","10.8 %","14.0 %","0.77",".284",".367",".501",".868",".217","4.4",".292","0.2","95","23.3",".384","133","3441"
"Jeremy Slayden","Phillies (AA)","25","552","9.8 %","19.0 %","0.51",".298",".377",".480",".858",".182","2.9",".348","-2.1","89","21.7",".383","132","sa294415"
