"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Erik Lis","Twins (A)","22","105","411","465","134","78","37","3","16","69","70","51","6","83","2","1","0","5","4","3",".326","sa290214"
"Eugenio Velez","Giants (A)","24","126","460","508","145","82","29","20","14","90","90","34","2","81","8","5","1","9","64","15",".315","3893"
"Will Venable","Padres (A)","23","124","472","541","148","98","34","5","11","86","91","55","4","81","7","6","1","8","18","5",".314","211"
"Jeremy Slayden","Phillies (A)","23","107","400","454","124","67","44","3","10","65","81","41","7","89","8","5","0","14","5","0",".310","sa294415"
"Lorenzo Cain","Brewers (A)","20","132","527","604","162","116","36","4","6","91","60","58","1","104","11","5","2","12","34","11",".307","9077"
"Randy Roth","Cardinals (A)","24","97","384","418","118","73","25","2","18","57","67","20","3","49","10","4","0","8","9","6",".307","sa290223"
"Ryan Norwood","Cubs (A)","23","134","505","554","155","112","28","0","15","62","69","27","3","106","14","8","0","11","5","0",".307","sa253800"
"Aaron Cunningham","White Sox (A)","20","95","341","402","104","64","26","3","11","58","41","34","1","72","13","3","11","4","19","10",".305","4087"
"Cameron Maybin","Tigers (A)","19","101","385","445","117","82","20","6","9","59","69","50","3","116","5","5","0","9","27","7",".304","5223"
"Jesus Valdez","Cubs (A)","21","130","510","547","154","123","25","1","5","63","61","22","2","73","9","3","3","14","10","6",".302","sa244229"
"Bryan Anderson","Cardinals (A)","19","109","381","432","115","80","29","3","3","50","51","42","2","66","5","2","1","13","2","6",".302","9871"
"Cole Garner","Rockies (A)","21","120","464","512","140","79","40","2","19","100","88","25","0","127","15","6","2","6","35","13",".302","616"
"Mark Wagner","Red Sox (A)","22","96","355","407","107","67","32","1","7","49","45","42","0","52","8","2","0","11","1","3",".301","sa294138"
"Jason Delaney","Pirates (A)","23","128","456","518","137","98","27","3","9","64","75","56","0","79","2","1","3","10","5","5",".300","sa291783"
"Michael Brantley","Brewers (A)","19","108","360","435","108","96","10","2","0","47","42","61","0","51","4","5","5","5","24","7",".300","4106"
"Jeff Baisley","Athletics (A)","23","124","466","545","139","81","35","1","22","86","110","62","4","86","7","10","0","12","6","1",".298","9684"
"Ben Jones","Yankees (A)","24","110","383","455","114","71","18","4","21","63","88","59","1","85","13","0","0","13","0","2",".298","sa253959"
"Hainley Statia","Angels (A)","20","111","417","480","124","91","31","1","1","68","38","52","2","54","3","0","8","7","23","15",".297","sa254151"
"Dexter Fowler","Rockies (A)","20","99","405","458","120","75","31","6","8","92","46","43","0","79","7","1","2","8","43","23",".296","4062"
"Phillip Cuadrado","Rockies (A)","22","105","378","432","112","75","20","2","15","58","86","35","1","72","14","4","1","4","3","9",".296","sa293540"
"Eric Campbell","Braves (A)","20","116","449","480","133","81","27","3","22","83","77","23","1","68","5","3","0","16","18","4",".296","sa253853"
"Isaac Omura","Athletics (A)","22","93","348","395","103","78","19","1","5","48","47","32","0","49","3","7","5","12","1","1",".296","sa293083"
"Anthony Contreras","Giants (A)","22","121","467","500","138","116","18","2","2","60","54","24","1","61","3","4","2","11","13","5",".296","sa291727"
"Justin Justice","Tigers (A)","21","112","414","472","122","85","22","9","6","51","67","41","1","101","6","8","3","8","15","5",".295","sa253952"
"Eric Young Jr.","Rockies (A)","21","128","482","569","142","103","28","6","5","92","49","67","0","75","10","1","9","1","87","31",".295","7158"
"Reegie Corona","Yankees (A)","19","96","359","402","105","87","13","2","3","52","40","30","0","45","5","5","3","9","26","7",".292","sa254678"
"Max Ramirez","- - -","21","117","394","487","115","78","23","1","13","69","63","84","0","99","4","5","0","8","2","0",".292","5039"
"Antoan Richardson","Giants (A)","22","124","418","493","122","99","17","4","2","78","28","54","0","73","9","5","7","4","66","9",".292","209"
"Angel Salome","Brewers (A)","20","105","418","468","122","79","31","2","10","63","85","39","3","63","2","8","0","18","7","3",".292","7536"
"Andrew McCutchen","Pirates (A)","19","114","453","503","132","94","20","4","14","77","62","42","3","91","5","3","0","8","22","7",".291","9847"
"Jay Bruce","Reds (A)","19","117","444","498","129","66","42","5","16","69","81","44","4","106","4","6","0","7","19","9",".291","9892"
"Ricardo Sosa","Diamondbacks (A)","22","90","334","371","97","72","18","2","5","48","36","27","2","52","8","2","0","8","5","2",".290","sa245445"
"Tony Festa","Brewers (A)","25","109","372","432","108","81","19","2","6","55","60","42","0","56","12","3","3","13","4","6",".290","sa253760"
"Yahmed Yema","Red Sox (A)","21","112","450","491","130","92","22","8","8","51","65","23","3","70","7","7","4","6","7","4",".289","sa291544"
"Andy Jenkins","Marlins (A)","22","128","479","535","138","105","26","2","5","52","73","41","0","89","10","5","0","16","6","4",".288","sa294515"
"Mat Gamel","Brewers (A)","20","129","493","555","142","92","28","5","17","65","88","52","8","81","5","5","0","7","9","2",".288","4034"
"Anthony Recker","Athletics (A)","22","109","407","453","117","76","24","3","14","52","57","42","2","115","3","1","0","10","5","5",".287","4063"
"Mike Mooney","Giants (A)","23","134","494","557","142","96","28","7","11","82","74","44","1","115","12","7","0","7","38","10",".287","sa225828"
"Ned Yost IV","Brewers (A)","23","93","331","378","95","62","21","6","6","48","46","33","1","87","5","6","3","2","7","3",".287","sa291095"
"Bryan Byrne","Diamondbacks (A)","22","120","437","522","125","91","24","0","10","68","72","70","2","88","8","7","0","7","3","2",".286","sa291107"
"Eli Tintor","Twins (A)","21","116","410","436","117","84","19","2","12","52","54","19","2","96","3","3","1","15","7","5",".285","sa244038"
"Tony Granadillo","Red Sox (A)","21","116","420","486","119","75","29","2","13","70","68","43","1","79","11","7","5","9","3","0",".283","sa254517"
"Darren Ford","Brewers (A)","20","125","491","566","139","105","24","3","7","93","54","56","1","133","4","1","14","4","69","15",".283","109"
"Jason Van Kooten","Rockies (A)","21","98","357","402","101","75","22","2","2","59","39","27","0","80","11","2","5","5","20","15",".283","sa262052"
"Steve Kleen","Athletics (A)","23","126","466","532","131","98","24","4","5","79","59","48","0","87","13","4","1","11","5","3",".281","sa291755"
"Brad Corley","Pirates (A)","22","134","534","575","150","100","32","2","16","87","100","18","0","109","18","5","0","16","9","3",".281","sa294002"
"Ben Copeland","Giants (A)","22","135","527","610","148","102","29","12","5","90","71","73","1","90","3","5","2","8","30","21",".281","sa294477"
"Sergio Pedroza","Dodgers (A)","22","89","317","410","89","43","24","1","21","61","75","73","2","91","17","3","0","5","2","6",".281","sa294295"
"Paul Kelly","Twins (A)","19","95","378","423","106","77","22","4","3","58","48","32","2","60","11","2","0","8","4","5",".280","sa290175"
"Edgardo Baez","Nationals (A)","20","94","355","395","99","69","22","2","6","46","44","30","0","80","3","5","2","16","3","2",".279","sa244287"
"Michael Hollimon","Tigers (A)","24","128","449","537","125","68","29","13","15","69","54","77","6","124","4","4","3","1","19","5",".278","3674"
"Mike Hernandez","Tigers (A)","22","87","349","377","97","62","19","3","13","40","63","19","1","68","4","5","0","9","2","1",".278","sa325559"
"Dee Brown","Nationals (A)","23","103","385","423","107","74","22","5","6","55","51","18","0","90","13","7","0","6","12","4",".278","sa291734"
"Pedro Cotto","Tigers (A)","24","108","421","471","117","97","19","1","0","61","34","39","0","29","5","4","2","11","7","3",".278","sa202775"
"Brad Coon","Angels (A)","23","124","457","555","127","101","18","8","0","79","29","75","0","82","6","6","11","5","55","21",".278","sa291705"
"Ivan De Jesus Jr.","Dodgers (A)","19","126","483","563","134","114","17","2","1","65","44","63","0","85","4","7","6","13","16","5",".277","9886"
"Craig Tatum","Reds (A)","23","98","343","381","95","66","21","0","8","41","37","32","2","70","4","2","0","7","3","1",".277","7468"
"Gregory Thomson","Diamondbacks (A)","22","112","372","414","103","69","28","2","4","56","41","30","1","66","11","0","1","5","14","3",".277","sa291121"
"Mike Bell","Brewers (A)","21","116","430","487","119","70","32","5","12","77","68","42","1","72","6","4","5","20","9","6",".277","sa290370"
"Tommy Manzella","Astros (A)","23","99","338","387","93","63","22","1","7","50","43","33","1","80","3","5","8","12","16","8",".275","3789"
"Seth Johnston","Padres (A)","23","112","458","497","126","83","33","0","10","72","58","32","3","80","5","1","0","10","3","1",".275","sa294700"
"Ronald Garth","Mariners (A)","21","109","404","450","111","77","22","2","10","48","48","26","1","81","15","3","2","8","11","8",".275","sa293542"
