"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Tug Hulett","Mariners (AAA)","25","91","336","400","100","59","22","5","14","71","47","49","3","73","0","7","8","4","10","5",".298","7451"
"Mark Saccomanno","Astros (AAA)","28","137","528","572","157","95","33","2","27","83","84","35","2","94","1","6","1","16","4","3",".297","5938"
"Andrew Beattie","Marlins (AAA)","30","129","442","491","131","90","26","4","11","72","60","40","0","87","1","6","2","13","13","4",".296","sa210413"
"Joaquin Arias","Rangers (AAA)","23","104","432","460","128","97","15","9","7","59","49","19","0","53","3","2","4","10","23","5",".296","3817"
"Brandon Wood","Angels (AAA)","23","103","395","448","117","63","21","2","31","82","84","45","1","104","6","2","0","9","6","5",".296","6592"
"Brett Gardner","Yankees (AAA)","24","94","341","426","101","75","12","11","3","68","32","70","2","76","1","3","11","2","37","9",".296","9927"
"Casey McGehee","Cubs (AAA)","25","133","497","550","147","105","30","0","12","68","92","40","0","89","3","10","0","14","0","3",".296","6086"
"Chris Aguila","Mets (AAA)","29","116","420","479","124","73","20","2","29","74","73","53","2","102","4","2","0","11","13","4",".295","2143"
"Chris Richard","Rays (AAA)","34","131","467","539","137","75","32","4","26","82","88","55","4","127","10","6","1","5","5","0",".293","163"
"Will Venable","Padres (AAA)","25","120","442","496","129","85","26","4","14","70","58","44","0","103","5","2","3","7","7","3",".292","211"
"Tike Redman","Orioles (AAA)","31","116","463","527","135","109","19","4","3","77","36","48","1","50","4","4","8","5","13","12",".292","1003"
"Angel Chavez","Dodgers (AAA)","26","117","463","501","135","94","31","0","10","68","68","27","0","54","4","2","5","12","5","3",".292","2224"
"Josh Phelps","Cardinals (AAA)","30","126","461","528","134","70","31","2","31","90","97","56","4","109","7","4","0","14","2","2",".291","1318"
"Chris Frey","Rockies (AAA)","24","127","421","451","122","89","25","5","3","50","42","22","2","53","0","3","5","6","12","4",".290","sa291760"
"Drew T. Anderson","Reds (AAA)","27","108","404","441","117","72","28","9","8","54","71","21","3","100","7","4","5","8","4","6",".290","5578"
"Todd Linden","- - -","28","113","402","477","116","71","27","1","17","64","62","66","2","123","7","0","2","11","4","2",".289","1803"
"Andy Tracy","Phillies (AAA)","34","124","430","507","124","68","34","0","22","71","85","65","8","96","4","6","2","16","5","0",".288","2024"
"Fernando Perez","Rays (AAA)","25","129","511","579","147","114","17","11","5","86","36","58","2","156","2","3","5","3","43","12",".288","7755"
"Diory Hernandez","Braves (AAA)","24","120","459","490","132","101","23","3","5","46","53","20","0","73","2","5","4","16","7","5",".288","4950"
"Adam Rosales","Reds (AAA)","25","117","432","473","124","77","29","7","11","70","58","22","0","82","14","4","1","6","7","1",".287","9682"
"Chris Dickerson","Reds (AAA)","26","97","349","414","100","64","16","9","11","65","53","54","2","102","3","3","5","2","26","7",".287","7095"
"Juan Miranda","Yankees (AAA)","25","99","356","417","102","68","22","0","12","40","52","55","3","79","3","3","0","6","2","1",".287","7783"
"Buck Coats","Blue Jays (AAA)","26","114","447","493","128","93","23","5","7","67","44","36","1","89","4","4","2","9","14","7",".286","2945"
"Brad Nelson","Brewers (AAA)","25","132","475","553","136","81","36","1","18","78","78","73","3","77","1","4","0","13","13","8",".286","3821"
"Jason Bourgeois","White Sox (AAA)","26","127","510","559","146","109","23","5","9","83","48","33","0","65","5","2","9","9","30","11",".286","2225"
"Michel Abreu","Mets (AAA)","29","120","425","473","121","82","24","0","15","62","66","38","1","59","3","6","0","23","1","0",".285","sa301748"
"Brian Barden","Cardinals (AAA)","27","103","411","456","117","83","21","4","9","60","35","38","0","72","4","3","0","13","3","3",".285","4429"
"Laynce Nix","Brewers (AAA)","27","103","380","420","108","60","22","3","23","63","60","36","3","88","2","2","0","8","5","3",".284","1766"
"Jason Repko","Dodgers (AAA)","27","121","459","535","130","85","26","7","12","89","50","50","2","108","18","4","4","6","20","6",".283","2628"
"Andrew McCutchen","Pirates (AAA)","21","135","512","590","145","107","26","3","9","75","50","68","1","87","6","3","1","8","34","19",".283","9847"
"Ryan Shealy","Royals (AAA)","28","111","400","468","113","69","22","0","22","53","65","55","0","93","8","5","0","22","0","1",".283","4443"
"Victor Diaz","- - -","26","129","485","557","137","72","40","0","25","69","107","61","6","168","6","4","1","10","9","3",".282","3424"
"Matt Tuiasosopo","Mariners (AAA)","22","111","437","500","123","76","32","2","13","87","73","47","0","104","12","4","0","9","4","0",".281","8272"
"Jordan Brown","Indians (AAA)","24","109","420","460","118","78","30","3","7","52","51","35","5","67","2","3","0","8","3","3",".281","4121"
"Valentino Pascucci","- - -","29","139","478","581","134","81","25","0","28","76","88","95","0","134","5","3","0","11","4","2",".280","1915"
"Wes Bankston","Athletics (AAA)","24","97","375","405","105","65","19","1","20","56","73","21","2","71","7","2","0","8","0","2",".280","4661"
"Adam Pavkovich","Angels (AAA)","26","121","450","500","126","75","25","4","22","76","80","38","1","107","5","4","3","5","8","3",".280","sa225750"
