"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Rob Segedin","Dodgers (AAA)","27","424","9.4 %","19.1 %","0.49",".319",".392",".598",".989",".279","5.2",".356","-1.3","85","31.7",".425","159","11446"
"Brandon Nimmo","Mets (AAA)","23","444","10.4 %","16.4 %","0.63",".352",".423",".541",".964",".189","5.5",".411","-2.3","89","32.9",".424","159","12927"
"Xavier Scruggs","Marlins (AAA)","28","382","15.2 %","23.6 %","0.64",".290",".408",".565",".973",".274","3.4",".343","-0.2","76","27.4",".421","157","7409"
"Daniel Vogelbach","- - -","23","563","17.2 %","17.9 %","0.96",".292",".417",".505",".923",".214","2.2",".328","-0.2","104","33.4",".406","147","14130"
"Chad Huffman","Tigers (AAA)","31","511","11.9 %","18.2 %","0.66",".286",".387",".505",".892",".219","5.8",".325","0.0","86","31.4",".399","158","5311"
"T.J. Rivera","Mets (AAA)","27","442","5.2 %","12.2 %","0.43",".353",".393",".516",".909",".163","3.3",".383","-0.9","79","23.4",".398","142","12495"
"Darin Ruf","Phillies (AAA)","29","390","7.4 %","20.0 %","0.37",".294",".356",".529",".885",".234","2.5",".324","-0.2","64","22.1",".392","153","9929"
"Stefen Romero","Mariners (AAA)","27","462","7.8 %","14.5 %","0.54",".304",".361",".541",".902",".237","4.2",".317","-0.4","79","20.4",".388","135","11746"
"Joey Gallo","Rangers (AAA)","22","433","15.7 %","34.6 %","0.45",".240",".367",".529",".896",".290","5.5",".330","0.3","74","18.9",".387","135","14128"
"Yandy Diaz","Indians (AAA)","24","416","11.3 %","16.8 %","0.67",".325",".399",".461",".860",".136","4.7",".381","0.3","66","21.6",".386","149","16578"
"Stephen Cardullo","Rockies (AAA)","28","452","8.2 %","12.8 %","0.64",".308",".367",".522",".889",".214","5.3",".321","-0.3","76","19.2",".386","134","11204"
"Travis Taijeron","Mets (AAA)","27","541","12.4 %","30.7 %","0.40",".275",".372",".512",".884",".237","4.4",".381","-1.3","91","22.9",".385","134","11935"
"Kyle Jensen","Diamondbacks (AAA)","28","555","7.9 %","30.5 %","0.26",".289",".350",".546",".896",".257","2.9",".373","-0.4","93","23.3",".385","133","7706"
"Aaron Judge","Yankees (AAA)","24","410","11.5 %","23.9 %","0.48",".270",".366",".489",".854",".219","4.7",".319","0.8","64","20.7",".384","147","15640"
"Hunter Renfroe","Padres (AAA)","24","563","3.9 %","20.4 %","0.19",".306",".336",".557",".893",".251","5.3",".339","0.0","93","22.1",".382","131","15464"
"Josh Bell","Pirates (AAA)","23","484","11.8 %","15.3 %","0.77",".295",".382",".468",".850",".173","3.4",".328","-2.3","74","22.4",".379","143","13145"
"David Washington","Cardinals (AAA)","25","401","12.7 %","35.4 %","0.36",".255",".349",".528",".877",".272","2.9",".346","-1.5","65","14.6",".378","129","12110"
"Jordan Patterson","Rockies (AAA)","24","495","9.5 %","23.8 %","0.40",".293",".376",".480",".856",".187","7.2",".370","1.8","80","17.8",".378","129","15119"
"Carlos Asuaje","Padres (AAA)","24","597","8.2 %","13.7 %","0.60",".321",".378",".473",".851",".151","6.5",".363","-0.4","96","20.9",".377","128","15197"
"Gavin Cecchini","Mets (AAA)","22","499","9.6 %","11.0 %","0.87",".325",".390",".448",".838",".123","3.9",".357","0.2","80","17.4",".377","128","17005"
"Hunter Dozier","Royals (AAA)","24","434","9.2 %","23.0 %","0.40",".294",".357",".506",".864",".212","3.7",".358","0.0","69","14.5",".375","126","15117"
"Roger Bernadina","Mets (AAA)","32","446","10.8 %","20.9 %","0.52",".292",".376",".465",".841",".173","6.7",".360","1.7","71","14.4",".373","126","6421"
"Chris Marrero","Red Sox (AAA)","27","544","8.5 %","15.6 %","0.54",".284",".344",".494",".838",".210","1.8",".299","-0.3","80","22.0",".371","138","2852"
