"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Geovany Soto","Cubs (AAA)","24","449","11.8 %","20.9 %","0.56",".353",".424",".652","1.076",".299","2.9",".401","0.1","102","41.9",".451","170","3707"
"Brian Myrow","Padres (AAA)","30","414","13.5 %","17.9 %","0.76",".354",".440",".579","1.019",".225","3.9",".410","0.3","88","33.5",".437","161","3702"
"Jason Botts","Rangers (AAA)","26","460","17.6 %","22.2 %","0.79",".320",".436",".545",".980",".225","3.3",".401","-0.4","92","30.8",".421","150","2907"
"Shelley Duncan","Yankees (AAA)","27","387","11.6 %","21.2 %","0.55",".295",".380",".577",".957",".283","2.9",".319","-0.5","72","26.8",".417","160","3620"
"Adam Jones","Mariners (AAA)","21","469","7.7 %","22.6 %","0.34",".314",".382",".586",".967",".271","5.7",".368","-1.6","90","27.5",".412","144","6368"
"Valentino Pascucci","Marlins (AAA)","28","530","12.6 %","23.2 %","0.54",".284",".389",".577",".967",".293","4.8",".317","1.4","101","31.0",".411","144","1915"
"Jack Hannahan","Tigers (AAA)","27","417","18.2 %","22.1 %","0.83",".295",".422",".476",".898",".182","3.1",".366","-1.2","73","25.1",".406","152","3692"
"Delwyn Young","Dodgers (AAA)","25","537","7.1 %","19.6 %","0.36",".337",".384",".571",".955",".235","5.5",".396","-0.5","100","28.8",".406","140","4563"
"Justin Ruggiano","Devil Rays (AAA)","25","546","9.7 %","27.7 %","0.35",".309",".386",".502",".888",".193","5.4",".413","0.6","92","29.0",".397","146","7620"
"Scott Seabol","Marlins (AAA)","32","573","9.8 %","16.6 %","0.59",".300",".366",".577",".943",".276","5.7",".308","0.3","102","26.3",".397","135","846"
"Craig Brazell","Royals (AAA)","27","455","4.4 %","18.2 %","0.24",".307",".337",".605",".942",".298","1.6",".317","-0.4","80","19.9",".395","133","2081"
"Seth Smith","Rockies (AAA)","24","506","7.7 %","14.4 %","0.53",".317",".381",".528",".909",".211","5.3",".345","0.1","89","21.5",".393","132","7331"
"Nate Schierholtz","Giants (AAA)","23","439","3.9 %","13.2 %","0.29",".333",".365",".560",".925",".226","6.5",".355","0.2","77","18.4",".393","132","6201"
"Nick Green","- - -","28","419","5.5 %","22.7 %","0.24",".313",".354",".561",".915",".248","5.2",".366","-1.2","73","19.1",".392","134","1502"
"Mike Hessman","Tigers (AAA)","29","498","12.9 %","30.7 %","0.42",".254",".356",".540",".896",".287","3.8",".313","-3.4","82","24.2",".391","142","1808"
"Ben Francisco","Indians (AAA)","25","425","8.5 %","15.5 %","0.55",".318",".382",".496",".878",".178","5.7",".359","1.0","70","20.7",".391","142","4677"
"Chris Richard","Devil Rays (AAA)","33","404","10.4 %","21.0 %","0.49",".284",".384",".488",".872",".205","5.6",".336","0.5","65","18.6",".388","140","163"
"Justin Leone","Giants (AAA)","30","515","15.1 %","21.2 %","0.72",".269",".383",".498",".880",".229","7.3",".313","4.8","86","17.5",".383","126","2157"
"Jeff Salazar","Diamondbacks (AAA)","26","472","11.9 %","11.9 %","1.00",".299",".385",".495",".880",".197","7.5",".321","1.3","78","15.8",".383","125","4507"
"Joey Votto","Reds (AAA)","23","580","12.1 %","19.0 %","0.64",".294",".381",".478",".859",".183","4.2",".332","-0.8","91","23.9",".382","136","4314"
