"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Jack Cust","Padres (AAA)","27","591","24.2 %","21.0 %","1.15",".293",".467",".549","1.016",".256","1.5",".341","-1.2","129","54.8",".451","174","1564"
"Scott Hairston","Diamondbacks (AAA)","26","440","11.8 %","17.7 %","0.67",".323",".407",".591",".997",".268","4.0",".346","0.6","89","33.9",".432","161","1926"
"Terrmel Sledge","Padres (AAA)","29","434","13.6 %","17.3 %","0.79",".311",".402",".583",".985",".272","4.9",".328","-0.3","86","31.2",".425","157","1878"
"James Loney","Dodgers (AAA)","22","406","7.9 %","8.4 %","0.94",".380",".426",".546",".973",".167","4.6",".397","-0.4","80","28.3",".423","155","4556"
"Carlos Quentin","Diamondbacks (AAA)","23","396","11.4 %","11.6 %","0.98",".289",".424",".487",".912",".198","6.1",".313","1.0","74","23.7",".411","147","6274"
"Kevin Witt","Devil Rays (AAA)","30","542","9.2 %","24.4 %","0.38",".291",".360",".577",".937",".287","1.9",".328","-0.2","95","34.9",".407","158","362"
"Reggie Willits","Angels (AAA)","25","437","17.6 %","11.4 %","1.54",".327",".448",".426",".874",".099","7.0",".372","-0.4","78","23.2",".403","142","5590"
"Michael Restovich","Cubs (AAA)","27","506","10.3 %","23.9 %","0.43",".293",".374",".560",".933",".266","4.2",".344","0.0","90","26.1",".401","141","751"
"Ernie Young","White Sox (AAA)","36","417","13.2 %","20.4 %","0.65",".300",".405",".486",".891",".186","2.0",".361","-0.6","71","24.6",".400","153","79"
"Josh Phelps","Tigers (AAA)","28","522","7.3 %","23.8 %","0.31",".308",".370",".532",".903",".224","4.2",".368","0.6","88","29.9",".397","151","1318"
"Paul McAnulty","Padres (AAA)","25","552","11.2 %","14.3 %","0.78",".310",".388",".521",".909",".211","3.5",".332","-0.6","96","26.7",".397","138","4409"
"Jon Knott","Padres (AAA)","27","544","9.6 %","18.9 %","0.50",".280",".353",".572",".925",".292","4.5",".291","-0.7","95","26.0",".397","138","3942"
"Josh Fields","White Sox (AAA)","23","526","10.3 %","25.9 %","0.40",".305",".379",".515",".894",".210","7.1",".394","3.4","88","29.7",".396","151","7490"
"Nelson Cruz","Brewers (AAA)","25","423","9.9 %","23.6 %","0.42",".302",".378",".528",".907",".226","5.4",".361","0.8","73","20.0",".396","137","2434"
"Carlos Ruiz","Phillies (AAA)","27","423","9.9 %","13.2 %","0.75",".307",".389",".505",".894",".198","2.6",".324","-0.6","71","23.5",".395","150","2579"
"Shin-Soo Choo","Mariners (AAA)","23","427","10.5 %","17.1 %","0.62",".323",".394",".499",".893",".176","6.7",".369","3.5","73","19.4",".394","136","3174"
"Alberto Callaspo","Diamondbacks (AAA)","23","554","10.1 %","4.9 %","2.07",".337",".404",".478",".882",".141","6.1",".343","-0.5","94","24.5",".392","135","3336"
"Chris Carter","Diamondbacks (AAA)","23","588","13.3 %","11.7 %","1.13",".301",".395",".483",".878",".183","4.5",".318","0.3","99","25.2",".391","134","7707"
"Chris Young","Diamondbacks (AAA)","22","466","11.2 %","15.2 %","0.73",".276",".363",".532",".896",".256","6.5",".286","1.2","78","19.1",".388","132","3882"
"Jeff Bailey","Red Sox (AAA)","27","548","13.5 %","21.2 %","0.64",".275",".383",".489",".872",".214","3.1",".319","-0.9","89","27.5",".388","145","2394"
"Royce Huffman","Astros (AAA)","29","412","12.1 %","17.7 %","0.68",".299",".396",".467",".863",".168","3.9",".351","-0.2","69","16.7",".388","132","sa198113"
"Carlos Pena","- - -","28","506","13.4 %","18.6 %","0.72",".278",".383",".490",".874",".213","3.2",".299","0.5","82","25.1",".387","144","934"
"Jeff Baker","Rockies (AAA)","25","538","8.6 %","20.4 %","0.42",".305",".369",".508",".877",".203","5.0",".357","1.0","88","20.3",".384","130","2073"
"Mike Kinkade","Marlins (AAA)","33","436","6.7 %","12.8 %","0.52",".328",".405",".444",".848",".115","4.5",".373","-1.0","71","16.0",".383","129","660"
"Kevin Barker","Blue Jays (AAA)","30","559","14.3 %","21.3 %","0.67",".275",".379",".480",".859",".205","3.6",".329","-0.4","87","24.9",".381","140","1019"
"Brendan Harris","- - -","25","422","9.5 %","20.1 %","0.47",".300",".381",".463",".844",".163","3.9",".364","0.1","66","14.8",".377","130","2178"
"Chad Allen","Royals (AAA)","31","450","7.1 %","13.3 %","0.53",".314",".364",".496",".861",".182","2.7",".341","-1.5","71","14.0",".377","125","122"
"Ryan Ludwick","Tigers (AAA)","27","573","8.4 %","29.1 %","0.29",".266",".342",".506",".848",".240","3.4",".340","-2.2","87","23.4",".376","137","1260"
"Ryan Raburn","Tigers (AAA)","25","512","10.0 %","23.4 %","0.43",".275",".352",".490",".842",".215","5.8",".330","1.4","77","20.1",".374","135","2218"
"Adam Hyzdu","Rangers (AAA)","34","524","14.1 %","19.5 %","0.73",".271",".370",".476",".846",".205","4.3",".305","-0.3","81","14.9",".373","123","1543"
"Brooks Conrad","Astros (AAA)","26","599","9.0 %","22.5 %","0.40",".267",".334",".534",".868",".267","7.4",".310","0.4","92","16.4",".372","122","3664"
"Russ Johnson","Yankees (AAA)","33","450","14.4 %","11.8 %","1.23",".275",".380",".445",".826",".171","2.9",".284","-1.0","67","16.9",".372","134","1216"
"Robby Hammock","Diamondbacks (AAA)","29","405","5.9 %","14.6 %","0.41",".290",".342",".515",".856",".225","3.0",".296","-0.4","62","10.9",".372","121","1686"
"Brian Barden","Diamondbacks (AAA)","25","550","8.0 %","16.7 %","0.48",".298",".361",".478",".839",".180","3.3",".337","-1.1","84","14.5",".371","121","4429"
"Mike Eylward","Angels (AAA)","26","461","9.3 %","13.0 %","0.72",".314",".389",".427",".816",".114","2.1",".350","-2.4","70","11.8",".370","120","sa200210"
"Justin Huber","Royals (AAA)","23","399","10.0 %","23.6 %","0.43",".278",".358",".480",".838",".202","3.3",".340","-0.4","61","10.2",".370","120","3147"
"Fred Lewis","Giants (AAA)","25","517","13.2 %","20.3 %","0.65",".276",".375",".453",".828",".178","7.2",".334","0.1","78","13.0",".369","120","4693"
"Jason Dubois","Indians (AAA)","27","512","8.8 %","25.6 %","0.34",".275",".342",".492",".835",".218","3.4",".334","0.2","75","17.7",".368","131","1941"
"Dustin Pedroia","Red Sox (AAA)","22","493","9.7 %","5.5 %","1.78",".305",".384",".426",".810",".121","2.9",".314","-1.6","72","17.0",".368","131","8370"
"Mike Fontenot","Cubs (AAA)","26","418","11.2 %","15.3 %","0.73",".296",".375",".450",".825",".155","3.9",".336","-0.7","63","10.0",".368","119","3912"
"Nick Gorneault","Angels (AAA)","27","452","8.4 %","23.5 %","0.36",".283",".343",".499",".842",".216","6.0",".344","-0.5","68","10.5",".367","118","3528"
"Vinny Rottino","Brewers (AAA)","26","452","8.8 %","16.4 %","0.54",".314",".379",".440",".819",".126","4.6",".366","-0.6","68","10.5",".367","118","5202"
"Chris Richard","Pirates (AAA)","32","405","14.3 %","20.0 %","0.72",".243",".359",".466",".825",".223","4.9",".267","-0.9","59","13.5",".366","130","163"
"Greg Dobbs","Mariners (AAA)","27","421","8.8 %","13.8 %","0.64",".314",".375",".451",".826",".137","5.6",".349","0.6","63","9.4",".366","118","2158"
"Bobby Scales","Phillies (AAA)","28","416","10.6 %","24.0 %","0.44",".291",".369",".451",".820",".160","4.8",".380","-0.8","60","13.4",".365","129","2673"
"Adam Jones","Mariners (AAA)","20","416","6.7 %","18.8 %","0.36",".287",".345",".484",".829",".197","6.8",".324","0.9","61","8.9",".365","117","6368"
"Jesse Gutierrez","Reds (AAA)","28","455","10.8 %","16.3 %","0.66",".282",".369",".436",".805",".154","2.0",".324","-0.2","65","14.1",".363","128","sa200183"
"Franklin Gutierrez","Indians (AAA)","23","413","11.9 %","20.3 %","0.58",".278",".373",".433",".806",".155","4.3",".341","-0.7","59","12.6",".363","127","3255"
"Keith Ginter","Athletics (AAA)","30","506","11.5 %","14.6 %","0.78",".268",".371",".429",".799",".161","3.3",".292","0.7","73","9.5",".362","115","1500"
"Nate Espy","Athletics (AAA)","28","420","12.1 %","19.3 %","0.63",".275",".371",".429",".799",".154","2.3",".326","0.4","61","7.6",".361","114","sa212191"
