"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Yermin Mercedes","Orioles (A)","23","382","8.9 %","16.5 %","0.54",".353",".411",".579",".990",".226","4.3",".396","-0.3","78","35.0",".439","181","sa597096"
"Eloy Jimenez","Cubs (A)","19","464","5.4 %","20.3 %","0.27",".329",".369",".532",".901",".204","5.0",".391","0.5","82","31.4",".409","162","sa830373"
"Jake Cronenworth","Rays (A)","22","380","14.2 %","15.0 %","0.95",".322",".429",".436",".865",".115","6.8",".381","-0.2","66","24.5",".405","159","sa857694"
"Eliezer Alvarez","Cardinals (A)","21","499","10.6 %","19.2 %","0.55",".323",".404",".476",".879",".152","7.0",".400","1.5","86","31.8",".404","159","sa657261"
"Brian Mundell","Rockies (A)","22","611","9.2 %","13.6 %","0.67",".313",".383",".505",".888",".192","3.4",".344","-1.8","105","36.1",".396","152","sa875185"
"Connor Marabell","Indians (A)","22","380","8.7 %","13.2 %","0.66",".311",".368",".482",".850",".172","5.6",".344","1.1","61","19.5",".387","147","sa858026"
"Michael Russell","Rays (A)","23","458","9.8 %","14.0 %","0.70",".293",".381",".449",".830",".157","7.5",".330","2.4","73","23.4",".386","147","sa827159"
"Shed Long","Reds (A)","20","389","11.3 %","21.9 %","0.52",".281",".371",".457",".828",".176","5.2",".346","2.1","62","19.6",".386","146","sa738578"
"Luis Arraez","Twins (A)","19","514","6.0 %","9.9 %","0.61",".347",".386",".444",".830",".097","3.5",".382","-0.5","82","25.7",".385","146","sa828153"
"Nathan Lukes","Indians (A)","21","393","9.4 %","15.3 %","0.62",".301",".375",".453",".829",".152","6.8",".349","-0.2","62","19.0",".383","145","sa875215"
"Isan Diaz","Brewers (A)","20","587","12.3 %","25.2 %","0.49",".264",".358",".469",".827",".205","4.8",".332","-0.8","91","27.6",".381","143","sa828704"
"Chris Gittens","Yankees (A)","22","451","12.4 %","27.9 %","0.44",".253",".359",".478",".837",".225","2.7",".318","-0.1","71","20.3",".378","140","sa829048"
"Ian Sagdal","Nationals (A)","23","454","7.9 %","19.8 %","0.40",".303",".362",".474",".836",".171","6.0",".364","0.3","72","20.3",".377","140","sa875695"
"Brian O'Keefe","Cardinals (A)","22","420","12.4 %","18.6 %","0.67",".258",".360",".448",".808",".190","2.9",".293","-0.2","64","18.0",".375","140","sa829152"
"Josh Tobias","Phillies (A)","23","415","7.5 %","14.2 %","0.53",".304",".375",".444",".819",".140","4.4",".343","-0.4","65","17.6",".374","137","sa599333"
"Dalton Kelly","Mariners (A)","21","564","11.2 %","20.2 %","0.55",".293",".384",".416",".800",".123","5.6",".367","0.4","84","22.9",".372","137","sa876363"
"Brendan Rodgers","Rockies (A)","19","491","7.1 %","20.0 %","0.36",".281",".342",".480",".821",".199","3.7",".319","0.0","75","19.4",".370","135","sa874238"
"Juan Kelly","Blue Jays (A)","21","548","10.4 %","20.6 %","0.50",".274",".356",".448",".804",".175","6.1",".330","2.2","81","21.2",".369","136","sa657541"
"Luis Alejandro Basabe","- - -","19","467","14.1 %","25.3 %","0.56",".272",".381",".408",".789",".136","6.1",".369","-1.3","70","17.8",".368","134","sa736924"
"Damek Tomscha","Phillies (A)","24","408","8.3 %","10.3 %","0.81",".283",".369",".428",".796",".144","4.4",".306","0.5","61","14.6",".365","131","sa550391"
"Zander Wiel","Twins (A)","23","568","9.7 %","22.0 %","0.44",".259",".333",".459",".792",".200","6.2",".306","1.0","81","19.5",".363","132","sa857249"
"Chris Mariscal","Mariners (A)","23","384","9.1 %","26.0 %","0.35",".301",".372",".408",".779",".107","5.5",".412","1.8","55","13.1",".363","131","sa600255"
"Josh Ockimey","Red Sox (A)","20","499","17.6 %","25.9 %","0.68",".226",".367",".425",".792",".199","2.9",".284","0.1","73","16.9",".363","130","sa829375"
"Will Maddox","Tigers (A)","24","558","5.7 %","15.9 %","0.36",".339",".380",".401",".781",".063","5.2",".404","1.1","79","18.8",".363","131","sa827323"
"Austin Allen","Padres (A)","22","453","6.4 %","15.2 %","0.42",".320",".364",".425",".790",".105","1.4",".362","0.0","64","15.3",".363","131","sa875025"
"Logan Taylor","Mariners (A)","22","487","12.3 %","24.2 %","0.51",".268",".367",".409",".776",".140","3.4",".346","-2.0","69","16.3",".362","131","sa857838"
"Kevin Padlo","Rays (A)","19","509","15.5 %","26.3 %","0.59",".229",".358",".413",".771",".184","5.4",".293","-0.6","72","16.8",".362","130","sa828961"
"Ray-Patrick Didder","Braves (A)","21","571","8.8 %","17.5 %","0.50",".274",".387",".381",".767",".107","8.6",".334","2.5","83","18.7",".361","129","sa736824"
"Kyri Washington","Red Sox (A)","21","425","7.8 %","28.5 %","0.27",".262",".323",".487",".810",".225","6.8",".336","0.4","62","13.6",".361","128","sa857813"
"Sam Hilliard","Rockies (A)","22","527","10.6 %","28.5 %","0.37",".267",".348",".449",".797",".182","6.8",".357","1.2","77","16.8",".360","128","sa829542"
"Max George","Rockies (A)","20","442","12.2 %","23.5 %","0.52",".248",".372",".401",".773",".153","4.6",".326","-1.2","64","13.9",".360","128","sa829010"
"Austin Riley","Braves (A)","19","543","7.2 %","27.1 %","0.27",".271",".324",".479",".803",".208","3.5",".341","-0.6","79","17.1",".360","128","sa874756"
"Connor Panas","Blue Jays (A)","23","383","11.7 %","25.3 %","0.46",".231",".343",".430",".773",".199","4.1",".274","-0.9","54","12.1",".360","129","sa875228"
"Dexture McCall","Astros (A)","22","446","8.7 %","19.5 %","0.45",".286",".352",".421",".773",".135","2.3",".342","0.0","62","13.8",".359","129","sa829535"
"Jared Walsh","Angels (A)","22","430","7.2 %","18.8 %","0.38",".290",".344",".425",".769",".135","3.5",".350","0.4","60","12.9",".358","128","sa827173"
"Dylan Moore","Rangers (A)","23","414","13.0 %","18.6 %","0.70",".244",".372",".394",".766",".150","7.3",".288","3.8","59","12.3",".357","126","sa875186"
"Chris Chinea","Cardinals (A)","22","411","5.4 %","15.6 %","0.34",".312",".350",".423",".772",".110","1.7",".359","-0.2","57","12.1",".357","127","sa827344"
"P.J. Higgins","Cubs (A)","23","537","13.4 %","14.0 %","0.96",".283",".389",".355",".744",".072","3.0",".337","0.3","74","15.6",".356","127","sa875573"
"Dillon Dobson","Giants (A)","22","439","7.1 %","22.6 %","0.31",".273",".328",".465",".793",".192","4.8",".326","0.3","62","12.0",".354","124","sa875376"
"Nelson Molina","Twins (A)","21","382","9.9 %","13.9 %","0.72",".300",".374",".381",".755",".081","4.6",".349","0.6","52","10.5",".354","125","sa737886"
"Cedric Mullins","Orioles (A)","21","559","6.6 %","18.1 %","0.37",".273",".321",".464",".785",".191","8.2",".314","3.6","78","14.4",".352","123","sa873639"
"Daniel Arribas","Pirates (A)","23","508","11.4 %","20.3 %","0.56",".256",".360",".399",".759",".143","4.9",".311","0.5","70","12.8",".352","122","sa597735"
"Luis Alexander Basabe","Red Sox (A)","19","451","8.9 %","25.7 %","0.34",".258",".325",".447",".772",".189","8.0",".330","3.0","61","10.2",".348","120","sa736915"
"Alex Murphy","Orioles (A)","21","516","9.5 %","26.7 %","0.36",".252",".335",".423",".759",".171","1.6",".326","-0.1","70","11.5",".348","120","sa737854"
"Alex Jackson","Mariners (A)","20","381","8.9 %","27.0 %","0.33",".243",".332",".408",".740",".165","3.3",".317","0.0","50","8.3",".346","120","sa828663"
"Cody Daily","White Sox (A)","23","480","9.6 %","15.0 %","0.64",".281",".358",".390",".748",".109","3.4",".329","0.1","64","9.9",".346","118","sa877350"
"Mitchell Tolman","Pirates (A)","22","524","13.5 %","13.0 %","1.04",".265",".370",".371",".741",".106","3.4",".292","-3.2","70","10.6",".345","118","sa858829"
"Donald Dewees Jr.","Cubs (A)","22","410","7.1 %","12.4 %","0.57",".282",".337",".414",".751",".132","8.1",".316","1.5","53","8.5",".345","119","sa858802"
"Kyle Tucker","Astros (A)","19","428","9.3 %","17.5 %","0.53",".276",".348",".402",".750",".126","6.9",".322","2.8","55","8.7",".344","119","sa874240"
"Kelvin Gutierrez","Nationals (A)","21","417","7.0 %","15.6 %","0.45",".300",".349",".406",".755",".106","7.2",".349","1.0","55","8.1",".344","117","sa736855"
"Brett Sullivan","Rays (A)","22","501","4.8 %","14.0 %","0.34",".283",".314",".438",".752",".155","5.3",".305","1.9","64","10.0",".344","118","sa857232"
"Yonathan Daza","Rockies (A)","22","516","4.5 %","15.1 %","0.29",".307",".341",".408",".749",".101","3.3",".361","-2.4","67","8.8",".341","115","sa597083"
"Magneuris Sierra","Cardinals (A)","20","562","3.9 %","17.3 %","0.23",".307",".335",".395",".730",".088","6.4",".367","-0.3","70","8.9",".338","115","17023"
"Max McDowell","Brewers (A)","22","400","8.3 %","15.5 %","0.53",".270",".359",".345",".704",".075","6.0",".323","3.1","50","6.2",".337","114","sa875626"
"Ryan Mountcastle","Orioles (A)","19","489","5.1 %","19.4 %","0.26",".281",".319",".426",".745",".145","4.3",".331","-0.6","62","6.7",".336","112","sa874734"
"Brandon Lowe","Rays (A)","21","449","13.4 %","17.1 %","0.78",".248",".357",".343",".700",".095","5.1",".298","0.1","55","6.2",".335","113","sa874181"
"Ryan Howell","Athletics (A)","23","411","14.8 %","28.2 %","0.53",".216",".345",".354",".699",".137","3.5",".306","-0.7","50","5.7",".335","113","sa875706"
"Carlos Munoz","Pirates (A)","22","525","9.7 %","10.3 %","0.94",".261",".341",".387",".728",".126","3.2",".278","-1.3","66","6.7",".335","111","sa602498"
"Rhett Wiseman","Nationals (A)","22","544","7.7 %","19.1 %","0.40",".255",".325",".410",".735",".155","6.3",".295","-0.2","68","6.8",".335","111","sa658608"
"Logan Landon","Dodgers (A)","23","456","8.6 %","25.9 %","0.33",".263",".327",".389",".717",".127","5.6",".345","2.1","56","6.0",".334","112","sa875279"
"Jose Pujols","Phillies (A)","20","549","8.0 %","32.6 %","0.25",".241",".306",".440",".746",".199","4.2",".322","-0.2","69","6.6",".334","111","sa739662"
"Brett Pirtle","Tigers (A)","25","408","7.8 %","13.2 %","0.59",".286",".352",".358",".710",".072","5.0",".331","0.9","50","5.2",".334","112","sa827348"
"Luis Liberato","Mariners (A)","20","432","10.9 %","23.1 %","0.47",".258",".340",".368",".709",".110","6.3",".347","0.1","52","5.3",".333","111","sa737020"
"Eddy Martinez","Cubs (A)","21","517","9.7 %","21.9 %","0.44",".254",".331",".380",".711",".126","4.7",".315","-0.3","62","6.0",".332","111","sa914203"
"Matt Winn","Giants (A)","23","384","11.5 %","28.6 %","0.40",".230",".325",".393",".718",".163","2.8",".300","-0.2","48","4.0",".332","109","sa858059"
"Kodie Tidwell","Padres (A)","21","389","13.6 %","25.4 %","0.54",".242",".351",".340",".691",".098","4.2",".335","-2.0","47","4.3",".331","110","sa875821"
