"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Paul Goldschmidt","Diamondbacks (AA)","23","457","17.9 %","20.1 %","0.89",".306",".435",".626","1.061",".320","5.2",".331","0.8","100","43.8",".455","178","9218"
"Scott Van Slyke","Dodgers (AA)","24","529","12.3 %","18.9 %","0.65",".348",".427",".595","1.022",".247","4.2",".406","-0.6","112","46.9",".446","173","4365"
"Josh Satin","Mets (AA)","26","404","14.1 %","22.5 %","0.63",".325",".423",".538",".962",".213","3.5",".411","-0.5","80","31.6",".425","165","6788"
"Mike Trout","Angels (AA)","19","412","10.9 %","18.4 %","0.59",".326",".414",".544",".958",".218","8.7",".390","1.8","82","29.5",".421","156","10155"
"Alex Castellanos","- - -","24","534","7.3 %","22.1 %","0.33",".320",".386",".573",".958",".253","7.8",".381","1.8","103","35.0",".415","152","7223"
"Bill Rhinehart","- - -","26","460","12.2 %","19.3 %","0.63",".284",".377",".565",".942",".281","3.5",".296","-0.4","85","29.5",".410","153","sa389695"
"Travis d'Arnaud","Blue Jays (AA)","22","466","7.1 %","21.5 %","0.33",".311",".371",".542",".914",".231","3.7",".365","-0.1","84","28.0",".403","150","7739"
"Luke Montz","Marlins (AA)","27","483","15.3 %","19.7 %","0.78",".273",".391",".509",".900",".235","3.8",".302","1.9","83","24.0",".398","141","6601"
"Ernesto Mejia","Braves (AA)","25","573","10.1 %","27.2 %","0.37",".297",".375",".531",".906",".234","3.1",".377","-0.2","99","28.4",".398","141","sa295188"
"Matt Rizzotti","Phillies (AA)","25","587","13.5 %","21.3 %","0.63",".295",".392",".511",".903",".216","2.9",".346","0.3","103","32.9",".397","147","sa389429"
"Blake Tekotte","Padres (AA)","24","498","13.5 %","21.7 %","0.62",".285",".393",".498",".891",".213","6.2",".343","1.5","89","25.4",".396","140","8810"
"Chih-Hsien Chiang","- - -","23","499","6.2 %","18.2 %","0.34",".302",".361",".537",".897",".235","5.4",".341","-0.3","86","25.5",".394","143","sa328920"
"Neftali Soto","Reds (AA)","22","414","6.0 %","23.2 %","0.26",".272",".329",".575",".904",".303","3.8",".286","-0.3","70","19.1",".393","138","5663"
"Matt Adams","Cardinals (AA)","22","513","7.8 %","17.5 %","0.44",".300",".357",".566",".923",".266","2.7",".308","-0.7","91","24.9",".393","138","9393"
"Rebel Ridling","Cubs (AA)","25","485","8.9 %","18.4 %","0.48",".309",".372",".515",".887",".206","3.5",".347","0.4","82","22.2",".393","137","sa454798"
"Joe Benson","Twins (AA)","23","472","11.9 %","23.1 %","0.51",".285",".388",".495",".883",".210","5.6",".353","-1.3","81","24.2",".392","143","2845"
"Tim Wheeler","Rockies (AA)","23","637","9.3 %","22.3 %","0.42",".287",".365",".535",".900",".248","6.2",".329","-1.5","111","29.2",".390","136","sa500746"
"Tyler Kuhn","White Sox (AA)","24","470","8.3 %","13.6 %","0.61",".341",".401",".464",".865",".123","6.8",".395","1.3","78","20.0",".389","135","sa455308"
"Alex Hassan","Red Sox (AA)","23","545","13.9 %","14.5 %","0.96",".291",".404",".456",".860",".165","4.0",".326","0.6","92","26.4",".388","141","9959"
"Allan Dykstra","Mets (AA)","24","475","14.5 %","27.6 %","0.53",".267",".389",".474",".864",".208","2.3",".348","-0.3","80","22.8",".388","140","9113"
"Christian Marrero","White Sox (AA)","24","495","12.3 %","13.9 %","0.88",".293",".385",".476",".861",".183","6.3",".323","0.6","80","19.5",".385","132","sa326115"
"Starling Marte","Pirates (AA)","22","572","3.8 %","17.5 %","0.22",".332",".370",".500",".870",".168","6.9",".390","-0.3","95","26.2",".385","138","9241"
"Alfredo Silverio","Dodgers (AA)","24","572","5.2 %","15.9 %","0.33",".306",".340",".542",".883",".236","6.4",".340","-2.7","92","21.8",".383","131","sa392355"
"Will Middlebrooks","Red Sox (AA)","22","397","5.3 %","23.9 %","0.22",".302",".345",".520",".865",".218","4.5",".363","1.1","65","17.2",".382","136","7002"
"Jimmy Van Ostrand","Astros (AA)","26","393","10.9 %","13.2 %","0.83",".306",".382",".477",".859",".171","2.9",".332","-1.0","66","15.2",".381","130","sa327047"
"Seth Loman","White Sox (AA)","25","497","8.9 %","24.5 %","0.36",".274",".372",".464",".836",".190","2.8",".340","0.9","78","16.8",".378","128","sa326152"
"Ben Lasater","Marlins (AA)","27","392","7.9 %","22.7 %","0.35",".296",".363",".483",".846",".187","3.0",".363","-1.9","61","13.2",".378","127","sa389264"
"Quintin Berry","Reds (AA)","26","378","13.8 %","22.0 %","0.63",".297",".399",".409",".808",".113","7.0",".384","5.3","58","11.8",".375","125","9414"
"KD Kang","Rays (AA)","23","384","13.8 %","22.1 %","0.62",".263",".384",".437",".821",".174","5.5",".323","0.1","59","11.9",".374","125","sa327822"
"Justin Henry","Tigers (AA)","26","447","13.9 %","11.6 %","1.19",".309",".410",".404",".814",".096","6.2",".356","0.7","69","15.8",".372","130","sa390269"
"Yangervis Solarte","Twins (AA)","23","497","4.8 %","7.6 %","0.63",".329",".367",".466",".834",".137","4.0",".346","-0.8","77","17.5",".372","130","5352"
"Kyle Russell","Dodgers (AA)","25","447","10.1 %","32.2 %","0.31",".259",".342",".497",".840",".239","5.5",".356","0.8","67","12.8",".371","123","sa454496"
"Alex Romero","Marlins (AA)","27","404","8.2 %","9.4 %","0.87",".303",".377",".439",".816",".136","5.1",".321","0.6","60","10.9",".370","122","3129"
"Derek Norris","Nationals (AA)","22","423","18.2 %","27.7 %","0.66",".210",".367",".446",".813",".237","5.7",".251","0.8","64","13.8",".368","127","6867"
"Roberto Lopez","Angels (AA)","25","376","8.5 %","15.7 %","0.54",".275",".353",".480",".833",".205","2.4",".302","-1.6","58","10.0",".366","121","sa454598"
"Tyler Moore","Nationals (AA)","24","561","5.3 %","24.8 %","0.22",".270",".314",".532",".846",".262","3.9",".307","0.3","85","17.5",".366","126","7244"
"Ryan Wheeler","Diamondbacks (AA)","22","531","8.5 %","19.2 %","0.44",".294",".358",".465",".822",".171","3.0",".343","-0.8","78","12.6",".366","119","9312"
"Scott Savastano","Mariners (AA)","25","429","10.5 %","14.5 %","0.73",".283",".362",".446",".808",".163","3.2",".313","0.0","63","10.2",".365","119","sa389423"
"Anthony Seratelli","Royals (AA)","28","523","14.3 %","17.6 %","0.82",".282",".392",".398",".790",".116","7.9",".339","4.4","80","12.9",".364","119","sa378376"
"Jordany Valdespin","Mets (AA)","23","441","4.8 %","15.4 %","0.31",".297",".341",".483",".824",".186","6.8",".325","0.7","66","12.9",".364","124","5098"
"Stephen Vogt","Rays (AA)","26","427","7.0 %","11.9 %","0.59",".301",".344",".487",".831",".187","4.9",".310","0.2","62","9.6",".364","118","5000"
"Mike Spina","Athletics (AA)","24","568","12.3 %","19.4 %","0.64",".282",".380",".422",".803",".141","3.1",".342","-0.2","86","13.6",".363","119","sa501624"
