"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Chris Colabello","Twins (AAA)","29","89","338","391","119","70","25","0","24","58","76","43","3","89","5","5","0","11","2","1",".352","13051"
"Dean Anna","Padres (AAA)","26","132","498","583","165","113","38","5","9","90","73","61","0","65","11","8","4","6","3","7",".331","8353"
"Chris Owings","Diamondbacks (AAA)","21","125","546","575","180","129","31","8","12","104","81","22","2","99","3","0","4","14","20","7",".330","10030"
"Kensuke Tanaka","Giants (AAA)","32","107","343","400","113","95","14","3","1","54","32","42","2","36","3","7","5","6","22","10",".329","14448"
"Grant Green","- - -","25","93","402","443","131","89","28","3","11","68","53","30","2","77","6","2","3","11","4","2",".326","10053"
"Efren Navarro","Angels (AAA)","27","134","513","586","167","118","39","3","7","83","81","68","1","99","2","3","0","19","8","5",".326","9854"
"Wilmer Flores","Mets (AAA)","21","107","424","463","136","81","36","4","15","69","86","25","2","63","3","8","3","13","1","3",".321","5827"
"Jeff Kobernus","Nationals (AAA)","25","95","371","412","118","96","19","2","1","59","36","28","2","59","2","3","8","1","42","9",".318","9591"
"Eric Campbell","Mets (AAA)","26","120","341","425","107","71","25","3","8","61","66","66","0","60","10","4","4","8","12","4",".314","6938"
"Eugenio Velez","- - -","31","107","373","434","117","82","20","6","9","54","45","54","1","63","1","4","2","11","30","8",".314","3893"
"Abraham Almonte","Mariners (AAA)","24","94","338","396","106","73","17","5","11","63","50","49","3","66","2","1","6","2","20","7",".314","5486"
"Brad Snyder","Diamondbacks (AAA)","31","116","411","458","128","82","29","5","12","77","60","40","2","118","1","5","1","6","7","11",".311","6052"
"Charlie Culberson","Rockies (AAA)","24","97","397","419","123","74","27","8","14","63","64","17","3","74","1","2","2","11","13","9",".310","3298"
"Cesar Hernandez","Phillies (AAA)","23","104","391","440","121","98","12","9","2","59","34","41","0","81","1","2","5","4","32","8",".309","10556"
"Ryan Wheeler","Rockies (AAA)","24","116","438","480","134","91","29","2","12","74","89","31","1","91","3","7","1","9","4","1",".306","9312"
"L.J. Hoes","Orioles (AAA)","23","99","365","430","111","82","25","1","3","62","40","58","0","56","5","1","1","13","7","7",".304","6656"
"Kolten Wong","Cardinals (AAA)","22","107","412","463","125","86","21","8","10","68","45","41","3","60","4","4","2","9","20","1",".303","12532"
"Nick Buss","Dodgers (AAA)","26","131","459","518","139","82","29","11","17","84","100","41","1","90","7","8","3","6","21","2",".303","6835"
"Michael Choice","Athletics (AAA)","23","132","510","600","154","110","29","1","14","90","89","69","0","115","11","10","0","15","1","2",".302","11376"
"Brandon Guyer","Rays (AAA)","27","98","356","405","107","71","23","6","7","73","41","29","1","62","14","2","4","11","22","3",".301","2636"
"Tony Gwynn Jr.","Dodgers (AAA)","30","104","333","391","100","81","12","5","2","53","27","49","1","52","3","2","4","7","12","9",".300","6141"
"Eury Perez","Nationals (AAA)","23","96","403","433","121","91","18","5","7","55","28","13","0","64","9","0","8","7","23","8",".300","10299"
"Vince Belnome","Rays (AAA)","25","127","444","533","133","87","35","3","8","77","67","84","4","109","0","4","1","7","0","2",".300","8126"
"Alex Presley","Pirates (AAA)","27","89","342","391","102","74","17","6","5","57","27","40","2","56","4","2","3","1","17","6",".298","5305"
"Jim Adduci","Rangers (AAA)","28","127","473","551","141","98","24","3","16","75","65","65","3","107","2","6","5","4","32","9",".298","6448"
"Dee Gordon","Dodgers (AAA)","25","92","374","433","111","85","17","9","0","65","33","51","1","70","3","1","4","2","49","11",".297","8203"
"Daric Barton","Athletics (AAA)","27","110","391","488","116","79","29","1","7","77","69","87","0","57","3","6","1","10","1","2",".297","5928"
"Brock Peterson","Cardinals (AAA)","29","122","456","508","135","79","30","1","25","69","86","44","1","114","6","2","0","12","1","1",".296","4984"
"Xavier Nady","- - -","34","124","443","496","131","90","26","0","15","69","65","41","0","91","6","4","1","13","4","0",".296","1658"
"Cody Asche","Phillies (AAA)","23","104","404","446","119","76","24","4","15","52","68","35","1","95","3","4","0","7","11","3",".295","11997"
"Chris Dominguez","Giants (AAA)","26","132","466","497","137","93","24","5","15","60","65","23","3","112","6","2","0","23","4","5",".294","9718"
"Tony Campana","Diamondbacks (AAA)","27","102","351","391","103","85","11","6","1","65","29","34","1","77","0","2","4","2","32","8",".293","4964"
"Zach Lutz","Mets (AAA)","27","111","399","466","117","73","27","4","13","62","80","54","1","102","4","7","2","12","0","2",".293","3735"
"Chris Rahl","Nationals (AAA)","29","111","399","419","117","83","21","5","8","53","42","10","0","97","1","6","3","6","14","6",".293","sa291400"
"Leslie Anderson","Rays (AAA)","31","119","431","494","126","83","28","1","14","52","74","50","3","58","8","5","0","8","2","3",".292","sa541190"
"Gregorio Petit","Padres (AAA)","28","134","503","555","147","114","26","3","4","55","61","40","2","75","2","4","6","14","5","3",".292","3812"
"Ben Paulsen","Rockies (AAA)","25","123","459","502","134","74","32","10","18","64","79","37","2","128","2","4","0","7","2","2",".292","9741"
"Engel Beltre","Rangers (AAA)","23","94","394","439","115","88","19","1","7","58","34","28","2","84","3","5","9","8","15","12",".292","4918"
"Joey Butler","Rangers (AAA)","27","119","426","505","124","86","26","0","12","71","51","69","0","119","6","3","1","10","1","2",".291","7799"
"Juan Perez","Giants (AAA)","26","101","382","409","111","69","27","5","10","52","50","15","0","75","5","3","4","5","18","6",".291","5371"
"Jason Bourgeois","Rays (AAA)","31","90","348","391","101","81","15","3","2","52","61","31","1","38","0","6","6","11","22","6",".290","2225"
"Roberto Lopez","Angels (AAA)","27","127","432","476","125","85","26","4","10","59","68","34","0","74","4","6","0","14","11","4",".289","sa454598"
"Josh Fields","Phillies (AAA)","30","109","377","411","109","76","26","3","4","43","45","28","2","110","1","3","2","13","10","3",".289","7490"
"Steve Tolleson","White Sox (AAA)","29","116","392","473","113","76","28","1","8","47","53","59","1","91","5","8","9","5","14","5",".288","4450"
