"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Chance Sisco","Orioles (A)","19","114","426","478","145","111","27","2","5","56","63","42","3","79","7","3","0","8","1","2",".340","15694"
"Willians Astudillo","Phillies (A)","22","117","436","465","145","110","30","1","4","41","61","19","2","20","6","4","0","17","2","3",".333","sa504866"
"Raimel Tapia","Rockies (A)","20","122","481","539","157","115","32","1","9","93","72","35","2","90","11","4","8","5","33","16",".326","14350"
"Carlos Lopez","Marlins (A)","24","130","507","576","164","125","27","5","7","85","74","59","3","64","1","4","5","12","5","2",".323","sa550060"
"Wynton Bernard","Tigers (A)","23","131","507","583","164","122","30","6","6","91","47","56","1","86","5","3","12","4","45","19",".323","sa658999"
"Avery Romero","Marlins (A)","21","92","366","399","117","88","23","1","5","51","46","25","0","47","3","2","3","12","6","4",".320","sa657944"
"Wilmer Difo","Nationals (A)","22","136","559","610","176","124","31","7","14","91","90","37","0","65","6","6","2","5","49","9",".315","14320"
"Drew Dosch","Orioles (A)","22","128","500","558","157","126","22","4","5","76","50","47","1","97","6","1","2","11","5","3",".314","sa709292"
"David Dahl","Rockies (A)","20","90","392","422","121","72","33","6","10","69","41","23","0","65","1","2","4","4","18","5",".309","13744"
"Austin Dean","Marlins (A)","20","99","403","449","124","91","20","4","9","67","58","38","1","72","4","3","1","3","4","4",".308","sa657985"
"Kean Wong","Rays (A)","19","106","422","454","129","109","15","3","2","56","24","27","0","73","1","2","2","5","13","7",".306","sa737841"
"Carlos Asuaje","Red Sox (A)","22","90","325","383","99","54","24","10","11","59","73","41","0","56","9","6","2","5","7","4",".305","15197"
"Brett Phillips","Astros (A)","20","103","384","443","116","70","21","12","13","68","58","36","0","76","4","7","12","2","18","10",".302","14735"
"Felix Munoz","Marlins (A)","22","126","494","560","148","97","31","4","16","81","91","57","2","74","1","8","0","13","1","2",".300","sa506830"
"Mitch Garver","Twins (A)","23","120","430","504","128","82","29","1","16","65","79","61","1","65","12","1","0","7","7","5",".298","15161"
"Jake Bauers","Padres (A)","18","112","406","467","120","91","18","3","8","59","64","51","2","80","4","5","1","4","5","6",".296","sa737848"
"Joe Jackson","Rangers (A)","22","86","341","385","100","72","18","4","6","46","53","36","0","59","4","4","0","6","2","2",".293","sa550375"
"Eric Aguilera","Angels (A)","23","124","469","524","137","97","22","4","14","59","71","35","2","101","7","12","1","12","17","3",".292","sa738943"
"Correlle Prime","Rockies (A)","20","127","508","552","148","77","47","3","21","84","102","36","1","131","1","5","2","13","8","2",".291","sa658187"
"Juniel Querecuto","Rays (A)","21","88","354","387","103","87","13","1","2","45","37","25","0","44","1","1","6","5","5","5",".291","12140"
"Andrew Velazquez","Diamondbacks (A)","19","134","544","623","158","116","18","15","9","94","56","62","0","136","7","5","4","4","50","15",".290","sa658104"
"Rafael Bautista","Nationals (A)","21","134","487","543","141","111","20","5","5","97","54","33","0","72","8","5","10","4","69","15",".290","15769"
"JaCoby Jones","Pirates (A)","22","117","445","501","128","81","21","3","23","72","70","33","0","132","12","8","3","8","17","9",".288","14818"
"Yefri Perez","Marlins (A)","23","118","421","462","121","103","17","0","1","65","29","26","1","54","5","2","8","7","30","9",".287","12090"
"Erich Weiss","Pirates (A)","22","130","463","540","133","103","22","4","4","72","42","60","5","117","10","4","3","10","21","12",".287","sa737930"
"Paul Hendrix","Indians (A)","22","115","415","472","119","81","21","5","12","63","46","49","3","138","4","4","0","9","2","2",".287","sa658907"
"Clint Coulter","Brewers (A)","20","126","429","529","123","70","28","3","22","84","89","73","2","103","21","6","0","7","6","6",".287","sa657922"
"Manuel Margot","Red Sox (A)","19","99","370","413","106","71","20","5","10","61","45","37","0","49","2","0","4","7","39","13",".286","14712"
"Frank Schwindel","Royals (A)","22","102","406","428","116","65","29","2","20","48","70","17","1","68","1","4","0","7","0","1",".286","sa738182"
"Mitch Nay","Blue Jays (A)","20","120","473","518","135","95","34","3","3","57","59","39","0","79","3","3","0","11","6","2",".285","sa657873"
"Chuck Taylor","Diamondbacks (A)","20","109","400","472","114","90","17","4","3","60","50","60","0","74","5","6","1","2","11","6",".285","sa658001"
"Chris McFarland","Brewers (A)","21","100","394","438","112","86","17","3","6","55","39","24","1","88","6","5","9","6","30","9",".284","sa599111"
"Fernando Perez","Padres (A)","20","116","469","507","133","90","24","1","18","69","95","25","4","106","5","7","1","6","3","2",".284","sa657942"
"Danny Hayes","White Sox (A)","23","130","473","559","134","86","33","4","11","65","75","73","2","119","4","4","5","7","1","1",".283","sa621374"
"Mike Ford","Yankees (A)","21","93","325","381","92","64","15","2","11","40","46","48","0","39","5","3","0","8","2","0",".283","sa708447"
"Edwin Espinal","Pirates (A)","20","122","470","510","133","100","25","1","7","50","71","27","0","71","6","4","3","12","1","1",".283","sa596971"
"Ryan McMahon","Rockies (A)","19","126","482","552","136","69","46","3","18","93","102","54","1","143","7","7","2","11","8","5",".282","15112"
"Alexander Simon","Rays (A)","21","122","430","466","121","92","22","3","4","49","49","25","0","110","3","3","5","9","10","6",".281","sa596866"
"Matt Dean","Blue Jays (A)","21","113","448","485","126","83","29","5","9","58","51","27","1","117","8","2","0","6","2","1",".281","sa599049"
"JT Riddle","Marlins (A)","22","103","435","477","122","92","17","4","9","65","60","26","0","55","4","6","6","6","5","1",".280","17642"
"Jesmuel Valentin","Dodgers (A)","20","108","407","462","114","76","22","9","7","73","47","38","1","72","7","3","7","3","24","7",".280","sa657867"
"Wyatt Mathisen","Pirates (A)","20","103","375","419","105","83","17","2","3","48","42","33","0","54","5","3","3","11","6","2",".280","sa657937"
"Mauricio Ramos","Royals (A)","22","109","419","458","117","78","27","3","9","47","54","22","0","75","14","2","1","9","0","3",".279","sa597006"
"Chase McDonald","Astros (A)","22","102","362","413","101","60","25","0","16","57","67","44","1","116","5","2","0","11","0","0",".279","sa706987"
"Jordan Patterson","Rockies (A)","22","125","453","532","126","85","27","0","14","69","66","46","2","118","17","10","6","3","25","8",".278","15119"
"Joey Curletta","Dodgers (A)","20","133","516","568","143","105","30","1","7","60","68","41","0","111","4","4","3","10","15","9",".277","sa658025"
"Victor Caratini","- - -","20","101","376","423","104","72","22","5","5","49","55","38","2","69","4","4","1","15","1","1",".277","14968"
"Dominic Ficociello","Tigers (A)","22","134","530","580","146","109","25","6","6","66","53","40","0","116","8","2","0","13","11","8",".275","sa549668"
"Juan Herrera","Cardinals (A)","21","101","379","416","104","77","22","3","2","50","56","24","2","57","4","5","4","5","27","13",".274","sa597168"
"Trey Michalczewski","White Sox (A)","19","116","432","495","118","76","25","7","10","57","70","45","2","140","8","6","4","12","6","3",".273","sa737859"
"Victor Cruzado","Mets (A)","22","107","359","421","98","71","14","6","7","64","50","58","1","78","0","4","0","9","10","7",".273","sa597033"
"Tyler Horan","Giants (A)","23","102","370","417","101","59","22","5","15","59","54","39","2","97","6","2","0","4","9","4",".273","sa709555"
"Chad Christensen","Twins (A)","23","127","492","553","134","94","24","7","9","84","73","42","0","133","11","6","2","10","30","5",".272","sa659001"
"Tyler Wade","Yankees (A)","19","129","507","576","138","107","24","6","1","77","51","57","1","118","6","4","2","7","22","13",".272","15730"
"Dominic Smith","Mets (A)","19","126","461","518","125","97","26","1","1","52","44","51","2","77","2","3","1","18","5","4",".271","15653"
"Willy Adames","- - -","18","125","450","514","122","81","19","14","8","55","61","54","1","126","4","2","4","6","6","6",".271","sa736655"
"Isaac Ballou","Nationals (A)","24","100","377","441","102","67","20","9","6","74","53","47","0","65","14","2","1","2","23","8",".271","sa579269"
"Jimmy Yezzo","Nationals (A)","22","123","466","493","126","90","22","1","13","56","56","20","1","77","5","2","0","14","3","4",".270","sa737918"
"Andrew Pullin","Phillies (A)","20","129","492","544","133","103","18","3","9","67","61","41","1","95","6","3","2","8","6","7",".270","sa658016"
"Ben Carhart","Cubs (A)","24","102","386","434","104","80","18","1","5","56","43","37","0","40","6","5","0","11","1","0",".269","sa549450"
"Drew Ward","Nationals (A)","19","115","431","478","116","77","26","3","10","45","73","42","0","121","5","0","0","11","2","2",".269","sa737690"
"Javier Betancourt","Tigers (A)","19","134","558","612","150","123","18","3","6","67","54","26","0","81","7","6","15","7","9","6",".269","sa655912"
"Jacob Rogers","Cubs (A)","24","129","447","518","120","75","27","2","16","76","67","64","0","116","3","4","0","9","2","1",".268","sa455553"
"Nellie Rodriguez","Indians (A)","20","130","485","550","130","73","32","3","22","67","88","60","0","142","2","3","0","15","0","0",".268","sa658264"
"Ronnie Richardson","Padres (A)","24","87","306","383","82","56","16","6","4","66","27","54","2","66","16","3","4","3","12","5",".268","sa501646"
"Kody Eaves","Angels (A)","20","130","549","587","147","93","37","7","10","74","45","29","2","142","5","4","0","5","25","10",".268","sa658290"
"Evan Van Hoosier","Rangers (A)","20","111","437","493","117","71","27","8","11","79","58","44","1","85","5","4","3","4","14","2",".268","sa658796"
"C.J. McElroy","Cardinals (A)","21","130","490","558","131","118","11","2","0","74","29","40","0","84","16","0","12","12","41","18",".267","sa597861"
"Bryan Haar","Twins (A)","24","108","401","439","107","68","20","5","14","46","63","30","1","127","3","5","0","10","1","2",".267","sa547007"
"Johan Camargo","Braves (A)","20","115","420","478","112","92","16","4","0","53","40","34","0","50","2","7","15","6","7","6",".267","14950"
"Miguel Andujar","Yankees (A)","19","127","484","527","129","90","25","4","10","75","70","35","1","83","3","3","2","15","5","1",".267","15878"
"Clint Frazier","Indians (A)","19","120","474","542","126","89","18","6","13","70","50","56","1","161","7","4","1","6","12","6",".266","15983"
"Engelb Vielma","Twins (A)","20","112","418","459","111","93","13","4","1","63","33","28","0","71","3","5","5","11","10","6",".266","sa657416"
"Dickie Joe Thon","Blue Jays (A)","22","103","393","429","104","77","20","4","3","57","40","23","1","117","7","4","2","5","7","8",".265","sa548351"
"Elier Hernandez","Royals (A)","19","111","420","446","111","79","19","4","9","54","34","16","0","99","4","3","3","8","5","5",".264","sa659238"
"Derrick Loveless","Blue Jays (A)","21","119","428","508","113","80","18","9","6","58","55","66","0","120","3","5","6","11","17","7",".264","sa599355"
"Nomar Mazara","Rangers (A)","19","106","398","461","105","63","21","2","19","68","73","57","2","99","3","3","0","9","4","3",".264","14553"
