"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Shane Hoelscher","Rockies (A)","23","413","12.8 %","12.8 %","1.00",".328",".422",".529",".951",".201","4.0",".359","-1.2","83","33.9",".432","170","sa829204"
"Bobby Bradley","Indians (A)","19","465","12.0 %","31.8 %","0.38",".269",".361",".529",".890",".259","4.7",".352","0.5","80","27.7",".401","153","sa828799"
"Ryan McBroom","Blue Jays (A)","23","538","9.1 %","17.8 %","0.51",".315",".387",".482",".869",".167","3.4",".363","-0.7","91","30.4",".397","151","sa738641"
"K.J. Woods","Marlins (A)","19","439","10.3 %","30.3 %","0.34",".277",".364",".496",".861",".219","2.5",".376","-1.3","74","22.5",".391","143","sa737777"
"Eddy Alvarez","White Sox (A)","25","410","16.8 %","16.6 %","1.01",".285",".408",".409",".818",".124","8.5",".350","4.8","67","18.8",".384","139","sa806877"
"Jose Marmolejos","Nationals (A)","22","521","6.7 %","17.1 %","0.39",".310",".363",".485",".848",".175","4.5",".355","-0.1","84","23.1",".382","138","sa598311"
"Ildemaro Vargas","Diamondbacks (A)","23","384","9.1 %","4.2 %","2.19",".321",".385",".438",".823",".116","5.3",".322","-0.7","60","17.2",".381","140","13324"
"Chris Carlson","Blue Jays (A)","24","460","11.3 %","9.1 %","1.24",".290",".379",".437",".815",".146","6.6",".309","-0.7","72","20.1",".380","139","sa658934"
"Jordan Luplow","Pirates (A)","21","465","12.7 %","14.4 %","0.88",".264",".366",".464",".830",".200","6.0",".289","1.1","74","19.3",".379","135","16424"
"Dom Nunez","Rockies (A)","20","441","12.0 %","12.5 %","0.96",".282",".373",".448",".821",".166","3.1",".298","-1.8","70","18.1",".378","135","sa737813"
"Trae Santos","Padres (A)","22","509","11.2 %","21.2 %","0.53",".264",".359",".455",".814",".191","3.7",".318","-0.3","78","20.6",".375","136","sa738161"
"Mike Gerber","Tigers (A)","22","583","8.4 %","16.6 %","0.51",".292",".355",".468",".822",".175","6.8",".330","1.5","88","22.9",".374","135","sa550125"
"Jose Brizuela","Athletics (A)","22","436","11.2 %","20.4 %","0.55",".270",".358",".446",".804",".176","5.0",".325","0.7","65","16.7",".373","134","sa602857"
"Corey Toups","Royals (A)","22","444","9.9 %","18.5 %","0.54",".291",".369",".441",".809",".149","8.2",".350","3.9","69","16.4",".373","131","sa829321"
"Joe Bennie","Athletics (A)","24","543","12.2 %","25.2 %","0.48",".272",".363",".430",".793",".157","5.0",".359","0.7","80","19.6",".370","132","sa738417"
"Darren Seferina","Cardinals (A)","21","451","8.2 %","19.5 %","0.42",".295",".354",".446",".800",".151","7.0",".367","-2.2","67","16.2",".369","132","sa829376"
"Michael Suchy","Pirates (A)","22","521","10.4 %","19.8 %","0.52",".275",".362",".441",".803",".166","5.3",".331","-0.4","79","17.8",".369","129","sa829367"
"Jonathan Johnson","Mets (A)","26","500","15.2 %","9.0 %","1.69",".268",".396",".373",".769",".105","6.3",".288","0.5","75","16.4",".367","128","sa577748"
"John Mora","Mets (A)","22","481","11.9 %","14.6 %","0.81",".278",".368",".428",".796",".150","6.4",".320","-1.6","72","15.6",".367","128","sa657676"
"Drew Weeks","Rockies (A)","22","381","8.9 %","12.6 %","0.71",".290",".358",".445",".803",".155","7.3",".317","2.5","57","12.1",".366","127","sa602429"
"Damek Tomscha","Phillies (A)","23","497","7.8 %","16.3 %","0.48",".282",".368",".417",".785",".135","3.7",".328","0.1","74","15.7",".365","127","sa550391"
"Mike Meyers","Red Sox (A)","21","386","9.3 %","28.0 %","0.33",".296",".364",".426",".790",".130","7.4",".415","1.3","57","11.9",".364","126","sa658197"
"Colin Bray","Diamondbacks (A)","22","560","8.4 %","19.5 %","0.43",".308",".370",".410",".781",".102","7.2",".385","1.7","81","17.9",".364","129","sa737832"
"Jerrick Suiter","Pirates (A)","22","441","10.4 %","13.4 %","0.78",".299",".382",".394",".776",".094","4.9",".345","-0.8","65","13.4",".364","126","sa599740"
"Nick Tanielu","Astros (A)","22","463","6.5 %","14.0 %","0.46",".308",".354",".434",".789",".126","3.9",".345","-2.9","66","14.5",".363","128","sa829082"
"Forrest Wall","Rockies (A)","19","416","9.9 %","17.3 %","0.57",".280",".355",".438",".792",".158","7.5",".329","0.6","61","12.3",".363","125","sa828682"
"Austen Smith","Marlins (A)","23","455","12.7 %","27.0 %","0.47",".241",".349",".431",".780",".190","2.5",".308","-0.5","67","13.3",".362","125","sa550329"
"Tanner English","Twins (A)","22","443","10.8 %","19.6 %","0.55",".265",".359",".406",".764",".141","8.9",".331","4.5","62","12.5",".359","125","sa599081"
"Pablo Reyes","Pirates (A)","21","459","9.8 %","13.7 %","0.71",".268",".345",".438",".783",".170","6.4",".289","1.0","66","12.1",".359","122","sa657423"
