"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Danny Ortiz","Twins (AAA)","25","526","6.3 %","20.0 %","0.31",".248",".295",".430",".725",".182","4.4",".280","0.0","59","3.7",".330","107","10317"
"Darnell Sweeney","Dodgers (AAA)","24","522","8.0 %","22.2 %","0.36",".271",".332",".409",".741",".138","6.7",".339","0.5","62","-2.8",".329","96","13284"
"Daniel Fields","Tigers (AAA)","24","526","12.5 %","27.8 %","0.45",".228",".335",".367",".701",".139","6.7",".320","0.2","59","3.2",".328","106","10390"
"Angelys Nina","Rockies (AAA)","26","447","4.9 %","10.3 %","0.48",".300",".333",".402",".735",".102","6.4",".327","0.3","52","-3.2",".327","94","sa455672"
"James Beresford","Twins (AAA)","26","536","5.4 %","10.6 %","0.51",".307",".341",".359",".701",".052","2.4",".341","-1.0","58","1.9",".325","103","4626"
"Robbie Grossman","Astros (AAA)","25","408","13.5 %","20.8 %","0.65",".254",".354",".349",".703",".095","4.6",".318","-0.9","47","-3.8",".325","93","5254"
"Tim Wheeler","Rockies (AAA)","27","456","12.7 %","26.8 %","0.48",".245",".345",".367",".712",".122","5.7",".328","2.9","52","-4.3",".325","92","sa500746"
"Sean Kazmar","Braves (AAA)","30","424","4.0 %","9.2 %","0.44",".280",".314",".395",".709",".116","5.7",".300","0.2","46","1.3",".324","103","7349"
"O'Koyea Dickson","Dodgers (AAA)","25","420","5.0 %","15.0 %","0.33",".262",".305",".433",".738",".171","2.9",".278","0.2","48","-4.1",".324","92","12677"
"Matt Long","Brewers (AAA)","28","501","8.6 %","19.4 %","0.44",".260",".323",".404",".727",".143","6.4",".312","-0.2","57","-5.0",".324","92","sa454873"
"Scott Schebler","Dodgers (AAA)","24","485","8.2 %","19.2 %","0.43",".241",".322",".410",".731",".169","7.2",".278","1.9","55","-5.5",".322","91","12225"
"Brett Nicholas","Rangers (AAA)","26","438","6.2 %","18.0 %","0.34",".268",".314",".412",".725",".144","2.3",".303","-0.7","49","-5.1",".322","91","11192"
"Steven Moya","Tigers (AAA)","23","535","5.0 %","30.3 %","0.17",".240",".283",".420",".703",".180","2.6",".312","-0.9","57","0.6",".322","101","11854"
"Matt Reynolds","Mets (AAA)","24","490","6.5 %","18.8 %","0.35",".267",".319",".402",".721",".135","6.7",".319","0.6","55","-5.8",".322","90","13788"
"Alen Hanson","Pirates (AAA)","22","529","7.0 %","17.2 %","0.41",".263",".313",".387",".701",".124","8.0",".311","2.0","56","0.3",".321","101","12926"
"Irving Falu","Reds (AAA)","32","523","9.2 %","8.8 %","1.04",".270",".337",".350",".687",".080","5.8",".291","-0.2","55","0.1",".320","100","6165"
"Jordan Danks","Phillies (AAA)","28","448","7.6 %","27.2 %","0.28",".257",".318",".368",".686",".110","2.6",".352","-0.6","47","-0.4",".319","99","9187"
"J.P. Arencibia","Rays (AAA)","29","405","3.7 %","30.9 %","0.12",".227",".259",".443",".702",".216","1.9",".271","-0.3","42","-0.3",".319","99","697"
"Matt Dominguez","- - -","25","475","4.0 %","13.7 %","0.29",".269",".310",".410",".720",".140","2.0",".294","-0.2","52","-6.8",".319","89","4903"
"Kevin Frandsen","- - -","33","448","5.4 %","6.0 %","0.89",".280",".338",".356",".694",".077","3.5",".290","-0.6","49","-6.6",".318","88","7528"
"Michael Choice","- - -","25","509","7.3 %","26.9 %","0.27",".239",".308",".393",".702",".154","3.7",".311","0.3","55","-7.1",".317","89","11376"
"Jason Martinson","Nationals (AAA)","26","559","9.1 %","33.8 %","0.27",".218",".299",".380",".678",".162","4.0",".307","-0.2","57","-1.6",".316","97","sa548330"
"Steve Lombardozzi","Pirates (AAA)","26","394","8.1 %","10.2 %","0.80",".282",".347",".324",".671",".042","3.7",".316","0.8","40","-1.2",".316","97","5422"
"Rey Navarro","Orioles (AAA)","25","394","6.9 %","12.2 %","0.56",".261",".310",".372",".682",".111","3.6",".285","-1.1","40","-1.3",".316","97","6008"
"Jose Peraza","- - -","21","521","3.3 %","8.6 %","0.38",".293",".316",".378",".694",".085","7.6",".312","3.5","53","-3.8",".314","94","13593"
"Chase d'Arnaud","Phillies (AAA)","28","540","4.8 %","11.9 %","0.41",".268",".317",".354",".671",".087","7.3",".298","2.0","54","-2.8",".313","95","6652"
"Mikie Mahtook","Rays (AAA)","25","418","5.3 %","23.4 %","0.22",".249",".304",".366",".670",".117","5.7",".323","1.2","41","-2.8",".311","94","13130"
"Matt Davidson","White Sox (AAA)","24","602","10.3 %","31.7 %","0.32",".203",".293",".375",".668",".172","1.9",".264","-0.4","59","-4.1",".311","94","7226"
"Juan Diaz","Marlins (AAA)","26","396","5.6 %","19.4 %","0.29",".272",".315",".373",".688",".101","2.5",".330","-1.1","41","-8.5",".310","83","9235"
"Deven Marrero","Red Sox (AAA)","24","419","7.9 %","20.8 %","0.38",".256",".316",".344",".660",".088","4.7",".315","0.1","41","-3.4",".309","92","13325"
"Whit Merrifield","Royals (AAA)","26","594","6.6 %","11.1 %","0.59",".265",".317",".364",".681",".099","7.2",".292","2.2","60","-13.7",".308","81","11281"
"Luis Sardinas","Brewers (AAA)","22","416","4.8 %","13.0 %","0.37",".282",".319",".359",".678",".077","6.7",".325","1.2","42","-9.8",".307","81","13153"
"Buck Britton","Dodgers (AAA)","29","415","6.5 %","12.5 %","0.52",".262",".311",".374",".685",".112","5.3",".287","-0.2","42","-10.0",".307","81","sa455619"
"Darin Mastroianni","- - -","29","484","6.4 %","17.6 %","0.36",".257",".308",".345",".654",".088","5.6",".310","3.0","45","-5.6",".304","89","7316"
"Dixon Machado","Tigers (AAA)","23","567","6.3 %","15.0 %","0.42",".261",".313",".332",".645",".071","4.9",".305","1.2","52","-7.4",".302","88","11472"
"Arismendy Alcantara","Cubs (AAA)","23","499","7.0 %","25.1 %","0.28",".231",".285",".399",".683",".167","7.8",".291","0.4","48","-13.8",".302","78","10711"
"Jared Hoying","Rangers (AAA)","26","519","5.6 %","21.2 %","0.26",".214",".263",".433",".696",".219","7.4",".229","1.2","49","-15.0",".301","77","10882"
"Tim Smalling","Rockies (AAA)","27","404","6.4 %","15.1 %","0.43",".256",".314",".343",".658",".087","4.3",".291","-0.1","38","-11.9",".300","76","sa545109"
"Hernan Iribarren","Reds (AAA)","31","458","8.7 %","14.0 %","0.63",".256",".324",".305",".629",".049","4.4",".300","-0.5","41","-7.0",".299","85","4177"
"Craig Gentry","Athletics (AAA)","31","450","8.0 %","16.9 %","0.47",".256",".319",".327",".646",".070","5.6",".301","1.7","42","-14.1",".298","75","9571"
"Jonathan Diaz","Blue Jays (AAA)","30","430","11.9 %","14.9 %","0.80",".223",".328",".284",".612",".061","4.2",".264","-0.2","38","-7.3",".297","84","4142"
"Tyler Henson","Phillies (AAA)","27","466","5.2 %","20.2 %","0.26",".249",".293",".351",".643",".101","6.8",".310","2.5","41","-8.4",".296","83","sa326736"
"Carlos Rivero","- - -","27","489","6.1 %","20.2 %","0.30",".254",".299",".355",".654",".102","2.9",".303","0.1","44","-14.6",".295","75","1136"
"Gary Brown","- - -","26","437","5.0 %","15.6 %","0.32",".242",".291",".365",".656",".123","6.8",".273","-2.6","39","-15.0",".294","72","11464"
"Quintin Berry","- - -","30","443","12.0 %","21.7 %","0.55",".225",".326",".282",".607",".056","5.8",".288","4.2","38","-8.9",".294","82","9414"
"Ty Kelly","- - -","26","429","12.1 %","12.4 %","0.98",".226",".322",".296",".619",".070","3.5",".255","-1.8","38","-12.8",".293","75","7740"
"Cord Phelps","Phillies (AAA)","28","458","11.8 %","17.7 %","0.67",".229",".319",".290",".608",".060","3.8",".278","-0.7","38","-10.4",".289","79","8631"
"Orlando Calixte","Royals (AAA)","23","394","6.9 %","21.3 %","0.32",".229",".287",".339",".626",".110","6.2",".279","2.9","32","-17.2",".283","65","11905"
"Isaac Galloway","Marlins (AAA)","25","470","3.8 %","22.3 %","0.17",".249",".278",".358",".636",".109","6.2",".309","-1.3","38","-20.7",".283","64","sa454974"
"Garin Cecchini","Red Sox (AAA)","24","469","8.5 %","21.3 %","0.40",".213",".286",".296",".583",".083","3.7",".262","1.3","34","-15.3",".275","69","11608"
"Alex Yarbrough","Angels (AAA)","23","545","4.8 %","25.0 %","0.19",".236",".274",".324",".598",".088","3.7",".313","-0.5","38","-29.7",".270","56","sa621579"
"Michael Almanzar","Orioles (AAA)","24","540","5.0 %","17.2 %","0.29",".225",".270",".301",".571",".076","1.9",".266","-0.3","36","-20.9",".267","63","sa455994"
