"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"J.D. Martinez","Astros (A)","22","393","8.4 %","14.0 %","0.60",".362",".433",".598","1.030",".236","5.7",".398","0.6","89","41.6",".459","188","6184"
"Jared Clark","Rockies (A)","24","471","16.1 %","24.0 %","0.67",".299",".412",".541",".953",".241","3.1",".354","0.3","93","36.7",".423","165","sa389935"
"Jason Hagerty","Padres (A)","22","534","16.5 %","19.5 %","0.85",".302",".423",".494",".917",".193","3.5",".363","-0.1","103","36.4",".418","155","sa501451"
"Khris Davis","Brewers (A)","22","555","13.9 %","21.6 %","0.64",".280",".398",".499",".897",".219","5.5",".332","-1.0","102","32.9",".407","148","9112"
"Tyler Bortnick","Rays (A)","22","487","12.9 %","13.8 %","0.94",".303",".408",".451",".859",".148","6.3",".344","1.6","85","24.8",".396","141","sa501942"
"Matt Adams","Cardinals (A)","21","510","6.5 %","15.3 %","0.42",".310",".355",".541",".896",".231","3.3",".327","0.5","89","25.5",".395","140","9393"
"Vinnie Catricala","Mariners (A)","21","577","9.7 %","19.4 %","0.50",".302",".386",".488",".874",".185","3.7",".355","0.0","100","28.7",".395","140","sa501575"
"Jon Singleton","Phillies (A)","18","450","13.8 %","16.4 %","0.84",".290",".393",".479",".872",".189","4.3",".323","-1.1","79","24.6",".393","146","10441"
"Matt Davidson","Diamondbacks (A)","19","476","9.0 %","22.9 %","0.39",".289",".371",".504",".874",".214","2.9",".354","-0.9","82","23.0",".393","139","7226"
"Brady Shoemaker","White Sox (A)","23","388","10.1 %","25.3 %","0.40",".293",".381",".473",".855",".180","3.9",".380","-0.2","67","20.4",".390","144","sa502052"
"Cutter Dykstra","Brewers (A)","21","420","13.1 %","17.1 %","0.76",".312",".416",".411",".827",".099","7.2",".380","1.9","71","19.0",".389","136","sa454428"
"Chris Dennis","Brewers (A)","21","522","11.7 %","27.4 %","0.43",".270",".362",".497",".859",".226","6.5",".356","0.8","87","22.5",".386","135","sa389763"
"Brian Cavazos-Galvez","Dodgers (A)","23","514","2.3 %","11.7 %","0.20",".318",".343",".520",".863",".202","7.3",".336","2.9","86","22.0",".386","134","sa501665"
"Aaron Hicks","Twins (A)","20","518","17.0 %","21.6 %","0.79",".279",".401",".428",".829",".149","6.8",".359","-0.7","86","21.6",".384","134","5297"
"Blake Smith","Dodgers (A)","22","493","9.9 %","27.4 %","0.36",".281",".363",".488",".852",".207","3.6",".366","-1.0","81","20.1",".383","133","9780"
"Kody Hinze","Astros (A)","22","536","12.9 %","23.9 %","0.54",".277",".377",".465",".842",".188","1.8",".344","-1.5","89","25.2",".383","139","sa455593"
"Conner Crumbliss","Athletics (A)","23","634","19.9 %","14.5 %","1.37",".271",".421",".371",".792",".100","5.1",".320","1.2","103","24.6",".381","131","sa502365"
"Jamie Johnson","Tigers (A)","23","555","17.7 %","13.7 %","1.29",".284",".413",".388",".802",".104","5.6",".333","-0.9","90","21.3",".380","131","sa501504"
"Nolan Arenado","Rockies (A)","19","402","4.7 %","12.9 %","0.37",".308",".338",".520",".858",".212","2.4",".326","-1.0","66","17.8",".380","137","9777"
"Matt Long","Angels (A)","23","553","10.7 %","12.1 %","0.88",".305",".382",".446",".829",".142","7.5",".342","0.6","89","20.4",".378","130","sa454873"
"Carlo Testa","Royals (A)","23","535","11.2 %","23.4 %","0.48",".275",".365",".466",".831",".191","7.8",".351","1.6","85","19.0",".377","129","sa455365"
"Nick Franklin","Mariners (A)","19","574","8.7 %","21.4 %","0.41",".281",".351",".485",".837",".205","7.2",".328","0.6","91","19.9",".375","128","10166"
"Jeremy Barnes","Phillies (A)","23","461","12.6 %","18.7 %","0.67",".292",".383",".441",".824",".149","4.9",".358","-1.7","74","18.8",".375","134","sa501661"
"Justin Bloxom","Nationals (A)","22","454","5.9 %","17.0 %","0.35",".309",".355",".476",".831",".167","5.6",".353","-0.1","73","18.3",".374","134","sa501606"
"Luke Murton","Yankees (A)","24","451","8.6 %","15.7 %","0.55",".282",".361",".463",".825",".181","3.4",".315","0.4","72","18.1",".374","134","sa502058"
"Nate Freiman","Padres (A)","23","594","9.8 %","19.7 %","0.50",".294",".369",".457",".826",".163","1.7",".352","-0.1","94","19.8",".374","127","6582"
