"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Mike Walker","Brewers (AA)","25","422","11.6 %","25.6 %","0.45",".223",".318",".367",".684",".144","2.7",".280","-0.7","46","0.7",".320","102","sa549126"
"Ronald Torreyes","- - -","20","427","6.6 %","6.8 %","0.97",".269",".329",".368",".697",".099","5.9",".284","0.3","47","0.5",".320","102","11400"
"Ender Inciarte","Diamondbacks (AA)","22","516","5.2 %","9.1 %","0.57",".281",".327",".362",".688",".080","7.1",".303","5.1","56","0.5",".319","101","4922"
"Darrell Ceciliani","Mets (AA)","23","462","6.3 %","22.7 %","0.28",".268",".322",".380",".702",".112","8.1",".341","3.2","51","-3.5",".319","94","9954"
"Danny Ortiz","Twins (AA)","23","521","5.2 %","16.9 %","0.31",".258",".301",".405",".706",".147","3.7",".291","-1.6","57","-4.6",".317","93","10317"
"Travis Mattair","Reds (AA)","24","529","7.8 %","20.0 %","0.39",".242",".315",".364",".679",".122","2.7",".286","-0.8","56","-0.2",".317","100","sa389235"
"D'Arby Myers","Athletics (AA)","24","522","3.1 %","13.4 %","0.23",".285",".320",".388",".707",".103","6.3",".323","-0.1","59","-0.5",".316","99","sa326716"
"Joe Panik","Giants (AA)","22","599","9.7 %","11.4 %","0.85",".257",".333",".347",".680",".090","4.7",".285","-0.2","65","-6.0",".316","92","11936"
"Rico Noel","Padres (AA)","24","576","9.0 %","20.7 %","0.44",".266",".348",".333",".681",".067","7.8",".346","4.0","64","-1.4",".314","98","10585"
"Jeudy Valdez","Padres (AA)","24","478","5.6 %","22.2 %","0.25",".251",".300",".406",".706",".156","5.6",".307","-1.7","53","-1.2",".314","98","sa392932"
"Chih-Hsien Chiang","Rangers (AA)","25","507","4.5 %","17.4 %","0.26",".263",".298",".416",".714",".153","2.8",".300","-0.5","56","-1.5",".313","97","sa328920"
"Edward Salcedo","Braves (AA)","21","518","8.5 %","21.4 %","0.40",".239",".304",".372",".675",".132","4.8",".287","-0.2","53","-2.1",".312","96","sa539932"
"Cristhian Adames","Rockies (AA)","21","446","7.6 %","17.5 %","0.44",".267",".331",".350",".681",".082","4.8",".326","-0.3","48","-2.4",".310","95","6013"
"Jose Ramirez","Indians (AA)","20","533","7.3 %","7.7 %","0.95",".272",".325",".349",".674",".077","7.5",".290","0.8","55","-7.7",".310","88","13510"
