"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Myron Leslie","Athletics (AA)","25","108","386","454","111","77","28","1","5","53","47","64","1","75","0","3","1","14","1","1",".288","sa253627"
"Noochie Varner","Astros (AA)","26","98","352","392","101","71","21","3","6","34","51","30","0","58","3","7","0","16","3","1",".287","sa199997"
"Juan Gonzalez","Dodgers (AA)","25","106","349","401","100","69","20","2","9","60","52","38","2","63","6","3","5","7","8","3",".287","sa200559"
"Carlos Gonzalez","Diamondbacks (AA)","21","120","458","499","131","79","33","3","16","63","75","32","2","103","1","6","2","7","9","5",".286","7287"
"Brock Peterson","Twins (AA)","23","112","389","455","111","71","21","4","15","67","64","44","2","90","18","2","2","7","1","0",".285","4984"
"Emilio Bonifacio","Diamondbacks (AA)","22","132","551","596","157","129","21","5","2","84","40","38","1","105","2","1","4","6","41","13",".285","4054"
"Josh Whitesell","Nationals (AA)","25","119","387","487","110","65","23","1","21","78","74","87","5","107","10","3","0","6","6","2",".284","6713"
"Jake Fox","Cubs (AA)","24","91","359","388","102","60","23","1","18","60","60","17","3","72","8","4","0","8","6","2",".284","6267"
"Chase Lambin","Marlins (AA)","27","116","434","494","123","71","31","6","15","64","59","45","2","111","5","5","5","10","3","6",".283","sa201847"
"Steve Sollmann","Brewers (AA)","25","125","445","546","126","94","26","3","3","78","51","61","2","63","25","6","9","8","22","6",".283","sa253763"
"Michael Hollimon","Tigers (AA)","25","127","471","552","133","77","34","8","14","91","76","64","2","121","5","5","7","7","17","6",".282","3674"
"Neil Sellers","Astros (AA)","25","111","358","386","101","70","23","1","7","49","43","19","0","61","6","2","1","12","0","2",".282","sa253773"
"Jeff Fiorentino","Orioles (AA)","24","126","436","496","123","86","18","4","15","68","65","44","2","89","1","5","10","4","8","4",".282","8024"
"Lee Mitchell","Marlins (AA)","25","135","451","539","127","76","29","2","20","73","73","72","1","153","13","3","0","7","2","1",".282","sa225991"
"Jordan Czarniecki","Rockies (AA)","26","128","427","501","120","76","31","0","13","74","58","55","1","75","7","5","7","4","18","4",".281","sa225969"
"Clete Thomas","Tigers (AA)","23","137","528","599","148","104","30","6","8","97","53","59","0","110","7","2","3","3","18","11",".280","3373"
"Dan DeMent","Nationals (AA)","29","121","407","463","114","73","29","2","10","66","67","44","0","99","5","4","3","11","2","0",".280","sa199531"
"Paco Figueroa","Orioles (AA)","24","95","350","406","98","76","19","2","1","60","19","43","0","52","4","0","9","4","15","11",".280","sa291134"
"Argenis Reyes","Indians (AA)","24","125","467","503","130","102","21","4","3","65","32","23","0","56","1","1","11","14","27","8",".278","3285"
"Will Venable","Padres (AA)","24","134","515","572","143","113","19","3","8","66","68","38","3","84","10","4","5","8","21","2",".278","211"
