"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Ross Kivett","Tigers (A)","23","133","524","585","140","105","28","2","5","75","50","44","0","66","9","7","1","12","28","5",".267","sa737860"
"Cameron Kneeland","Orioles (A)","25","112","408","469","109","72","26","5","6","65","63","47","0","62","8","6","0","6","3","0",".267","sa577740"
"Gavin LaValley","Reds (A)","20","125","469","530","125","91","29","1","4","52","53","50","1","114","7","4","0","7","4","1",".267","sa828878"
"Samir Duenez","Royals (A)","19","101","361","396","96","78","13","4","1","47","37","24","0","33","2","2","7","6","11","5",".266","sa739574"
"T.J. White","Twins (A)","23","106","380","447","101","71","22","6","2","45","52","43","0","49","16","7","1","11","13","4",".266","sa827369"
"Richard Urena","Blue Jays (A)","19","91","384","408","102","70","13","4","15","62","58","13","0","84","2","6","3","7","5","5",".266","16411"
"Tanner English","Twins (A)","22","104","377","443","100","65","22","8","5","70","36","48","0","87","8","2","8","2","37","7",".265","sa599081"
"Trae Santos","Padres (A)","22","130","435","509","115","64","33","4","14","54","60","57","2","108","10","5","2","4","3","2",".264","sa738161"
"Jordan Luplow","Pirates (A)","21","106","390","465","103","52","36","3","12","74","67","59","2","67","6","4","6","9","11","2",".264","16424"
"Michael Ahmed","Dodgers (A)","23","118","447","515","118","87","21","6","4","56","30","61","1","111","6","1","0","4","24","12",".264","sa705802"
"Jonah Arenado","Giants (A)","20","134","523","561","138","103","25","1","9","57","62","24","1","94","1","8","5","10","1","1",".264","sa738199"
"Mason Robbins","White Sox (A)","22","124","468","491","123","92","19","9","3","51","47","12","0","76","2","6","3","8","3","4",".263","sa599191"
"Luke Tendler","Rangers (A)","23","124","454","510","119","70","30","4","15","67","73","41","2","95","6","7","0","6","2","3",".262","sa829644"
"Arby Fields","Mariners (A)","24","91","317","382","83","69","9","2","3","51","23","57","2","69","3","0","5","3","28","10",".262","sa502948"
"Jose Trevino","Rangers (A)","22","112","424","449","111","76","19","2","14","62","63","18","0","60","1","3","3","12","1","4",".262","sa827368"
"Eduard Pinto","Rangers (A)","20","98","349","397","91","72","12","5","2","39","36","34","0","21","3","3","8","9","2","9",".261","sa579381"
"Gioskar Amaya","Cubs (A)","22","110","400","456","104","80","18","2","4","45","43","44","0","73","6","2","4","6","17","5",".260","sa547898"
"Brian Schales","Marlins (A)","19","122","443","497","115","87","21","3","4","59","45","38","0","76","10","3","3","14","3","2",".260","sa828808"
"Taylor Murphy","Indians (A)","22","115","407","485","105","76","21","0","8","76","51","66","1","98","4","4","4","7","3","4",".258","sa599536"
"Charcer Burks","Cubs (A)","20","116","435","498","112","83","22","4","3","63","44","51","0","83","4","3","5","2","28","9",".257","sa737838"
"Estarlyn Morales","Mariners (A)","22","104","403","436","103","75","21","2","5","44","53","26","1","97","5","1","1","11","20","10",".256","sa547982"
"Mason Davis","Marlins (A)","22","86","337","376","86","65","11","4","6","43","29","19","0","67","9","1","10","2","19","9",".255","sa829296"
"Riley Unroe","Rays (A)","19","116","439","501","112","93","13","2","4","45","35","51","0","99","2","4","5","3","13","9",".255","sa737614"
"Franmil Reyes","Padres (A)","19","123","455","509","116","76","25","7","8","52","62","46","0","91","1","7","0","12","10","5",".255","sa657490"
"Cord Sandberg","Phillies (A)","20","129","499","550","127","93","28","1","5","53","59","29","0","88","9","7","6","6","5","7",".255","sa737636"
"Oscar Mercado","Cardinals (A)","20","117","472","513","120","90","23","3","4","70","44","23","0","61","8","5","5","9","50","19",".254","sa737612"
"Jose Cardona","Rangers (A)","21","128","469","526","119","85","19","5","10","64","59","40","0","73","5","4","8","10","30","18",".254","sa599888"
"J.C. Rodriguez","Mets (A)","22","112","406","457","103","80","15","5","3","49","44","35","0","95","3","5","8","7","17","8",".254","sa597094"
"Louie Lechich","White Sox (A)","23","130","494","543","125","97","19","3","6","59","71","36","1","99","3","5","5","10","19","3",".253","sa550153"
"Zach Houchins","Angels (A)","22","131","494","546","125","82","27","2","14","69","66","39","0","67","7","6","0","16","0","0",".253","sa599235"
"Josh Fuentes","Rockies (A)","22","93","337","385","85","54","24","1","6","45","42","29","2","64","8","5","6","3","7","6",".252","sa829934"
"Bobby Ison","Indians (A)","21","94","342","383","86","72","10","3","1","38","32","28","0","46","1","3","9","3","9","6",".251","sa829295"
"Brandon Downes","Royals (A)","22","106","391","437","98","52","29","3","14","52","59","31","0","115","6","4","5","4","19","7",".251","sa602678"
"Kristian Trompiz","Astros (A)","19","113","403","443","101","71","19","5","6","48","40","20","0","85","2","7","11","10","7","4",".251","sa737029"
"Grant Kay","Rays (A)","22","118","423","463","106","74","30","1","1","46","31","29","0","80","5","4","2","10","13","6",".251","sa829446"
