"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"John Bowker","Giants (AAA)","25","450","16.4 %","14.2 %","1.16",".342",".451",".596","1.047",".254","5.3",".362","-1.1","99","42.3",".450","174","8276"
"Sean Rodriguez","- - -","24","459","12.0 %","26.6 %","0.45",".294",".397",".608","1.005",".314","7.0",".352","0.5","94","36.0",".431","162","6589"
"Mitch Jones","Dodgers (AAA)","31","434","9.2 %","23.5 %","0.39",".297",".364",".651","1.015",".354","5.4",".315","0.2","87","32.0",".426","158","3006"
"Randy Ruiz","Blue Jays (AAA)","31","521","9.0 %","19.0 %","0.47",".320",".392",".584",".976",".264","2.6",".361","-0.4","101","35.4",".419","154","2761"
"Brian Myrow","- - -","32","447","14.5 %","15.7 %","0.93",".307",".419",".496",".915",".189","2.9",".339","-0.7","80","28.3",".406","155","3702"
"Matt LaPorta","Indians (AAA)","24","394","10.7 %","14.2 %","0.75",".299",".388",".530",".917",".231","3.4",".313","-1.4","70","24.6",".405","154","2280"
"Jordan Brown","Indians (AAA)","25","455","6.6 %","14.1 %","0.47",".336",".381",".532",".913",".197","2.7",".367","-1.6","79","27.0",".401","152","4121"
"Shelley Duncan","Yankees (AAA)","29","527","12.1 %","17.8 %","0.68",".277",".370",".546",".916",".270","3.3",".285","0.0","92","31.1",".401","152","3620"
"Kevin Barker","Reds (AAA)","33","417","12.9 %","19.2 %","0.68",".285",".376",".551",".927",".266","3.3",".305","-0.5","72","24.4",".400","151","1019"
"Ruben Gotay","Diamondbacks (AAA)","26","479","21.3 %","14.4 %","1.48",".272",".429",".450",".879",".178","2.8",".307","-1.9","85","24.7",".400","141","3417"
"Adam Heether","Brewers (AAA)","27","452","13.1 %","18.6 %","0.70",".293",".400",".501",".902",".208","3.7",".337","0.1","80","23.2",".400","141","sa226130"
"Allen Craig","Cardinals (AAA)","24","521","7.1 %","18.2 %","0.39",".322",".374",".547",".921",".225","3.5",".353","0.2","93","26.7",".400","140","3433"
