"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Sergio Pedroza","Dodgers (A)","22","410","17.8 %","22.2 %","0.80",".281",".437",".562",".998",".281","2.8",".327","-2.3","88","38.2",".449","177","sa294295"
"Erik Lis","Twins (A)","22","465","11.0 %","17.8 %","0.61",".326",".402",".547",".950",".221","4.0",".377","0.0","90","36.9",".428","169","sa290214"
"Ben Jones","Yankees (A)","24","455","13.0 %","18.7 %","0.69",".298",".409",".530",".939",".232","3.3",".336","-1.0","90","34.6",".427","163","sa253959"
"Eugenio Velez","Giants (A)","24","508","6.7 %","15.9 %","0.42",".315",".369",".557",".925",".241","9.2",".354","6.3","94","32.2",".411","152","3893"
"Jeff Baisley","Athletics (A)","23","545","11.4 %","15.8 %","0.72",".298",".382",".519",".901",".221","4.2",".318","1.3","97","34.1",".406","154","9684"
"Max Ramirez","- - -","21","487","17.2 %","20.3 %","0.85",".292",".417",".454",".871",".162","3.0",".355","0.2","88","28.6",".405","148","5039"
"Aaron Cunningham","White Sox (A)","20","402","8.5 %","17.9 %","0.47",".305",".386",".496",".882",".191","6.2",".356","-0.6","71","22.6",".402","146","4087"
"Michael Hollimon","Tigers (A)","24","537","14.3 %","23.1 %","0.62",".278",".386",".501",".887",".223","6.7",".350","2.2","93","31.6",".401","151","3674"
"Jeremy Slayden","Phillies (A)","23","454","9.0 %","19.6 %","0.46",".310",".381",".510",".891",".200","5.1",".373","0.8","79","24.2",".398","144","sa294415"
"Randy Roth","Cardinals (A)","24","418","4.8 %","11.7 %","0.41",".307",".354",".523",".878",".216","4.6",".312","-0.3","71","23.0",".396","148","sa290223"
"Will Venable","Padres (A)","23","541","10.2 %","15.0 %","0.68",".314",".389",".477",".866",".163","6.5",".355","2.1","92","29.5",".395","147","211"
"Cole Garner","Rockies (A)","21","512","4.9 %","24.8 %","0.20",".302",".353",".519",".872",".218","7.4",".373","1.3","87","25.1",".392","140","616"
"Ryan Finan","Orioles (A)","24","527","16.1 %","19.0 %","0.85",".262",".392",".464",".855",".201","3.2",".302","-0.4","89","25.4",".391","140","sa253579"
"Jay Bruce","Reds (A)","19","498","8.8 %","21.3 %","0.42",".291",".355",".516",".871",".225","6.2",".345","0.5","83","25.6",".391","145","9892"
"Phillip Cuadrado","Rockies (A)","22","432","8.1 %","16.7 %","0.49",".296",".374",".479",".852",".183","3.6",".329","-3.4","72","20.1",".389","138","sa293540"
"Mark Wagner","Red Sox (A)","22","407","10.3 %","12.8 %","0.81",".301",".386",".456",".842",".155","2.4",".336","-1.2","68","18.8",".389","138","sa294138"
"Cameron Maybin","Tigers (A)","19","445","11.2 %","26.1 %","0.43",".304",".387",".457",".844",".153","7.4",".408","3.0","73","21.6",".387","142","5223"
"Jamie Romak","Braves (A)","20","420","14.0 %","24.3 %","0.58",".247",".369",".471",".840",".224","4.1",".300","0.0","69","18.0",".384","135","5552"
"Dexter Fowler","Rockies (A)","20","458","9.4 %","17.2 %","0.54",".296",".373",".462",".835",".165","8.2",".351","-1.3","75","19.2",".383","135","4062"
"John Mayberry Jr.","Rangers (A)","22","536","11.0 %","21.8 %","0.50",".268",".358",".479",".838",".211","5.3",".312","1.0","86","24.0",".382","139","3390"
"Eric Campbell","Braves (A)","20","480","4.8 %","14.2 %","0.34",".296",".335",".517",".852",".220","6.8",".307","1.7","78","19.7",".382","134","sa253853"
"Anthony Recker","Athletics (A)","22","453","9.3 %","25.4 %","0.37",".287",".358",".464",".822",".177","3.9",".369","-0.6","71","18.5",".377","135","4063"
"Jason Delaney","Pirates (A)","23","518","10.8 %","15.3 %","0.71",".300",".379",".432",".811",".132","3.8",".347","-1.3","82","18.9",".376","130","sa291783"
"Eric Young Jr.","Rockies (A)","21","569","11.8 %","13.2 %","0.89",".295",".391",".409",".800",".114","7.9",".340","4.0","90","20.6",".376","130","7158"
"Lorenzo Cain","Brewers (A)","20","604","9.6 %","17.2 %","0.56",".307",".384",".425",".809",".118","6.5",".370","1.9","95","21.8",".376","130","9077"
"Bryan Byrne","Diamondbacks (A)","22","522","13.4 %","16.9 %","0.80",".286",".389",".410",".798",".124","2.5",".332","0.3","80","20.1",".374","133","sa291107"
"Joey Metropoulos","Blue Jays (A)","22","476","12.8 %","19.1 %","0.67",".270",".378",".427",".805",".157","3.5",".319","0.2","73","18.1",".373","133","sa253757"
"Mat Gamel","Brewers (A)","20","555","9.4 %","14.6 %","0.64",".288",".359",".469",".827",".181","4.9",".313","0.8","86","18.3",".372","127","4034"
"Tony Granadillo","Red Sox (A)","21","486","8.8 %","16.3 %","0.54",".283",".360",".455",".814",".171","4.5",".316","0.4","75","16.0",".372","127","sa254517"
"Chris Gimenez","Indians (A)","23","394","8.4 %","18.3 %","0.46",".255",".364",".438",".802",".182","4.4",".291","-2.3","60","12.7",".371","127","7324"
"Lucas May","Dodgers (A)","21","497","7.0 %","26.2 %","0.27",".273",".332",".493",".825",".220","7.6",".342","1.8","76","15.8",".370","126","5633"
"Bryan Anderson","Cardinals (A)","19","432","9.7 %","15.3 %","0.64",".302",".377",".417",".794",".115","3.4",".357","-1.6","65","15.1",".369","130","9871"
"Ryan Norwood","Cubs (A)","23","554","4.9 %","19.1 %","0.25",".307",".354",".451",".805",".145","3.2",".357","1.5","83","18.9",".368","130","sa253800"
"Mario Lisson","Royals (A)","22","551","11.8 %","19.8 %","0.60",".263",".368",".421",".789",".158","6.2",".316","4.2","82","18.5",".367","129","sa202240"
