"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Darin Ruf","Phillies (AA)","25","584","11.1 %","17.5 %","0.64",".317",".408",".620","1.028",".303","3.0",".325","0.4","121","53.7",".446","180","9929"
"Marc Krauss","- - -","24","469","16.8 %","20.5 %","0.82",".293",".423",".547",".970",".253","4.7",".341","-0.5","91","38.3",".438","172","7577"
"Mike Olt","Rangers (AA)","23","421","14.5 %","24.0 %","0.60",".288",".398",".579",".977",".291","3.9",".327","0.5","83","33.8",".426","168","10698"
"Hunter Morris","Brewers (AA)","23","571","7.0 %","20.5 %","0.34",".303",".357",".563",".920",".261","4.2",".342","-0.2","100","35.2",".413","155","sa526553"
"Oscar Taveras","Cardinals (AA)","20","531","7.9 %","10.5 %","0.75",".321",".380",".572",".953",".252","6.3",".323","1.3","99","36.6",".411","159","11173"
"Alfredo Marte","Diamondbacks (AA)","23","446","7.6 %","16.1 %","0.47",".294",".363",".523",".886",".229","4.5",".314","-1.4","74","23.7",".401","147","5212"
"Cody Decker","Padres (AA)","25","406","13.3 %","24.6 %","0.54",".263",".367",".540",".907",".277","2.4",".296","-1.7","71","23.6",".398","150","9665"
"Jon Singleton","Astros (AA)","20","555","15.9 %","23.6 %","0.67",".284",".396",".497",".893",".213","5.2",".350","0.2","97","31.6",".396","148","10441"
"Thomas Neal","Indians (AA)","24","470","9.8 %","15.1 %","0.65",".314",".400",".467",".867",".153","4.5",".355","-1.0","78","23.9",".394","144","9461"
"Jake Goebbert","Astros (AA)","24","433","12.7 %","13.2 %","0.96",".304",".399",".473",".872",".168","5.7",".338","-0.5","73","22.6",".390","144","9431"
"Josh Fellhauer","Reds (AA)","24","399","13.5 %","13.5 %","1.00",".314",".409",".420",".829",".107","3.9",".362","-0.6","62","17.3",".388","138","sa501503"
"Nate Freiman","Padres (AA)","25","581","8.4 %","16.4 %","0.52",".298",".370",".502",".872",".203","2.2",".324","-1.2","97","29.3",".388","143","6582"
"Robbie Widlansky","Orioles (AA)","27","544","11.8 %","13.6 %","0.86",".316",".404",".446",".850",".130","4.2",".360","1.0","87","24.0",".385","138","sa389390"
"Matt Davidson","Diamondbacks (AA)","21","576","12.0 %","21.9 %","0.55",".261",".367",".469",".836",".208","3.4",".304","-1.3","87","22.1",".382","134","7226"
"J.T. Wise","Dodgers (AA)","26","488","12.7 %","25.6 %","0.50",".278",".377",".445",".822",".167","2.6",".374","0.0","73","18.0",".380","133","sa505632"
"Greg Garcia","Cardinals (AA)","22","504","15.9 %","16.5 %","0.96",".284",".408",".420",".828",".136","5.1",".334","-0.4","81","21.9",".379","137","10951"
"Aaron Hicks","Twins (AA)","22","563","14.0 %","20.6 %","0.68",".286",".384",".460",".844",".174","7.9",".348","2.0","87","22.0",".379","134","5297"
"Seth Loman","White Sox (AA)","26","473","9.5 %","19.0 %","0.50",".276",".364",".458",".821",".182","2.8",".317","-1.0","70","17.0",".379","132","sa326152"
"Eric Campbell","Mets (AA)","25","465","12.5 %","16.3 %","0.76",".297",".391",".439",".830",".142","4.2",".344","0.0","71","18.0",".378","134","6938"
"Logan Watkins","Cubs (AA)","22","588","12.9 %","16.5 %","0.78",".281",".383",".422",".805",".141","7.8",".332","2.5","86","20.0",".376","130","4875"
"Chun-Hsiu Chen","Indians (AA)","23","459","12.2 %","22.0 %","0.55",".308",".394",".426",".820",".118","3.7",".400","0.0","69","16.7",".375","132","sa455954"
"Chris McGuiness","Rangers (AA)","24","530","13.0 %","20.2 %","0.64",".268",".366",".474",".840",".206","1.2",".302","-0.7","83","21.1",".374","134","9423"
"Conner Crumbliss","Athletics (AA)","25","605","19.8 %","16.2 %","1.22",".257",".414",".391",".805",".134","6.5",".302","1.1","95","23.8",".374","134","sa502365"
"Chris Colabello","Twins (AA)","28","562","8.4 %","16.7 %","0.50",".284",".358",".478",".836",".194","2.2",".314","0.0","84","19.8",".374","131","13051"
"Brock Holt","Pirates (AA)","24","432","9.3 %","11.8 %","0.78",".322",".389",".432",".821",".110","5.2",".364","-2.2","65","15.2",".374","131","9345"
