"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Bryan LaHair","Cubs (AAA)","28","523","11.5 %","21.2 %","0.54",".331",".405",".664","1.070",".333","2.6",".361","0.4","114","40.3",".442","155","5462"
"Anthony Rizzo","Padres (AAA)","21","413","10.4 %","21.5 %","0.48",".331",".404",".652","1.056",".320","3.7",".369","-1.6","88","30.2",".438","152","3473"
"Cody Ransom","Diamondbacks (AAA)","35","432","12.7 %","21.8 %","0.59",".317",".405",".629","1.034",".312","6.0",".358","0.5","92","31.0",".436","151","1126"
"Ryan Langerhans","- - -","31","426","17.8 %","22.1 %","0.81",".311",".437",".573","1.009",".262","4.6",".368","-1.3","90","30.4",".436","151","98"
"Collin Cowgill","Diamondbacks (AAA)","25","456","11.2 %","13.8 %","0.81",".354",".430",".554",".984",".200","8.7",".397","4.5","95","30.6",".431","148","7250"
"Taylor Green","Brewers (AAA)","24","487","11.3 %","14.8 %","0.76",".336",".413",".583",".997",".248","2.6",".360","0.2","100","31.1",".427","145","9147"
"David Cooper","Blue Jays (AAA)","24","545","12.3 %","7.9 %","1.56",".364",".439",".535",".974",".171","2.3",".380","-1.3","110","33.6",".425","144","7752"
"Brandon Allen","- - -","25","419","15.8 %","24.1 %","0.65",".299",".413",".578",".991",".279","6.3",".361","-0.6","85","25.6",".424","143","7436"
"Russ Canzler","Rays (AAA)","25","550","12.2 %","23.5 %","0.52",".314",".401",".530",".930",".215","4.4",".396","-0.2","99","36.1",".410","157","8265"
"Jeremy Hermida","Reds (AAA)","27","450","10.2 %","21.6 %","0.47",".319",".400",".524",".924",".205","3.6",".387","0.3","81","28.7",".408","155","7208"
"Clint Robinson","Royals (AAA)","26","572","10.1 %","15.4 %","0.66",".326",".399",".533",".932",".207","2.3",".356","-0.1","105","24.4",".404","130","6908"
"Jai Miller","Athletics (AAA)","26","475","11.4 %","37.7 %","0.30",".276",".368",".588",".956",".312","7.5",".401","3.2","87","20.0",".403","130","5715"
"Brandon Guyer","Rays (AAA)","25","443","7.9 %","17.8 %","0.44",".312",".384",".521",".905",".209","7.2",".360","0.5","76","25.2",".399","149","2636"
"Trayvon Robinson","- - -","23","428","11.2 %","29.4 %","0.38",".289",".374",".552",".926",".263","6.1",".369","-1.2","76","15.3",".396","125","9875"
"Matt Carpenter","Cardinals (AAA)","25","535","15.7 %","12.7 %","1.24",".300",".417",".463",".880",".164","3.5",".328","-1.0","94","19.1",".396","125","8090"
"Cole Gillespie","Diamondbacks (AAA)","27","583","13.9 %","15.6 %","0.89",".300",".405",".479",".885",".180","7.6",".343","2.3","101","18.7",".392","123","5888"
"Mat Gamel","Brewers (AAA)","25","545","8.4 %","15.4 %","0.55",".310",".372",".540",".912",".229","2.9",".326","0.4","93","16.4",".390","121","4034"
