"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Josh Whitaker","Athletics (A)","22","448","9.8 %","23.9 %","0.41",".326",".402",".556",".957",".230","5.6",".410","1.0","89","37.1",".430","171","sa549594"
"Brian Fletcher","Royals (A)","22","376","6.4 %","21.3 %","0.30",".328",".386",".560",".946",".232","4.4",".394","-1.0","74","29.6",".425","167","sa526538"
"Corey Dickerson","Rockies (A)","22","436","8.9 %","22.7 %","0.39",".282",".356",".629",".986",".347","6.4",".296","-0.9","87","32.8",".424","160","10762"
"Jesus Aguilar","Indians (A)","21","397","8.8 %","24.7 %","0.36",".292",".370",".544",".915",".252","3.7",".353","0.0","73","26.7",".410","157","11342"
"Chris Garcia","Braves (A)","23","412","14.3 %","17.0 %","0.84",".305",".405",".511",".917",".207","1.5",".340","-0.4","78","26.1",".409","151","sa390205"
"Andrew Clark","Rangers (A)","23","430","14.4 %","14.4 %","1.00",".313",".422",".482",".904",".169","3.1",".347","-0.5","81","27.0",".409","150","sa328044"
"Adam Duvall","Giants (A)","22","513","11.5 %","19.1 %","0.60",".285",".385",".527",".912",".241","4.0",".320","-1.1","94","29.8",".403","146","10950"
"Jake Marisnick","Blue Jays (A)","20","523","8.2 %","17.4 %","0.47",".320",".392",".496",".888",".175","7.2",".371","3.8","93","31.9",".402","152","11339"
"Brady Shoemaker","White Sox (A)","24","432","10.0 %","18.1 %","0.55",".319",".399",".493",".892",".174","4.8",".375","-0.1","78","24.2",".400","145","sa502052"
"Richard Jones","Cubs (A)","23","519","6.2 %","24.1 %","0.26",".309",".362",".538",".900",".229","1.5",".372","-1.5","91","30.7",".399","151","sa501607"
"Mark Canha","Marlins (A)","22","455","13.0 %","18.7 %","0.69",".276",".374",".529",".902",".253","3.5",".288","0.0","82","24.9",".399","144","11445"
"Rymer Liriano","Padres (A)","20","519","9.1 %","18.3 %","0.49",".319",".383",".499",".882",".180","8.5",".373","4.6","90","29.8",".397","149","4779"
"Jurickson Profar","Rangers (A)","18","516","12.6 %","12.2 %","1.03",".286",".390",".493",".883",".207","7.6",".309","0.5","91","26.9",".395","142","10815"
"T.J. Mittelstaedt","Brewers (A)","23","465","16.3 %","24.9 %","0.66",".293",".410",".443",".853",".150","6.9",".388","2.4","80","25.9",".395","148","sa549912"
"Robby Price","Rays (A)","23","538","16.0 %","11.7 %","1.37",".283",".426",".407",".833",".124","6.1",".321","0.0","93","29.9",".395","147","sa547109"
"David Freitas","Nationals (A)","22","516","15.9 %","16.9 %","0.94",".288",".409",".450",".859",".162","2.2",".335","-0.2","91","26.5",".394","141","10619"
"Jonathan Rodriguez","Cardinals (A)","21","488","15.8 %","22.3 %","0.71",".251",".389",".472",".861",".221","2.4",".295","-1.5","84","26.8",".394","147","sa503023"
"Yazy Arbelo","Diamondbacks (A)","23","549","13.3 %","29.3 %","0.45",".247",".361",".516",".877",".269","1.7",".304","0.0","94","29.7",".393","146","sa549324"
"Christian Yelich","Marlins (A)","19","521","10.6 %","19.6 %","0.54",".312",".388",".484",".871",".171","5.6",".373","4.0","91","26.1",".393","140","11477"
"Dustin Garneau","Rockies (A)","23","417","13.9 %","16.8 %","0.83",".255",".370",".513",".883",".258","5.5",".270","-1.8","73","20.5",".392","139","9433"
"Zach Walters","Diamondbacks (A)","21","412","10.2 %","23.3 %","0.44",".302",".377",".485",".861",".183","6.7",".386","-1.9","70","21.5",".390","145","10622"
"Brandon Jacobs","Red Sox (A)","20","505","8.5 %","24.4 %","0.35",".303",".376",".505",".881",".201","6.6",".381","2.8","87","24.2",".390","138","sa501670"
"Mike Walker","Brewers (A)","23","440","13.6 %","27.3 %","0.50",".274",".387",".455",".842",".182","3.6",".368","-0.9","74","22.5",".389","144","sa549126"
"Brett Tanos","Rockies (A)","22","486","14.6 %","17.5 %","0.84",".285",".401",".445",".846",".160","4.4",".339","-0.9","83","22.7",".389","137","sa548490"
"Marcus Knecht","Blue Jays (A)","21","528","12.7 %","23.5 %","0.54",".273",".377",".474",".851",".200","4.2",".337","-0.7","87","25.4",".385","141","sa455466"
"Donald Lutz","Reds (A)","22","506","6.7 %","24.7 %","0.27",".301",".358",".492",".850",".191","4.7",".375","-0.9","83","24.0",".384","141","10154"
"Christian Vazquez","Red Sox (A)","20","444","9.7 %","18.9 %","0.51",".283",".358",".505",".863",".222","3.8",".316","-0.4","74","18.4",".382","133","9774"
"Mike Gonzales","Twins (A)","23","477","11.1 %","22.0 %","0.50",".289",".371",".468",".840",".180","3.9",".348","0.6","78","21.8",".382","139","sa455046"
"Derek Dietrich","Rays (A)","21","539","7.1 %","23.7 %","0.30",".277",".346",".502",".848",".225","4.3",".331","-2.1","87","24.4",".381","139","10542"
"David Vidal","Reds (A)","21","514","8.6 %","21.6 %","0.40",".280",".350",".498",".847",".218","3.8",".325","-0.4","83","23.1",".381","139","sa548470"
"Kyle Parker","Rockies (A)","21","516","9.3 %","25.8 %","0.36",".285",".367",".483",".850",".198","3.4",".355","0.2","85","20.8",".381","132","11763"
"Jim Murphy","Phillies (A)","25","537","11.0 %","22.9 %","0.48",".268",".361",".490",".852",".222","2.4",".317","0.0","88","20.7",".378","131","sa454769"
