"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Clint Coulter","Brewers (A)","20","529","13.8 %","19.5 %","0.71",".287",".410",".520",".930",".233","4.3",".326","-1.4","102","40.1",".420","165","sa657922"
"Carlos Asuaje","Red Sox (A)","22","383","10.7 %","14.6 %","0.73",".305",".391",".542",".933",".237","6.3",".333","-0.5","73","26.1",".416","156","15197"
"Mitch Garver","Twins (A)","23","504","12.1 %","12.9 %","0.94",".298",".399",".481",".880",".184","3.3",".320","-0.8","90","31.7",".404","154","15161"
"Brett Phillips","Astros (A)","20","443","8.1 %","17.2 %","0.47",".302",".362",".521",".883",".219","7.2",".341","-0.6","76","24.7",".394","148","14735"
"Chance Sisco","Orioles (A)","19","478","8.8 %","16.5 %","0.53",".340",".406",".448",".854",".108","2.6",".406","-1.0","82","23.8",".392","141","15694"
"Ryan McMahon","Rockies (A)","19","552","9.8 %","25.9 %","0.38",".282",".358",".502",".860",".220","5.3",".360","-0.8","91","24.5",".386","137","15112"
"Wynton Bernard","Tigers (A)","23","583","9.6 %","14.8 %","0.65",".323",".394",".442",".836",".118","7.1",".378","1.1","96","28.3",".385","142","sa658999"
"Chase McDonald","Astros (A)","22","413","10.7 %","28.1 %","0.38",".279",".363",".481",".844",".202","1.5",".366","-0.1","68","19.7",".384","141","sa706987"
"Raimel Tapia","Rockies (A)","20","539","6.5 %","16.7 %","0.39",".326",".382",".453",".836",".127","6.0",".383","-0.6","88","22.5",".382","134","14350"
"JaCoby Jones","Pirates (A)","22","501","6.6 %","26.3 %","0.25",".288",".347",".503",".851",".216","5.6",".352","-0.7","81","20.5",".381","134","14818"
"Carlos Lopez","Marlins (A)","24","576","10.2 %","11.1 %","0.92",".323",".392",".438",".830",".114","4.7",".357","-0.3","93","23.5",".381","134","sa550060"
