"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Brian Fletcher","Royals (A)","22","91","341","376","112","64","31","3","14","54","60","24","0","80","9","2","0","9","4","4",".328","sa526538"
"Josh Whitaker","Athletics (A)","22","113","396","448","129","75","34","3","17","67","68","44","2","107","7","1","0","13","10","2",".326","sa549594"
"Jake Marisnick","Blue Jays (A)","20","118","462","523","148","101","27","6","14","68","77","43","4","91","14","4","0","9","37","8",".320","11339"
"Brady Shoemaker","White Sox (A)","24","99","373","432","119","78","28","2","11","68","65","43","2","78","9","4","2","11","7","3",".319","sa502052"
"Rymer Liriano","Padres (A)","20","116","455","519","145","95","30","8","12","81","62","47","1","95","6","9","2","13","65","20",".319","4779"
"Andrew Clark","Rangers (A)","23","103","355","430","111","75","24","0","12","59","60","62","3","62","8","4","1","7","7","4",".313","sa328044"
"Christian Yelich","Marlins (A)","19","122","461","521","144","96","32","1","15","73","77","55","1","102","3","2","0","10","32","5",".312","11477"
"Nick Castellanos","Tigers (A)","19","135","507","562","158","112","36","3","7","65","76","45","2","130","3","6","1","5","3","2",".312","11737"
"Richard Jones","Cubs (A)","23","123","472","519","146","86","36","0","24","62","98","32","8","125","10","5","0","9","0","3",".309","sa501607"
"Odubel Herrera","Rangers (A)","19","119","464","505","142","110","26","3","3","72","56","24","0","78","8","2","7","12","34","11",".306","11476"
"Chris Garcia","Braves (A)","23","97","348","412","106","66","24","0","16","51","67","59","3","70","2","3","0","10","1","1",".305","sa390205"
"Brandon Jacobs","Red Sox (A)","20","115","442","505","134","82","32","3","17","75","80","43","5","123","12","5","0","7","30","7",".303","sa501670"
"Zach Walters","Diamondbacks (A)","21","97","361","412","109","67","27","6","9","69","56","42","1","96","3","3","3","4","12","10",".302","10622"
"Donald Lutz","Reds (A)","22","123","465","506","140","94","23","3","20","85","75","34","4","125","7","0","0","8","5","4",".301","10154"
"Rubi Silva","Cubs (A)","22","93","390","416","117","91","16","7","3","59","37","13","2","73","0","4","9","4","6","6",".300","sa594139"
"Tomas Telis","Rangers (A)","20","115","461","494","137","98","28","0","11","67","69","18","0","35","6","4","5","17","12","6",".297","10067"
"Noah Perio","Marlins (A)","19","119","488","519","144","105","30","3","6","76","52","19","1","64","3","4","5","7","15","6",".295","sa513056"
"Cody Hawn","Brewers (A)","22","101","377","438","111","81","24","0","6","56","50","51","0","85","4","3","3","9","3","4",".294","sa526271"
"Rafael Ortega","Rockies (A)","20","113","479","519","141","98","26","8","9","77","66","28","1","90","3","4","5","5","32","19",".294","10323"
"Blake Kelso","Nationals (A)","22","127","512","575","150","124","17","7","2","81","52","49","1","53","4","4","6","10","23","7",".293","sa526458"
"T.J. Mittelstaedt","Brewers (A)","23","113","379","465","111","82","13","4","12","72","46","76","1","116","2","4","4","1","28","7",".293","sa549912"
"Emilio King","Astros (A)","21","98","362","385","106","72","24","1","9","50","42","13","1","81","9","1","0","10","3","5",".293","sa503289"
