"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Oswaldo Arcia","Diamondbacks (AAA)","26","400","11.3 %","21.5 %","0.52",".326",".410",".639","1.049",".314","4.4",".367","-0.2","87","34.5",".440","165","10306"
"Rhys Hoskins","Phillies (AAA)","24","475","13.5 %","15.8 %","0.85",".284",".385",".581",".966",".297","4.7",".281","-0.1","90","35.9",".419","166","16472"
"Derek Fisher","Astros (AAA)","23","384","9.1 %","19.3 %","0.47",".318",".384",".583",".967",".265","5.1",".352","-1.5","74","23.7",".411","147","16192"
"Christian Walker","Diamondbacks (AAA)","26","592","10.3 %","17.6 %","0.59",".309",".382",".597",".980",".288","5.9",".327","-0.1","114","36.3",".411","147","13419"
"Franchy Cordero","Padres (AAA)","22","419","5.5 %","28.2 %","0.19",".326",".369",".603",".972",".277","7.5",".431","1.0","81","25.5",".410","146","14567"
"Nick Buss","Padres (AAA)","30","390","6.9 %","13.8 %","0.50",".348",".395",".541",".936",".193","6.4",".381","0.7","72","20.6",".401","140","6835"
"Brett Phillips","Brewers (AAA)","23","432","10.4 %","29.9 %","0.35",".305",".377",".567",".944",".261","7.3",".412","1.2","79","22.3",".400","139","14735"
"Mike Tauchman","Rockies (AAA)","26","475","8.4 %","15.4 %","0.55",".331",".386",".555",".941",".224","7.2",".361","-0.2","87","24.2",".399","139","15274"
"Ivan De Jesus Jr.","Brewers (AAA)","30","466","7.1 %","16.1 %","0.44",".345",".407",".488",".894",".143","4.4",".405","-0.5","83","21.8",".394","136","9886"
"Travis Taijeron","Mets (AAA)","28","533","13.1 %","27.4 %","0.48",".272",".383",".525",".907",".252","3.8",".346","-0.3","95","24.3",".393","135","11935"
"Dominic Smith","Mets (AAA)","22","500","7.8 %","17.4 %","0.45",".330",".386",".519",".905",".188","3.0",".380","-0.5","88","22.4",".392","134","15653"
"Nate Orf","Brewers (AAA)","27","507","10.7 %","14.8 %","0.72",".320",".397",".507",".904",".187","7.1",".362","0.3","89","22.7",".392","134","sa579765"
"Willie Calhoun","- - -","22","534","7.9 %","11.4 %","0.69",".300",".355",".572",".927",".272","4.6",".289","-0.3","93","23.0",".390","133","17838"
"Zach Borenstein","Diamondbacks (AAA)","26","433","10.4 %","29.1 %","0.36",".279",".351",".573",".924",".294","5.8",".349","-0.2","75","18.1",".388","132","sa599252"
"Ramon Flores","Angels (AAA)","25","493","13.8 %","14.2 %","0.97",".312",".409",".460",".869",".148","5.7",".353","1.3","85","20.0",".387","131","11165"
"Tyler White","Astros (AAA)","26","497","9.5 %","20.3 %","0.47",".300",".371",".528",".898",".227","4.3",".334","-0.2","85","19.8",".386","130","15564"
"Mark Zagunis","Cubs (AAA)","24","408","17.2 %","22.8 %","0.75",".267",".404",".455",".859",".188","3.5",".333","-0.8","70","15.9",".385","130","16565"
"Christian Villanueva","Padres (AAA)","26","454","9.5 %","18.3 %","0.52",".296",".369",".528",".896",".231","4.2",".326","-0.3","77","17.6",".385","129","11738"
