Name,PA,BB%,K%,AVG,OBP,SLG,OPS
Ronald Guzman,492.000,7.500,21.700,0.218,0.283,0.330,0.613
Ronnie Dawson,505.000,10.900,20.000,0.272,0.362,0.438,0.801
Ronnie Gideon,438.000,8.900,30.400,0.228,0.301,0.413,0.714
Ronnie Richardson,383.000,14.100,17.200,0.268,0.401,0.399,0.800
Ronnie Welty,491.000,9.400,24.400,0.290,0.373,0.425,0.797
Ronny Rodriguez,394.000,3.300,21.100,0.246,0.274,0.449,0.723
Rony Cabrera,455.000,3.300,17.800,0.248,0.277,0.330,0.608
Rosell Herrera,546.000,11.200,17.600,0.343,0.419,0.515,0.933
Ross Kivett,585.000,7.500,11.300,0.267,0.330,0.357,0.687
Rossmel Perez,395.000,7.600,7.800,0.272,0.343,0.317,0.660
Rougned Odor,471.000,5.300,13.800,0.259,0.313,0.400,0.714
Royce Consigli,541.000,10.900,15.300,0.247,0.335,0.350,0.685
Rubi Silva,416.000,3.100,17.500,0.300,0.319,0.400,0.719
Ruddy Giron,432.921,7.261,16.406,0.253,0.309,0.354,0.663
Rudy Flores,380.000,8.200,35.300,0.274,0.337,0.528,0.865
Russ Canzler,503.000,7.000,17.500,0.270,0.321,0.376,0.697
Russell Dixon,467.000,10.300,25.700,0.237,0.325,0.323,0.649
Russell Mitchell,473.000,6.100,17.500,0.239,0.288,0.425,0.713
Ryan Adams,497.000,7.200,21.900,0.308,0.367,0.462,0.829
Ryan Aguilar,409.000,12.000,23.500,0.206,0.305,0.269,0.574
Ryan Barba,424.000,6.100,17.500,0.201,0.260,0.270,0.530
Ryan Bottger,425.000,12.500,22.400,0.218,0.313,0.303,0.616
Ryan Brett,456.000,8.100,16.000,0.285,0.348,0.393,0.741
Ryan Cavan,608.000,8.900,15.300,0.283,0.352,0.451,0.803
Ryan Court,437.000,8.700,25.400,0.264,0.341,0.399,0.740
Ryan Curry,506.000,7.500,15.400,0.264,0.326,0.394,0.720
Ryan Dent,411.000,11.900,27.300,0.252,0.350,0.391,0.741
Ryan Eigsti,376.000,5.300,27.700,0.218,0.294,0.360,0.654
Ryan Finan,527.000,16.100,19.000,0.262,0.392,0.464,0.855
Ryan Fisher,528.000,7.200,25.900,0.258,0.330,0.467,0.797
Ryan Flaherty,543.000,9.200,18.000,0.276,0.344,0.470,0.814
Ryan Goetz,440.000,9.800,12.300,0.273,0.347,0.385,0.733
Ryan Hissey,458.000,7.900,21.200,0.246,0.310,0.337,0.647
Ryan Howell,411.000,14.800,28.200,0.216,0.345,0.354,0.699
Ryan Kalish,420.000,12.600,18.100,0.281,0.376,0.356,0.732
Ryan Lavarnway,466.000,10.700,24.200,0.285,0.367,0.540,0.907
Ryan Lollis,425.000,7.500,12.900,0.288,0.345,0.380,0.726
Ryan Mathews,472.000,9.500,20.800,0.260,0.337,0.446,0.783
Ryan McBroom,538.000,9.100,17.800,0.315,0.387,0.482,0.869
Ryan McCarvel,390.000,10.500,29.000,0.230,0.313,0.449,0.762
Ryan McKenna,530.000,8.100,24.200,0.256,0.331,0.380,0.712
Ryan McMahon,552.000,9.800,25.900,0.282,0.358,0.502,0.860
Ryan Mountcastle,489.000,5.100,19.400,0.281,0.319,0.426,0.745
Ryan Nagle,442.000,8.100,15.600,0.247,0.310,0.318,0.628
Ryan Norwood,554.000,4.900,19.100,0.307,0.354,0.451,0.805
Ryan Rieger,460.000,14.600,21.500,0.237,0.352,0.361,0.713
Ryan Rohlinger,586.000,10.600,14.200,0.235,0.332,0.415,0.747
Ryan Royster,518.000,6.900,23.400,0.329,0.380,0.601,0.982
Ryan Rua,430.000,11.400,21.200,0.251,0.356,0.559,0.914
Ryan Schimpf,395.000,9.900,24.300,0.240,0.332,0.421,0.754
