Name,PA,BB%,K%,AVG,OBP,SLG,OPS,WAR/PA
Matt Berezay,481.000,7.700,16.600,0.276,0.344,0.471,0.815,0.000
Matt Cerda,532.000,12.800,12.800,0.271,0.365,0.377,0.742,0.000
Matt Cusick,400.000,10.000,10.800,0.285,0.356,0.462,0.818,0.000
Matt Davidson,476.000,9.000,22.900,0.289,0.371,0.504,0.874,0.000
Matt Dean,485.000,5.600,24.100,0.281,0.332,0.429,0.761,0.000
Matt Dominguez,381.000,7.300,17.800,0.296,0.354,0.499,0.853,0.000
Matt Duffy,587.000,8.200,18.100,0.280,0.387,0.447,0.834,1.000
Matt Fields,381.000,5.000,31.500,0.247,0.289,0.469,0.758,0.000
Matt Helm,555.750,9.661,25.511,0.267,0.346,0.391,0.738,0.000
Matt Joyce,530.000,10.600,13.200,0.258,0.338,0.415,0.753,1.000
Matt Juengel,499.000,8.000,11.200,0.270,0.343,0.419,0.762,0.000
Matt Lawson,412.000,8.500,19.200,0.251,0.322,0.354,0.675,0.000
Matt Lipka,585.000,7.200,14.200,0.247,0.305,0.304,0.608,0.000
Matt Long,553.000,10.700,12.100,0.305,0.382,0.446,0.829,0.000
Matt McBride,474.000,8.000,11.400,0.283,0.348,0.432,0.780,0.000
Matt Olson,558.000,12.900,26.500,0.225,0.326,0.435,0.761,1.000
Matt Ray,428.000,9.600,20.300,0.251,0.333,0.326,0.659,0.000
Matt Rizzotti,437.000,14.900,22.200,0.268,0.380,0.430,0.810,0.000
Matt Skole,448.000,21.000,25.900,0.286,0.438,0.574,1.013,0.000
Matt Smith,467.686,10.202,21.168,0.272,0.354,0.404,0.758,0.000
Matt Tellor,382.000,6.000,25.900,0.235,0.280,0.339,0.619,0.000
Matt Wallach,397.000,9.600,17.400,0.251,0.327,0.348,0.674,0.000
Matt Weaver,378.000,5.000,22.800,0.267,0.311,0.359,0.670,0.000
Matt Wessinger,464.000,9.100,15.500,0.275,0.347,0.394,0.741,0.000
Matt West,510.153,9.067,25.811,0.229,0.331,0.363,0.694,0.000
Matt Weston,473.000,7.400,16.900,0.276,0.333,0.437,0.769,0.000
Matt Williams,587.000,8.200,15.500,0.269,0.333,0.383,0.716,0.000
Matt Winn,384.000,11.500,28.600,0.230,0.325,0.393,0.718,0.000
Matthew Brown,495.000,7.100,12.500,0.308,0.356,0.432,0.789,0.000
Matthew Crawford,533.000,7.500,14.300,0.285,0.345,0.352,0.698,0.000
Matthew Fornasiere,404.000,12.600,18.300,0.246,0.345,0.319,0.664,0.000
Matthew Lane,376.000,8.000,24.700,0.255,0.322,0.418,0.740,0.000
Matthew Oxendine,406.000,9.600,20.700,0.264,0.336,0.333,0.669,0.000
Matthew Sweeney,485.000,7.800,18.100,0.260,0.324,0.458,0.782,0.000
Mauricio Ramos,458.000,4.800,16.400,0.279,0.335,0.422,0.757,0.000
Mauro Gomez,541.000,4.300,21.300,0.262,0.316,0.445,0.761,0.000
