Name,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS
Martin Prado,443.000,7.700,9.300,0.830,0.316,0.374,0.420,0.794
Mason Williams,437.000,6.400,15.100,0.420,0.263,0.309,0.318,0.627
Mat Gamel,545.000,8.400,15.400,0.550,0.310,0.372,0.540,0.912
Matt Angle,453.702,9.993,18.166,0.563,0.280,0.359,0.375,0.734
Matt Antonelli,540.000,14.100,15.900,0.880,0.215,0.335,0.322,0.657
Matt Camp,495.000,8.700,8.300,1.050,0.264,0.335,0.323,0.659
Matt Carpenter,535.000,15.700,12.700,1.240,0.300,0.417,0.463,0.880
Matt Carson,486.972,7.722,22.192,0.350,0.269,0.333,0.475,0.809
Matt Clark,532.452,10.859,20.970,0.517,0.291,0.366,0.499,0.863
Matt Davidson,550.229,9.571,29.780,0.320,0.225,0.307,0.403,0.710
Matt Dominguez,484.102,5.211,13.211,0.411,0.265,0.308,0.406,0.714
Matt Downs,467.000,5.400,12.400,0.430,0.300,0.343,0.491,0.834
Matt Duffy,506.878,7.802,21.390,0.401,0.265,0.335,0.441,0.776
Matt Fields,512.000,7.000,30.500,0.230,0.262,0.326,0.514,0.840
Matt Hague,552.612,9.729,13.276,0.739,0.301,0.376,0.430,0.807
Matt Joyce,493.000,13.600,19.900,0.680,0.273,0.373,0.482,0.855
Matt Juengel,431.000,7.400,17.600,0.420,0.263,0.325,0.431,0.756
Matt Kata,468.350,5.162,12.777,0.413,0.271,0.322,0.406,0.728
Matt LaPorta,414.966,10.386,16.559,0.640,0.281,0.368,0.500,0.867
Matt Long,445.260,9.698,18.389,0.525,0.275,0.345,0.441,0.786
Matt Macri,415.529,8.298,18.987,0.440,0.249,0.316,0.432,0.747
Matt Mangini,477.000,5.500,20.100,0.270,0.313,0.352,0.521,0.873
Matt McBride,469.000,4.100,10.000,0.400,0.344,0.365,0.535,0.900
Matt Miller,587.504,9.997,14.547,0.680,0.322,0.392,0.456,0.848
Matt Murton,424.000,9.200,12.300,0.750,0.324,0.389,0.499,0.888
Matt Olson,540.000,13.100,24.400,0.540,0.235,0.335,0.422,0.757
Matt Reynolds,490.000,6.500,18.800,0.350,0.267,0.319,0.402,0.721
Matt Skole,573.000,11.500,20.800,0.550,0.244,0.337,0.437,0.774
Matt Szczur,457.000,6.600,17.100,0.380,0.261,0.315,0.312,0.626
Matt Tolbert,477.000,7.800,11.700,0.660,0.293,0.353,0.427,0.780
Matt Tuiasosopo,477.089,12.535,25.831,0.488,0.239,0.343,0.391,0.733
Matt Williams,395.000,12.400,17.000,0.730,0.263,0.355,0.346,0.701
Matt Young,474.559,13.237,13.726,0.990,0.274,0.376,0.358,0.734
Matt den Dekker,421.000,9.500,26.100,0.360,0.207,0.292,0.315,0.607
Matthew Brown,442.038,9.211,20.975,0.437,0.280,0.355,0.501,0.855
Mauro Gomez,485.330,8.067,24.373,0.335,0.288,0.350,0.542,0.891
Max Moroff,520.000,17.300,24.800,0.700,0.230,0.367,0.349,0.716
Max Ramirez,456.265,10.242,20.295,0.509,0.281,0.355,0.423,0.777
Max Stassi,425.000,5.200,24.200,0.210,0.247,0.296,0.378,0.674
Melvin Upton Jr.,470.000,13.800,18.900,0.730,0.269,0.374,0.394,0.769
Micah Hoffpauir,494.000,11.300,15.000,0.760,0.283,0.368,0.529,0.898
Micah Johnson,516.000,7.900,20.300,0.390,0.261,0.321,0.356,0.677
Michael Almanzar,468.261,5.365,21.096,0.256,0.238,0.285,0.350,0.636
Michael Aubrey,413.087,6.878,11.836,0.576,0.262,0.316,0.466,0.782
Michael Brantley,528.000,11.200,9.100,1.230,0.267,0.350,0.361,0.711
Michael Choice,558.234,9.572,22.734,0.449,0.273,0.352,0.421,0.774
Michael Martinez,401.000,8.000,15.000,0.530,0.289,0.344,0.424,0.768
Michael Morse,472.000,7.400,16.300,0.450,0.322,0.383,0.511,0.894
Michael Reed,492.000,15.000,25.200,0.600,0.248,0.366,0.365,0.731
Michael Restovich,492.894,9.861,23.924,0.420,0.286,0.360,0.524,0.883
Michael Ryan,412.586,8.557,18.420,0.489,0.267,0.329,0.435,0.765
Michael Taylor,497.126,11.976,18.898,0.633,0.278,0.370,0.439,0.808
Michel Abreu,473.000,8.000,12.500,0.640,0.285,0.343,0.447,0.790
Miguel Negron,417.000,6.200,14.900,0.420,0.279,0.324,0.365,0.689
Mike Aviles,544.381,5.385,9.922,0.542,0.281,0.320,0.421,0.741
Mike Baxter,513.459,10.087,16.165,0.639,0.295,0.374,0.481,0.855
Mike Carp,476.882,10.391,20.151,0.517,0.264,0.351,0.480,0.831
Mike Cervenak,489.973,5.257,11.915,0.466,0.297,0.339,0.441,0.781
Mike Costanzo,538.000,9.700,29.600,0.330,0.261,0.333,0.395,0.728
Mike Eylward,503.617,8.868,12.407,0.720,0.309,0.376,0.433,0.810
Mike Fontenot,449.467,9.432,17.538,0.550,0.278,0.353,0.396,0.748
Mike Freeman,471.465,9.033,15.454,0.600,0.315,0.379,0.420,0.799
Mike Hessman,484.146,11.340,28.112,0.409,0.234,0.329,0.493,0.822
Mike Jacobs,534.690,10.439,19.473,0.539,0.290,0.360,0.500,0.860
Mike Kinkade,436.000,6.700,12.800,0.520,0.328,0.405,0.444,0.848
Mike Lamb,466.000,4.500,7.300,0.620,0.264,0.301,0.373,0.674
Mike McCoy,511.062,13.871,13.745,1.024,0.280,0.384,0.369,0.753
Mike McDade,473.000,7.600,25.400,0.300,0.250,0.313,0.371,0.684
Mike Olt,420.000,13.100,30.000,0.440,0.197,0.302,0.368,0.671
Mike Paulk,410.000,9.500,16.800,0.570,0.262,0.333,0.426,0.760
Mike Rodriguez,502.000,10.200,11.000,0.930,0.276,0.352,0.385,0.737
Mike Rose,389.000,11.600,26.700,0.430,0.231,0.324,0.441,0.765
Mike Rouse,417.005,7.296,18.252,0.418,0.252,0.317,0.353,0.670
Mike Tauchman,502.349,7.979,14.979,0.534,0.307,0.363,0.459,0.822
Mikie Mahtook,493.000,7.061,24.252,0.288,0.273,0.337,0.418,0.755
Mitch Jones,465.479,8.383,25.286,0.330,0.258,0.325,0.516,0.841
Mitch Maier,596.000,5.500,14.900,0.370,0.279,0.320,0.428,0.749
Mitch Moreland,412.000,11.400,15.300,0.750,0.289,0.371,0.484,0.855
Moises Sierra,435.370,7.199,20.963,0.366,0.282,0.344,0.444,0.788
Nate Espy,420.000,12.100,19.300,0.630,0.275,0.371,0.429,0.799
Nate Gold,532.188,9.534,21.123,0.441,0.273,0.343,0.495,0.838
Nate Orf,452.939,9.713,13.727,0.703,0.306,0.384,0.454,0.837
Nate Schierholtz,439.000,3.900,13.200,0.290,0.333,0.365,0.560,0.925
Nate Spears,403.159,9.676,16.038,0.658,0.247,0.324,0.370,0.694
Nate Sutton,452.000,10.200,15.900,0.640,0.259,0.341,0.358,0.698
Nate Tenbrink,505.000,12.300,26.700,0.460,0.267,0.363,0.447,0.809
Neftali Soto,503.643,6.673,21.766,0.301,0.258,0.313,0.407,0.720
Neil Sellers,440.000,8.400,18.400,0.460,0.236,0.305,0.350,0.655
Neil Walker,483.617,5.881,17.214,0.342,0.251,0.293,0.441,0.734
Nellie Rodriguez,433.000,12.200,41.800,0.290,0.170,0.271,0.342,0.613
Nelson Cruz,435.859,11.237,21.440,0.533,0.323,0.404,0.614,1.018
Nick Ahmed,452.000,8.200,12.200,0.670,0.312,0.373,0.425,0.798
Nick Buss,522.084,7.965,15.229,0.531,0.313,0.372,0.472,0.843
Nick Castellanos,595.000,9.100,16.800,0.540,0.276,0.343,0.450,0.793
Nick Evans,583.000,10.100,19.000,0.530,0.310,0.381,0.479,0.860
Nick Franklin,446.000,12.800,21.100,0.610,0.272,0.366,0.412,0.777
Nick Gorneault,473.424,10.096,22.077,0.464,0.267,0.344,0.465,0.809
Nick Green,459.723,6.149,21.437,0.288,0.258,0.312,0.434,0.746
Nick Martini,426.000,12.900,18.100,0.710,0.303,0.394,0.436,0.830
Nick Noonan,483.122,6.328,19.187,0.360,0.271,0.319,0.368,0.687
Nick Stavinoha,531.766,6.029,14.632,0.408,0.286,0.333,0.457,0.790
Nick Williams,527.000,3.600,25.800,0.140,0.258,0.287,0.427,0.714
Nicky Delmonico,429.000,10.700,17.000,0.630,0.262,0.347,0.421,0.768
Niko Goodrum,499.000,6.000,23.800,0.250,0.265,0.309,0.425,0.734
Niuman Romero,393.000,8.100,14.500,0.560,0.246,0.314,0.311,0.626
Noel Cuevas,528.000,4.700,19.300,0.250,0.312,0.353,0.487,0.840
Nolan Fontana,439.813,13.771,23.081,0.618,0.237,0.347,0.359,0.706
Nolan Reimold,401.000,13.500,15.200,0.890,0.249,0.364,0.374,0.738
Norris Hopper,460.926,6.715,6.755,1.020,0.303,0.349,0.344,0.692
O'Koyea Dickson,439.822,7.400,18.234,0.393,0.254,0.317,0.460,0.776
Omar Infante,523.000,4.600,9.600,0.480,0.282,0.315,0.364,0.679
Omar Quintanilla,393.000,7.900,16.500,0.480,0.319,0.380,0.454,0.834
Orlando Arcia,440.000,6.600,17.500,0.380,0.267,0.320,0.403,0.723
Orlando Calixte,397.531,6.043,21.098,0.285,0.236,0.285,0.380,0.665
Oscar Robles,405.000,9.900,9.600,1.030,0.249,0.322,0.318,0.639
Oscar Salazar,491.000,8.600,11.400,0.750,0.316,0.371,0.512,0.883
Oswaldo Arcia,400.000,11.300,21.500,0.520,0.326,0.410,0.639,1.049
Oswaldo Navarro,449.408,7.189,17.667,0.407,0.254,0.317,0.327,0.644
Ozzie Albies,448.000,6.300,20.100,0.310,0.285,0.330,0.440,0.771
Patrick Kivlehan,466.221,6.508,24.106,0.276,0.255,0.308,0.437,0.745
Patrick Leonard,553.000,7.200,23.700,0.310,0.268,0.327,0.408,0.735
Patrick Wisdom,506.000,7.500,29.400,0.260,0.243,0.310,0.507,0.817
Paul Janish,398.000,7.000,13.300,0.530,0.268,0.323,0.359,0.682
Paul McAnulty,499.630,10.360,17.889,0.600,0.286,0.362,0.487,0.849
Paulo Orlando,554.000,7.000,15.500,0.450,0.301,0.355,0.415,0.770
Pedro Alvarez,595.000,7.100,23.000,0.310,0.239,0.294,0.442,0.737
Pedro Ciriaco,502.000,2.400,14.700,0.160,0.265,0.281,0.387,0.667
Pedro Lopez,385.000,8.600,16.400,0.520,0.236,0.306,0.295,0.601
Pete Kozma,469.737,7.963,16.919,0.487,0.225,0.292,0.320,0.611
Pete Orr,502.592,6.014,16.707,0.361,0.255,0.316,0.404,0.719
Peter Bourjos,455.000,5.300,17.100,0.310,0.314,0.364,0.498,0.861
Peter Ciofrone,421.000,9.000,15.400,0.580,0.314,0.389,0.519,0.908
Peter Mooney,455.000,9.500,13.600,0.690,0.213,0.290,0.308,0.598
Peter O'Brien,489.165,5.576,27.997,0.210,0.271,0.315,0.530,0.846
Phil Gosselin,407.000,4.700,15.200,0.310,0.344,0.379,0.487,0.866
Phillip Ervin,408.000,9.100,20.300,0.450,0.256,0.328,0.380,0.709
Phillip Evans,510.000,8.200,15.500,0.530,0.279,0.341,0.418,0.760
Prentice Redman,456.000,7.200,16.900,0.430,0.297,0.352,0.548,0.900
Preston Tucker,569.000,11.400,17.900,0.640,0.250,0.333,0.465,0.798
Quintin Berry,431.243,11.625,20.576,0.568,0.257,0.350,0.320,0.670
Rafael Ortega,487.462,10.370,12.307,0.852,0.301,0.375,0.422,0.796
Rafael Ynoa,504.232,8.265,16.341,0.506,0.278,0.340,0.386,0.726
Rajai Davis,417.000,6.500,14.100,0.460,0.283,0.335,0.348,0.683
Ramiro Pena,426.586,7.507,13.835,0.576,0.284,0.339,0.371,0.710
Ramon Flores,493.000,13.800,14.200,0.970,0.312,0.409,0.460,0.869
Ramon Santiago,402.000,4.000,15.200,0.260,0.263,0.309,0.362,0.671
Randal Grichuk,472.000,5.900,22.900,0.260,0.259,0.311,0.493,0.805
Randy Ruiz,490.662,7.133,21.987,0.344,0.320,0.380,0.562,0.941
Rangel Ravelo,416.000,8.200,15.100,0.540,0.262,0.334,0.395,0.729
Raul Gonzalez,458.000,11.800,12.900,0.920,0.263,0.352,0.383,0.735
Ray Olmedo,441.765,5.795,15.688,0.376,0.259,0.307,0.339,0.646
Reegie Corona,428.000,8.400,13.600,0.620,0.238,0.306,0.354,0.660
Reggie Abercrombie,557.000,5.200,28.500,0.180,0.271,0.314,0.412,0.726
Reggie Willits,437.000,17.600,11.400,1.540,0.327,0.448,0.426,0.874
Reid Brignac,423.465,9.839,19.749,0.507,0.260,0.337,0.391,0.728
Reid Gorecki,416.000,8.200,17.500,0.470,0.286,0.351,0.464,0.815
Renato Nunez,541.633,7.175,24.012,0.294,0.238,0.298,0.464,0.762
Rey Fuentes,445.000,6.700,16.200,0.420,0.308,0.360,0.422,0.781
Rey Navarro,487.502,7.952,13.427,0.589,0.271,0.329,0.377,0.705
Reynaldo Rodriguez,551.000,7.100,14.900,0.480,0.255,0.307,0.446,0.753
Rhyne Hughes,425.000,6.800,28.500,0.240,0.258,0.314,0.410,0.723
Rhys Hoskins,475.000,13.500,15.800,0.850,0.284,0.385,0.581,0.966
Rich Poythress,416.000,11.100,18.500,0.600,0.252,0.337,0.430,0.767
Rich Thompson,466.264,8.219,16.487,0.498,0.269,0.343,0.384,0.728
Richie Shaffer,522.200,12.681,30.973,0.417,0.227,0.334,0.418,0.751
Rick Ankiel,423.000,5.900,21.300,0.280,0.267,0.314,0.568,0.883
Ricky Bell,389.000,4.400,17.200,0.250,0.212,0.248,0.288,0.537
Rio Ruiz,487.785,10.639,23.456,0.463,0.260,0.340,0.421,0.761
Rob Brantly,392.000,5.100,15.600,0.330,0.255,0.291,0.341,0.631
Rob Cosby,487.000,4.300,19.900,0.220,0.252,0.293,0.428,0.721
Rob Johnson,464.002,8.200,13.250,0.620,0.286,0.347,0.406,0.753
Rob Refsnyder,525.000,10.700,13.900,0.770,0.271,0.359,0.402,0.761
Rob Segedin,424.000,9.400,19.100,0.490,0.319,0.392,0.598,0.989
Robbie Grossman,408.000,13.500,20.800,0.650,0.254,0.354,0.349,0.703
Robby Hammock,405.000,5.900,14.600,0.410,0.290,0.342,0.515,0.856
Robert Andino,548.202,5.824,19.886,0.293,0.258,0.303,0.390,0.693
Roberto Lopez,458.707,6.428,15.692,0.412,0.291,0.341,0.438,0.779
Roemon Fields,388.000,8.200,16.800,0.490,0.291,0.355,0.352,0.707
Roger Bernadina,446.501,11.901,24.003,0.500,0.284,0.380,0.466,0.845
Roger Kieschnick,420.519,7.872,23.572,0.333,0.265,0.325,0.468,0.793
Ronald Calloway,457.000,8.800,16.800,0.520,0.288,0.354,0.399,0.753
Ronald Guzman,527.000,8.900,16.100,0.550,0.298,0.372,0.434,0.806
Ronald Torreyes,519.000,4.800,5.000,0.960,0.298,0.345,0.376,0.721
Ronnier Mustelier,469.000,8.300,10.400,0.800,0.291,0.353,0.394,0.747
Ronny Rodriguez,485.513,4.649,18.497,0.250,0.274,0.308,0.427,0.735
Rowdy Tellez,501.000,9.400,18.800,0.500,0.222,0.295,0.333,0.628
Royce Huffman,482.965,11.496,17.075,0.704,0.278,0.371,0.410,0.781
Ruben Gotay,543.398,12.986,18.090,0.752,0.265,0.364,0.408,0.771
Rusney Castillo,429.000,5.600,15.900,0.350,0.263,0.309,0.354,0.664
Russ Adams,470.741,9.373,15.367,0.619,0.262,0.336,0.429,0.764
Russ Canzler,502.074,10.302,21.454,0.483,0.277,0.352,0.459,0.810
Russ Johnson,450.000,14.400,11.800,1.230,0.275,0.380,0.445,0.826
Russell Mitchell,488.844,8.824,14.744,0.593,0.302,0.367,0.522,0.888
Rusty Ryal,427.392,6.207,20.432,0.302,0.279,0.331,0.449,0.779
Ryan Adams,415.000,7.200,24.800,0.290,0.284,0.341,0.454,0.794
Ryan Court,442.000,10.400,28.300,0.370,0.263,0.347,0.410,0.757
Ryan Garko,413.517,10.441,15.629,0.665,0.241,0.340,0.401,0.741
Ryan Goins,410.156,6.949,18.143,0.389,0.270,0.324,0.361,0.684
Ryan Jackson,483.982,9.817,16.939,0.576,0.281,0.352,0.373,0.725
Ryan Langerhans,413.878,16.782,25.058,0.689,0.281,0.404,0.511,0.915
Ryan Lollis,425.000,9.900,13.200,0.750,0.253,0.328,0.320,0.648
Ryan Ludwick,573.000,8.400,29.100,0.290,0.266,0.342,0.506,0.848
Ryan Mulhern,528.000,7.600,25.200,0.300,0.290,0.350,0.475,0.825
Ryan O'Hearn,463.000,9.700,25.700,0.380,0.252,0.325,0.450,0.776
Ryan Raburn,512.000,10.000,23.400,0.430,0.275,0.352,0.490,0.842
Ryan Roberts,455.038,11.552,17.145,0.703,0.276,0.360,0.443,0.803
Ryan Rohlinger,488.212,10.173,15.240,0.697,0.266,0.352,0.442,0.794
Ryan Shealy,468.000,11.800,19.900,0.590,0.283,0.376,0.503,0.879
Ryan Spilborghs,521.000,9.200,19.800,0.470,0.288,0.358,0.415,0.774
Ryan Strieby,557.000,10.800,30.700,0.350,0.255,0.341,0.429,0.770
Ryan Sweeney,471.936,8.820,15.278,0.576,0.284,0.349,0.426,0.775
Ryan Wheeler,443.232,6.500,18.001,0.363,0.326,0.368,0.512,0.880
Rymer Liriano,525.644,10.127,25.239,0.404,0.275,0.354,0.439,0.794
Sam Fuld,440.000,15.000,8.400,1.780,0.272,0.383,0.394,0.777
Sawyer Carroll,416.000,10.100,16.600,0.610,0.263,0.337,0.401,0.737
Scott Cousins,451.000,7.100,17.300,0.410,0.285,0.336,0.461,0.797
Scott Hairston,440.000,11.800,17.700,0.670,0.323,0.407,0.591,0.997
Scott McClain,566.263,10.548,18.459,0.575,0.272,0.349,0.511,0.860
Scott Moore,463.864,9.884,20.133,0.496,0.266,0.353,0.429,0.781
Scott Schebler,485.000,8.200,19.200,0.430,0.241,0.322,0.410,0.731
Scott Seabol,573.000,9.800,16.600,0.590,0.300,0.366,0.577,0.943
Scott Thorman,455.925,6.535,17.361,0.399,0.266,0.318,0.457,0.775
Scott Van Slyke,411.000,11.200,15.600,0.720,0.327,0.404,0.578,0.982
Sean Barker,395.000,5.800,26.100,0.220,0.240,0.293,0.351,0.644
Sean Halton,422.590,8.533,20.845,0.411,0.280,0.348,0.463,0.812
Sean Kazmar,481.876,6.678,13.027,0.511,0.261,0.315,0.361,0.676
Sean Rodriguez,459.000,12.000,26.600,0.450,0.294,0.397,0.608,1.005
Sebastian Elizalde,561.000,6.200,12.500,0.500,0.277,0.329,0.377,0.707
Sergio Santos,467.570,4.835,18.179,0.268,0.220,0.259,0.318,0.578
Seth Bynum,508.000,6.100,27.200,0.220,0.262,0.306,0.449,0.755
Seth Mejias-Brean,480.000,6.500,19.000,0.340,0.228,0.290,0.315,0.605
Seth Smith,506.000,7.700,14.400,0.530,0.317,0.381,0.528,0.909
Shane Peterson,591.200,12.149,22.576,0.536,0.281,0.370,0.426,0.796
Shane Robinson,389.041,7.199,10.156,0.715,0.278,0.338,0.388,0.725
Shawn Garrett,416.010,5.503,20.189,0.285,0.263,0.306,0.402,0.707
Shawn Riggans,453.000,6.000,19.400,0.310,0.293,0.341,0.444,0.785
Shelley Duncan,467.722,11.888,19.240,0.625,0.285,0.374,0.559,0.933
Sherman Johnson,467.000,12.800,18.200,0.710,0.226,0.332,0.345,0.677
Shin-Soo Choo,427.000,10.500,17.100,0.620,0.323,0.394,0.499,0.893
Skip Schumaker,403.000,5.700,11.900,0.480,0.306,0.348,0.382,0.730
Starling Marte,431.000,6.500,21.100,0.310,0.286,0.347,0.500,0.847
Stefan Gartrell,528.202,8.601,25.014,0.345,0.256,0.329,0.467,0.796
Stefen Romero,466.970,6.687,17.225,0.401,0.292,0.342,0.496,0.838
Stephen Cardullo,452.000,8.200,12.800,0.640,0.308,0.367,0.522,0.889
Stephen Parker,456.000,10.300,23.200,0.440,0.218,0.307,0.333,0.640
Stephen Piscotty,556.000,7.700,11.000,0.700,0.288,0.355,0.406,0.761
Stephen Vogt,396.000,10.600,15.400,0.690,0.272,0.350,0.424,0.774
Steve Lombardozzi,421.050,8.312,11.950,0.710,0.278,0.342,0.332,0.674
Steve Pearce,433.000,7.400,17.300,0.430,0.251,0.312,0.417,0.729
Steve Tolleson,483.999,10.894,16.562,0.661,0.278,0.360,0.399,0.759
Steven Moya,486.682,4.335,26.842,0.166,0.260,0.295,0.456,0.751
Steven Souza Jr.,407.000,12.800,18.400,0.690,0.350,0.432,0.590,1.022
T.J. Bohn,419.000,7.900,19.300,0.410,0.283,0.345,0.413,0.758
T.J. Rivera,442.000,5.200,12.200,0.430,0.353,0.393,0.516,0.909
Tagg Bozied,500.512,10.300,17.196,0.603,0.284,0.365,0.528,0.894
Taylor Davis,406.000,9.100,11.100,0.820,0.297,0.357,0.429,0.786
Taylor Featherston,439.000,5.700,22.300,0.260,0.254,0.311,0.428,0.738
Taylor Green,487.000,11.300,14.800,0.760,0.336,0.413,0.583,0.997
Taylor Harbin,513.000,4.100,10.100,0.400,0.308,0.341,0.441,0.783
Taylor Lindsey,493.000,8.100,12.000,0.680,0.238,0.306,0.372,0.678
Taylor Motter,558.000,10.200,17.000,0.600,0.292,0.366,0.471,0.837
Teoscar Hernandez,456.000,10.300,22.400,0.460,0.265,0.351,0.490,0.841
Terrmel Sledge,434.000,13.600,17.300,0.790,0.311,0.402,0.583,0.985
Terry Evans,536.863,5.885,22.815,0.257,0.296,0.339,0.497,0.836
Terry Tiffee,468.441,5.531,10.317,0.532,0.320,0.357,0.470,0.828
Thomas Neal,409.000,8.800,17.100,0.510,0.255,0.329,0.343,0.673
Tike Redman,527.000,9.100,9.500,0.960,0.292,0.360,0.369,0.730
Tim Beckham,522.000,8.400,20.700,0.410,0.276,0.342,0.387,0.729
Tim Federowicz,475.000,10.900,19.200,0.570,0.294,0.371,0.461,0.832
Tim Fedroff,595.000,12.100,19.800,0.610,0.242,0.334,0.306,0.640
Tim Raines,540.000,4.800,17.800,0.270,0.311,0.346,0.530,0.876
Tim Smalling,404.000,6.400,15.100,0.430,0.256,0.314,0.343,0.658
Tim Wheeler,446.744,8.740,21.719,0.402,0.260,0.336,0.380,0.715
Timo Perez,515.879,7.241,8.464,0.850,0.305,0.358,0.452,0.810
Todd Cunningham,482.940,8.838,13.717,0.651,0.277,0.354,0.376,0.730
Todd Frazier,538.000,8.400,23.600,0.350,0.258,0.333,0.448,0.781
Todd Linden,482.052,12.335,23.021,0.540,0.284,0.383,0.468,0.851
Tomas De La Rosa,501.000,6.800,13.000,0.520,0.288,0.337,0.434,0.770
Tomas Perez,520.000,6.000,15.200,0.390,0.254,0.298,0.340,0.639
Tommy Everidge,437.000,9.200,21.700,0.420,0.249,0.320,0.405,0.725
Tommy Field,460.080,9.013,17.968,0.510,0.241,0.319,0.395,0.714
Tommy Manzella,536.737,8.357,21.153,0.395,0.263,0.328,0.387,0.715
Tommy Murphy,515.000,9.700,19.200,0.510,0.300,0.370,0.411,0.781
Tommy Pham,390.000,9.700,20.800,0.470,0.324,0.395,0.491,0.886
Tommy Watkins,402.000,9.700,15.700,0.620,0.272,0.349,0.404,0.753
Tony Abreu,493.941,4.501,15.577,0.286,0.306,0.341,0.458,0.799
Tony Campana,399.681,8.036,18.015,0.445,0.285,0.345,0.354,0.699
Tony Gwynn Jr.,436.901,9.229,14.646,0.645,0.292,0.360,0.372,0.732
Tony Kemp,554.000,6.300,7.800,0.810,0.329,0.375,0.470,0.845
Travis Denker,460.000,10.400,18.500,0.560,0.238,0.321,0.343,0.663
Travis Ishikawa,483.000,8.900,28.000,0.320,0.237,0.320,0.405,0.725
Travis Metcalf,482.774,8.823,18.761,0.473,0.255,0.322,0.404,0.727
Travis Snider,485.000,11.500,21.900,0.530,0.296,0.375,0.432,0.807
Travis Taijeron,518.849,13.010,29.597,0.440,0.274,0.382,0.524,0.906
Trayce Thompson,417.000,5.500,18.900,0.290,0.260,0.304,0.441,0.744
Trayvon Robinson,435.629,9.522,27.315,0.344,0.262,0.335,0.448,0.784
Trent Durrington,440.000,7.500,20.000,0.380,0.233,0.299,0.307,0.606
Trent Oeltjen,490.649,6.861,19.231,0.357,0.309,0.365,0.495,0.859
Trevor Plouffe,461.555,6.617,17.148,0.403,0.252,0.307,0.418,0.725
Trey Mancini,536.000,9.000,22.900,0.390,0.280,0.349,0.427,0.775
Tsuyoshi Nishioka,431.000,7.400,12.300,0.600,0.258,0.315,0.324,0.639
Tug Hulett,462.743,12.168,18.101,0.673,0.273,0.364,0.434,0.798
Ty Kelly,496.362,14.009,15.263,0.929,0.247,0.355,0.361,0.717
Tyler Collins,526.000,9.300,22.100,0.420,0.263,0.335,0.423,0.758
Tyler Flowers,412.000,13.300,29.400,0.450,0.220,0.334,0.434,0.768
Tyler Graham,468.000,6.600,17.100,0.390,0.273,0.337,0.338,0.675
Tyler Greene,518.000,5.600,27.200,0.210,0.298,0.345,0.446,0.791
Tyler Henson,481.690,7.132,22.321,0.325,0.256,0.313,0.362,0.674
Tyler Holt,431.000,11.600,14.400,0.810,0.302,0.386,0.370,0.756
Tyler Kuhn,525.000,4.400,14.700,0.300,0.272,0.306,0.391,0.697
Tyler O'Neill,557.000,9.700,27.100,0.360,0.246,0.321,0.499,0.820
Tyler Smith,402.898,7.468,17.915,0.404,0.250,0.315,0.344,0.659
Tyler Wade,388.000,9.800,19.300,0.510,0.310,0.382,0.460,0.842
Tyler White,497.000,9.500,20.300,0.470,0.300,0.371,0.528,0.898
Tyrell Godwin,453.000,7.100,15.000,0.470,0.248,0.307,0.387,0.694
Valentino Pascucci,526.074,14.931,25.704,0.583,0.260,0.376,0.483,0.859
Victor Diaz,500.229,8.877,27.773,0.312,0.259,0.330,0.439,0.767
Vince Belnome,513.320,15.224,23.140,0.669,0.274,0.384,0.416,0.799
Vinnie Catricala,507.000,7.300,17.400,0.420,0.229,0.292,0.348,0.640
Vinny Rottino,472.981,8.715,14.771,0.605,0.288,0.355,0.426,0.782
Wayne Lydon,570.481,9.402,17.908,0.540,0.259,0.331,0.352,0.683
Wes Bankston,444.524,5.760,18.641,0.308,0.262,0.308,0.453,0.761
Wes Hodges,531.000,5.600,18.100,0.310,0.270,0.308,0.430,0.738
Wes Timmons,429.917,11.421,7.614,1.484,0.278,0.384,0.374,0.759
Whit Merrifield,594.000,6.600,11.100,0.590,0.265,0.317,0.364,0.681
Wil Myers,439.000,10.300,22.300,0.460,0.304,0.378,0.554,0.932
Wilfredo Tovar,448.494,6.677,13.888,0.487,0.251,0.303,0.340,0.642
Wilkin Castillo,468.000,5.300,12.600,0.420,0.248,0.297,0.341,0.638
Wilkin Ramirez,434.363,6.245,26.562,0.234,0.265,0.316,0.422,0.738
Will Rhymes,464.426,9.384,9.623,1.142,0.280,0.349,0.375,0.724
Will Venable,496.000,8.900,20.800,0.430,0.292,0.361,0.464,0.825
William Bergolla,427.974,6.198,10.999,0.559,0.292,0.338,0.390,0.729
Willie Calhoun,534.000,7.900,11.400,0.690,0.300,0.355,0.572,0.927
Willy Adames,578.000,11.200,22.800,0.490,0.277,0.360,0.415,0.776
Willy Garcia,499.000,6.200,26.300,0.240,0.245,0.293,0.366,0.659
Willy Taveras,424.000,5.000,12.000,0.410,0.302,0.336,0.448,0.783
Wilmer Flores,463.000,5.400,13.600,0.400,0.321,0.357,0.531,0.887
Wilson Betemit,453.000,10.800,31.800,0.340,0.217,0.298,0.396,0.694
Wilson Valdez,522.497,9.788,8.537,1.153,0.316,0.385,0.403,0.788
Wladimir Balentien,502.249,9.129,19.073,0.478,0.287,0.351,0.521,0.872
Xavier Avery,470.956,10.459,25.378,0.418,0.264,0.344,0.400,0.744
Xavier Nady,496.000,8.300,18.300,0.450,0.296,0.360,0.456,0.816
Xavier Paul,506.000,8.500,19.000,0.450,0.316,0.378,0.463,0.841
Xavier Scruggs,465.280,12.068,22.427,0.530,0.271,0.371,0.486,0.857
