Name,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS
Jae-Gyun Hwang,386.000,7.000,21.500,0.330,0.285,0.332,0.453,0.785
Jaff Decker,409.883,12.381,20.680,0.614,0.268,0.361,0.406,0.767
Jai Miller,459.082,10.548,30.677,0.350,0.276,0.359,0.523,0.882
Jake Bauers,575.000,13.600,19.500,0.700,0.263,0.368,0.412,0.779
Jake Elmore,468.368,12.750,12.216,1.092,0.296,0.389,0.382,0.772
Jake Goebbert,421.000,13.500,16.600,0.810,0.294,0.392,0.452,0.844
Jamal Strong,416.000,10.100,16.800,0.600,0.241,0.331,0.300,0.631
James Beresford,536.498,6.711,13.047,0.512,0.284,0.331,0.341,0.673
James Loney,406.000,7.900,8.400,0.940,0.380,0.426,0.546,0.973
James McCann,460.000,5.400,19.600,0.280,0.295,0.343,0.427,0.770
James Ramsey,455.123,9.885,26.849,0.370,0.253,0.334,0.397,0.731
James Rapoport,464.000,9.500,12.300,0.770,0.267,0.341,0.331,0.672
Jamie Burke,399.000,5.500,10.300,0.540,0.278,0.323,0.422,0.745
Jamie D'Antona,496.662,7.086,12.264,0.594,0.334,0.382,0.547,0.929
Jamie Hoffmann,505.403,8.320,16.934,0.486,0.288,0.352,0.445,0.797
Jamie Romak,515.301,9.340,23.769,0.393,0.269,0.341,0.516,0.857
Jantzen Witte,395.000,7.800,14.700,0.530,0.258,0.327,0.361,0.688
Jared Goedert,464.002,10.530,20.641,0.512,0.245,0.326,0.387,0.714
Jared Hoying,485.883,7.187,21.356,0.344,0.253,0.310,0.464,0.775
Jarrett Hoffpauir,462.766,10.305,7.790,1.362,0.286,0.362,0.453,0.816
Jarrett Parker,504.000,12.300,32.500,0.380,0.283,0.375,0.514,0.889
Jason Alfaro,408.000,6.100,12.500,0.490,0.257,0.303,0.414,0.717
Jason Botts,460.000,17.600,22.200,0.790,0.320,0.436,0.545,0.980
Jason Bourgeois,508.551,6.187,9.596,0.653,0.291,0.338,0.384,0.722
Jason Coats,530.000,5.500,17.500,0.310,0.270,0.313,0.438,0.751
Jason Cooper,431.119,10.744,24.166,0.468,0.243,0.328,0.432,0.760
Jason Dubois,454.639,8.064,25.025,0.318,0.268,0.335,0.464,0.799
Jason Ellison,531.726,9.967,15.133,0.672,0.249,0.334,0.325,0.659
Jason Hart,424.000,6.600,20.800,0.320,0.248,0.306,0.452,0.758
Jason Jaramillo,484.773,9.514,16.583,0.571,0.269,0.345,0.366,0.711
Jason Kipnis,400.000,11.000,18.000,0.610,0.280,0.362,0.484,0.846
Jason Krizan,414.000,9.700,12.800,0.750,0.264,0.334,0.377,0.711
Jason Lane,475.034,12.199,16.187,0.761,0.243,0.341,0.451,0.793
Jason Leblebijian,473.000,7.400,26.200,0.280,0.258,0.323,0.405,0.729
Jason Martinson,534.268,7.959,34.513,0.232,0.218,0.292,0.375,0.667
Jason Perry,391.000,12.500,26.900,0.470,0.255,0.359,0.498,0.857
Jason Pridie,540.513,6.977,19.876,0.363,0.278,0.330,0.440,0.769
Jason Repko,489.374,8.048,19.529,0.411,0.280,0.353,0.459,0.812
Jason Rogers,420.000,10.200,18.600,0.550,0.263,0.338,0.371,0.709
Jason Smith,459.000,5.000,27.900,0.180,0.253,0.289,0.475,0.764
Jason Wood,494.000,8.500,18.600,0.460,0.288,0.347,0.429,0.775
Javier Baez,434.000,7.800,30.000,0.260,0.260,0.323,0.510,0.833
Javier Castillo,474.000,5.900,18.400,0.320,0.247,0.295,0.364,0.660
Jay Payton,470.000,5.300,10.000,0.530,0.323,0.365,0.469,0.834
Jaycob Brugman,433.000,8.300,20.300,0.410,0.295,0.352,0.438,0.790
Jayson Nix,444.202,7.167,15.949,0.449,0.274,0.331,0.389,0.719
Jed Hansen,408.000,7.800,17.600,0.440,0.247,0.317,0.386,0.703
Jedd Gyorko,408.000,8.300,16.700,0.500,0.328,0.380,0.588,0.968
Jeff Bailey,519.305,12.352,19.262,0.645,0.273,0.378,0.474,0.853
Jeff Baisley,510.002,6.540,17.033,0.398,0.281,0.335,0.445,0.781
Jeff Baker,538.000,8.600,20.400,0.420,0.305,0.369,0.508,0.877
Jeff Clement,508.007,9.977,19.906,0.512,0.262,0.340,0.468,0.807
Jeff Fiorentino,423.000,11.300,14.700,0.770,0.312,0.387,0.510,0.896
Jeff Francoeur,487.000,4.300,19.500,0.220,0.289,0.320,0.450,0.770
Jeff Frazier,457.191,6.274,14.030,0.455,0.263,0.312,0.442,0.754
Jeff Keppinger,509.000,7.900,5.900,1.330,0.316,0.368,0.389,0.757
Jeff Kobernus,412.000,6.800,14.300,0.470,0.318,0.366,0.388,0.754
Jeff Larish,416.945,11.823,24.329,0.488,0.266,0.358,0.503,0.861
Jeff Mathis,417.000,6.200,18.000,0.350,0.289,0.333,0.430,0.763
Jeff Salazar,482.207,10.828,14.350,0.791,0.275,0.354,0.446,0.800
Jefry Marte,399.000,7.800,16.000,0.480,0.275,0.341,0.487,0.828
Jeimer Candelario,458.000,10.000,22.700,0.440,0.265,0.343,0.484,0.827
Jemile Weeks,614.000,13.000,16.100,0.810,0.271,0.376,0.369,0.745
Jerad Head,463.000,5.400,21.400,0.250,0.284,0.338,0.526,0.864
Jeremy Brown,390.000,12.100,19.000,0.640,0.276,0.364,0.469,0.833
Jeremy Hazelbaker,480.000,7.500,27.300,0.270,0.257,0.313,0.374,0.687
Jeremy Hermida,484.528,13.740,23.613,0.581,0.272,0.377,0.462,0.839
Jeremy Moore,460.000,4.600,24.800,0.180,0.298,0.331,0.545,0.876
Jeremy Reed,630.000,7.500,11.600,0.640,0.300,0.354,0.452,0.806
Jermaine Clark,429.000,11.200,16.800,0.670,0.235,0.319,0.320,0.639
Jermaine Curtis,436.000,11.900,12.200,0.980,0.257,0.355,0.349,0.703
Jermaine Mitchell,474.000,11.400,21.900,0.520,0.252,0.345,0.386,0.731
Jerry Owens,451.385,9.488,12.533,0.769,0.286,0.354,0.360,0.714
Jerry Sands,452.369,10.998,22.205,0.499,0.264,0.346,0.485,0.832
Jesse Gutierrez,455.000,10.800,16.300,0.660,0.282,0.369,0.436,0.805
Jesse Winker,448.000,13.200,13.200,1.000,0.303,0.397,0.384,0.782
Jesus Aguilar,551.296,9.945,19.476,0.513,0.271,0.347,0.472,0.819
Jesus Feliciano,506.585,6.050,8.774,0.695,0.290,0.340,0.358,0.698
Jesus Guzman,496.032,7.549,15.110,0.505,0.321,0.378,0.508,0.885
Jesus Merchan,477.000,3.800,9.200,0.410,0.339,0.373,0.443,0.816
Jesus Montero,468.541,7.332,17.964,0.408,0.307,0.359,0.494,0.853
Jesus Valdez,428.000,6.500,15.900,0.410,0.271,0.318,0.397,0.715
Jim Adduci,489.823,9.591,19.527,0.495,0.277,0.347,0.395,0.742
Jim Gallagher,543.000,11.400,15.100,0.760,0.246,0.335,0.381,0.717
Jim Murphy,454.000,10.800,23.600,0.460,0.240,0.330,0.391,0.722
Jim Negrych,439.000,10.000,14.400,0.700,0.285,0.360,0.385,0.745
Jim Rushford,457.000,6.600,6.800,0.970,0.266,0.324,0.339,0.663
Jimmy Paredes,485.038,4.056,21.963,0.194,0.305,0.334,0.459,0.794
Joaquin Arias,509.589,3.786,10.789,0.364,0.276,0.306,0.370,0.676
Joc Pederson,553.000,18.100,26.900,0.670,0.303,0.435,0.582,1.017
Joe Borchard,473.000,9.500,22.200,0.430,0.263,0.340,0.469,0.810
Joe Dillon,400.000,8.500,14.000,0.610,0.262,0.334,0.405,0.739
Joe Inglett,455.000,8.800,13.600,0.650,0.253,0.327,0.367,0.695
Joe Koshansky,533.084,11.918,28.390,0.427,0.270,0.362,0.505,0.867
Joe Leonard,449.000,4.900,20.300,0.240,0.230,0.271,0.297,0.568
Joe Mahoney,536.000,6.500,17.700,0.370,0.265,0.319,0.389,0.708
Joe McEwing,491.837,5.212,17.231,0.308,0.290,0.332,0.406,0.739
Joe Thurston,546.927,7.410,12.321,0.612,0.295,0.359,0.441,0.800
Joel Guzman,451.188,5.348,23.286,0.233,0.255,0.294,0.431,0.725
Joey Butler,511.332,11.650,24.213,0.492,0.286,0.375,0.439,0.814
Joey Gallo,433.000,15.700,34.600,0.450,0.240,0.367,0.529,0.896
Joey Terdoslavich,498.313,10.659,17.079,0.633,0.265,0.345,0.392,0.737
Joey Votto,580.000,12.100,19.000,0.640,0.294,0.381,0.478,0.859
Joey Wendle,555.441,4.044,18.613,0.215,0.285,0.325,0.441,0.766
