Name,PA,BB%,K%,AVG,OBP,SLG,OPS,WAR/PA
Christian Colonel,455.790,8.031,13.510,0.294,0.354,0.433,0.787,0.000
Christian Lopes,384.000,11.200,13.500,0.261,0.349,0.402,0.751,0.000
Christian Villanueva,482.516,8.127,16.927,0.276,0.339,0.480,0.819,0.000
Christian Walker,579.281,8.632,21.794,0.277,0.343,0.487,0.830,0.000
Christopher Bostick,549.000,8.200,17.700,0.294,0.362,0.418,0.779,0.000
Chun-Hsiu Chen,395.000,9.400,26.600,0.223,0.302,0.349,0.651,0.000
Cito Culver,389.000,8.000,28.300,0.223,0.282,0.398,0.681,0.000
Clay Timpner,451.314,7.578,13.253,0.265,0.324,0.363,0.687,0.000
Clete Thomas,406.000,7.900,32.000,0.251,0.314,0.401,0.715,1.000
Cliff Pennington,417.000,10.800,12.900,0.264,0.345,0.367,0.712,1.000
Clint Robinson,571.002,11.997,13.404,0.309,0.396,0.493,0.889,0.000
Cody Asche,446.000,7.800,21.300,0.295,0.352,0.485,0.837,0.000
Cody Decker,510.000,10.000,29.400,0.261,0.337,0.514,0.852,0.000
Cody Overbeck,491.684,6.819,25.738,0.252,0.307,0.429,0.736,0.000
Colby Rasmus,387.000,12.700,18.600,0.251,0.346,0.396,0.742,1.000
Cole Figueroa,533.000,10.100,5.600,0.286,0.361,0.367,0.727,0.000
Cole Garner,469.000,8.300,19.000,0.304,0.374,0.520,0.894,0.000
Cole Gillespie,523.979,13.509,17.293,0.285,0.388,0.469,0.858,0.000
Colin Moran,511.000,9.200,24.300,0.259,0.329,0.368,0.697,0.000
Collin Cowgill,456.000,11.200,13.800,0.354,0.430,0.554,0.984,1.000
Conor Gillaspie,484.746,11.034,13.730,0.289,0.368,0.447,0.815,1.000
Cord Phelps,485.898,12.276,17.146,0.277,0.368,0.446,0.814,0.000
Corey Brown,489.824,10.021,27.845,0.260,0.341,0.469,0.810,0.000
Corey Seager,464.000,6.900,14.000,0.278,0.332,0.451,0.783,1.000
Corey Wimberly,623.000,9.300,10.300,0.284,0.373,0.354,0.727,0.000
Craig Brazell,455.000,4.400,18.200,0.307,0.337,0.605,0.942,0.000
Craig Cooper,398.000,8.800,19.800,0.248,0.317,0.393,0.709,0.000
Craig Stansberry,516.249,11.212,16.226,0.271,0.357,0.423,0.780,0.000
Cristhian Adames,511.000,7.000,11.000,0.311,0.362,0.438,0.800,0.000
Curtis Thigpen,395.000,5.300,14.700,0.222,0.267,0.310,0.577,0.000
D.J. Peterson,518.000,8.100,18.500,0.252,0.315,0.404,0.719,0.000
Dallas McPherson,530.000,14.300,31.700,0.275,0.379,0.618,0.998,0.000
Daniel Castro,430.000,5.600,10.000,0.306,0.344,0.397,0.741,0.000
Daniel Descalso,531.000,8.900,9.000,0.282,0.350,0.421,0.771,0.000
Daniel Fields,526.000,12.500,27.800,0.228,0.335,0.367,0.701,0.000
Daniel Robertson,543.987,10.206,13.597,0.283,0.367,0.377,0.743,0.000
Daniel Robertson,543.987,10.206,13.597,0.283,0.367,0.377,0.743,0.000
Daniel Vogelbach,552.219,15.632,17.998,0.291,0.403,0.480,0.884,0.000
Danny Dorn,452.294,8.642,23.698,0.257,0.329,0.443,0.771,0.000
Danny Garcia,451.000,7.800,14.600,0.242,0.327,0.339,0.666,0.000
Danny Hayes,515.000,13.000,27.600,0.228,0.327,0.415,0.742,0.000
Danny Muno,435.000,13.800,18.900,0.259,0.372,0.418,0.790,0.000
Danny Ortiz,481.598,5.359,19.221,0.251,0.291,0.433,0.724,0.000
Danny Richar,450.924,6.481,16.128,0.295,0.343,0.450,0.793,0.000
Daric Barton,552.161,15.090,11.534,0.295,0.404,0.434,0.839,1.000
Dariel Alvarez,550.664,4.017,12.973,0.282,0.315,0.404,0.718,0.000
Darnell McDonald,596.000,7.900,19.300,0.292,0.351,0.435,0.786,1.000
Darnell Sweeney,489.630,8.592,22.227,0.258,0.324,0.392,0.716,0.000
Darwin Barney,514.000,4.500,10.100,0.299,0.333,0.378,0.711,1.000
Dave Krynzel,417.000,10.100,25.700,0.231,0.314,0.359,0.673,0.000
Dave Sappelt,550.000,6.500,13.300,0.266,0.314,0.376,0.690,1.000
David Cooper,545.000,12.300,7.900,0.364,0.439,0.535,0.974,0.000
David Espinosa,419.000,8.100,22.200,0.204,0.268,0.317,0.585,0.000
David Freese,510.000,7.600,21.800,0.306,0.361,0.550,0.910,1.000
David Lough,530.915,6.347,11.657,0.291,0.343,0.446,0.789,1.000
David Murphy,451.000,9.100,15.700,0.280,0.346,0.420,0.766,1.000
David Washington,399.010,9.765,34.952,0.259,0.332,0.503,0.835,0.000
David Winfree,454.020,5.256,18.307,0.281,0.321,0.469,0.791,0.000
Dayan Viciedo,505.000,8.900,16.400,0.296,0.364,0.491,0.856,0.000
Dean Anna,583.000,10.500,11.100,0.331,0.410,0.482,0.892,0.000
Dee Gordon,433.000,11.800,16.200,0.297,0.385,0.390,0.775,1.000
Deibinson Romero,492.000,12.200,17.900,0.265,0.364,0.406,0.770,0.000
Delwyn Young,560.945,7.152,18.663,0.304,0.354,0.512,0.865,0.000
Denard Span,548.000,7.300,16.400,0.267,0.323,0.355,0.678,1.000
Denis Phipps,444.009,9.231,22.942,0.236,0.314,0.392,0.706,0.000
Derek Fisher,384.000,9.100,19.300,0.318,0.384,0.583,0.967,0.000
Derrick Robinson,488.000,10.200,17.200,0.268,0.344,0.325,0.668,1.000
Derrik Gibson,422.000,8.100,20.600,0.242,0.306,0.388,0.695,0.000
Desmond Jennings,429.676,10.764,16.922,0.277,0.368,0.422,0.790,1.000
Destin Hood,522.000,7.100,21.600,0.267,0.316,0.435,0.751,0.000
Deven Marrero,404.095,6.842,21.954,0.228,0.282,0.295,0.577,0.000
Devin Mesoraco,499.000,10.400,16.600,0.289,0.371,0.484,0.855,1.000
Diego Goris,470.000,6.000,19.600,0.285,0.326,0.417,0.742,0.000
Dilson Herrera,469.000,8.100,18.600,0.274,0.335,0.456,0.791,1.000
Diory Hernandez,490.000,4.100,14.900,0.288,0.317,0.383,0.700,0.000
Dixon Machado,568.002,8.253,14.098,0.264,0.331,0.344,0.675,0.000
Domingo Santana,467.630,12.767,27.799,0.312,0.403,0.518,0.921,1.000
Dominic Smith,500.000,7.800,17.400,0.330,0.386,0.519,0.905,0.000
Drew Dosch,473.000,7.600,23.900,0.265,0.323,0.414,0.737,0.000
Drew Garcia,406.506,6.800,24.435,0.218,0.276,0.339,0.616,0.000
Drew Locke,524.000,8.200,17.600,0.279,0.338,0.478,0.816,0.000
Drew Meyer,403.000,6.700,22.600,0.228,0.278,0.305,0.583,0.000
Drew Robinson,539.000,12.200,27.500,0.257,0.350,0.480,0.830,0.000
Drew Stubbs,472.000,10.800,22.000,0.268,0.353,0.360,0.713,1.000
Drew Sutton,438.000,13.900,21.000,0.273,0.379,0.387,0.766,1.000
Drew T. Anderson,428.395,5.721,22.070,0.282,0.329,0.430,0.759,0.000
Dustin Martin,522.860,9.278,21.663,0.259,0.330,0.398,0.728,0.000
Dustin Pedroia,493.000,9.700,5.500,0.305,0.384,0.426,0.810,1.000
Dwight Smith Jr.,449.000,10.500,15.800,0.273,0.350,0.392,0.743,0.000
Dylan Cozens,542.000,10.700,35.800,0.210,0.301,0.418,0.719,0.000
Eduardo Escobar,536.000,5.000,19.400,0.266,0.303,0.354,0.657,1.000
Eduardo Nunez,506.000,6.300,11.900,0.289,0.340,0.381,0.721,1.000
Edward Salcedo,413.000,9.700,23.500,0.212,0.294,0.357,0.651,0.000
Edwin Maysonet,466.000,9.400,15.000,0.271,0.343,0.379,0.723,0.000
Efren Navarro,570.488,8.530,14.449,0.312,0.370,0.448,0.818,1.000
Eider Torres,457.068,6.363,13.235,0.275,0.322,0.340,0.662,0.000
Elliot Johnson,480.633,7.883,23.388,0.261,0.326,0.411,0.738,0.000
Emilio Bonifacio,438.000,7.100,15.500,0.314,0.361,0.397,0.758,1.000
Engel Beltre,439.000,6.400,19.100,0.292,0.340,0.398,0.738,0.000
Eric Campbell,425.000,15.500,14.100,0.314,0.435,0.475,0.910,0.000
Eric Duncan,474.103,8.981,20.446,0.237,0.309,0.377,0.686,0.000
Eric Farris,530.376,5.728,11.397,0.269,0.316,0.357,0.673,0.000
Eric Patterson,557.216,9.538,14.934,0.302,0.369,0.474,0.842,0.000
Eric Reed,420.000,5.700,22.400,0.303,0.344,0.438,0.782,0.000
Eric Sogard,597.000,12.600,11.400,0.300,0.391,0.407,0.798,1.000
Eric Thames,398.000,10.100,23.900,0.278,0.357,0.432,0.789,1.000
Eric Wood,473.000,9.500,26.400,0.238,0.311,0.438,0.749,0.000
Eric Young Jr.,554.000,10.100,14.300,0.299,0.387,0.430,0.817,0.000
Erik Gonzalez,460.000,4.100,19.100,0.296,0.329,0.450,0.779,1.000
Ernesto Mejia,555.029,7.391,25.586,0.273,0.335,0.500,0.835,0.000
Eury Perez,433.000,3.000,14.800,0.300,0.336,0.422,0.758,0.000
Evan Frey,455.000,13.000,14.900,0.275,0.369,0.373,0.742,0.000
Ezequiel Carrera,440.960,8.347,15.798,0.280,0.345,0.383,0.728,1.000
Felix Perez,428.000,5.400,14.700,0.301,0.348,0.401,0.749,0.000
Felix Pie,623.000,7.400,20.200,0.283,0.341,0.451,0.792,0.000
Fernando Cortez,442.938,4.482,11.459,0.246,0.284,0.306,0.589,0.000
Fernando Perez,514.146,8.644,25.162,0.260,0.327,0.353,0.680,1.000
Franchy Cordero,419.000,5.500,28.200,0.326,0.369,0.603,0.972,0.000
Francisco Cervelli,417.000,9.400,19.700,0.246,0.341,0.316,0.657,1.000
Francisco Peguero,476.000,3.200,17.200,0.272,0.297,0.394,0.691,0.000
Frank Schwindel,406.000,2.500,16.700,0.321,0.340,0.528,0.868,0.000
Franklin Barreto,510.000,5.300,27.600,0.290,0.339,0.456,0.796,0.000
Franklin Gutierrez,413.000,11.900,20.300,0.278,0.373,0.433,0.806,1.000
Fred Lewis,517.000,13.200,20.300,0.276,0.375,0.453,0.828,1.000
Freddie Freeman,519.000,8.300,16.200,0.319,0.378,0.521,0.898,1.000
Freddy Guzman,507.893,9.924,12.448,0.272,0.348,0.369,0.716,0.000
Freddy Sandoval,587.000,8.000,12.600,0.335,0.389,0.514,0.904,0.000
Garin Cecchini,465.391,8.357,18.812,0.249,0.317,0.349,0.666,0.000
Garrett Jones,546.259,8.105,18.702,0.265,0.324,0.462,0.785,1.000
Gary Brown,558.104,5.511,19.643,0.248,0.303,0.379,0.681,0.000
Gavin Cecchini,498.002,8.802,11.649,0.296,0.360,0.414,0.774,0.000
George Kottaras,462.000,13.900,23.800,0.243,0.348,0.456,0.804,1.000
Geovany Soto,422.002,11.195,19.969,0.315,0.391,0.528,0.919,1.000
Giovanny Urshela,462.520,4.921,11.847,0.275,0.311,0.423,0.735,0.000
Gorkys Hernandez,450.508,7.914,21.919,0.277,0.342,0.387,0.730,0.000
Grant Green,481.669,5.714,15.630,0.308,0.351,0.466,0.817,0.000
Greg Dobbs,421.000,8.800,13.800,0.314,0.375,0.451,0.826,0.000
Greg Garcia,419.121,11.008,17.514,0.278,0.375,0.377,0.751,1.000
Greg Golson,467.288,5.411,23.205,0.265,0.312,0.388,0.700,0.000
Greg Halman,465.000,8.000,36.300,0.243,0.310,0.545,0.854,0.000
Gregor Blanco,482.626,12.021,16.443,0.259,0.351,0.327,0.678,1.000
Gregorio Petit,455.103,7.055,18.912,0.252,0.310,0.359,0.670,0.000
Hank Conger,452.000,12.200,12.800,0.300,0.385,0.463,0.847,1.000
Harrison Bader,479.000,7.100,24.600,0.283,0.347,0.469,0.816,0.000
Hector Gomez,442.000,4.800,18.100,0.282,0.325,0.483,0.808,0.000
Hector Luna,429.000,7.000,14.500,0.267,0.324,0.397,0.721,0.000
Henry Alejandro Rodriguez,514.000,5.400,13.400,0.274,0.319,0.335,0.654,0.000
Hernan Iribarren,453.676,7.247,15.157,0.287,0.341,0.380,0.721,0.000
Hernan Perez,596.000,6.000,10.900,0.287,0.331,0.404,0.735,0.000
Hunter Brown,447.000,12.300,19.900,0.262,0.357,0.405,0.762,0.000
Hunter Dozier,434.000,9.200,23.000,0.294,0.357,0.506,0.864,0.000
Hunter Morris,546.000,7.900,22.300,0.247,0.310,0.457,0.766,0.000
Hunter Renfroe,563.000,3.900,20.400,0.306,0.336,0.557,0.893,1.000
Ian Stewart,474.000,10.300,19.400,0.304,0.379,0.478,0.857,1.000
Ildemaro Vargas,535.000,5.600,7.500,0.312,0.355,0.462,0.817,0.000
Irving Falu,542.185,8.680,6.855,0.271,0.334,0.337,0.671,1.000
Isaac Galloway,478.134,5.325,22.656,0.252,0.295,0.366,0.661,0.000
Ivan De Jesus Jr.,507.084,8.607,15.594,0.295,0.359,0.407,0.765,0.000
J.B. Shuck,443.197,11.191,6.832,0.309,0.390,0.409,0.798,0.000
J.J. Furmaniak,450.738,8.285,21.265,0.256,0.325,0.387,0.712,0.000
J.P. Arencibia,480.376,6.684,20.742,0.267,0.320,0.531,0.851,0.000
J.P. Crawford,556.000,14.200,17.400,0.243,0.351,0.405,0.756,0.000
J.R. House,471.000,9.100,12.500,0.298,0.365,0.463,0.828,0.000
JD Closser,399.000,14.800,19.300,0.231,0.343,0.413,0.756,0.000
JaCoby Jones,393.000,8.400,26.500,0.245,0.314,0.387,0.702,0.000
Jack Cust,591.000,24.200,21.000,0.293,0.467,0.549,1.016,1.000
Jack Hannahan,458.754,15.001,22.642,0.288,0.399,0.441,0.840,1.000
Jack Reinheimer,548.741,8.698,16.306,0.283,0.347,0.368,0.714,0.000
Jacob May,467.000,6.400,24.000,0.248,0.307,0.325,0.632,0.000
Jacoby Ellsbury,401.000,8.000,11.700,0.298,0.360,0.380,0.740,1.000
Jaff Decker,409.883,12.381,20.680,0.268,0.361,0.406,0.767,0.000
Jai Miller,459.082,10.548,30.677,0.276,0.359,0.523,0.882,0.000
Jake Bauers,575.000,13.600,19.500,0.263,0.368,0.412,0.779,0.000
Jake Elmore,511.000,14.500,10.600,0.344,0.442,0.465,0.908,0.000
Jake Goebbert,421.000,13.500,16.600,0.294,0.392,0.452,0.844,0.000
Jamal Strong,416.000,10.100,16.800,0.241,0.331,0.300,0.631,0.000
James Beresford,536.498,6.711,13.047,0.284,0.331,0.341,0.673,0.000
James Loney,406.000,7.900,8.400,0.380,0.426,0.546,0.973,1.000
James McCann,460.000,5.400,19.600,0.295,0.343,0.427,0.770,1.000
James Ramsey,455.123,9.885,26.849,0.253,0.334,0.397,0.731,0.000
James Rapoport,464.000,9.500,12.300,0.267,0.341,0.331,0.672,0.000
Jamie D'Antona,496.662,7.086,12.264,0.334,0.382,0.547,0.929,0.000
Jamie Hoffmann,533.216,9.006,17.447,0.290,0.359,0.447,0.805,0.000
Jamie Romak,518.000,9.500,22.200,0.242,0.322,0.461,0.782,0.000
Jantzen Witte,395.000,7.800,14.700,0.258,0.327,0.361,0.688,0.000
Jared Hoying,508.825,7.025,21.688,0.251,0.307,0.476,0.783,0.000
Jarrett Hoffpauir,462.766,10.305,7.790,0.286,0.362,0.453,0.816,0.000
Jarrett Parker,504.000,12.300,32.500,0.283,0.375,0.514,0.889,1.000
Jason Botts,460.000,17.600,22.200,0.320,0.436,0.545,0.980,1.000
Jason Bourgeois,511.942,5.407,10.345,0.299,0.344,0.403,0.746,0.000
Jason Coats,530.000,5.500,17.500,0.270,0.313,0.438,0.751,0.000
Jason Cooper,431.119,10.744,24.166,0.243,0.328,0.432,0.760,0.000
Jason Dubois,512.000,8.800,25.600,0.275,0.342,0.492,0.835,0.000
Jason Jaramillo,484.773,9.514,16.583,0.269,0.345,0.366,0.711,0.000
Jason Kipnis,400.000,11.000,18.000,0.280,0.362,0.484,0.846,1.000
Jason Leblebijian,473.000,7.400,26.200,0.258,0.323,0.405,0.729,0.000
Jason Martinson,534.268,7.959,34.513,0.218,0.292,0.375,0.667,0.000
Jason Perry,391.000,12.500,26.900,0.255,0.359,0.498,0.857,0.000
Jason Pridie,575.914,4.287,20.638,0.268,0.300,0.410,0.710,0.000
Jason Repko,535.000,9.300,20.200,0.283,0.373,0.449,0.822,1.000
Javier Baez,434.000,7.800,30.000,0.260,0.323,0.510,0.833,1.000
Javier Castillo,474.000,5.900,18.400,0.247,0.295,0.364,0.660,0.000
Jaycob Brugman,433.000,8.300,20.300,0.295,0.352,0.438,0.790,0.000
Jayson Nix,444.202,7.167,15.949,0.274,0.331,0.389,0.719,0.000
Jedd Gyorko,408.000,8.300,16.700,0.328,0.380,0.588,0.968,1.000
Jeff Bailey,548.000,13.500,21.200,0.275,0.383,0.489,0.872,1.000
Jeff Baisley,391.000,6.600,21.000,0.248,0.306,0.389,0.695,0.000
Jeff Baker,538.000,8.600,20.400,0.305,0.369,0.508,0.877,0.000
Jeff Clement,535.047,10.844,18.316,0.274,0.362,0.496,0.858,0.000
Jeff Fiorentino,423.000,11.300,14.700,0.312,0.387,0.510,0.896,0.000
Jeff Frazier,476.505,5.519,14.567,0.280,0.320,0.476,0.796,0.000
Jeff Keppinger,509.000,7.900,5.900,0.316,0.368,0.389,0.757,1.000
Jeff Kobernus,412.000,6.800,14.300,0.318,0.366,0.388,0.754,0.000
Jeff Larish,416.945,11.823,24.329,0.266,0.358,0.503,0.861,0.000
Jeff Mathis,417.000,6.200,18.000,0.289,0.333,0.430,0.763,0.000
Jeff Salazar,472.000,11.900,11.900,0.299,0.385,0.495,0.880,0.000
Jefry Marte,399.000,7.800,16.000,0.275,0.341,0.487,0.828,1.000
Jeimer Candelario,458.000,10.000,22.700,0.265,0.343,0.484,0.827,1.000
Jemile Weeks,614.000,13.000,16.100,0.271,0.376,0.369,0.745,1.000
Jeremy Brown,390.000,12.100,19.000,0.276,0.364,0.469,0.833,0.000
Jeremy Hazelbaker,480.000,7.500,27.300,0.257,0.313,0.374,0.687,1.000
Jeremy Hermida,450.000,10.200,21.600,0.319,0.400,0.524,0.924,1.000
Jeremy Moore,460.000,4.600,24.800,0.298,0.331,0.545,0.876,0.000
Jeremy Reed,630.000,7.500,11.600,0.300,0.354,0.452,0.806,0.000
Jermaine Curtis,436.000,11.900,12.200,0.257,0.355,0.349,0.703,0.000
Jermaine Mitchell,474.000,11.400,21.900,0.252,0.345,0.386,0.731,0.000
Jerry Owens,450.565,9.279,13.159,0.268,0.337,0.333,0.670,1.000
Jerry Sands,452.369,10.998,22.205,0.264,0.346,0.485,0.832,0.000
Jesse Winker,448.000,13.200,13.200,0.303,0.397,0.384,0.782,1.000
Jesus Aguilar,551.296,9.945,19.476,0.271,0.347,0.472,0.819,0.000
Jesus Guzman,496.032,7.549,15.110,0.321,0.378,0.508,0.885,1.000
Jesus Merchan,477.000,3.800,9.200,0.339,0.373,0.443,0.816,0.000
Jesus Montero,468.541,7.332,17.964,0.307,0.359,0.494,0.853,0.000
Jesus Valdez,428.000,6.500,15.900,0.271,0.318,0.397,0.715,0.000
Jim Adduci,407.000,6.600,19.700,0.248,0.302,0.302,0.604,1.000
Jim Gallagher,543.000,11.400,15.100,0.246,0.335,0.381,0.717,0.000
Jimmy Paredes,485.038,4.056,21.963,0.305,0.334,0.459,0.794,0.000
Joaquin Arias,509.589,3.786,10.789,0.276,0.306,0.370,0.676,0.000
Joc Pederson,553.000,18.100,26.900,0.303,0.435,0.582,1.017,1.000
Joe Koshansky,542.680,11.769,27.800,0.271,0.359,0.508,0.867,0.000
Joe Leonard,449.000,4.900,20.300,0.230,0.271,0.297,0.568,0.000
Joe Mahoney,536.000,6.500,17.700,0.265,0.319,0.389,0.708,0.000
Joe Thurston,558.351,7.797,10.721,0.291,0.358,0.430,0.789,0.000
Joel Guzman,451.188,5.348,23.286,0.255,0.294,0.431,0.725,0.000
Joey Butler,525.116,12.230,24.633,0.300,0.392,0.467,0.859,1.000
Joey Gallo,433.000,15.700,34.600,0.240,0.367,0.529,0.896,1.000
Joey Terdoslavich,569.000,10.700,18.600,0.256,0.337,0.385,0.722,0.000
Joey Votto,580.000,12.100,19.000,0.294,0.381,0.478,0.859,1.000
Joey Wendle,555.441,4.044,18.613,0.285,0.325,0.441,0.766,1.000
Johan Limonta,460.000,9.600,16.300,0.319,0.382,0.477,0.858,0.000
John Andreoli,532.750,13.633,25.309,0.258,0.365,0.410,0.775,0.000
John Bowker,450.501,11.194,15.201,0.324,0.399,0.539,0.938,0.000
John Hattig,402.301,9.229,26.784,0.272,0.341,0.407,0.749,0.000
John Mayberry Jr.,513.536,6.728,19.185,0.265,0.322,0.441,0.763,0.000
John Nelson,476.000,8.800,32.100,0.215,0.291,0.411,0.702,0.000
John Raynor,503.000,8.300,24.100,0.257,0.327,0.360,0.687,0.000
John-Ford Griffin,551.000,10.700,26.100,0.252,0.330,0.488,0.818,0.000
Johnny Field,480.000,5.400,20.400,0.261,0.303,0.425,0.728,0.000
Johnny Giavotella,463.184,10.010,10.421,0.315,0.384,0.451,0.835,0.000
Johnny Monell,481.000,12.300,21.800,0.275,0.364,0.494,0.858,0.000
Jon Jay,564.000,6.000,11.300,0.281,0.338,0.394,0.732,1.000
Jon Kemmer,452.000,8.400,28.300,0.265,0.334,0.477,0.811,0.000
Jon Knott,544.000,9.600,18.900,0.280,0.353,0.572,0.925,0.000
Jon Singleton,475.980,15.514,23.525,0.227,0.347,0.444,0.793,0.000
Jonathan Diaz,400.000,15.500,14.000,0.240,0.374,0.317,0.691,0.000
Jonathan Galvez,424.581,8.652,21.471,0.279,0.348,0.414,0.763,0.000
Jonathan Herrera,450.000,10.900,11.300,0.268,0.353,0.339,0.692,0.000
Jonathan Schuerholz,425.000,7.500,22.100,0.184,0.252,0.243,0.495,0.000
Jordan Brown,458.345,6.399,12.963,0.309,0.355,0.471,0.826,0.000
Jordan Danks,487.225,10.084,28.370,0.256,0.336,0.417,0.753,0.000
Jordan Lennerton,607.000,13.800,21.900,0.278,0.382,0.430,0.812,0.000
Jordan Pacheco,411.000,7.300,11.700,0.278,0.343,0.377,0.721,0.000
Jordan Parraz,498.018,8.148,16.992,0.277,0.356,0.425,0.781,0.000
Jordan Patterson,519.565,7.984,23.695,0.288,0.361,0.511,0.872,0.000
Jorge Bonifacio,558.000,9.100,23.300,0.277,0.351,0.461,0.812,1.000
Jose Constanza,448.000,7.800,12.100,0.319,0.373,0.394,0.766,1.000
Jose Iglesias,391.552,6.108,13.280,0.251,0.302,0.288,0.589,1.000
Jose Martinez,447.386,9.835,14.563,0.325,0.392,0.485,0.876,1.000
Jose Morales,411.000,7.300,10.700,0.311,0.366,0.399,0.765,0.000
Jose Peraza,521.000,3.300,8.600,0.293,0.316,0.378,0.694,0.000
Jose Pirela,581.000,6.400,12.700,0.305,0.351,0.441,0.792,1.000
Josh Anderson,552.739,5.602,11.929,0.293,0.341,0.372,0.713,1.000
Josh Bell,446.096,10.297,20.253,0.280,0.355,0.464,0.819,0.000
Josh Bell,446.096,10.297,20.253,0.280,0.355,0.464,0.819,0.000
Josh Donaldson,503.000,10.100,19.900,0.261,0.344,0.439,0.783,1.000
Josh Fields,526.000,10.300,25.900,0.305,0.379,0.515,0.894,0.000
Josh Kroeger,497.721,7.381,17.879,0.252,0.312,0.418,0.729,0.000
Josh Labandeira,456.000,8.100,11.400,0.276,0.351,0.352,0.702,0.000
Josh Phegley,445.191,5.747,14.878,0.270,0.319,0.456,0.775,1.000
Josh Prince,490.000,12.200,21.400,0.237,0.338,0.368,0.707,0.000
Josh Rabe,398.000,8.800,9.300,0.299,0.362,0.411,0.773,0.000
Josh Reddick,481.000,5.200,15.200,0.266,0.301,0.466,0.767,1.000
Josh Satin,527.000,14.600,20.700,0.286,0.391,0.442,0.833,1.000
Josh Vitters,429.346,6.175,21.484,0.261,0.314,0.431,0.745,0.000
Josh Whitesell,560.000,13.200,24.300,0.328,0.425,0.568,0.993,0.000
Josh Wilson,459.000,6.300,15.500,0.262,0.330,0.378,0.708,0.000
Juan Diaz,467.851,6.488,23.258,0.263,0.314,0.380,0.695,0.000
Juan Miranda,463.431,11.998,19.555,0.289,0.376,0.476,0.851,1.000
Juan Perez,408.002,5.545,19.946,0.270,0.316,0.408,0.723,1.000
Julio Borbon,528.862,6.695,10.484,0.305,0.357,0.412,0.770,1.000
Jurickson Profar,383.000,11.200,8.600,0.287,0.383,0.428,0.811,0.000
Justin Bour,430.000,9.100,13.300,0.306,0.372,0.517,0.889,1.000
Justin Henry,543.000,9.900,12.000,0.300,0.372,0.357,0.729,0.000
Justin Huber,458.825,10.056,19.686,0.275,0.357,0.481,0.838,0.000
Justin Maxwell,448.000,12.100,30.400,0.242,0.344,0.396,0.740,1.000
Justin Ruggiano,539.091,9.651,27.651,0.281,0.358,0.458,0.815,1.000
Justin Turner,442.002,7.550,9.954,0.308,0.368,0.438,0.806,1.000
Kaleb Cowart,437.110,9.287,19.806,0.295,0.360,0.466,0.827,0.000
Kean Wong,417.000,8.200,18.700,0.265,0.328,0.361,0.688,0.000
Keith Reed,453.000,4.200,13.900,0.279,0.319,0.441,0.761,0.000
Kenny Kelly,409.000,10.500,18.300,0.248,0.332,0.305,0.637,0.000
Kennys Vargas,402.000,16.400,22.100,0.233,0.361,0.424,0.785,0.000
Kevin Frandsen,474.000,4.900,7.200,0.295,0.352,0.438,0.790,0.000
Kevin Mahar,410.000,3.400,23.900,0.276,0.303,0.389,0.692,0.000
Kevin Mattison,539.000,8.200,26.900,0.241,0.310,0.394,0.704,0.000
Kevin Melillo,433.231,11.663,21.965,0.260,0.348,0.444,0.793,0.000
Kevin Pillar,434.000,4.800,11.100,0.323,0.359,0.509,0.868,1.000
Kevin Russo,454.873,8.854,16.969,0.293,0.358,0.382,0.740,0.000
Kevin Thompson,416.000,10.600,15.100,0.265,0.345,0.428,0.773,0.000
Kila Ka'aihue,464.772,18.201,17.297,0.278,0.410,0.484,0.893,0.000
Koby Clemens,444.000,11.500,26.400,0.234,0.331,0.424,0.756,0.000
Kole Calhoun,463.000,9.500,19.000,0.298,0.369,0.507,0.877,1.000
Kolten Wong,463.000,8.900,13.000,0.303,0.369,0.466,0.835,1.000
Kory Casto,488.525,10.006,19.608,0.259,0.334,0.381,0.715,0.000
Kristopher Negron,465.000,4.700,21.900,0.216,0.269,0.338,0.607,1.000
Kyle Hudson,462.000,9.300,16.000,0.264,0.335,0.286,0.621,0.000
Kyle Jensen,510.941,7.789,25.364,0.260,0.323,0.482,0.806,0.000
Kyle Kubitza,496.073,12.055,25.109,0.243,0.338,0.388,0.726,0.000
Kyle Parker,542.000,6.100,18.800,0.289,0.336,0.450,0.786,0.000
Kyle Roller,470.053,11.626,27.907,0.256,0.357,0.440,0.797,0.000
Kyle Wren,540.000,10.000,14.300,0.286,0.364,0.401,0.766,0.000
L.J. Hoes,434.094,11.746,13.528,0.280,0.368,0.378,0.746,0.000
Larry Broadway,469.019,11.696,21.980,0.269,0.355,0.435,0.790,0.000
Lars Anderson,508.465,12.522,22.280,0.259,0.355,0.416,0.771,0.000
Lastings Milledge,505.000,8.500,12.500,0.295,0.364,0.441,0.805,0.000
Laynce Nix,420.000,8.600,21.000,0.284,0.348,0.539,0.887,1.000
Leandro Castro,464.078,4.516,15.838,0.258,0.294,0.367,0.661,0.000
Logan Schafer,513.000,5.700,14.000,0.278,0.332,0.438,0.770,0.000
Logan Watkins,472.000,11.000,20.800,0.243,0.333,0.379,0.711,0.000
Lorenzo Cain,549.000,7.300,18.600,0.312,0.380,0.497,0.877,1.000
Lucas May,390.000,8.700,20.300,0.291,0.355,0.501,0.856,0.000
Luis Alfonso Cruz,518.000,2.900,10.800,0.281,0.309,0.414,0.723,0.000
Luis Durango,504.204,9.571,15.044,0.294,0.363,0.331,0.694,0.000
Luis Hernandez,435.000,5.100,16.800,0.240,0.280,0.332,0.612,0.000
