Name,H,1B,2B,HR,R,RBI,BB,IBB,SO,SB,AVG
Marwin Gonzalez,130.500,81.000,30.000,18.000,61.000,70.500,35.500,2.500,108.500,10.000,0.278
Matt Adams,152.000,98.000,34.000,15.000,55.000,68.000,26.000,5.000,114.000,3.000,0.288
Matt Carpenter,153.000,91.000,39.800,18.200,99.600,71.600,87.600,3.600,118.600,2.800,0.275
Matt Dominguez,126.000,86.500,21.000,18.500,53.500,67.000,29.500,1.500,110.500,0.000,0.228
Matt Duffy,169.000,123.000,28.000,12.000,77.000,77.000,30.000,0.000,96.000,12.000,0.295
Matt Holliday,172.250,105.875,39.000,25.500,97.500,99.750,69.500,5.875,104.375,9.750,0.306
Matt Joyce,121.000,65.500,32.500,22.000,73.500,71.500,57.500,4.500,109.500,8.500,0.260
Matt Kemp,168.714,104.286,32.714,27.714,90.429,98.429,50.286,7.000,152.714,21.286,0.283
Matt Wieters,128.333,77.667,28.000,22.333,66.000,76.667,50.333,4.000,100.000,2.000,0.249
Max Kepler,124.000,71.000,32.000,19.000,67.000,69.000,47.000,2.000,114.000,6.000,0.243
Melky Cabrera,161.875,112.250,33.250,12.750,72.875,73.875,41.125,3.250,72.875,7.750,0.283
Melvin Mora,137.000,91.000,26.000,18.500,72.000,81.000,42.000,3.000,76.500,6.000,0.279
Melvin Upton Jr.,131.375,82.125,27.875,18.125,78.875,65.125,62.000,2.375,157.750,33.000,0.248
Michael Bourn,154.000,117.667,23.833,4.500,83.833,43.167,53.667,1.667,131.167,46.667,0.268
Michael Brantley,170.250,117.000,38.250,12.750,72.750,78.500,51.250,6.250,57.500,16.750,0.302
Michael Cuddyer,158.000,101.400,31.800,20.400,83.400,82.000,54.000,3.800,102.600,7.800,0.288
Michael Morse,158.000,91.000,36.000,31.000,73.000,95.000,36.000,5.000,126.000,2.000,0.303
Michael Saunders,124.500,68.500,31.500,21.500,70.500,57.000,51.000,1.000,144.500,11.000,0.250
Michael Taylor,108.000,77.000,15.000,14.000,49.000,63.000,35.000,9.000,158.000,16.000,0.229
Michael Young,181.571,131.286,34.143,13.000,82.286,79.143,46.000,3.571,93.143,6.286,0.300
