Name,H,1B,2B,HR,R,RBI,BB,IBB,SO,SB,AVG
Corey Wimberly,151.000,127.000,14.000,3.000,97.000,57.000,58.000,2.000,64.000,56.000,0.284
Cory Sullivan,122.000,80.000,32.000,7.000,70.000,47.000,31.000,0.000,63.000,13.000,0.320
Craig Brazell,133.000,68.000,33.000,32.000,68.000,76.000,20.000,2.000,83.000,0.000,0.307
Craig Cooper,89.000,58.000,19.000,9.000,43.000,64.000,35.000,1.000,79.000,3.000,0.248
Craig Gentry,102.000,84.000,13.000,5.000,64.000,25.000,36.000,0.000,76.000,25.000,0.256
Craig Stansberry,110.667,72.667,25.667,9.667,62.333,49.333,52.333,1.667,79.333,8.333,0.267
Craig Wilson,100.000,61.000,17.000,22.000,57.000,67.000,44.000,1.000,111.000,3.000,0.256
Cristhian Adames,144.000,110.000,20.000,11.000,62.000,51.000,36.000,3.000,56.000,11.000,0.311
Curtis Thigpen,80.000,54.000,23.000,3.000,28.000,41.000,21.000,0.000,58.000,2.000,0.222
D.J. Peterson,118.000,81.000,19.000,16.000,56.000,63.000,42.000,0.000,96.000,6.000,0.252
Dallas McPherson,117.000,60.000,24.500,31.000,74.000,83.500,53.500,2.000,147.000,7.500,0.279
Damon Hollins,80.000,46.000,16.000,16.000,53.000,55.000,50.000,1.000,80.000,2.000,0.220
Dan Johnson,105.286,62.143,21.429,21.429,65.000,72.143,78.286,4.000,77.714,0.429,0.268
Dane Sardinha,77.000,51.000,15.000,10.000,38.000,47.000,25.000,0.000,98.000,2.000,0.202
Daniel Castro,121.000,92.000,25.000,3.000,43.000,45.000,24.000,3.000,43.000,1.000,0.306
Daniel Descalso,132.000,88.000,32.000,9.000,86.000,71.000,47.000,1.000,48.000,8.000,0.282
Daniel Fields,102.000,62.000,25.000,7.000,59.000,41.000,66.000,2.000,146.000,17.000,0.228
Daniel Nava,118.000,79.000,27.000,10.000,69.000,48.000,70.000,4.000,88.000,10.000,0.268
Daniel Ortmeier,127.000,98.000,17.000,7.000,59.000,73.000,51.000,4.000,92.000,11.000,0.295
Daniel Robertson,129.000,96.500,23.000,3.750,65.250,45.000,52.000,0.250,65.500,14.000,0.283
Daniel Vogelbach,133.500,87.500,25.000,20.000,72.000,89.500,86.500,4.000,99.500,1.500,0.291
Danny Dorn,109.000,65.500,24.250,17.750,53.500,63.000,43.500,2.750,112.500,4.250,0.258
Danny Garcia,95.000,65.000,25.000,3.000,46.000,39.000,35.000,2.000,66.000,21.000,0.242
Danny Hayes,100.000,57.000,23.000,19.000,52.000,67.000,67.000,2.000,142.000,0.000,0.228
Danny Klassen,111.000,79.000,21.000,8.000,53.000,43.000,31.000,1.000,104.000,4.000,0.293
Danny Muno,93.000,65.000,13.000,14.000,74.000,62.000,60.000,1.000,82.000,9.000,0.259
Danny Ortiz,111.333,65.667,26.667,16.333,49.667,66.000,25.667,3.333,92.000,5.000,0.251
Danny Richar,121.000,82.000,25.000,10.333,56.333,55.333,29.000,2.000,72.000,9.667,0.293
Danny Sandoval,130.000,102.000,20.000,8.000,53.000,48.000,30.000,0.000,64.000,9.000,0.280
Danny Worth,110.000,71.000,30.000,6.000,53.000,47.000,46.000,0.000,99.000,6.000,0.314
Daric Barton,133.500,89.000,33.500,8.000,80.500,69.500,82.500,0.000,63.000,2.000,0.295
