Name,H,1B,2B,HR,R,RBI,BB,IBB,SO,SB,AVG
JD Closser,77.000,44.000,18.000,13.000,54.000,51.000,59.000,2.000,77.000,3.000,0.231
JaCoby Jones,86.000,56.000,19.000,9.000,57.000,44.000,33.000,2.000,104.000,12.000,0.245
Jack Cust,111.500,67.000,19.000,25.000,83.500,74.500,120.000,2.000,136.000,2.500,0.268
Jack Hannahan,98.333,66.000,21.333,10.333,54.000,56.667,62.667,2.000,96.000,5.667,0.271
Jack Reinheimer,139.000,108.000,23.500,3.000,75.500,52.000,47.500,0.000,89.500,16.000,0.283
Jacob May,103.000,84.000,10.000,4.000,54.000,27.000,30.000,1.000,112.000,31.000,0.248
Jacoby Ellsbury,108.000,87.000,14.000,2.000,66.000,28.000,32.000,2.000,47.000,33.000,0.298
Jae-Gyun Hwang,100.000,65.000,21.000,10.000,44.000,55.000,27.000,2.000,83.000,7.000,0.285
Jaff Decker,93.750,63.750,20.250,8.500,50.000,37.500,50.750,2.000,84.750,11.000,0.268
Jai Miller,109.333,60.000,23.333,22.333,67.667,65.333,48.000,2.000,139.333,14.000,0.277
Jake Bauers,128.000,83.000,31.000,13.000,79.000,63.000,78.000,2.000,112.000,20.000,0.263
Jake Elmore,114.500,88.500,19.500,1.000,62.000,57.000,59.000,1.000,56.500,22.000,0.290
Jake Goebbert,104.000,71.000,20.000,10.000,52.000,62.000,57.000,2.000,70.000,4.000,0.294
Jamal Strong,86.000,69.000,14.000,1.000,43.000,26.000,42.000,2.000,70.000,17.000,0.241
James Beresford,139.333,115.333,21.000,1.000,62.000,44.000,36.000,0.333,70.000,3.667,0.284
James Loney,139.000,96.000,33.000,8.000,64.000,67.000,32.000,7.000,34.000,9.000,0.380
James McCann,123.000,82.000,34.000,7.000,49.000,54.000,25.000,0.000,90.000,9.000,0.295
James Ramsey,100.000,67.000,19.500,10.500,45.500,43.000,44.500,2.500,120.500,4.000,0.254
James Rapoport,109.000,91.000,12.000,2.000,61.000,34.000,44.000,1.000,57.000,8.000,0.267
Jamie Burke,103.000,71.000,21.000,10.000,46.000,49.000,22.000,0.000,41.000,0.000,0.278
Jamie D'Antona,151.000,92.000,39.000,17.000,74.000,82.500,35.000,3.000,60.500,2.000,0.337
Jamie Hoffmann,126.000,84.500,26.750,12.500,69.750,64.500,40.750,1.500,83.250,12.000,0.284
Jamie Romak,122.000,60.667,34.667,24.333,73.667,86.333,47.667,0.333,121.667,5.333,0.269
Jantzen Witte,92.000,60.000,29.000,2.000,43.000,25.000,31.000,1.000,58.000,5.000,0.258
Jared Goedert,99.000,64.000,23.000,10.500,53.000,51.000,48.000,0.000,94.000,3.500,0.245
Jared Hoying,110.750,61.250,25.500,18.750,67.250,62.000,34.250,1.500,102.000,18.500,0.254
Jarrett Hoffpauir,114.333,73.333,26.333,11.333,58.000,57.000,47.333,1.667,35.667,4.667,0.286
Jarrett Parker,123.000,72.000,25.000,23.000,74.000,74.000,62.000,3.000,164.000,20.000,0.283
Jason Alfaro,96.000,60.000,24.000,11.000,40.000,56.000,25.000,2.000,51.000,2.000,0.257
Jason Botts,118.000,65.000,36.000,13.000,69.000,78.000,81.000,6.000,102.000,0.000,0.320
Jason Bourgeois,133.000,102.800,22.000,4.000,64.200,48.000,30.800,0.800,47.800,26.200,0.292
Jason Coats,132.000,85.000,29.000,17.000,56.000,81.000,29.000,1.000,93.000,11.000,0.270
Jason Cooper,91.000,49.000,24.500,11.500,58.000,56.000,46.000,2.500,103.500,7.000,0.244
Jason Dubois,108.000,64.333,25.667,17.333,51.000,63.667,36.333,2.333,112.667,2.000,0.267
Jason Ellison,115.500,89.500,20.500,3.500,59.500,41.000,53.000,0.500,80.500,14.500,0.250
Jason Hart,96.000,54.000,23.000,18.000,51.000,53.000,28.000,3.000,88.000,1.000,0.248
Jason Jaramillo,115.000,89.500,16.500,7.000,50.000,47.500,46.000,3.500,80.500,0.500,0.269
Jason Kipnis,96.000,59.000,16.000,12.000,65.000,55.000,44.000,1.000,72.000,12.000,0.280
Jason Krizan,98.000,68.000,22.000,4.000,41.000,37.000,40.000,1.000,53.000,4.000,0.264
Jason Lane,98.500,48.000,32.000,15.500,64.500,53.500,58.000,2.500,77.000,3.500,0.243
Jason Leblebijian,110.000,73.000,22.000,11.000,56.000,60.000,35.000,1.000,124.000,3.000,0.258
Jason Martinson,103.500,63.500,21.000,15.500,52.500,57.000,42.500,0.000,184.000,10.000,0.218
Jason Perry,85.000,45.000,19.000,20.000,69.000,61.000,49.000,1.000,105.000,4.000,0.255
Jason Pridie,136.000,92.600,21.800,13.800,73.400,62.200,37.400,1.800,106.600,21.200,0.278
Jason Repko,119.500,77.000,23.000,14.000,79.500,48.500,39.000,1.000,94.500,22.000,0.280
Jason Rogers,98.000,72.000,18.000,6.000,38.000,40.000,43.000,1.000,78.000,1.000,0.263
Jason Smith,107.000,60.000,20.000,20.000,52.000,62.000,23.000,0.000,128.000,3.000,0.253
Jason Wood,127.000,90.000,23.000,11.000,64.000,77.000,42.000,1.000,92.000,1.000,0.288
Javier Baez,101.000,52.000,24.000,23.000,64.000,80.000,34.000,3.000,130.000,16.000,0.260
Javier Castillo,109.000,74.000,25.000,7.000,40.000,39.000,28.000,1.000,87.000,1.000,0.247
Jay Payton,142.000,95.000,36.000,6.000,62.000,74.000,25.000,1.000,47.000,13.000,0.323
Jaycob Brugman,114.000,77.000,26.000,7.000,50.000,67.000,36.000,2.000,88.000,5.000,0.295
Jayson Nix,109.000,77.500,23.500,6.500,59.500,42.000,31.500,0.500,70.000,19.500,0.271
Jed Hansen,90.000,61.000,17.000,10.000,47.000,44.000,32.000,0.000,72.000,10.000,0.247
Jedd Gyorko,121.000,73.000,24.000,24.000,62.000,83.000,34.000,0.000,68.000,4.000,0.328
Jeff Bailey,119.400,71.400,25.800,17.800,73.800,71.600,63.800,1.400,99.600,5.000,0.272
Jeff Baisley,125.500,83.000,26.000,14.500,64.500,69.000,32.000,3.000,83.500,3.500,0.275
Jeff Baker,147.000,93.000,30.000,20.000,71.000,108.000,46.000,2.000,110.000,7.000,0.305
Jeff Clement,116.750,63.750,32.500,18.250,65.000,74.250,50.500,2.500,100.750,1.000,0.261
Jeff Fiorentino,114.000,71.000,26.000,12.000,70.000,67.000,48.000,3.000,62.000,13.000,0.312
Jeff Francoeur,132.000,92.000,22.000,15.000,55.000,69.000,21.000,1.000,95.000,11.000,0.289
Jeff Frazier,109.667,67.000,26.333,15.333,53.667,57.667,28.333,1.000,63.667,3.000,0.263
Jeff Keppinger,142.000,118.000,19.000,4.000,57.000,43.000,40.000,0.000,30.000,0.000,0.316
Jeff Kobernus,118.000,96.000,19.000,1.000,59.000,36.000,28.000,2.000,59.000,42.000,0.318
Jeff Larish,95.500,52.500,21.500,20.500,50.000,69.000,49.000,4.000,101.000,0.500,0.267
Jeff Mathis,111.000,70.000,33.000,5.000,62.000,45.000,26.000,1.000,75.000,3.000,0.289
Jeff Salazar,115.000,74.500,22.500,13.000,67.500,61.500,52.000,1.500,69.000,22.000,0.275
Jefry Marte,98.000,55.000,25.000,15.000,49.000,65.000,31.000,0.000,64.000,8.000,0.275
Jeimer Candelario,108.000,53.000,36.000,15.000,52.000,71.000,46.000,1.000,104.000,1.000,0.265
Jemile Weeks,141.000,108.000,19.000,4.000,96.000,40.000,80.000,1.000,99.000,17.000,0.271
Jerad Head,120.000,67.000,28.000,24.000,67.000,70.000,25.000,2.000,99.000,3.000,0.284
Jeremy Brown,94.000,57.000,22.000,14.000,46.000,58.000,47.000,2.000,74.000,0.000,0.276
Jeremy Hazelbaker,110.000,84.000,13.000,11.000,62.000,54.000,36.000,3.000,131.000,37.000,0.257
Jeremy Hermida,110.000,68.333,23.667,16.667,60.333,62.667,65.333,2.333,112.000,1.333,0.274
Jeremy Moore,127.000,70.000,24.000,15.000,76.000,66.000,21.000,0.000,114.000,21.000,0.298
Jeremy Reed,169.000,114.000,37.000,13.000,92.000,64.000,47.000,1.000,73.000,14.000,0.300
Jermaine Clark,88.000,68.000,13.000,5.000,57.000,37.000,48.000,2.000,72.000,33.000,0.235
Jermaine Curtis,95.000,72.000,17.000,5.000,45.000,49.000,52.000,2.000,53.000,10.000,0.257
Jermaine Mitchell,103.000,71.000,15.000,6.000,75.000,38.000,54.000,0.000,104.000,15.000,0.252
Jerry Owens,113.000,93.667,12.000,2.667,63.000,36.000,42.667,2.333,56.000,31.000,0.286
Jerry Sands,102.667,60.667,18.333,20.667,66.333,76.333,49.000,1.333,99.000,1.333,0.260
Jesse Gutierrez,112.000,73.000,27.000,10.000,46.000,61.000,49.000,2.000,74.000,0.000,0.282
Jesse Winker,115.000,90.000,22.000,3.000,39.000,45.000,59.000,6.000,59.000,0.000,0.303
Jesus Aguilar,131.000,79.333,28.667,22.667,62.667,87.333,54.667,4.000,107.000,0.000,0.273
Jesus Feliciano,132.500,108.000,20.500,2.250,54.000,45.000,30.250,2.500,44.000,10.000,0.288
Jesus Guzman,144.000,97.000,27.000,17.000,70.500,71.500,37.500,1.500,75.000,3.000,0.321
Jesus Merchan,148.000,116.000,23.000,4.000,50.000,72.000,18.000,0.000,44.000,2.000,0.339
Jesus Montero,130.200,87.200,23.800,16.800,57.800,72.200,34.200,2.600,83.400,1.000,0.307
Jesus Valdez,105.000,76.000,19.000,10.000,48.000,62.000,28.000,0.000,68.000,3.000,0.271
Jim Adduci,116.000,88.000,16.500,9.500,67.500,49.000,46.000,2.500,93.500,27.500,0.273
Jim Gallagher,116.000,68.000,39.000,7.000,72.000,54.000,62.000,0.000,82.000,7.000,0.246
Jim Murphy,95.000,59.000,23.000,11.000,38.000,47.000,49.000,1.000,107.000,1.000,0.240
Jim Negrych,109.000,78.000,27.000,3.000,60.000,44.000,44.000,3.000,63.000,5.000,0.285
Jim Rushford,110.000,84.000,24.000,2.000,27.000,47.000,30.000,1.000,31.000,1.000,0.266
Jimmy Paredes,138.500,95.500,26.500,10.500,70.000,59.000,19.500,1.000,105.000,29.000,0.303
Joaquin Arias,131.333,104.333,14.333,5.333,59.333,50.000,19.333,0.667,54.667,24.333,0.277
Joc Pederson,135.000,81.000,17.000,33.000,106.000,78.000,100.000,3.000,149.000,30.000,0.303
Joe Borchard,111.000,63.000,26.000,17.000,64.000,64.000,45.000,7.000,105.000,2.000,0.263
Joe Dillon,92.000,60.000,23.000,9.000,58.000,57.000,34.000,2.000,56.000,5.000,0.262
Joe Inglett,99.000,71.000,15.000,4.000,45.000,57.000,40.000,3.000,62.000,7.000,0.253
Joe Koshansky,123.750,69.000,27.000,25.500,77.000,94.750,63.250,5.500,151.000,3.750,0.269
Joe Leonard,96.000,71.000,22.000,0.000,32.000,35.000,22.000,1.000,91.000,1.000,0.230
Joe Mahoney,130.000,90.000,29.000,10.000,54.000,56.000,35.000,6.000,95.000,4.000,0.265
Joe McEwing,130.500,98.000,22.000,9.000,57.000,47.500,25.500,1.500,84.500,11.000,0.291
Joe Thurston,141.400,97.600,27.600,10.200,69.800,60.800,40.400,2.000,67.400,14.800,0.294
Joel Guzman,106.333,67.667,20.333,17.000,49.000,66.667,24.000,1.000,105.000,6.333,0.255
Joey Butler,125.750,86.750,24.000,13.000,72.750,57.000,59.000,1.750,122.750,6.000,0.286
Joey Gallo,86.000,38.000,17.000,25.000,71.000,66.000,68.000,4.000,150.000,2.000,0.240
Joey Terdoslavich,113.000,81.500,20.000,11.000,52.000,54.000,51.500,5.000,82.500,2.000,0.266
Joey Votto,146.000,101.000,21.000,22.000,74.000,92.000,70.000,5.000,110.000,17.000,0.294
Joey Wendle,146.667,94.333,34.000,10.000,76.000,57.333,22.333,1.333,102.667,13.000,0.284
Johan Limonta,130.000,95.000,20.000,14.000,58.000,84.000,44.000,1.000,75.000,3.000,0.319
John Andreoli,113.333,74.333,21.667,10.333,83.000,47.333,71.333,1.333,132.333,34.000,0.259
John Bowker,127.000,82.000,24.500,18.000,69.000,79.500,50.500,3.500,68.500,6.000,0.324
John Gall,111.333,73.667,25.333,11.333,52.667,59.667,36.667,2.000,55.333,7.333,0.286
John Hattig,98.000,65.500,24.000,7.500,43.000,44.000,37.000,2.000,107.500,0.000,0.272
John Lindsey,135.667,77.333,33.000,23.333,70.667,93.333,40.000,1.333,90.667,0.333,0.307
John Mayberry Jr.,123.500,76.500,27.500,15.500,62.000,61.500,34.500,3.000,98.000,13.000,0.265
John Nelson,91.000,52.000,16.000,21.000,55.000,48.000,42.000,0.000,153.000,12.000,0.215
John Raynor,115.000,83.000,24.000,6.000,63.000,36.000,42.000,1.000,121.000,19.000,0.257
John-Ford Griffin,122.000,64.000,28.000,26.000,69.000,83.000,59.000,1.000,144.000,4.000,0.252
Johnny Field,116.000,68.000,35.000,12.000,62.000,57.000,26.000,0.000,98.000,12.000,0.261
Johnny Giavotella,128.000,90.500,27.750,8.250,62.000,62.500,46.000,3.250,48.000,11.000,0.314
Johnny Monell,114.500,69.000,24.500,19.500,70.000,69.500,48.000,1.500,90.500,4.000,0.276
Jon Jay,142.000,107.000,23.000,10.000,72.000,54.000,34.000,3.000,64.000,20.000,0.281
Jon Kemmer,108.000,62.000,24.000,18.000,53.000,69.000,38.000,0.000,128.000,8.000,0.265
Jon Knott,125.000,64.000,31.000,26.000,70.500,90.500,52.000,0.500,107.000,2.500,0.266
Jon Singleton,89.500,46.500,21.000,21.000,67.000,74.500,73.500,3.000,111.500,1.000,0.228
Jon Weber,120.000,71.667,35.333,11.333,62.000,59.333,46.000,1.333,86.333,8.000,0.283
Jonathan Diaz,79.667,64.000,11.333,2.333,46.667,28.333,53.333,0.000,62.333,9.667,0.239
Jonathan Galvez,105.000,71.500,24.000,8.000,60.500,51.500,36.500,1.000,90.500,12.500,0.279
Jonathan Herrera,102.000,84.000,11.000,2.000,63.000,33.000,49.000,2.000,51.000,16.000,0.268
Jonathan Schuerholz,69.000,53.000,12.000,2.000,33.000,25.000,32.000,0.000,94.000,5.000,0.184
Jonathan Van Every,100.000,56.000,15.000,26.000,84.000,70.000,54.000,1.000,157.000,6.000,0.263
Jordan Brown,130.000,85.333,32.000,11.000,59.000,60.667,29.333,3.667,59.333,2.333,0.309
Jordan Danks,106.750,69.500,24.000,11.000,54.000,52.500,44.750,1.500,132.750,10.000,0.257
Jordan Lennerton,122.500,82.000,25.500,13.500,61.000,55.000,78.500,4.000,123.500,0.000,0.264
Jordan Pacheco,101.000,74.000,21.000,3.000,57.000,50.000,30.000,0.000,48.000,2.000,0.278
Jordan Parraz,121.500,80.500,27.500,10.000,62.000,56.500,40.500,0.000,84.500,6.500,0.277
Jordan Patterson,131.000,76.000,28.000,20.000,76.500,76.500,41.500,1.500,123.000,6.500,0.288
Jorge Bonifacio,137.000,90.000,22.000,19.000,82.000,86.000,51.000,1.000,130.000,6.000,0.277
Jorge Padilla,111.000,83.000,22.000,6.000,58.000,49.000,31.000,0.000,52.000,13.000,0.322
Jorge Vazquez,119.000,67.000,20.000,32.000,67.000,93.000,30.000,5.000,166.000,0.000,0.262
Jorge Velandia,123.000,88.500,24.500,7.500,56.500,44.000,28.000,1.000,90.000,10.500,0.270
Jose Constanza,122.667,107.000,10.333,0.667,62.667,31.667,36.000,1.333,48.667,26.000,0.309
Jose Iglesias,89.000,78.500,9.000,1.000,40.500,27.000,24.000,0.000,52.000,12.000,0.251
Jose Martinez,125.667,90.667,24.000,9.667,54.667,60.333,43.667,1.333,60.667,7.000,0.313
Jose Morales,117.000,89.000,25.000,2.000,42.000,37.000,30.000,5.000,44.000,1.000,0.311
Jose Offerman,82.000,61.000,12.000,8.000,42.000,43.000,54.000,2.000,60.000,9.000,0.238
Jose Peraza,141.000,116.000,13.000,4.000,63.000,42.000,17.000,3.000,45.000,33.000,0.293
Jose Pirela,163.000,121.000,21.000,10.000,87.000,60.000,37.000,2.000,74.000,15.000,0.305
Josh Anderson,147.500,118.500,21.000,3.000,70.500,41.500,31.000,2.500,66.000,41.000,0.293
Josh Barfield,116.000,83.000,23.000,6.000,47.000,55.000,21.000,0.000,70.000,12.000,0.257
Josh Bell,109.667,71.000,20.667,15.333,60.333,65.000,45.667,4.667,90.000,3.333,0.280
Josh Donaldson,116.000,71.000,28.000,17.000,79.000,70.000,51.000,1.000,100.000,13.000,0.261
Josh Fields,136.000,90.000,30.000,12.000,74.667,62.000,47.000,3.000,120.667,15.667,0.305
Josh Kroeger,114.500,70.000,28.250,14.000,56.250,55.000,36.500,2.500,88.750,14.250,0.252
Josh Labandeira,109.000,87.000,17.000,3.000,49.000,44.000,37.000,3.000,52.000,11.000,0.276
Josh Phegley,110.000,67.000,26.000,14.500,54.500,61.500,25.500,1.000,66.000,1.500,0.270
Josh Phelps,138.500,80.000,28.500,27.500,75.000,93.500,47.000,3.000,116.500,4.000,0.299
Josh Prince,99.000,68.000,18.000,11.000,68.000,53.000,60.000,0.000,105.000,25.000,0.237
Josh Rabe,106.000,79.000,20.000,6.000,51.000,47.000,35.000,1.000,37.000,7.000,0.299
Josh Reddick,120.000,70.000,28.000,18.000,59.000,65.000,25.000,1.000,73.000,4.000,0.266
Josh Rodriguez,110.000,76.000,21.000,11.000,60.000,44.000,46.000,1.000,112.000,7.000,0.259
Josh Satin,117.000,78.500,26.000,11.500,61.000,54.500,69.000,1.000,94.000,2.000,0.287
Josh Vitters,103.000,65.000,23.000,14.000,43.500,53.000,26.500,2.500,92.000,5.000,0.259
Josh Whitesell,156.000,94.000,36.000,26.000,86.000,110.000,74.000,4.000,136.000,1.000,0.328
Josh Wilson,102.000,69.000,25.000,6.000,45.000,42.500,31.500,0.500,84.000,10.000,0.252
Juan Diaz,112.000,80.000,22.667,8.333,44.667,47.667,30.000,0.667,107.667,2.333,0.264
Juan Melo,101.000,79.000,12.000,8.000,43.000,50.000,24.000,1.000,70.000,2.000,0.263
Juan Miranda,114.500,72.000,26.000,15.500,57.000,67.000,55.000,2.500,90.000,1.500,0.288
Juan Perez,102.333,67.000,23.000,8.333,52.333,45.667,21.667,0.667,82.667,15.333,0.272
Julio Borbon,140.333,113.667,14.667,5.667,72.333,44.667,36.000,1.000,60.667,26.333,0.300
Jurickson Profar,94.000,62.000,25.000,7.000,50.000,45.000,43.000,0.000,33.000,5.000,0.287
Justin Bour,118.000,73.000,27.000,18.000,59.000,72.000,39.000,11.000,57.000,3.000,0.306
Justin Christian,107.333,74.333,23.667,5.333,54.333,30.333,31.333,1.333,55.333,18.667,0.270
Justin Henry,109.000,88.500,15.500,1.500,57.500,37.000,47.000,1.500,61.000,15.500,0.255
Justin Huber,109.000,66.500,22.000,18.500,53.500,60.000,45.500,1.500,89.000,3.000,0.276
Justin Leone,107.667,63.000,24.000,19.000,70.667,65.667,68.333,1.333,103.667,15.333,0.260
Justin Maxwell,93.000,65.000,10.000,13.000,68.000,42.000,54.000,2.000,136.000,35.000,0.242
Justin Ruggiano,133.000,86.000,29.333,16.667,75.333,71.667,48.667,2.000,142.333,24.333,0.283
Justin Sellers,90.000,68.000,18.000,3.000,31.000,40.000,25.000,0.000,48.000,3.000,0.254
Justin Turner,120.500,84.000,29.000,7.000,61.500,43.000,33.500,0.000,44.000,8.000,0.308
Kaleb Cowart,115.000,72.000,29.500,10.500,61.500,57.500,40.500,1.000,86.500,18.500,0.295
Kean Wong,100.000,74.000,21.000,5.000,44.000,44.000,34.000,0.000,78.000,14.000,0.265
Keith Ginter,102.500,70.000,21.750,10.250,51.250,54.250,53.750,1.500,76.000,3.250,0.257
Keith Reed,119.000,72.000,35.000,10.000,57.000,66.000,19.000,0.000,63.000,14.000,0.279
Kenny Kelly,87.000,71.000,13.000,1.000,47.000,34.000,43.000,1.000,75.000,19.000,0.248
Kennys Vargas,77.000,45.000,16.000,15.000,41.000,58.000,66.000,2.000,89.000,1.000,0.233
Kensuke Tanaka,113.000,95.000,14.000,1.000,54.000,32.000,42.000,2.000,36.000,22.000,0.329
Kerry Robinson,123.000,94.000,24.000,2.000,68.000,40.000,33.000,0.000,36.000,17.000,0.311
Kevin Barker,114.000,66.500,26.250,19.750,67.750,74.500,65.750,6.000,104.000,2.000,0.269
Kevin Frandsen,119.000,89.000,23.000,6.000,50.333,45.333,20.333,1.667,30.667,3.333,0.292
Kevin Hooper,139.000,119.000,15.000,1.000,66.000,29.000,23.000,0.000,71.000,24.000,0.276
Kevin Howard,133.000,90.000,29.000,13.000,68.000,59.000,48.000,5.000,51.000,5.000,0.310
Kevin Mahar,108.000,78.000,22.000,6.000,53.000,37.000,14.000,0.000,98.000,4.000,0.276
Kevin Mattison,116.000,74.000,23.000,13.000,80.000,41.000,44.000,2.000,145.000,26.000,0.241
Kevin Melillo,97.667,57.667,23.667,11.333,53.000,49.667,48.333,1.000,81.000,6.667,0.265
Kevin Pillar,131.000,79.000,39.000,10.000,57.000,59.000,21.000,3.000,48.000,27.000,0.323
Kevin Reese,108.000,81.000,14.000,10.000,58.000,59.000,54.000,2.000,74.000,9.000,0.249
Kevin Russo,108.000,81.000,21.250,3.000,48.750,38.500,34.750,1.000,79.750,12.250,0.274
Kevin Thompson,96.000,60.000,22.000,9.000,69.000,44.000,44.000,1.000,63.000,17.000,0.265
Kevin Witt,141.000,75.000,29.000,36.000,82.000,99.000,50.000,8.000,132.000,0.000,0.291
Kila Ka'aihue,100.667,62.000,20.667,17.333,64.333,66.667,82.333,5.000,78.333,1.000,0.281
Koby Clemens,90.000,51.000,21.000,16.000,51.000,55.000,51.000,1.000,117.000,4.000,0.234
Kole Calhoun,122.000,71.000,30.000,14.000,79.000,73.000,44.000,0.000,88.000,12.000,0.298
Kolten Wong,125.000,86.000,21.000,10.000,68.000,45.000,41.000,3.000,60.000,20.000,0.303
Kory Casto,111.000,79.000,21.000,9.500,56.500,56.500,49.000,1.000,95.500,4.000,0.259
Koyie Hill,100.000,57.000,24.000,17.000,56.000,64.000,40.000,1.000,77.000,3.000,0.275
Kristopher Negron,100.667,66.333,17.667,10.333,57.000,51.667,25.667,0.333,93.333,15.667,0.257
Kyle Hudson,107.000,100.000,5.000,0.000,48.000,25.000,43.000,0.000,74.000,22.000,0.264
Kyle Jensen,127.000,69.333,30.333,25.667,68.667,94.333,41.000,1.333,142.000,0.667,0.269
Kyle Kubitza,104.000,62.000,29.000,6.500,54.000,44.000,59.500,2.500,124.000,10.000,0.241
Kyle Parker,145.000,97.000,30.000,15.000,73.000,72.000,33.000,1.000,102.000,4.000,0.289
Kyle Roller,103.000,63.000,21.500,15.500,53.000,55.000,54.500,3.500,130.500,0.000,0.258
Kyle Wren,136.000,101.000,20.000,5.000,80.000,62.000,54.000,0.000,77.000,26.000,0.286
L.J. Hoes,105.333,78.667,20.667,4.000,58.667,42.000,51.000,0.333,58.667,13.667,0.280
Larry Broadway,108.667,68.667,25.333,12.333,53.667,60.667,54.333,5.333,102.333,3.000,0.268
Lars Anderson,112.000,68.667,30.000,11.000,55.667,63.333,63.000,2.333,112.000,2.667,0.259
Lastings Milledge,131.000,93.000,23.000,12.000,61.000,47.000,43.000,1.000,63.000,27.000,0.295
Laynce Nix,108.000,60.000,22.000,23.000,63.000,60.000,36.000,3.000,88.000,5.000,0.284
Leandro Castro,111.000,80.000,21.500,7.000,53.500,51.500,21.000,0.500,73.500,13.500,0.258
Leonys Martin,110.000,70.000,24.000,11.000,63.000,39.000,21.000,1.000,89.000,25.000,0.306
Leslie Anderson,130.333,92.000,24.333,13.667,53.667,65.000,32.333,2.667,58.000,1.333,0.293
Logan Schafer,109.500,76.500,18.500,7.000,56.000,36.500,32.000,0.000,68.000,10.500,0.263
Logan Watkins,100.000,67.000,18.000,8.000,51.000,26.000,52.000,1.000,98.000,10.000,0.243
Lorenzo Cain,152.000,101.000,28.000,16.000,84.000,81.000,40.000,0.000,102.000,16.000,0.312
Lou Merloni,100.000,74.000,21.000,3.000,47.000,39.000,40.000,0.000,51.000,1.000,0.254
Lucas May,102.000,63.000,20.000,16.000,61.000,58.000,34.000,0.000,79.000,4.000,0.291
Luis Alfonso Cruz,137.000,95.000,29.000,10.000,54.000,68.000,15.000,0.000,56.000,0.000,0.281
Luis Antonio Rodriguez,108.333,72.333,21.000,12.667,52.333,59.667,44.333,0.667,41.333,3.000,0.285
Luis Durango,126.500,114.000,9.000,0.000,55.000,34.500,47.500,1.500,74.500,40.500,0.294
Luis Figueroa,122.400,93.600,22.400,3.600,54.400,47.600,29.200,1.200,31.800,4.600,0.298
Luis Hernandez,116.500,86.500,19.000,7.000,53.500,62.000,26.000,1.000,76.500,8.000,0.251
Luis Jimenez,132.750,81.750,30.000,18.750,66.500,78.750,36.500,1.750,76.750,8.750,0.297
Luis Matos,98.000,67.000,26.000,4.000,50.000,34.000,24.000,1.000,64.000,10.000,0.250
Luis Rivas,108.000,77.000,17.000,11.000,58.000,43.000,42.000,1.000,69.000,13.000,0.263
Luis Sardinas,110.000,87.000,17.000,1.000,51.000,33.000,20.000,0.000,54.000,16.000,0.282
Luis Terrero,136.000,84.000,31.000,13.000,73.000,88.000,43.000,3.000,118.000,13.000,0.274
Luis Valbuena,127.000,88.000,22.000,17.000,64.000,75.000,46.000,1.000,96.000,6.000,0.302
Luke Montz,82.000,39.000,14.000,29.000,55.000,74.000,45.000,4.000,101.000,1.000,0.222
Mac Williamson,86.000,51.000,21.000,14.000,54.000,50.000,25.000,0.000,100.000,4.000,0.244
Maikel Franco,134.000,81.000,33.000,16.000,64.000,78.000,30.000,0.000,81.000,3.000,0.257
Manny Alexander,114.000,86.000,21.000,7.000,78.000,37.000,35.000,1.000,58.000,14.000,0.265
Manuel Margot,157.000,118.000,21.000,6.000,98.000,55.000,36.000,0.000,64.000,30.000,0.304
Marc Maddox,95.000,71.000,19.000,2.000,53.000,39.000,35.000,0.000,56.000,4.000,0.263
Mark Bellhorn,83.000,48.000,23.000,12.000,38.000,57.000,63.000,3.000,93.000,0.000,0.255
Mark Canha,141.000,90.000,28.000,20.000,83.000,82.000,57.000,0.000,112.000,3.000,0.303
Mark Hallberg,103.000,73.500,23.500,3.500,55.500,53.500,43.500,1.500,34.500,3.500,0.271
Mark Saccomanno,141.333,89.667,26.333,21.333,71.333,78.667,34.000,1.000,98.333,3.333,0.284
Mark Teahen,117.000,82.000,28.000,3.000,60.000,63.000,45.000,2.000,102.000,9.000,0.260
Mark Trumbo,160.000,90.000,29.000,36.000,103.000,122.000,58.000,8.000,126.000,3.000,0.301
Mark Zagunis,88.000,53.000,21.000,13.000,59.000,55.000,70.000,0.000,93.000,4.000,0.267
Martin Prado,125.000,95.000,23.000,4.000,61.000,41.000,34.000,1.000,41.000,5.000,0.316
Mason Williams,105.000,90.000,10.000,2.000,44.000,30.000,28.000,1.000,66.000,19.000,0.263
Mat Gamel,153.000,96.000,29.000,28.000,90.000,96.000,46.000,6.000,84.000,2.000,0.310
Matt Angle,109.500,86.250,13.750,4.500,63.500,41.500,45.000,1.750,82.000,21.500,0.279
Matt Antonelli,97.000,67.000,19.000,7.000,62.000,39.000,76.000,0.000,86.000,6.000,0.215
Matt Camp,115.000,95.000,16.000,2.000,49.000,40.000,43.000,8.000,41.000,13.000,0.264
Matt Carpenter,130.000,86.000,29.000,12.000,61.000,70.000,84.000,1.000,68.000,5.000,0.300
Matt Carson,117.750,68.000,28.500,19.250,66.250,63.500,37.500,1.500,108.000,12.250,0.269
Matt Clark,134.333,83.333,28.000,21.667,72.000,79.000,57.667,3.000,111.667,0.333,0.291
Matt Davidson,108.667,63.667,24.000,20.000,59.000,67.667,52.333,1.333,163.000,0.667,0.227
Matt Dominguez,118.500,82.000,23.000,13.250,48.250,64.750,25.250,1.000,63.750,1.000,0.265
Matt Downs,127.000,77.000,33.000,14.000,68.000,74.000,25.000,0.000,58.000,8.000,0.300
Matt Duffy,118.000,76.000,23.000,17.000,73.500,78.000,39.000,0.500,107.000,2.500,0.261
