,Name,H_AAA,1B_AAA,2B_AAA,HR_AAA,R_AAA,RBI_AAA,BB_AAA,IBB_AAA,SO_AAA,SB_AAA,AVG_AAA,H_y,1B_y,2B_y,HR_y,R_y,RBI_y,BB_y,IBB_y,SO_y,SB_y,AVG_y
35,Chris Young,111.0,54.0,32.0,21.0,78.0,77.0,52.0,2.0,71.0,17.0,0.276,143.5,79.5,35.5,25.25,88.25,78.75,64.75,1.75,147.5,22.75,0.244
36,Cliff Pennington,95.0,67.0,22.0,3.0,48.0,40.0,45.0,1.0,54.0,27.0,0.264,131.5,93.5,26.0,7.0,60.5,52.0,46.0,0.5,100.0,21.5,0.257
37,Clint Barmes,128.0,91.0,20.0,11.0,68.0,44.0,22.0,0.0,52.0,8.0,0.299,135.0,77.0,32.0,23.0,69.0,76.0,31.0,2.0,121.0,12.0,0.245
38,Colby Rasmus,83.0,57.0,15.0,11.0,56.0,36.0,49.0,3.0,72.0,15.0,0.251,119.75,73.0,23.75,19.0,76.75,61.5,49.0,4.75,127.0,6.0,0.244
39,Conor Gillaspie,121.5,84.5,20.0,12.5,61.5,55.0,53.5,1.5,66.5,4.5,0.289,131.0,88.0,31.0,7.0,50.0,57.0,36.0,4.0,78.0,0.0,0.282
40,Corey Patterson,102.0,63.0,24.0,11.0,50.0,50.5,18.0,2.5,84.0,19.5,0.271,124.0,88.0,26.0,8.0,65.0,45.0,21.0,1.0,65.0,37.0,0.26899999999999996
41,Corey Seager,117.0,72.0,30.0,13.0,64.0,61.0,32.0,2.0,65.0,3.0,0.278,176.0,113.0,36.5,24.0,95.0,74.5,60.5,5.0,132.0,3.5,0.301
42,Daniel Nava,118.0,79.0,27.0,10.0,69.0,48.0,70.0,4.0,88.0,10.0,0.268,139.0,98.0,29.0,12.0,77.0,66.0,51.0,2.0,93.0,0.0,0.303
43,Daric Barton,133.5,89.0,33.5,8.0,80.5,69.5,82.5,0.0,63.0,2.0,0.295,126.5,87.0,25.0,9.5,69.0,52.0,87.5,3.5,100.5,4.5,0.249
44,Darwin Barney,143.0,113.0,24.0,2.0,72.0,49.0,23.0,1.0,52.0,11.0,0.299,129.667,96.0,24.666999999999998,5.332999999999999,62.667,42.667,30.333000000000002,2.667,63.0,6.332999999999999,0.24600000000000002
45,David Freese,142.0,84.0,29.0,26.0,83.0,91.0,39.0,0.0,111.0,5.0,0.306,125.0,89.0,23.0,12.25,55.0,61.5,50.0,2.0,117.0,1.25,0.27
46,David Murphy,114.0,80.0,20.0,9.0,50.0,47.0,41.0,2.0,71.0,8.0,0.28,139.0,92.0,29.0,15.0,65.0,61.0,54.0,7.0,74.0,10.0,0.304
47,Dayan Viciedo,134.0,86.0,28.0,20.0,60.0,78.0,45.0,6.0,83.0,2.0,0.29600000000000004,125.0,80.0,20.0,23.0,64.5,68.0,30.0,1.5,121.0,0.0,0.243
48,Dee Gordon,111.0,85.0,17.0,0.0,65.0,33.0,51.0,1.0,70.0,49.0,0.297,194.0,159.0,22.666999999999998,2.667,98.0,37.667,27.0,0.667,97.0,60.667,0.31
49,Denard Span,130.0,100.0,20.0,3.0,59.0,55.0,40.0,1.0,90.0,25.0,0.267,161.857,119.14299999999999,28.429000000000002,6.7139999999999995,80.714,49.571000000000005,51.714,0.857,73.571,20.143,0.282
50,Desmond Jennings,102.0,68.0,22.0,7.5,75.0,37.5,46.0,2.0,72.5,27.0,0.27699999999999997,124.667,80.667,26.666999999999998,12.333,77.0,45.667,52.333,0.33299999999999996,114.333,22.0,0.247
51,Domingo Santana,124.5,79.5,25.0,17.0,69.0,79.0,59.0,1.0,128.5,4.0,0.315,146.0,87.0,29.0,30.0,88.0,85.0,73.0,2.0,178.0,15.0,0.278
52,Domonic Brown,111.0,80.0,24.0,7.0,37.0,41.0,38.0,1.0,99.0,5.0,0.239,123.0,80.5,21.5,18.5,56.0,73.0,36.5,4.5,94.0,7.5,0.254
53,Drew Stubbs,110.0,80.0,25.0,3.0,57.0,39.0,51.0,0.0,104.0,46.0,0.268,127.667,89.0,18.0,17.0,86.0,53.667,53.333,1.0,179.667,33.333,0.237
54,Dustin Ackley,115.0,79.0,27.0,6.0,66.0,59.0,54.0,2.0,71.0,3.0,0.261,130.0,89.5,24.5,13.0,74.0,57.5,45.5,4.0,107.0,10.5,0.235
55,Dustin Pedroia,129.0,91.0,30.0,5.0,55.0,50.0,48.0,0.0,27.0,1.0,0.305,183.5,127.5,41.0,13.375,96.25,71.5,61.25,2.375,63.375,15.375,0.304
56,Eduardo Nunez,134.0,102.0,25.0,4.0,55.0,50.0,32.0,1.0,60.0,23.0,0.289,159.0,115.0,24.0,16.0,73.0,67.0,29.0,3.0,88.0,40.0,0.28800000000000003
57,Emilio Bonifacio,125.0,101.5,17.0,1.5,57.5,36.0,35.0,1.0,69.0,29.0,0.306,141.5,113.5,18.5,3.0,75.0,31.5,46.5,0.5,112.0,30.5,0.27399999999999997
58,Eric Thames,98.0,66.0,20.0,10.0,49.0,46.0,40.0,1.0,95.0,6.0,0.278,116.0,55.0,26.0,31.0,83.0,63.0,75.0,5.0,163.0,4.0,0.247
59,Francisco Cervelli,87.0,68.0,15.0,2.0,43.0,39.0,39.0,1.0,82.0,6.0,0.24600000000000002,133.0,104.0,17.0,7.0,56.0,43.0,46.0,1.0,94.0,1.0,0.295
