,Name,H_AAA,1B_AAA,2B_AAA,HR_AAA,R_AAA,RBI_AAA,BB_AAA,IBB_AAA,SO_AAA,SB_AAA,AVG_AAA,H_y,1B_y,2B_y,HR_y,R_y,RBI_y,BB_y,IBB_y,SO_y,SB_y,AVG_y
90,Kole Calhoun,122.0,71.0,30.0,14.0,79.0,73.0,44.0,0.0,88.0,12.0,0.298,148.75,97.75,28.0,20.0,84.0,71.75,55.25,1.25,130.0,4.0,0.261
91,Kolten Wong,125.0,86.0,21.0,10.0,68.0,45.0,41.0,3.0,60.0,20.0,0.303,146.0,103.0,28.0,11.0,71.0,61.0,36.0,2.0,95.0,15.0,0.262
92,Lastings Milledge,131.0,93.0,23.0,12.0,61.0,47.0,43.0,1.0,63.0,27.0,0.295,140.0,100.0,24.0,14.0,65.0,61.0,38.0,1.0,96.0,24.0,0.268
93,Leonys Martin,110.0,70.0,24.0,11.0,63.0,39.0,21.0,1.0,89.0,25.0,0.306,131.0,98.667,17.0,10.0,68.667,45.333,37.0,1.0,122.333,30.333000000000002,0.26
94,Lorenzo Cain,152.0,101.0,28.0,16.0,84.0,81.0,40.0,0.0,102.0,16.0,0.312,172.0,120.5,30.5,15.5,93.5,60.5,45.5,2.5,99.0,27.0,0.303
95,Luis Valbuena,127.0,88.0,22.0,17.0,64.0,75.0,46.0,1.0,96.0,6.0,0.302,119.0,66.0,33.0,16.0,68.0,51.0,65.0,4.0,113.0,1.0,0.249
96,Maikel Franco,134.0,81.0,33.0,16.0,64.0,78.0,30.0,0.0,81.0,3.0,0.257,140.0,88.5,26.0,24.5,66.5,82.0,40.5,5.0,100.5,0.5,0.242
97,Manuel Margot,157.0,118.0,21.0,6.0,98.0,55.0,36.0,0.0,64.0,30.0,0.304,128.0,90.0,18.0,13.0,53.0,39.0,35.0,0.0,106.0,17.0,0.263
98,Mark Teahen,117.0,82.0,28.0,3.0,60.0,63.0,45.0,2.0,102.0,9.0,0.26,147.667,100.0,32.0,11.333,71.0,56.333,46.0,5.332999999999999,127.0,8.333,0.27
99,Mark Trumbo,160.0,90.0,29.0,36.0,103.0,122.0,58.0,8.0,126.0,3.0,0.301,141.5,83.333,25.333000000000002,31.166999999999998,75.167,86.5,40.667,2.833,151.333,3.5,0.251
100,Martin Prado,125.0,95.0,23.0,4.0,61.0,41.0,34.0,1.0,41.0,5.0,0.316,162.625,115.0,33.375,11.5,70.625,65.0,40.875,2.0,67.0,4.5,0.292
101,Matt Carpenter,130.0,86.0,29.0,12.0,61.0,70.0,84.0,1.0,68.0,5.0,0.3,153.0,91.0,39.8,18.2,99.6,71.6,87.6,3.6,118.6,2.8,0.275
102,Matt Dominguez,118.5,82.0,23.0,13.25,48.25,64.75,25.25,1.0,63.75,1.0,0.265,126.0,86.5,21.0,18.5,53.5,67.0,29.5,1.5,110.5,0.0,0.228
103,Matt Duffy,118.0,76.0,23.0,17.0,73.5,78.0,39.0,0.5,107.0,2.5,0.261,169.0,123.0,28.0,12.0,77.0,77.0,30.0,0.0,96.0,12.0,0.295
104,Matt Joyce,114.0,61.0,35.0,16.0,73.0,66.0,67.0,3.0,98.0,14.0,0.273,121.0,65.5,32.5,22.0,73.5,71.5,57.5,4.5,109.5,8.5,0.26
105,Melvin Upton Jr.,107.0,77.0,18.0,8.0,72.0,41.0,65.0,0.0,89.0,46.0,0.26899999999999996,131.375,82.125,27.875,18.125,78.875,65.125,62.0,2.375,157.75,33.0,0.248
106,Michael Brantley,122.0,93.0,21.0,6.0,80.0,37.0,59.0,1.0,48.0,46.0,0.267,170.25,117.0,38.25,12.75,72.75,78.5,51.25,6.25,57.5,16.75,0.302
107,Michael Morse,137.0,92.0,26.0,16.0,59.0,86.0,35.0,3.0,77.0,2.0,0.322,158.0,91.0,36.0,31.0,73.0,95.0,36.0,5.0,126.0,2.0,0.303
108,Michael Taylor,117.6,76.8,26.0,12.6,68.0,72.6,59.0,1.2,93.0,12.2,0.27699999999999997,108.0,77.0,15.0,14.0,49.0,63.0,35.0,9.0,158.0,16.0,0.22899999999999998
109,Mike Aviles,141.5,100.5,24.0,12.5,65.0,62.0,29.0,0.5,53.5,9.5,0.28,128.0,87.0,28.0,13.0,57.0,60.0,23.0,0.0,77.0,14.0,0.25
110,Mike Jacobs,135.333,81.0,32.0,21.0,76.0,95.0,55.667,3.333,103.667,1.3330000000000002,0.29,118.0,57.0,27.0,32.0,67.0,93.0,36.0,10.0,119.0,1.0,0.247
111,Mitch Moreland,102.0,59.0,29.0,12.0,52.0,65.0,47.0,2.0,63.0,2.0,0.289,118.0,70.8,25.6,21.2,58.6,67.0,41.6,4.0,111.8,0.8,0.25
112,Nate Schierholtz,137.0,83.0,31.0,16.0,67.0,68.0,17.0,3.0,58.0,10.0,0.33299999999999996,116.0,60.0,32.0,21.0,56.0,68.0,29.0,3.0,94.0,6.0,0.251
113,Neil Walker,108.0,60.5,28.0,15.0,53.5,74.5,27.5,0.5,81.0,7.5,0.253,140.0,92.2,28.8,16.2,68.6,70.4,48.0,3.4,99.8,4.6,0.26899999999999996
114,Nelson Cruz,121.5,71.0,20.0,28.5,80.5,86.0,49.0,3.0,93.5,20.5,0.322,152.857,87.0,29.0,36.0,84.14299999999999,96.85700000000001,53.714,5.428999999999999,139.571,6.7139999999999995,0.276
115,Nick Castellanos,147.0,91.0,37.0,18.0,81.0,76.0,54.0,2.0,100.0,4.0,0.276,148.333,91.0,33.333,17.333,55.0,80.0,38.667,1.3330000000000002,144.667,2.0,0.262
116,Omar Infante,138.0,104.0,31.0,3.0,46.0,37.0,24.0,2.0,50.0,3.0,0.282,149.0,113.0,22.5,8.25,59.75,53.75,29.25,1.25,65.5,9.25,0.281
117,Orlando Arcia,108.0,75.0,19.0,8.0,59.0,53.0,29.0,2.0,77.0,15.0,0.267,140.0,106.0,17.0,15.0,56.0,53.0,36.0,9.0,100.0,14.0,0.27699999999999997
118,Pedro Alvarez,131.0,73.0,31.0,26.0,60.0,89.0,42.0,2.0,137.0,1.0,0.239,129.0,71.0,23.5,33.0,67.0,92.5,52.5,6.5,183.0,1.5,0.23800000000000002
119,Peter Bourjos,130.0,92.0,13.0,13.0,85.0,52.0,24.0,1.0,78.0,27.0,0.314,136.0,87.0,26.0,12.0,72.0,43.0,32.0,0.0,124.0,22.0,0.271
120,Rajai Davis,109.0,89.0,17.0,2.0,53.0,21.0,27.0,0.0,59.0,45.0,0.28300000000000003,149.0,113.0,28.0,5.0,66.0,52.0,26.0,0.0,78.0,50.0,0.284
121,Reggie Willits,115.0,90.0,18.0,3.0,85.0,39.0,77.0,2.0,50.0,31.0,0.327,126.0,105.0,20.0,0.0,74.0,34.0,69.0,2.0,83.0,27.0,0.293
122,Robert Andino,128.2,89.6,22.4,10.8,65.8,52.0,31.4,0.2,107.0,11.8,0.256,120.0,93.0,22.0,5.0,63.0,36.0,41.0,0.0,83.0,13.0,0.263
123,Ryan Garko,85.0,56.5,14.5,13.5,42.5,53.5,43.0,1.5,64.5,2.5,0.24100000000000002,137.5,94.0,25.0,17.5,61.5,75.5,39.5,1.0,90.0,0.0,0.281
124,Ryan Ludwick,135.0,71.0,34.0,28.0,81.0,80.0,48.0,1.0,167.0,2.0,0.266,132.25,81.0,27.5,22.25,71.5,88.5,50.5,2.5,124.25,2.25,0.263
125,Ryan Roberts,107.2,67.4,26.0,11.2,55.2,55.0,51.8,1.2,77.0,7.4,0.27399999999999997,120.0,74.0,25.0,19.0,86.0,65.0,66.0,2.0,98.0,18.0,0.249
126,Ryan Sweeney,120.0,85.0,21.0,11.5,57.0,58.5,41.5,3.5,72.0,7.5,0.28300000000000003,142.0,102.0,31.0,6.0,68.0,53.0,40.0,1.0,67.0,6.0,0.293
127,Scott Schebler,104.0,66.0,16.0,13.0,57.0,50.0,40.0,8.0,93.0,15.0,0.24100000000000002,110.0,53.0,25.0,30.0,63.0,67.0,39.0,5.0,125.0,5.0,0.233
128,Seth Smith,143.0,88.0,32.0,17.0,68.0,82.0,39.0,0.0,73.0,7.0,0.317,126.5,74.5,31.5,13.5,61.0,53.5,57.5,5.0,90.0,5.5,0.275
129,Shin-Soo Choo,121.0,84.0,21.0,13.0,71.0,48.0,45.0,3.0,73.0,26.0,0.32299999999999995,153.714,100.85700000000001,31.0,19.429000000000002,87.286,71.0,79.571,3.714,137.714,14.714,0.278
130,Skip Schumaker,113.0,94.0,13.0,3.0,47.0,27.0,23.0,1.0,48.0,11.0,0.306,150.0,117.333,24.666999999999998,5.667000000000001,79.333,41.0,47.333,2.0,64.333,5.0,0.29
131,Starling Marte,111.0,65.0,21.0,12.0,64.0,62.0,28.0,5.0,91.0,21.0,0.28600000000000003,151.25,102.5,29.75,13.25,77.75,54.5,27.0,2.5,124.0,37.0,0.292
132,Stephen Piscotty,144.0,103.0,32.0,9.0,70.0,69.0,43.0,2.0,61.0,11.0,0.28800000000000003,159.0,99.0,35.0,22.0,86.0,85.0,51.0,0.0,133.0,7.0,0.273
133,Stephen Vogt,95.0,64.0,18.0,9.0,48.0,43.0,42.0,2.0,61.0,1.0,0.272,119.5,75.5,25.5,16.0,56.0,63.5,45.5,4.5,90.0,0.0,0.256
134,Steven Souza Jr.,121.0,76.0,25.0,18.0,62.0,75.0,52.0,3.0,75.0,26.0,0.35,125.0,72.0,21.0,30.0,78.0,78.0,84.0,2.0,179.0,16.0,0.239
135,Tim Beckham,127.0,91.0,25.0,4.0,71.0,51.0,44.0,0.0,108.0,17.0,0.276,148.0,103.0,18.0,22.0,67.0,62.0,36.0,0.0,167.0,6.0,0.278
136,Todd Frazier,124.0,71.0,32.0,17.0,71.0,66.0,45.0,6.0,127.0,14.0,0.258,135.8,77.8,26.8,30.0,79.2,83.2,58.6,1.8,137.8,11.6,0.24
137,Tommy Pham,112.0,80.0,16.0,10.0,63.0,44.0,38.0,1.0,81.0,20.0,0.324,136.0,89.0,22.0,23.0,95.0,73.0,71.0,0.0,117.0,25.0,0.306
138,Trevor Plouffe,105.0,65.5,22.5,12.5,53.0,54.5,30.5,0.5,79.0,4.0,0.252,131.667,80.333,32.333,16.667,62.333,72.667,45.667,1.0,115.0,2.0,0.252
139,Trey Mancini,135.0,95.0,22.0,13.0,60.0,54.0,48.0,1.0,123.0,2.0,0.28,159.0,105.0,26.0,24.0,65.0,78.0,33.0,1.0,139.0,1.0,0.293
140,Whit Merrifield,144.0,105.0,29.0,5.0,83.0,38.0,39.0,1.0,66.0,32.0,0.265,169.0,112.0,32.0,19.0,80.0,78.0,29.0,0.0,88.0,34.0,0.28800000000000003
141,Wil Myers,118.0,74.0,15.0,24.0,66.0,79.0,45.0,2.0,98.0,2.0,0.304,146.5,85.0,29.0,29.0,89.5,84.0,69.0,2.0,170.0,24.0,0.251
142,Will Venable,129.0,85.0,26.0,14.0,70.0,58.0,44.0,0.0,103.0,7.0,0.292,129.0,77.0,22.0,22.0,64.0,53.0,29.0,4.0,118.0,22.0,0.268
143,Willy Taveras,118.0,86.0,17.0,10.0,67.0,44.0,21.0,1.0,51.0,13.0,0.302,120.0,102.0,15.0,1.0,64.0,26.0,36.0,0.0,79.0,68.0,0.251
144,Wilmer Flores,136.0,81.0,36.0,15.0,69.0,86.0,25.0,2.0,63.0,1.0,0.321,127.0,89.0,22.0,16.0,55.0,59.0,19.0,2.0,63.0,0.0,0.263
145,Xavier Nady,131.0,90.0,26.0,15.0,69.0,65.0,41.0,0.0,91.0,4.0,0.29600000000000004,169.0,106.0,37.0,25.0,76.0,97.0,39.0,2.0,103.0,2.0,0.305
146,Yangervis Solarte,147.0,106.0,29.5,11.5,67.5,64.5,40.0,2.0,56.5,3.0,0.282,127.667,87.667,24.333000000000002,14.0,56.0,58.333,41.333,1.6669999999999998,58.333,1.3330000000000002,0.262
147,Yonder Alonso,113.0,70.5,27.5,12.0,48.0,56.0,41.5,4.0,68.0,7.5,0.29600000000000004,130.667,84.333,31.666999999999998,14.667,57.0,61.667,58.333,5.332999999999999,97.667,2.667,0.264
148,Zack Cozart,141.0,90.0,30.0,17.0,91.0,67.0,40.0,0.0,107.0,30.0,0.255,128.2,83.2,26.6,14.2,68.2,49.8,36.2,1.6,91.2,3.6,0.254
