,Name,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,WAR/PA
134,Daniel Robertson,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0
136,Danny Richar,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
138,Daric Barton,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0
140,Darin Ruf,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0
142,Darwin Barney,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
144,Dave Sappelt,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
146,David Freese,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0
148,David Murphy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
150,Dayan Viciedo,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0
152,Delwyn Young,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
154,Derek Fisher,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0
156,Desmond Jennings,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
158,Devin Mesoraco,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
160,Diory Hernandez,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
162,Domingo Santana,1.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0
164,Domonic Brown,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
166,Donovan Solano,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0
168,Drew Stubbs,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
170,Dustin Ackley,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
172,Ed Lucas,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
174,Eduardo Escobar,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
176,Edwin Maysonet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
178,Elian Herrera,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
180,Emilio Bonifacio,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
182,Eric Bruntlett,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
184,Eric Munson,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0
186,Eric Sogard,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0
188,Erik Gonzalez,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
190,Esteban German,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0
192,Eury Perez,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
194,Felix Pie,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
196,Fernando Tatis,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
198,Franklin Gutierrez,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,Freddie Freeman,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
202,George Kottaras,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
204,Giovanny Urshela,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
206,Grant Green,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0
208,Greg Garcia,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
210,Gregor Blanco,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
212,Hank Conger,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
214,Hector Luna,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
216,Hunter Renfroe,2.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0
218,Irving Falu,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
220,J.P. Arencibia,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0
222,Jack Cust,2.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0
224,Jacoby Ellsbury,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
226,Jake Elmore,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0
228,James Loney,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
230,Jamie Burke,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
232,Jarrett Parker,1.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0
234,Jason Bourgeois,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
236,Jason Jaramillo,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
238,Jason Lane,1.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0
240,Jason Repko,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
242,Jason Smith,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
244,Javier Baez,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0
246,Jaycob Brugman,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
248,Jedd Gyorko,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
250,Jeff Baker,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0
252,Jeff Francoeur,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
254,Jeff Larish,0.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0
256,Jeff Salazar,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0
258,Jeimer Candelario,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
260,Jeremy Hazelbaker,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
262,Jeremy Reed,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
264,Jerry Sands,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
266,Jesus Aguilar,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
268,Jesus Guzman,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
270,Jim Adduci,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
272,Joaquin Arias,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0
274,Joe Borchard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
276,Joe Inglett,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
278,Joey Butler,1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0
280,Joey Terdoslavich,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
282,Joey Wendle,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
284,Johnny Giavotella,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0
286,Jon Singleton,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
288,Jordan Brown,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0
290,Jordan Pacheco,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
292,Jose Constanza,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0
294,Jose Martinez,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
296,Jose Peraza,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
298,Josh Anderson,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
300,Josh Bell,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
302,Josh Donaldson,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
304,Josh Phegley,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
306,Josh Reddick,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
308,Josh Vitters,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
310,Josh Wilson,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
312,Juan Perez,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
314,Jurickson Profar,0.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0
316,Justin Christian,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
318,Justin Ruggiano,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
320,Justin Turner,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
322,Kennys Vargas,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
324,Kevin Pillar,1.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
326,Kole Calhoun,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
328,Kory Casto,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
