,Name,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,WAR/PA
67,Brett Eibner,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0
68,Brett Gardner,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
69,Brett Jackson,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
70,Brett Nicholas,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
71,Brett Pill,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
72,Brett Wallace,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
73,Brian Barden,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
74,Brian Barton,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
75,Brian Bixler,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
76,Brian Bogusevic,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77,Brian Goodwin,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78,Brooks Conrad,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
79,Bryan LaHair,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
80,Bryan Petersen,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
81,Caleb Gindl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
82,Carlos Asuaje,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
83,Carlos Peguero,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0
84,Carlos Pena,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
85,Carlos Quentin,0.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
86,Carlos Ruiz,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
87,Casey McGehee,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
88,Casper Wells,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
89,Cesar Hernandez,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
90,Chad Pinder,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
91,Chad Tracy,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
92,Charlie Culberson,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
93,Chase d'Arnaud,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
94,Cheslor Cuthbert,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
95,Chin-lung Hu,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
96,Chris Carter,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
97,Chris Carter,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0
98,Chris Colabello,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0
99,Chris Davis,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
100,Chris Denorfia,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
101,Chris Dickerson,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
102,Chris Getz,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0
103,Chris Johnson,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
104,Chris Marrero,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
105,Chris Owings,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0
106,Chris Shelton,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0
107,Chris Taylor,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
108,Chris Valaika,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
109,Chris Woodward,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
110,Chris Young,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
111,Christian Colon,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
112,Clete Thomas,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
113,Cliff Pennington,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
114,Clint Barmes,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
115,Clint Robinson,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0
116,Cody Asche,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
117,Cody Ransom,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
