Name,PA,BB%,K%,AVG,OBP,SLG,OPS,WAR/PA
Erold Andrus,531.000,10.000,17.100,0.255,0.331,0.388,0.719,0.000
Eudy Pina,418.000,5.700,21.500,0.249,0.300,0.317,0.617,0.000
Eugenio Suarez,496.000,9.300,19.800,0.253,0.332,0.387,0.719,1.000
Eugenio Velez,411.000,6.300,16.100,0.298,0.344,0.399,0.743,0.000
Evan Bigley,536.000,6.500,20.100,0.253,0.311,0.378,0.689,0.000
Evan Frey,543.438,11.010,13.599,0.271,0.357,0.338,0.695,0.000
Evan Longoria,447.000,11.400,18.100,0.307,0.403,0.528,0.930,1.000
Evan Marzilli,408.000,13.700,23.800,0.231,0.351,0.301,0.653,0.000
Ezequiel Carrera,405.000,14.600,15.300,0.337,0.441,0.416,0.857,1.000
Felix Molina,453.340,6.969,14.896,0.271,0.324,0.396,0.720,0.000
Fernando Cortez,480.000,7.100,11.500,0.244,0.301,0.330,0.631,0.000
Fernando Martinez,385.000,7.000,19.000,0.287,0.340,0.432,0.772,0.000
Fernando Perez,476.000,16.000,21.800,0.308,0.423,0.481,0.903,1.000
Francisco Caraballo,427.000,6.300,25.800,0.256,0.311,0.431,0.741,0.000
Francisco Lindor,387.000,10.300,15.800,0.278,0.352,0.389,0.741,1.000
Francisco Martinez,461.784,7.236,20.709,0.262,0.318,0.368,0.686,0.000
Francisco Mejia,383.000,6.300,13.800,0.297,0.346,0.490,0.835,0.000
Frank Diaz,440.327,5.119,14.416,0.257,0.298,0.394,0.692,0.000
Frank Schwindel,485.000,3.700,17.700,0.270,0.301,0.446,0.747,0.000
Franklin Barreto,507.000,7.100,17.800,0.281,0.340,0.413,0.753,0.000
Franmil Reyes,566.000,8.500,23.700,0.258,0.322,0.464,0.785,0.000
Freddy Galvis,507.751,5.730,15.564,0.251,0.299,0.352,0.651,1.000
Freddy Sandoval,563.000,11.900,13.900,0.305,0.392,0.468,0.860,0.000
Gabriel Guerrero,516.967,5.543,20.467,0.249,0.291,0.362,0.654,0.000
Gabriel Lopez,520.050,10.583,10.960,0.257,0.341,0.334,0.675,0.000
Gabriel Martinez,506.215,9.643,22.194,0.272,0.346,0.428,0.774,0.000
Gabriel Noriega,402.000,3.500,17.900,0.256,0.283,0.334,0.617,0.000
Gabriel Quintana,476.731,4.198,27.469,0.253,0.290,0.471,0.761,0.000
Gaby Sanchez,558.000,12.400,12.500,0.314,0.404,0.513,0.917,1.000
Garabez Rosa,480.534,2.808,18.722,0.287,0.309,0.399,0.708,0.000
Garrett Guzman,526.000,6.800,9.700,0.312,0.359,0.453,0.812,0.000
Gary Brown,610.000,6.600,14.300,0.279,0.347,0.385,0.731,0.000
Gary Cates,379.000,4.700,11.600,0.262,0.299,0.318,0.616,0.000
Gary Sanchez,477.000,9.000,19.100,0.270,0.338,0.406,0.743,1.000
Gavin Cecchini,485.000,8.700,11.300,0.317,0.377,0.442,0.819,0.000
Geraldo Valentin,480.000,5.200,9.600,0.288,0.328,0.359,0.688,0.000
German Duran,529.000,6.400,14.600,0.300,0.352,0.525,0.877,0.000
Gerson Montilla,376.000,7.400,17.300,0.271,0.326,0.378,0.704,0.000
Gift Ngoepe,499.000,10.200,27.100,0.238,0.319,0.380,0.699,0.000
Giovanny Urshela,466.000,3.000,10.300,0.270,0.292,0.384,0.676,0.000
Glynn Davis,408.000,8.300,19.400,0.268,0.333,0.348,0.681,0.000
Gorkys Hernandez,525.692,7.112,22.130,0.275,0.332,0.348,0.680,0.000
Grant Green,587.000,6.600,20.300,0.291,0.343,0.408,0.750,0.000
Grant Kay,472.000,9.300,18.600,0.261,0.337,0.422,0.759,0.000
